Track,for,Lee,2011,,
9/1/2011,21:36:47,26.392,N,91.546,W
9/1/2011,21:38:48,26.394,N,91.546,W
9/1/2011,21:40:48,26.395,N,91.546,W
9/1/2011,21:42:47,26.397,N,91.545,W
9/1/2011,21:44:47,26.398,N,91.545,W
9/1/2011,21:46:48,26.399,N,91.544,W
9/1/2011,21:48:48,26.4,N,91.543,W
9/1/2011,21:50:47,26.401,N,91.541,W
9/1/2011,21:52:47,26.402,N,91.54,W
9/1/2011,21:54:48,26.402,N,91.538,W
9/1/2011,21:56:48,26.403,N,91.536,W
9/1/2011,21:58:47,26.403,N,91.534,W
9/1/2011,22:00:48,26.404,N,91.532,W
9/1/2011,22:01:43,26.404,N,91.531,W
9/1/2011,22:03:43,26.405,N,91.53,W
9/1/2011,22:05:44,26.407,N,91.529,W
9/1/2011,22:07:44,26.408,N,91.528,W
9/1/2011,22:09:43,26.41,N,91.528,W
9/1/2011,22:11:43,26.412,N,91.527,W
9/1/2011,22:13:44,26.413,N,91.526,W
9/1/2011,22:15:44,26.415,N,91.525,W
9/1/2011,22:17:43,26.417,N,91.524,W
9/1/2011,22:19:43,26.418,N,91.522,W
9/1/2011,22:21:44,26.42,N,91.521,W
9/1/2011,22:23:43,26.422,N,91.52,W
9/1/2011,22:25:43,26.424,N,91.519,W
9/1/2011,22:27:44,26.426,N,91.518,W
9/1/2011,22:29:44,26.428,N,91.516,W
9/1/2011,22:31:43,26.43,N,91.515,W
9/1/2011,22:33:43,26.432,N,91.514,W
9/1/2011,22:35:44,26.435,N,91.512,W
9/1/2011,22:37:44,26.437,N,91.511,W
9/1/2011,22:39:43,26.439,N,91.509,W
9/1/2011,22:41:43,26.442,N,91.508,W
9/1/2011,22:43:44,26.444,N,91.506,W
9/1/2011,22:45:44,26.447,N,91.504,W
9/1/2011,22:47:43,26.449,N,91.503,W
9/1/2011,22:49:43,26.452,N,91.501,W
9/1/2011,22:51:44,26.455,N,91.499,W
9/1/2011,22:53:43,26.458,N,91.497,W
9/1/2011,22:55:43,26.461,N,91.495,W
9/1/2011,22:57:44,26.464,N,91.493,W
9/1/2011,22:59:44,26.467,N,91.491,W
9/1/2011,23:01:43,26.47,N,91.489,W
9/1/2011,23:03:43,26.474,N,91.487,W
9/1/2011,23:05:44,26.477,N,91.484,W
9/1/2011,23:07:44,26.481,N,91.482,W
9/1/2011,23:09:43,26.484,N,91.479,W
9/1/2011,23:11:43,26.488,N,91.477,W
9/1/2011,23:13:44,26.492,N,91.474,W
9/1/2011,23:15:44,26.496,N,91.472,W
9/1/2011,23:17:43,26.5,N,91.469,W
9/1/2011,23:19:43,26.504,N,91.466,W
9/1/2011,23:21:44,26.508,N,91.463,W
9/1/2011,23:23:43,26.512,N,91.46,W
9/1/2011,23:25:43,26.517,N,91.457,W
9/1/2011,23:27:44,26.521,N,91.454,W
9/1/2011,23:29:44,26.526,N,91.451,W
9/1/2011,23:31:43,26.53,N,91.448,W
9/1/2011,23:33:43,26.535,N,91.445,W
9/1/2011,23:35:44,26.54,N,91.441,W
9/1/2011,23:37:44,26.545,N,91.438,W
9/1/2011,23:39:43,26.549,N,91.435,W
9/1/2011,23:41:43,26.554,N,91.431,W
9/1/2011,23:43:44,26.559,N,91.428,W
9/1/2011,23:45:44,26.564,N,91.424,W
9/1/2011,23:47:43,26.569,N,91.421,W
9/1/2011,23:49:43,26.574,N,91.418,W
9/1/2011,23:51:44,26.579,N,91.414,W
9/1/2011,23:53:43,26.584,N,91.411,W
9/1/2011,23:55:43,26.589,N,91.407,W
9/1/2011,23:57:44,26.594,N,91.404,W
9/1/2011,23:59:44,26.599,N,91.4,W
9/2/2011,0:00:00,26.6,N,91.4,W
9/2/2011,0:01:59,26.602,N,91.402,W
9/2/2011,0:04:00,26.604,N,91.403,W
9/2/2011,0:06:00,26.605,N,91.405,W
9/2/2011,0:07:59,26.607,N,91.407,W
9/2/2011,0:09:59,26.609,N,91.408,W
9/2/2011,0:12:00,26.61,N,91.41,W
9/2/2011,0:14:00,26.612,N,91.412,W
9/2/2011,0:15:59,26.613,N,91.413,W
9/2/2011,0:17:59,26.615,N,91.415,W
9/2/2011,0:20:00,26.616,N,91.417,W
9/2/2011,0:22:00,26.618,N,91.418,W
9/2/2011,0:23:59,26.619,N,91.42,W
9/2/2011,0:25:59,26.621,N,91.421,W
9/2/2011,0:28:00,26.622,N,91.423,W
9/2/2011,0:30:00,26.624,N,91.425,W
9/2/2011,0:31:59,26.625,N,91.426,W
9/2/2011,0:34:00,26.626,N,91.428,W
9/2/2011,0:36:00,26.627,N,91.429,W
9/2/2011,0:37:59,26.629,N,91.431,W
9/2/2011,0:39:59,26.63,N,91.432,W
9/2/2011,0:42:00,26.631,N,91.434,W
9/2/2011,0:44:00,26.632,N,91.435,W
9/2/2011,0:45:59,26.633,N,91.437,W
9/2/2011,0:47:59,26.634,N,91.438,W
9/2/2011,0:50:00,26.635,N,91.439,W
9/2/2011,0:52:00,26.636,N,91.441,W
9/2/2011,0:53:59,26.637,N,91.442,W
9/2/2011,0:55:59,26.638,N,91.444,W
9/2/2011,0:58:00,26.639,N,91.445,W
9/2/2011,1:00:00,26.64,N,91.447,W
9/2/2011,1:01:59,26.64,N,91.448,W
9/2/2011,1:04:00,26.641,N,91.449,W
9/2/2011,1:06:00,26.642,N,91.451,W
9/2/2011,1:07:59,26.642,N,91.452,W
9/2/2011,1:09:59,26.643,N,91.453,W
9/2/2011,1:12:00,26.643,N,91.454,W
9/2/2011,1:14:00,26.644,N,91.456,W
9/2/2011,1:15:59,26.644,N,91.457,W
9/2/2011,1:17:59,26.645,N,91.458,W
9/2/2011,1:20:00,26.645,N,91.46,W
9/2/2011,1:22:00,26.645,N,91.461,W
9/2/2011,1:23:59,26.646,N,91.462,W
9/2/2011,1:25:59,26.646,N,91.463,W
9/2/2011,1:28:00,26.646,N,91.464,W
9/2/2011,1:30:00,26.646,N,91.465,W
9/2/2011,1:31:59,26.646,N,91.467,W
9/2/2011,1:34:00,26.646,N,91.468,W
9/2/2011,1:36:00,26.646,N,91.469,W
9/2/2011,1:37:59,26.646,N,91.47,W
9/2/2011,1:39:59,26.646,N,91.471,W
9/2/2011,1:42:00,26.646,N,91.472,W
9/2/2011,1:44:00,26.646,N,91.473,W
9/2/2011,1:45:59,26.646,N,91.474,W
9/2/2011,1:47:59,26.645,N,91.475,W
9/2/2011,1:50:00,26.645,N,91.476,W
9/2/2011,1:52:00,26.645,N,91.477,W
9/2/2011,1:53:59,26.644,N,91.478,W
9/2/2011,1:55:59,26.644,N,91.479,W
9/2/2011,1:58:00,26.643,N,91.48,W
9/2/2011,2:00:00,26.642,N,91.481,W
9/2/2011,2:01:59,26.642,N,91.482,W
9/2/2011,2:04:00,26.641,N,91.483,W
9/2/2011,2:06:00,26.64,N,91.483,W
9/2/2011,2:07:59,26.639,N,91.484,W
9/2/2011,2:09:59,26.638,N,91.485,W
9/2/2011,2:12:00,26.637,N,91.486,W
9/2/2011,2:14:00,26.636,N,91.487,W
9/2/2011,2:15:59,26.635,N,91.487,W
9/2/2011,2:17:59,26.634,N,91.488,W
9/2/2011,2:20:00,26.633,N,91.489,W
9/2/2011,2:22:00,26.632,N,91.49,W
9/2/2011,2:23:59,26.631,N,91.49,W
9/2/2011,2:25:59,26.629,N,91.491,W
9/2/2011,2:28:00,26.628,N,91.492,W
9/2/2011,2:30:00,26.627,N,91.492,W
9/2/2011,2:31:59,26.625,N,91.493,W
9/2/2011,2:34:00,26.624,N,91.493,W
9/2/2011,2:36:00,26.622,N,91.494,W
9/2/2011,2:37:59,26.62,N,91.495,W
9/2/2011,2:39:59,26.619,N,91.495,W
9/2/2011,2:42:00,26.617,N,91.496,W
9/2/2011,2:44:00,26.615,N,91.496,W
9/2/2011,2:45:59,26.614,N,91.497,W
9/2/2011,2:47:59,26.612,N,91.497,W
9/2/2011,2:50:00,26.61,N,91.498,W
9/2/2011,2:52:00,26.608,N,91.498,W
9/2/2011,2:53:59,26.606,N,91.499,W
9/2/2011,2:55:59,26.604,N,91.499,W
9/2/2011,2:58:00,26.602,N,91.5,W
9/2/2011,3:00:00,26.6,N,91.5,W
9/2/2011,3:01:59,26.598,N,91.5,W
9/2/2011,3:04:00,26.596,N,91.501,W
9/2/2011,3:06:00,26.594,N,91.501,W
9/2/2011,3:07:59,26.591,N,91.502,W
9/2/2011,3:09:59,26.589,N,91.502,W
9/2/2011,3:12:00,26.587,N,91.502,W
9/2/2011,3:14:00,26.584,N,91.503,W
9/2/2011,3:15:59,26.582,N,91.503,W
9/2/2011,3:17:59,26.58,N,91.503,W
9/2/2011,3:20:00,26.577,N,91.503,W
9/2/2011,3:22:00,26.575,N,91.504,W
9/2/2011,3:23:59,26.572,N,91.504,W
9/2/2011,3:25:59,26.569,N,91.504,W
9/2/2011,3:28:00,26.567,N,91.504,W
9/2/2011,3:30:00,26.564,N,91.505,W
9/2/2011,3:31:59,26.561,N,91.505,W
9/2/2011,3:34:00,26.559,N,91.505,W
9/2/2011,3:36:00,26.556,N,91.505,W
9/2/2011,3:37:59,26.553,N,91.506,W
9/2/2011,3:39:59,26.55,N,91.506,W
9/2/2011,3:42:00,26.548,N,91.506,W
9/2/2011,3:44:00,26.545,N,91.506,W
9/2/2011,3:45:59,26.542,N,91.506,W
9/2/2011,3:47:59,26.539,N,91.506,W
9/2/2011,3:50:00,26.536,N,91.506,W
9/2/2011,3:52:00,26.533,N,91.507,W
9/2/2011,3:53:59,26.53,N,91.507,W
9/2/2011,3:55:59,26.527,N,91.507,W
9/2/2011,3:58:00,26.524,N,91.507,W
9/2/2011,4:00:00,26.521,N,91.507,W
9/2/2011,4:01:59,26.517,N,91.507,W
9/2/2011,4:04:00,26.514,N,91.507,W
9/2/2011,4:06:00,26.511,N,91.507,W
9/2/2011,4:07:59,26.508,N,91.507,W
9/2/2011,4:09:59,26.505,N,91.507,W
9/2/2011,4:12:00,26.501,N,91.507,W
9/2/2011,4:14:00,26.498,N,91.507,W
9/2/2011,4:15:59,26.495,N,91.507,W
9/2/2011,4:17:59,26.491,N,91.507,W
9/2/2011,4:20:00,26.488,N,91.507,W
9/2/2011,4:22:00,26.485,N,91.507,W
9/2/2011,4:23:59,26.481,N,91.507,W
9/2/2011,4:25:59,26.478,N,91.507,W
9/2/2011,4:28:00,26.474,N,91.507,W
9/2/2011,4:30:00,26.471,N,91.507,W
9/2/2011,4:31:59,26.467,N,91.507,W
9/2/2011,4:34:00,26.464,N,91.507,W
9/2/2011,4:36:00,26.46,N,91.507,W
9/2/2011,4:37:59,26.457,N,91.507,W
9/2/2011,4:39:59,26.453,N,91.507,W
9/2/2011,4:42:00,26.45,N,91.507,W
9/2/2011,4:44:00,26.446,N,91.506,W
9/2/2011,4:45:59,26.442,N,91.506,W
9/2/2011,4:47:59,26.439,N,91.506,W
9/2/2011,4:50:00,26.435,N,91.506,W
9/2/2011,4:52:00,26.431,N,91.506,W
9/2/2011,4:53:59,26.428,N,91.506,W
9/2/2011,4:55:59,26.424,N,91.506,W
9/2/2011,4:58:00,26.42,N,91.506,W
9/2/2011,5:00:00,26.416,N,91.505,W
9/2/2011,5:01:59,26.413,N,91.505,W
9/2/2011,5:04:00,26.409,N,91.505,W
9/2/2011,5:06:00,26.405,N,91.505,W
9/2/2011,5:07:59,26.401,N,91.505,W
9/2/2011,5:09:59,26.398,N,91.505,W
9/2/2011,5:12:00,26.394,N,91.505,W
9/2/2011,5:14:00,26.39,N,91.504,W
9/2/2011,5:15:59,26.386,N,91.504,W
9/2/2011,5:17:59,26.382,N,91.504,W
9/2/2011,5:20:00,26.378,N,91.504,W
9/2/2011,5:22:00,26.375,N,91.504,W
9/2/2011,5:23:59,26.371,N,91.504,W
9/2/2011,5:25:59,26.367,N,91.503,W
9/2/2011,5:28:00,26.363,N,91.503,W
9/2/2011,5:30:00,26.359,N,91.503,W
9/2/2011,5:31:59,26.355,N,91.503,W
9/2/2011,5:34:00,26.351,N,91.503,W
9/2/2011,5:36:00,26.347,N,91.502,W
9/2/2011,5:37:59,26.343,N,91.502,W
9/2/2011,5:39:59,26.339,N,91.502,W
9/2/2011,5:42:00,26.336,N,91.502,W
9/2/2011,5:44:00,26.332,N,91.502,W
9/2/2011,5:45:59,26.328,N,91.501,W
9/2/2011,5:47:59,26.324,N,91.501,W
9/2/2011,5:50:00,26.32,N,91.501,W
9/2/2011,5:52:00,26.316,N,91.501,W
9/2/2011,5:53:59,26.312,N,91.501,W
9/2/2011,5:55:59,26.308,N,91.5,W
9/2/2011,5:58:00,26.304,N,91.5,W
9/2/2011,6:00:00,26.3,N,91.5,W
