Track,for,Tammy,2005,,,
10/5/2005,13:45:59,28.628,N,80.476,W,0
10/5/2005,13:48:00,28.634,N,80.481,W,0
10/5/2005,13:49:59,28.641,N,80.486,W,0
10/5/2005,13:52:00,28.647,N,80.491,W,0
10/5/2005,13:53:59,28.653,N,80.496,W,0
10/5/2005,13:56:00,28.659,N,80.501,W,0
10/5/2005,13:57:59,28.666,N,80.506,W,0
10/5/2005,14:00:00,28.672,N,80.511,W,0
10/5/2005,14:02:00,28.678,N,80.516,W,0
10/5/2005,14:03:59,28.684,N,80.521,W,0
10/5/2005,14:06:00,28.691,N,80.526,W,0
10/5/2005,14:07:59,28.697,N,80.531,W,0
10/5/2005,14:10:00,28.703,N,80.535,W,0
10/5/2005,14:11:59,28.71,N,80.54,W,0
10/5/2005,14:14:00,28.716,N,80.545,W,0
10/5/2005,14:15:59,28.722,N,80.55,W,0
10/5/2005,14:18:00,28.729,N,80.555,W,0
10/5/2005,14:19:59,28.735,N,80.56,W,0
10/5/2005,14:22:00,28.741,N,80.565,W,0
10/5/2005,14:23:59,28.747,N,80.569,W,0
10/5/2005,14:26:00,28.754,N,80.574,W,0
10/5/2005,14:27:59,28.76,N,80.579,W,0
10/5/2005,14:30:00,28.766,N,80.584,W,0
10/5/2005,14:32:00,28.773,N,80.588,W,0
10/5/2005,14:33:59,28.779,N,80.593,W,0
10/5/2005,14:36:00,28.786,N,80.598,W,0
10/5/2005,14:37:59,28.792,N,80.603,W,0
10/5/2005,14:40:00,28.798,N,80.607,W,0
10/5/2005,14:41:59,28.805,N,80.612,W,0
10/5/2005,14:44:00,28.811,N,80.617,W,0
10/5/2005,14:45:59,28.817,N,80.621,W,0
10/5/2005,14:48:00,28.824,N,80.626,W,0
10/5/2005,14:49:59,28.83,N,80.631,W,0
10/5/2005,14:52:00,28.837,N,80.635,W,0
10/5/2005,14:53:59,28.843,N,80.64,W,0
10/5/2005,14:56:00,28.849,N,80.644,W,0
10/5/2005,14:57:59,28.856,N,80.649,W,0
10/5/2005,15:00:00,28.862,N,80.653,W,0
10/5/2005,15:02:00,28.869,N,80.658,W,0
10/5/2005,15:03:59,28.875,N,80.662,W,0
10/5/2005,15:06:00,28.881,N,80.667,W,0
10/5/2005,15:07:59,28.888,N,80.671,W,0
10/5/2005,15:10:00,28.894,N,80.676,W,0
10/5/2005,15:11:59,28.901,N,80.68,W,0
10/5/2005,15:14:00,28.907,N,80.685,W,0
10/5/2005,15:15:59,28.914,N,80.689,W,0
10/5/2005,15:18:00,28.92,N,80.693,W,0
10/5/2005,15:19:59,28.927,N,80.698,W,0
10/5/2005,15:22:00,28.933,N,80.702,W,0
10/5/2005,15:23:59,28.94,N,80.706,W,0
10/5/2005,15:26:00,28.946,N,80.711,W,0
10/5/2005,15:27:59,28.953,N,80.715,W,0
10/5/2005,15:30:00,28.959,N,80.719,W,0
10/5/2005,15:32:00,28.966,N,80.724,W,0
10/5/2005,15:33:59,28.972,N,80.728,W,0
10/5/2005,15:36:00,28.979,N,80.732,W,0
10/5/2005,15:37:59,28.985,N,80.736,W,0
10/5/2005,15:40:00,28.992,N,80.74,W,0
10/5/2005,15:41:59,28.998,N,80.744,W,0
10/5/2005,15:44:00,29.005,N,80.749,W,0
10/5/2005,15:45:59,29.012,N,80.753,W,0
10/5/2005,15:48:00,29.018,N,80.757,W,0
10/5/2005,15:49:59,29.025,N,80.761,W,0
10/5/2005,15:52:00,29.031,N,80.765,W,0
10/5/2005,15:53:59,29.038,N,80.769,W,0
10/5/2005,15:56:00,29.044,N,80.773,W,0
10/5/2005,15:57:59,29.051,N,80.777,W,0
10/5/2005,16:00:00,29.058,N,80.781,W,0
10/5/2005,16:01:59,29.064,N,80.785,W,0
10/5/2005,16:04:00,29.071,N,80.788,W,0
10/5/2005,16:06:00,29.078,N,80.792,W,0
10/5/2005,16:07:59,29.084,N,80.796,W,0
10/5/2005,16:09:59,29.091,N,80.8,W,0
10/5/2005,16:12:00,29.098,N,80.804,W,0
10/5/2005,16:14:00,29.104,N,80.808,W,0
10/5/2005,16:15:59,29.111,N,80.811,W,0
10/5/2005,16:17:59,29.118,N,80.815,W,0
10/5/2005,16:20:00,29.124,N,80.819,W,0
10/5/2005,16:22:00,29.131,N,80.823,W,0
10/5/2005,16:23:59,29.138,N,80.826,W,0
10/5/2005,16:25:59,29.144,N,80.83,W,0
10/5/2005,16:28:00,29.151,N,80.833,W,0
10/5/2005,16:30:00,29.158,N,80.837,W,0
10/5/2005,16:31:59,29.165,N,80.841,W,0
10/5/2005,16:34:00,29.171,N,80.844,W,0
10/5/2005,16:36:00,29.178,N,80.848,W,0
10/5/2005,16:37:59,29.185,N,80.851,W,0
10/5/2005,16:39:59,29.192,N,80.855,W,0
10/5/2005,16:42:00,29.198,N,80.858,W,0
10/5/2005,16:44:00,29.205,N,80.862,W,0
10/5/2005,16:45:59,29.212,N,80.865,W,0
10/5/2005,16:47:59,29.219,N,80.869,W,0
10/5/2005,16:50:00,29.226,N,80.872,W,0
10/5/2005,16:52:00,29.232,N,80.875,W,0
10/5/2005,16:53:59,29.239,N,80.879,W,0
10/5/2005,16:55:59,29.246,N,80.882,W,0
10/5/2005,16:58:00,29.253,N,80.886,W,0
10/5/2005,17:00:00,29.26,N,80.889,W,0
10/5/2005,17:01:59,29.266,N,80.892,W,0
10/5/2005,17:04:00,29.273,N,80.896,W,0
10/5/2005,17:06:00,29.28,N,80.899,W,0
10/5/2005,17:07:59,29.287,N,80.902,W,0
10/5/2005,17:09:59,29.294,N,80.905,W,0
10/5/2005,17:12:00,29.301,N,80.909,W,0
10/5/2005,17:14:00,29.308,N,80.912,W,0
10/5/2005,17:15:59,29.314,N,80.915,W,0
10/5/2005,17:17:59,29.321,N,80.918,W,0
10/5/2005,17:20:00,29.328,N,80.921,W,0
10/5/2005,17:22:00,29.335,N,80.924,W,0
10/5/2005,17:23:59,29.342,N,80.927,W,0
10/5/2005,17:25:59,29.349,N,80.931,W,0
10/5/2005,17:28:00,29.356,N,80.934,W,0
10/5/2005,17:30:00,29.363,N,80.937,W,0
10/5/2005,17:31:59,29.37,N,80.94,W,0
10/5/2005,17:34:00,29.377,N,80.943,W,0
10/5/2005,17:36:00,29.383,N,80.946,W,0
10/5/2005,17:37:59,29.39,N,80.949,W,0
10/5/2005,17:39:59,29.397,N,80.952,W,0
10/5/2005,17:42:00,29.404,N,80.955,W,0
10/5/2005,17:44:00,29.411,N,80.958,W,0
10/5/2005,17:45:59,29.418,N,80.961,W,0
10/5/2005,17:47:59,29.425,N,80.964,W,0
10/5/2005,17:50:00,29.432,N,80.967,W,0
10/5/2005,17:52:00,29.439,N,80.97,W,0
10/5/2005,17:53:59,29.446,N,80.973,W,0
10/5/2005,17:55:59,29.453,N,80.976,W,0
10/5/2005,17:58:00,29.46,N,80.978,W,0
10/5/2005,18:00:00,29.467,N,80.981,W,0
10/5/2005,18:01:59,29.474,N,80.984,W,0
10/5/2005,18:04:00,29.481,N,80.987,W,0
10/5/2005,18:06:00,29.488,N,80.99,W,0
10/5/2005,18:07:59,29.495,N,80.993,W,0
10/5/2005,18:09:59,29.502,N,80.996,W,0
10/5/2005,18:12:00,29.509,N,80.998,W,0
10/5/2005,18:14:00,29.516,N,81.001,W,0
10/5/2005,18:15:59,29.523,N,81.004,W,0
10/5/2005,18:17:26,29.528,N,81.006,W,0
10/5/2005,18:19:27,29.536,N,81.008,W,0
10/5/2005,18:21:27,29.543,N,81.011,W,0
10/5/2005,18:23:26,29.551,N,81.013,W,0
10/5/2005,18:25:26,29.558,N,81.015,W,0
10/5/2005,18:27:27,29.566,N,81.018,W,0
10/5/2005,18:29:26,29.574,N,81.02,W,0
10/5/2005,18:31:26,29.581,N,81.022,W,0
10/5/2005,18:33:27,29.589,N,81.025,W,0
10/5/2005,18:35:27,29.596,N,81.027,W,0
10/5/2005,18:37:26,29.604,N,81.029,W,0
10/5/2005,18:39:26,29.611,N,81.031,W,0
10/5/2005,18:41:27,29.619,N,81.034,W,0
10/5/2005,18:43:27,29.626,N,81.036,W,0
10/5/2005,18:45:26,29.634,N,81.038,W,0
10/5/2005,18:47:26,29.641,N,81.04,W,0
10/5/2005,18:49:27,29.648,N,81.043,W,0
10/5/2005,18:51:27,29.656,N,81.045,W,0
10/5/2005,18:53:26,29.663,N,81.047,W,0
10/5/2005,18:55:26,29.67,N,81.049,W,0
10/5/2005,18:57:27,29.678,N,81.052,W,0
10/5/2005,18:59:26,29.685,N,81.054,W,0
10/5/2005,19:01:26,29.692,N,81.056,W,0
10/5/2005,19:03:27,29.699,N,81.059,W,0
10/5/2005,19:05:27,29.706,N,81.061,W,0
10/5/2005,19:07:26,29.713,N,81.063,W,0
10/5/2005,19:09:26,29.72,N,81.065,W,0
10/5/2005,19:11:27,29.727,N,81.068,W,0
10/5/2005,19:13:27,29.733,N,81.07,W,0
10/5/2005,19:15:26,29.74,N,81.073,W,0
10/5/2005,19:17:26,29.747,N,81.075,W,0
10/5/2005,19:19:27,29.753,N,81.077,W,0
10/5/2005,19:21:27,29.76,N,81.08,W,0
10/5/2005,19:23:26,29.766,N,81.082,W,0
10/5/2005,19:25:26,29.772,N,81.085,W,0
10/5/2005,19:27:27,29.778,N,81.087,W,0
10/5/2005,19:29:26,29.784,N,81.09,W,0
10/5/2005,19:31:26,29.79,N,81.092,W,0
10/5/2005,19:33:27,29.796,N,81.095,W,0
10/5/2005,19:35:27,29.802,N,81.098,W,0
10/5/2005,19:37:26,29.808,N,81.1,W,0
10/5/2005,19:39:26,29.813,N,81.103,W,0
10/5/2005,19:41:27,29.819,N,81.106,W,0
10/5/2005,19:43:27,29.824,N,81.109,W,0
10/5/2005,19:45:26,29.83,N,81.111,W,0
10/5/2005,19:47:26,29.835,N,81.114,W,0
10/5/2005,19:49:27,29.84,N,81.117,W,0
10/5/2005,19:51:27,29.845,N,81.12,W,0
10/5/2005,19:53:26,29.85,N,81.123,W,0
10/5/2005,19:55:26,29.855,N,81.126,W,0
10/5/2005,19:57:27,29.86,N,81.129,W,0
10/5/2005,19:59:26,29.864,N,81.132,W,0
10/5/2005,20:01:26,29.869,N,81.135,W,0
10/5/2005,20:03:27,29.873,N,81.138,W,0
10/5/2005,20:05:06,29.877,N,81.141,W,0
10/5/2005,20:07:06,29.88,N,81.144,W,0
10/5/2005,20:09:07,29.882,N,81.148,W,0
10/5/2005,20:11:07,29.885,N,81.151,W,0
10/5/2005,20:13:06,29.888,N,81.154,W,0
10/5/2005,20:15:06,29.891,N,81.157,W,0
10/5/2005,20:17:07,29.894,N,81.161,W,0
10/5/2005,20:19:07,29.897,N,81.164,W,0
10/5/2005,20:21:06,29.9,N,81.167,W,0
10/5/2005,20:23:07,29.903,N,81.171,W,0
10/5/2005,20:25:07,29.906,N,81.174,W,0
10/5/2005,20:27:06,29.909,N,81.177,W,0
10/5/2005,20:29:06,29.912,N,81.181,W,0
10/5/2005,20:31:07,29.915,N,81.184,W,0
10/5/2005,20:33:07,29.919,N,81.188,W,0
10/5/2005,20:35:06,29.922,N,81.191,W,0
10/5/2005,20:37:06,29.925,N,81.194,W,0
10/5/2005,20:39:07,29.929,N,81.198,W,0
10/5/2005,20:41:07,29.932,N,81.201,W,0
10/5/2005,20:43:06,29.936,N,81.205,W,0
10/5/2005,20:45:06,29.939,N,81.208,W,0
10/5/2005,20:47:07,29.943,N,81.212,W,0
10/5/2005,20:49:07,29.947,N,81.215,W,0
10/5/2005,20:51:06,29.95,N,81.219,W,0
10/5/2005,20:53:07,29.954,N,81.222,W,0
10/5/2005,20:55:07,29.958,N,81.226,W,0
10/5/2005,20:57:06,29.962,N,81.229,W,0
10/5/2005,20:59:06,29.966,N,81.233,W,0
10/5/2005,21:01:07,29.97,N,81.236,W,0
10/5/2005,21:03:07,29.974,N,81.24,W,0
10/5/2005,21:05:06,29.978,N,81.244,W,0
10/5/2005,21:07:06,29.982,N,81.247,W,0
10/5/2005,21:09:07,29.986,N,81.251,W,0
10/5/2005,21:11:07,29.991,N,81.255,W,0
10/5/2005,21:13:06,29.995,N,81.258,W,0
10/5/2005,21:15:06,30,N,81.262,W,0
10/5/2005,21:17:07,30.004,N,81.266,W,0
10/5/2005,21:19:07,30.009,N,81.269,W,0
10/5/2005,21:21:06,30.013,N,81.273,W,0
10/5/2005,21:23:07,30.018,N,81.277,W,0
10/5/2005,21:25:07,30.023,N,81.281,W,0
10/5/2005,21:27:06,30.027,N,81.284,W,0
10/5/2005,21:29:06,30.032,N,81.288,W,0
10/5/2005,21:31:07,30.037,N,81.292,W,0
10/5/2005,21:33:07,30.042,N,81.296,W,0
10/5/2005,21:35:06,30.047,N,81.3,W,0
10/5/2005,21:37:06,30.052,N,81.303,W,0
10/5/2005,21:39:07,30.057,N,81.307,W,0
10/5/2005,21:41:07,30.062,N,81.311,W,0
10/5/2005,21:43:06,30.067,N,81.315,W,0
10/5/2005,21:45:06,30.073,N,81.319,W,0
10/5/2005,21:47:07,30.078,N,81.323,W,0
10/5/2005,21:49:07,30.083,N,81.327,W,0
10/5/2005,21:51:06,30.089,N,81.331,W,0
10/5/2005,21:53:07,30.094,N,81.335,W,0
10/5/2005,21:55:07,30.1,N,81.339,W,0
10/5/2005,21:57:06,30.105,N,81.343,W,0
10/5/2005,21:59:06,30.111,N,81.347,W,0
10/5/2005,22:01:07,30.116,N,81.351,W,0
10/5/2005,22:03:07,30.122,N,81.355,W,0
10/5/2005,22:05:06,30.127,N,81.359,W,0
10/5/2005,22:07:06,30.133,N,81.363,W,0
10/5/2005,22:09:07,30.139,N,81.367,W,0
10/5/2005,22:11:07,30.145,N,81.371,W,0
10/5/2005,22:13:06,30.151,N,81.375,W,0
10/5/2005,22:15:06,30.156,N,81.379,W,0
10/5/2005,22:17:07,30.162,N,81.383,W,0
10/5/2005,22:19:07,30.168,N,81.387,W,0
10/5/2005,22:21:06,30.174,N,81.391,W,0
10/5/2005,22:23:07,30.18,N,81.395,W,0
10/5/2005,22:25:07,30.186,N,81.399,W,0
10/5/2005,22:27:06,30.193,N,81.403,W,0
10/5/2005,22:29:06,30.199,N,81.407,W,0
10/5/2005,22:31:07,30.205,N,81.411,W,0
10/5/2005,22:33:07,30.211,N,81.416,W,0
10/5/2005,22:35:06,30.217,N,81.42,W,0
10/5/2005,22:37:06,30.223,N,81.424,W,0
10/5/2005,22:39:07,30.23,N,81.428,W,0
10/5/2005,22:41:07,30.236,N,81.432,W,0
10/5/2005,22:43:06,30.242,N,81.436,W,0
10/5/2005,22:45:06,30.249,N,81.44,W,0
10/5/2005,22:47:07,30.255,N,81.445,W,0
10/5/2005,22:49:07,30.262,N,81.449,W,0
10/5/2005,22:51:06,30.268,N,81.453,W,0
10/5/2005,22:53:07,30.274,N,81.457,W,0
10/5/2005,22:55:07,30.281,N,81.461,W,0
10/5/2005,22:57:06,30.287,N,81.466,W,0
10/5/2005,22:59:06,30.294,N,81.47,W,0
10/5/2005,23:01:07,30.301,N,81.474,W,0
10/5/2005,23:03:07,30.307,N,81.478,W,0
10/5/2005,23:05:06,30.314,N,81.483,W,0
10/5/2005,23:07:06,30.32,N,81.487,W,0
10/5/2005,23:09:07,30.327,N,81.491,W,0
10/5/2005,23:11:07,30.334,N,81.495,W,0
10/5/2005,23:13:06,30.34,N,81.5,W,0
10/5/2005,23:15:06,30.347,N,81.504,W,0
10/5/2005,23:17:07,30.354,N,81.508,W,0
10/5/2005,23:19:07,30.36,N,81.512,W,0
10/5/2005,23:21:06,30.367,N,81.517,W,0
10/5/2005,23:23:07,30.374,N,81.521,W,0
10/5/2005,23:25:07,30.381,N,81.525,W,0
10/5/2005,23:27:06,30.387,N,81.529,W,0
10/5/2005,23:29:06,30.394,N,81.534,W,0
10/5/2005,23:31:07,30.401,N,81.538,W,0
10/5/2005,23:33:07,30.408,N,81.542,W,0
10/5/2005,23:35:06,30.415,N,81.547,W,0
10/5/2005,23:37:06,30.421,N,81.551,W,0
10/5/2005,23:39:07,30.428,N,81.555,W,0
10/5/2005,23:41:07,30.435,N,81.559,W,0
10/5/2005,23:43:06,30.442,N,81.564,W,0
10/5/2005,23:45:06,30.449,N,81.568,W,0
10/5/2005,23:47:07,30.456,N,81.572,W,0
10/5/2005,23:49:07,30.463,N,81.577,W,0
10/5/2005,23:51:06,30.469,N,81.581,W,0
10/5/2005,23:53:07,30.476,N,81.585,W,0
10/5/2005,23:55:07,30.483,N,81.59,W,0
10/5/2005,23:57:06,30.49,N,81.594,W,0
10/5/2005,23:59:06,30.497,N,81.598,W,0
