Track,for,Allison,2001,,
6/5/2001,15:10:00,28.242,N,95.409,W
6/5/2001,15:11:59,28.247,N,95.411,W
6/5/2001,15:14:00,28.252,N,95.413,W
6/5/2001,15:15:59,28.257,N,95.415,W
6/5/2001,15:18:00,28.262,N,95.417,W
6/5/2001,15:19:59,28.267,N,95.419,W
6/5/2001,15:22:00,28.272,N,95.42,W
6/5/2001,15:23:59,28.277,N,95.422,W
6/5/2001,15:26:00,28.282,N,95.424,W
6/5/2001,15:27:59,28.286,N,95.425,W
6/5/2001,15:30:00,28.291,N,95.427,W
6/5/2001,15:32:00,28.295,N,95.428,W
6/5/2001,15:33:59,28.299,N,95.429,W
6/5/2001,15:36:00,28.304,N,95.431,W
6/5/2001,15:37:59,28.308,N,95.432,W
6/5/2001,15:40:00,28.312,N,95.433,W
6/5/2001,15:41:59,28.316,N,95.434,W
6/5/2001,15:44:00,28.32,N,95.435,W
6/5/2001,15:45:59,28.324,N,95.436,W
6/5/2001,15:48:00,28.327,N,95.436,W
6/5/2001,15:49:59,28.331,N,95.437,W
6/5/2001,15:52:00,28.335,N,95.438,W
6/5/2001,15:53:59,28.338,N,95.438,W
6/5/2001,15:56:00,28.341,N,95.439,W
6/5/2001,15:57:59,28.345,N,95.439,W
6/5/2001,16:00:00,28.348,N,95.44,W
6/5/2001,16:01:59,28.351,N,95.44,W
6/5/2001,16:04:00,28.354,N,95.44,W
6/5/2001,16:06:00,28.357,N,95.44,W
6/5/2001,16:07:59,28.36,N,95.44,W
6/5/2001,16:09:59,28.363,N,95.44,W
6/5/2001,16:12:00,28.366,N,95.44,W
6/5/2001,16:14:00,28.369,N,95.44,W
6/5/2001,16:15:59,28.371,N,95.44,W
6/5/2001,16:17:59,28.374,N,95.44,W
6/5/2001,16:20:00,28.376,N,95.44,W
6/5/2001,16:22:00,28.379,N,95.439,W
6/5/2001,16:23:59,28.381,N,95.439,W
6/5/2001,16:25:59,28.384,N,95.438,W
6/5/2001,16:28:00,28.386,N,95.438,W
6/5/2001,16:30:00,28.388,N,95.437,W
6/5/2001,16:31:59,28.39,N,95.437,W
6/5/2001,16:34:00,28.392,N,95.436,W
6/5/2001,16:36:00,28.394,N,95.435,W
6/5/2001,16:37:59,28.396,N,95.434,W
6/5/2001,16:39:59,28.398,N,95.434,W
6/5/2001,16:42:00,28.4,N,95.433,W
6/5/2001,16:44:00,28.401,N,95.432,W
6/5/2001,16:45:59,28.403,N,95.431,W
6/5/2001,16:47:59,28.405,N,95.43,W
6/5/2001,16:50:00,28.406,N,95.429,W
6/5/2001,16:52:00,28.408,N,95.427,W
6/5/2001,16:53:59,28.409,N,95.426,W
6/5/2001,16:55:59,28.411,N,95.425,W
6/5/2001,16:58:00,28.412,N,95.424,W
6/5/2001,17:00:00,28.413,N,95.422,W
6/5/2001,17:01:59,28.415,N,95.421,W
6/5/2001,17:04:00,28.416,N,95.42,W
6/5/2001,17:06:00,28.417,N,95.418,W
6/5/2001,17:07:59,28.418,N,95.417,W
6/5/2001,17:09:59,28.419,N,95.415,W
6/5/2001,17:12:00,28.42,N,95.413,W
6/5/2001,17:14:00,28.421,N,95.412,W
6/5/2001,17:15:59,28.422,N,95.41,W
6/5/2001,17:17:59,28.423,N,95.408,W
6/5/2001,17:20:00,28.423,N,95.407,W
6/5/2001,17:22:00,28.424,N,95.405,W
6/5/2001,17:23:59,28.425,N,95.403,W
6/5/2001,17:25:59,28.426,N,95.401,W
6/5/2001,17:28:00,28.426,N,95.399,W
6/5/2001,17:30:00,28.427,N,95.397,W
6/5/2001,17:31:59,28.427,N,95.395,W
6/5/2001,17:34:00,28.428,N,95.393,W
6/5/2001,17:36:00,28.428,N,95.391,W
6/5/2001,17:37:59,28.429,N,95.389,W
6/5/2001,17:39:59,28.429,N,95.387,W
6/5/2001,17:42:00,28.43,N,95.385,W
6/5/2001,17:44:00,28.43,N,95.383,W
6/5/2001,17:45:59,28.43,N,95.381,W
6/5/2001,17:47:59,28.43,N,95.378,W
6/5/2001,17:50:00,28.431,N,95.376,W
6/5/2001,17:52:00,28.431,N,95.374,W
6/5/2001,17:53:59,28.431,N,95.371,W
6/5/2001,17:55:59,28.431,N,95.369,W
6/5/2001,17:58:00,28.431,N,95.367,W
6/5/2001,18:00:00,28.431,N,95.364,W
6/5/2001,18:01:59,28.431,N,95.362,W
6/5/2001,18:04:00,28.431,N,95.359,W
6/5/2001,18:06:00,28.431,N,95.357,W
6/5/2001,18:07:59,28.431,N,95.355,W
6/5/2001,18:09:59,28.431,N,95.352,W
6/5/2001,18:12:00,28.431,N,95.35,W
6/5/2001,18:14:00,28.431,N,95.347,W
6/5/2001,18:15:59,28.431,N,95.344,W
6/5/2001,18:17:59,28.431,N,95.342,W
6/5/2001,18:20:00,28.431,N,95.339,W
6/5/2001,18:22:00,28.431,N,95.337,W
6/5/2001,18:23:59,28.43,N,95.334,W
6/5/2001,18:25:59,28.43,N,95.331,W
6/5/2001,18:28:00,28.43,N,95.329,W
6/5/2001,18:30:00,28.43,N,95.326,W
6/5/2001,18:31:59,28.429,N,95.323,W
6/5/2001,18:34:00,28.429,N,95.321,W
6/5/2001,18:36:00,28.429,N,95.318,W
6/5/2001,18:37:59,28.429,N,95.315,W
6/5/2001,18:39:59,28.428,N,95.313,W
6/5/2001,18:42:00,28.428,N,95.31,W
6/5/2001,18:44:00,28.428,N,95.307,W
6/5/2001,18:45:59,28.427,N,95.304,W
6/5/2001,18:47:59,28.427,N,95.302,W
6/5/2001,18:50:00,28.426,N,95.299,W
6/5/2001,18:52:00,28.426,N,95.296,W
6/5/2001,18:52:45,28.426,N,95.295,W
6/5/2001,18:54:45,28.426,N,95.294,W
6/5/2001,18:56:44,28.425,N,95.294,W
6/5/2001,18:58:44,28.424,N,95.294,W
6/5/2001,19:00:45,28.424,N,95.294,W
6/5/2001,19:02:45,28.423,N,95.295,W
6/5/2001,19:04:44,28.422,N,95.297,W
6/5/2001,19:05:52,28.422,N,95.298,W
6/5/2001,19:07:52,28.421,N,95.299,W
6/5/2001,19:09:51,28.421,N,95.299,W
6/5/2001,19:11:52,28.42,N,95.3,W
6/5/2001,19:13:52,28.42,N,95.301,W
6/5/2001,19:15:51,28.419,N,95.301,W
6/5/2001,19:17:51,28.418,N,95.302,W
6/5/2001,19:19:52,28.418,N,95.303,W
6/5/2001,19:21:52,28.417,N,95.304,W
6/5/2001,19:23:51,28.417,N,95.305,W
6/5/2001,19:25:51,28.416,N,95.307,W
6/5/2001,19:27:52,28.416,N,95.308,W
6/5/2001,19:29:52,28.415,N,95.31,W
6/5/2001,19:31:51,28.415,N,95.311,W
6/5/2001,19:33:51,28.414,N,95.313,W
6/5/2001,19:35:52,28.414,N,95.315,W
6/5/2001,19:37:52,28.413,N,95.317,W
6/5/2001,19:39:51,28.413,N,95.319,W
6/5/2001,19:41:52,28.412,N,95.321,W
6/5/2001,19:43:52,28.412,N,95.324,W
6/5/2001,19:45:51,28.411,N,95.326,W
6/5/2001,19:47:51,28.411,N,95.329,W
6/5/2001,19:49:52,28.41,N,95.332,W
6/5/2001,19:51:52,28.41,N,95.335,W
6/5/2001,19:53:51,28.409,N,95.338,W
6/5/2001,19:55:51,28.409,N,95.342,W
6/5/2001,19:57:52,28.409,N,95.346,W
6/5/2001,19:59:52,28.408,N,95.349,W
6/5/2001,20:01:51,28.408,N,95.353,W
6/5/2001,20:03:51,28.408,N,95.357,W
6/5/2001,20:05:52,28.408,N,95.361,W
6/5/2001,20:07:52,28.407,N,95.365,W
6/5/2001,20:09:51,28.407,N,95.369,W
6/5/2001,20:11:52,28.407,N,95.373,W
6/5/2001,20:13:52,28.407,N,95.377,W
6/5/2001,20:15:51,28.407,N,95.381,W
6/5/2001,20:17:51,28.408,N,95.384,W
6/5/2001,20:19:52,28.408,N,95.388,W
6/5/2001,20:21:52,28.408,N,95.392,W
6/5/2001,20:23:51,28.409,N,95.395,W
6/5/2001,20:24:50,28.409,N,95.397,W
6/5/2001,20:26:49,28.412,N,95.396,W
6/5/2001,20:28:50,28.414,N,95.394,W
6/5/2001,20:30:50,28.417,N,95.393,W
6/5/2001,20:32:49,28.42,N,95.391,W
6/5/2001,20:34:49,28.422,N,95.39,W
6/5/2001,20:36:50,28.425,N,95.388,W
6/5/2001,20:38:50,28.428,N,95.387,W
6/5/2001,20:40:49,28.43,N,95.385,W
6/5/2001,20:42:49,28.433,N,95.384,W
6/5/2001,20:44:50,28.436,N,95.382,W
6/5/2001,20:46:50,28.438,N,95.381,W
6/5/2001,20:48:49,28.441,N,95.379,W
6/5/2001,20:50:49,28.444,N,95.378,W
6/5/2001,20:52:50,28.447,N,95.376,W
6/5/2001,20:54:50,28.45,N,95.375,W
6/5/2001,20:56:49,28.452,N,95.373,W
6/5/2001,20:58:50,28.455,N,95.372,W
6/5/2001,21:00:50,28.458,N,95.371,W
6/5/2001,21:02:49,28.461,N,95.369,W
6/5/2001,21:04:49,28.464,N,95.368,W
6/5/2001,21:06:50,28.466,N,95.366,W
6/5/2001,21:08:50,28.469,N,95.365,W
6/5/2001,21:10:49,28.472,N,95.363,W
6/5/2001,21:12:49,28.475,N,95.362,W
6/5/2001,21:14:50,28.478,N,95.361,W
6/5/2001,21:16:50,28.481,N,95.359,W
6/5/2001,21:18:49,28.484,N,95.358,W
6/5/2001,21:20:49,28.487,N,95.356,W
6/5/2001,21:22:50,28.49,N,95.355,W
6/5/2001,21:24:50,28.493,N,95.354,W
6/5/2001,21:26:49,28.496,N,95.352,W
6/5/2001,21:28:50,28.499,N,95.351,W
6/5/2001,21:30:50,28.502,N,95.349,W
6/5/2001,21:32:49,28.505,N,95.348,W
6/5/2001,21:34:49,28.508,N,95.347,W
6/5/2001,21:36:50,28.511,N,95.345,W
6/5/2001,21:38:50,28.514,N,95.344,W
6/5/2001,21:40:49,28.517,N,95.342,W
6/5/2001,21:42:49,28.521,N,95.341,W
6/5/2001,21:44:50,28.524,N,95.34,W
6/5/2001,21:46:50,28.527,N,95.338,W
6/5/2001,21:48:49,28.53,N,95.337,W
6/5/2001,21:50:49,28.533,N,95.336,W
6/5/2001,21:52:50,28.536,N,95.334,W
6/5/2001,21:54:50,28.54,N,95.333,W
6/5/2001,21:56:49,28.543,N,95.332,W
6/5/2001,21:58:50,28.546,N,95.33,W
6/5/2001,22:00:50,28.55,N,95.329,W
6/5/2001,22:02:49,28.553,N,95.328,W
6/5/2001,22:04:49,28.556,N,95.326,W
6/5/2001,22:06:50,28.56,N,95.325,W
6/5/2001,22:08:50,28.563,N,95.324,W
6/5/2001,22:10:49,28.566,N,95.322,W
6/5/2001,22:12:49,28.57,N,95.321,W
6/5/2001,22:14:50,28.573,N,95.32,W
6/5/2001,22:16:50,28.577,N,95.319,W
6/5/2001,22:18:49,28.58,N,95.317,W
6/5/2001,22:20:49,28.584,N,95.316,W
6/5/2001,22:22:50,28.587,N,95.315,W
6/5/2001,22:24:50,28.591,N,95.314,W
6/5/2001,22:26:49,28.594,N,95.312,W
6/5/2001,22:28:50,28.598,N,95.311,W
6/5/2001,22:30:50,28.602,N,95.31,W
6/5/2001,22:32:49,28.605,N,95.309,W
6/5/2001,22:34:49,28.609,N,95.307,W
6/5/2001,22:36:50,28.613,N,95.306,W
6/5/2001,22:38:50,28.616,N,95.305,W
6/5/2001,22:40:49,28.62,N,95.304,W
6/5/2001,22:42:49,28.624,N,95.302,W
6/5/2001,22:44:50,28.628,N,95.301,W
6/5/2001,22:46:50,28.632,N,95.3,W
6/5/2001,22:48:49,28.635,N,95.299,W
6/5/2001,22:50:49,28.639,N,95.298,W
6/5/2001,22:52:50,28.643,N,95.296,W
6/5/2001,22:54:50,28.647,N,95.295,W
6/5/2001,22:56:49,28.651,N,95.294,W
6/5/2001,22:58:50,28.655,N,95.293,W
6/5/2001,23:00:50,28.659,N,95.292,W
6/5/2001,23:02:49,28.663,N,95.291,W
6/5/2001,23:04:49,28.667,N,95.29,W
6/5/2001,23:06:50,28.671,N,95.288,W
6/5/2001,23:08:50,28.675,N,95.287,W
6/5/2001,23:10:49,28.679,N,95.286,W
6/5/2001,23:12:49,28.684,N,95.285,W
6/5/2001,23:14:50,28.688,N,95.284,W
6/5/2001,23:16:50,28.692,N,95.283,W
6/5/2001,23:18:49,28.696,N,95.282,W
6/5/2001,23:20:49,28.7,N,95.281,W
6/5/2001,23:22:50,28.705,N,95.28,W
6/5/2001,23:24:50,28.709,N,95.279,W
6/5/2001,23:26:49,28.713,N,95.277,W
6/5/2001,23:28:50,28.718,N,95.276,W
6/5/2001,23:30:50,28.722,N,95.275,W
6/5/2001,23:32:49,28.727,N,95.274,W
6/5/2001,23:34:49,28.731,N,95.273,W
6/5/2001,23:36:50,28.736,N,95.272,W
6/5/2001,23:38:50,28.74,N,95.271,W
6/5/2001,23:40:49,28.745,N,95.27,W
6/5/2001,23:42:49,28.749,N,95.269,W
6/5/2001,23:44:50,28.754,N,95.268,W
6/5/2001,23:46:50,28.759,N,95.267,W
6/5/2001,23:48:49,28.763,N,95.266,W
6/5/2001,23:50:49,28.768,N,95.265,W
6/5/2001,23:52:50,28.773,N,95.264,W
6/5/2001,23:54:50,28.778,N,95.263,W
6/5/2001,23:56:49,28.783,N,95.262,W
6/5/2001,23:58:50,28.787,N,95.262,W
6/6/2001,0:00:50,28.792,N,95.261,W
6/6/2001,0:02:49,28.797,N,95.26,W
6/6/2001,0:04:49,28.802,N,95.259,W
6/6/2001,0:06:50,28.807,N,95.258,W
6/6/2001,0:08:50,28.812,N,95.257,W
6/6/2001,0:10:49,28.817,N,95.256,W
6/6/2001,0:12:49,28.822,N,95.255,W
6/6/2001,0:14:50,28.827,N,95.254,W
6/6/2001,0:16:50,28.833,N,95.253,W
6/6/2001,0:18:49,28.838,N,95.253,W
6/6/2001,0:20:49,28.843,N,95.252,W
6/6/2001,0:22:50,28.848,N,95.251,W
6/6/2001,0:24:50,28.854,N,95.25,W
6/6/2001,0:26:49,28.859,N,95.249,W
6/6/2001,0:28:50,28.864,N,95.248,W
6/6/2001,0:30:50,28.87,N,95.248,W
6/6/2001,0:32:49,28.875,N,95.247,W
6/6/2001,0:34:49,28.881,N,95.246,W
6/6/2001,0:36:50,28.886,N,95.245,W
6/6/2001,0:38:50,28.892,N,95.245,W
6/6/2001,0:40:49,28.897,N,95.244,W
6/6/2001,0:42:49,28.903,N,95.243,W
6/6/2001,0:44:50,28.909,N,95.242,W
6/6/2001,0:46:50,28.914,N,95.242,W
6/6/2001,0:48:49,28.92,N,95.241,W
6/6/2001,0:50:49,28.926,N,95.24,W
6/6/2001,0:52:50,28.932,N,95.239,W
6/6/2001,0:54:50,28.938,N,95.239,W
6/6/2001,0:56:49,28.943,N,95.238,W
6/6/2001,0:58:50,28.949,N,95.237,W
6/6/2001,1:00:50,28.955,N,95.237,W
6/6/2001,1:02:49,28.961,N,95.236,W
6/6/2001,1:04:49,28.967,N,95.235,W
6/6/2001,1:06:50,28.973,N,95.235,W
6/6/2001,1:08:50,28.979,N,95.234,W
6/6/2001,1:10:49,28.986,N,95.234,W
6/6/2001,1:12:49,28.992,N,95.233,W
6/6/2001,1:14:50,28.998,N,95.232,W
6/6/2001,1:16:50,29.004,N,95.232,W
6/6/2001,1:18:49,29.01,N,95.231,W
6/6/2001,1:20:49,29.017,N,95.231,W
6/6/2001,1:22:50,29.023,N,95.23,W
6/6/2001,1:24:50,29.029,N,95.229,W
6/6/2001,1:26:49,29.036,N,95.229,W
6/6/2001,1:28:50,29.042,N,95.228,W
6/6/2001,1:30:50,29.049,N,95.228,W
6/6/2001,1:32:49,29.055,N,95.227,W
6/6/2001,1:34:49,29.061,N,95.227,W
6/6/2001,1:36:50,29.068,N,95.226,W
6/6/2001,1:38:50,29.075,N,95.226,W
6/6/2001,1:40:49,29.081,N,95.225,W
6/6/2001,1:42:49,29.088,N,95.225,W
6/6/2001,1:44:50,29.094,N,95.224,W
6/6/2001,1:46:50,29.101,N,95.224,W
6/6/2001,1:48:49,29.108,N,95.223,W
6/6/2001,1:50:49,29.114,N,95.223,W
6/6/2001,1:52:50,29.121,N,95.222,W
6/6/2001,1:54:50,29.128,N,95.222,W
6/6/2001,1:56:49,29.135,N,95.221,W
6/6/2001,1:58:50,29.142,N,95.221,W
6/6/2001,2:00:50,29.149,N,95.22,W
6/6/2001,2:02:49,29.155,N,95.22,W
6/6/2001,2:04:49,29.162,N,95.219,W
6/6/2001,2:06:50,29.169,N,95.219,W
6/6/2001,2:08:50,29.176,N,95.219,W
6/6/2001,2:10:49,29.183,N,95.218,W
6/6/2001,2:12:49,29.19,N,95.218,W
6/6/2001,2:14:50,29.197,N,95.217,W
6/6/2001,2:16:50,29.204,N,95.217,W
6/6/2001,2:18:49,29.212,N,95.217,W
6/6/2001,2:20:49,29.219,N,95.216,W
6/6/2001,2:22:50,29.226,N,95.216,W
6/6/2001,2:24:50,29.233,N,95.216,W
6/6/2001,2:26:49,29.24,N,95.215,W
6/6/2001,2:28:50,29.247,N,95.215,W
6/6/2001,2:30:50,29.255,N,95.215,W
6/6/2001,2:32:49,29.262,N,95.214,W
6/6/2001,2:34:49,29.269,N,95.214,W
6/6/2001,2:36:50,29.277,N,95.214,W
6/6/2001,2:38:50,29.284,N,95.213,W
6/6/2001,2:40:49,29.291,N,95.213,W
6/6/2001,2:42:49,29.299,N,95.213,W
6/6/2001,2:44:50,29.306,N,95.212,W
6/6/2001,2:46:50,29.313,N,95.212,W
6/6/2001,2:48:49,29.321,N,95.212,W
6/6/2001,2:50:49,29.328,N,95.211,W
6/6/2001,2:52:50,29.336,N,95.211,W
6/6/2001,2:54:50,29.343,N,95.211,W
6/6/2001,2:56:49,29.351,N,95.211,W
6/6/2001,2:58:50,29.358,N,95.21,W
6/6/2001,3:00:50,29.366,N,95.21,W
6/6/2001,3:02:49,29.374,N,95.21,W
6/6/2001,3:04:49,29.381,N,95.209,W
6/6/2001,3:06:50,29.389,N,95.209,W
6/6/2001,3:08:50,29.397,N,95.209,W
6/6/2001,3:10:49,29.404,N,95.209,W
6/6/2001,3:12:49,29.412,N,95.209,W
6/6/2001,3:14:50,29.42,N,95.208,W
6/6/2001,3:16:50,29.427,N,95.208,W
6/6/2001,3:18:49,29.435,N,95.208,W
6/6/2001,3:20:49,29.443,N,95.208,W
6/6/2001,3:22:50,29.451,N,95.207,W
6/6/2001,3:24:50,29.459,N,95.207,W
6/6/2001,3:26:49,29.466,N,95.207,W
6/6/2001,3:28:50,29.474,N,95.207,W
6/6/2001,3:30:50,29.482,N,95.207,W
6/6/2001,3:32:49,29.49,N,95.206,W
6/6/2001,3:34:49,29.498,N,95.206,W
6/6/2001,3:36:50,29.506,N,95.206,W
6/6/2001,3:38:50,29.514,N,95.206,W
6/6/2001,3:40:49,29.522,N,95.206,W
6/6/2001,3:42:49,29.53,N,95.206,W
6/6/2001,3:44:50,29.538,N,95.205,W
6/6/2001,3:46:50,29.545,N,95.205,W
6/6/2001,3:48:49,29.553,N,95.205,W
6/6/2001,3:50:49,29.562,N,95.205,W
6/6/2001,3:52:50,29.57,N,95.205,W
6/6/2001,3:54:50,29.578,N,95.205,W
6/6/2001,3:56:49,29.586,N,95.204,W
6/6/2001,3:58:50,29.594,N,95.204,W
6/6/2001,4:00:50,29.602,N,95.204,W
6/6/2001,4:02:49,29.61,N,95.204,W
6/6/2001,4:04:49,29.618,N,95.204,W
6/6/2001,4:06:50,29.626,N,95.204,W
6/6/2001,4:08:50,29.634,N,95.204,W
6/6/2001,4:10:49,29.642,N,95.204,W
6/6/2001,4:12:49,29.651,N,95.203,W
6/6/2001,4:14:50,29.659,N,95.203,W
6/6/2001,4:16:50,29.667,N,95.203,W
6/6/2001,4:18:49,29.675,N,95.203,W
6/6/2001,4:20:49,29.683,N,95.203,W
6/6/2001,4:22:50,29.692,N,95.203,W
6/6/2001,4:24:50,29.7,N,95.203,W
6/6/2001,4:26:49,29.708,N,95.203,W
6/6/2001,4:28:50,29.716,N,95.203,W
6/6/2001,4:30:50,29.725,N,95.202,W
6/6/2001,4:32:49,29.733,N,95.202,W
6/6/2001,4:34:49,29.741,N,95.202,W
6/6/2001,4:36:50,29.749,N,95.202,W
6/6/2001,4:38:50,29.758,N,95.202,W
6/6/2001,4:40:49,29.766,N,95.202,W
6/6/2001,4:42:49,29.774,N,95.202,W
6/6/2001,4:44:50,29.783,N,95.202,W
6/6/2001,4:46:50,29.791,N,95.202,W
6/6/2001,4:48:49,29.799,N,95.202,W
6/6/2001,4:50:49,29.808,N,95.202,W
6/6/2001,4:52:50,29.816,N,95.202,W
6/6/2001,4:54:50,29.825,N,95.202,W
6/6/2001,4:56:49,29.833,N,95.201,W
6/6/2001,4:58:50,29.841,N,95.201,W
6/6/2001,5:00:50,29.85,N,95.201,W
6/6/2001,5:02:49,29.858,N,95.201,W
6/6/2001,5:04:49,29.866,N,95.201,W
6/6/2001,5:06:50,29.875,N,95.201,W
6/6/2001,5:08:50,29.883,N,95.201,W
6/6/2001,5:10:49,29.892,N,95.201,W
6/6/2001,5:12:49,29.9,N,95.201,W
6/6/2001,5:14:50,29.909,N,95.201,W
6/6/2001,5:16:50,29.917,N,95.201,W
6/6/2001,5:18:49,29.925,N,95.201,W
6/6/2001,5:20:49,29.934,N,95.201,W
6/6/2001,5:22:50,29.942,N,95.201,W
6/6/2001,5:24:50,29.951,N,95.201,W
6/6/2001,5:26:49,29.959,N,95.201,W
6/6/2001,5:28:50,29.968,N,95.201,W
6/6/2001,5:30:50,29.976,N,95.201,W
6/6/2001,5:32:49,29.985,N,95.201,W
6/6/2001,5:34:49,29.993,N,95.2,W
6/6/2001,5:36:50,30.002,N,95.2,W
6/6/2001,5:38:50,30.01,N,95.2,W
6/6/2001,5:40:49,30.019,N,95.2,W
6/6/2001,5:42:49,30.027,N,95.2,W
6/6/2001,5:44:50,30.036,N,95.2,W
6/6/2001,5:46:50,30.044,N,95.2,W
6/6/2001,5:48:49,30.053,N,95.2,W
6/6/2001,5:50:49,30.061,N,95.2,W
6/6/2001,5:52:50,30.07,N,95.2,W
6/6/2001,5:54:50,30.078,N,95.2,W
6/6/2001,5:56:49,30.087,N,95.2,W
6/6/2001,5:58:50,30.095,N,95.2,W
