Track,for,Cindy,2005,,
7/3/2005,23:05:39,18.636,N,87.138,W
7/3/2005,23:07:39,18.637,N,87.138,W
7/3/2005,23:09:40,18.639,N,87.138,W
7/3/2005,23:11:40,18.641,N,87.139,W
7/3/2005,23:13:39,18.643,N,87.139,W
7/3/2005,23:15:39,18.645,N,87.139,W
7/3/2005,23:17:40,18.647,N,87.139,W
7/3/2005,23:19:40,18.649,N,87.14,W
7/3/2005,23:21:39,18.651,N,87.14,W
7/3/2005,23:23:39,18.653,N,87.14,W
7/3/2005,23:25:40,18.655,N,87.14,W
7/3/2005,23:27:39,18.657,N,87.141,W
7/3/2005,23:29:39,18.659,N,87.141,W
7/3/2005,23:31:40,18.661,N,87.141,W
7/3/2005,23:33:40,18.663,N,87.141,W
7/3/2005,23:35:39,18.665,N,87.142,W
7/3/2005,23:37:39,18.667,N,87.142,W
7/3/2005,23:39:40,18.669,N,87.142,W
7/3/2005,23:41:40,18.671,N,87.143,W
7/3/2005,23:43:39,18.673,N,87.143,W
7/3/2005,23:45:39,18.675,N,87.143,W
7/3/2005,23:47:40,18.677,N,87.144,W
7/3/2005,23:49:40,18.679,N,87.144,W
7/3/2005,23:51:39,18.681,N,87.144,W
7/3/2005,23:53:39,18.683,N,87.145,W
7/3/2005,23:55:40,18.685,N,87.145,W
7/3/2005,23:57:39,18.688,N,87.145,W
7/3/2005,23:59:39,18.69,N,87.146,W
7/4/2005,0:01:40,18.692,N,87.146,W
7/4/2005,0:03:40,18.694,N,87.146,W
7/4/2005,0:05:39,18.696,N,87.147,W
7/4/2005,0:07:39,18.699,N,87.147,W
7/4/2005,0:09:40,18.701,N,87.148,W
7/4/2005,0:11:40,18.703,N,87.148,W
7/4/2005,0:13:39,18.705,N,87.148,W
7/4/2005,0:15:39,18.707,N,87.149,W
7/4/2005,0:17:40,18.71,N,87.149,W
7/4/2005,0:19:40,18.712,N,87.15,W
7/4/2005,0:21:39,18.714,N,87.15,W
7/4/2005,0:23:39,18.717,N,87.151,W
7/4/2005,0:25:40,18.719,N,87.151,W
7/4/2005,0:27:39,18.721,N,87.152,W
7/4/2005,0:29:39,18.724,N,87.152,W
7/4/2005,0:31:40,18.726,N,87.153,W
7/4/2005,0:33:40,18.729,N,87.153,W
7/4/2005,0:35:39,18.731,N,87.154,W
7/4/2005,0:37:39,18.733,N,87.154,W
7/4/2005,0:39:40,18.736,N,87.155,W
7/4/2005,0:41:40,18.738,N,87.155,W
7/4/2005,0:43:39,18.741,N,87.156,W
7/4/2005,0:45:39,18.743,N,87.156,W
7/4/2005,0:47:40,18.746,N,87.157,W
7/4/2005,0:49:40,18.748,N,87.157,W
7/4/2005,0:51:39,18.751,N,87.158,W
7/4/2005,0:53:39,18.753,N,87.159,W
7/4/2005,0:55:40,18.756,N,87.159,W
7/4/2005,0:57:39,18.759,N,87.16,W
7/4/2005,0:59:39,18.761,N,87.16,W
7/4/2005,1:01:40,18.764,N,87.161,W
7/4/2005,1:03:40,18.766,N,87.162,W
7/4/2005,1:05:39,18.769,N,87.162,W
7/4/2005,1:07:39,18.772,N,87.163,W
7/4/2005,1:09:40,18.774,N,87.163,W
7/4/2005,1:11:40,18.777,N,87.164,W
7/4/2005,1:13:39,18.78,N,87.165,W
7/4/2005,1:15:39,18.783,N,87.166,W
7/4/2005,1:17:40,18.785,N,87.166,W
7/4/2005,1:19:40,18.788,N,87.167,W
7/4/2005,1:21:39,18.791,N,87.168,W
7/4/2005,1:23:39,18.794,N,87.168,W
7/4/2005,1:25:40,18.797,N,87.169,W
7/4/2005,1:27:39,18.799,N,87.17,W
7/4/2005,1:29:39,18.802,N,87.171,W
7/4/2005,1:31:40,18.805,N,87.171,W
7/4/2005,1:33:40,18.808,N,87.172,W
7/4/2005,1:35:39,18.811,N,87.173,W
7/4/2005,1:37:39,18.814,N,87.174,W
7/4/2005,1:39:40,18.817,N,87.175,W
7/4/2005,1:41:40,18.82,N,87.175,W
7/4/2005,1:43:39,18.823,N,87.176,W
7/4/2005,1:45:39,18.826,N,87.177,W
7/4/2005,1:47:40,18.829,N,87.178,W
7/4/2005,1:49:40,18.832,N,87.179,W
7/4/2005,1:51:39,18.835,N,87.18,W
7/4/2005,1:53:39,18.838,N,87.18,W
7/4/2005,1:55:40,18.842,N,87.181,W
7/4/2005,1:57:39,18.845,N,87.182,W
7/4/2005,1:59:39,18.848,N,87.183,W
7/4/2005,2:01:40,18.851,N,87.184,W
7/4/2005,2:03:40,18.854,N,87.185,W
7/4/2005,2:05:39,18.858,N,87.186,W
7/4/2005,2:07:39,18.861,N,87.187,W
7/4/2005,2:09:40,18.864,N,87.188,W
7/4/2005,2:11:40,18.868,N,87.189,W
7/4/2005,2:13:39,18.871,N,87.19,W
7/4/2005,2:15:39,18.874,N,87.191,W
7/4/2005,2:17:40,18.878,N,87.192,W
7/4/2005,2:19:40,18.881,N,87.193,W
7/4/2005,2:21:39,18.884,N,87.194,W
7/4/2005,2:23:39,18.888,N,87.195,W
7/4/2005,2:25:40,18.891,N,87.196,W
7/4/2005,2:27:39,18.895,N,87.197,W
7/4/2005,2:29:39,18.898,N,87.198,W
7/4/2005,2:31:40,18.902,N,87.2,W
7/4/2005,2:33:40,18.906,N,87.201,W
7/4/2005,2:35:39,18.909,N,87.202,W
7/4/2005,2:37:39,18.913,N,87.203,W
7/4/2005,2:39:40,18.916,N,87.204,W
7/4/2005,2:41:40,18.92,N,87.205,W
7/4/2005,2:43:39,18.924,N,87.206,W
7/4/2005,2:45:39,18.928,N,87.208,W
7/4/2005,2:47:40,18.931,N,87.209,W
7/4/2005,2:49:40,18.935,N,87.21,W
7/4/2005,2:51:39,18.939,N,87.211,W
7/4/2005,2:53:39,18.943,N,87.213,W
7/4/2005,2:55:40,18.946,N,87.214,W
7/4/2005,2:57:39,18.95,N,87.215,W
7/4/2005,2:59:39,18.954,N,87.216,W
7/4/2005,3:01:40,18.958,N,87.218,W
7/4/2005,3:03:40,18.962,N,87.219,W
7/4/2005,3:05:39,18.966,N,87.22,W
7/4/2005,3:07:39,18.97,N,87.222,W
7/4/2005,3:09:40,18.974,N,87.223,W
7/4/2005,3:11:40,18.978,N,87.225,W
7/4/2005,3:13:39,18.982,N,87.226,W
7/4/2005,3:15:39,18.986,N,87.227,W
7/4/2005,3:17:40,18.99,N,87.229,W
7/4/2005,3:19:40,18.995,N,87.23,W
7/4/2005,3:21:39,18.999,N,87.232,W
7/4/2005,3:23:39,19.003,N,87.233,W
7/4/2005,3:25:40,19.007,N,87.235,W
7/4/2005,3:27:39,19.012,N,87.236,W
7/4/2005,3:29:39,19.016,N,87.238,W
7/4/2005,3:31:40,19.02,N,87.239,W
7/4/2005,3:33:40,19.025,N,87.241,W
7/4/2005,3:35:39,19.029,N,87.242,W
7/4/2005,3:37:39,19.033,N,87.244,W
7/4/2005,3:39:40,19.038,N,87.245,W
7/4/2005,3:41:40,19.042,N,87.247,W
7/4/2005,3:43:39,19.047,N,87.249,W
7/4/2005,3:45:39,19.051,N,87.25,W
7/4/2005,3:47:40,19.056,N,87.252,W
7/4/2005,3:49:40,19.06,N,87.254,W
7/4/2005,3:51:39,19.065,N,87.255,W
7/4/2005,3:53:39,19.07,N,87.257,W
7/4/2005,3:55:40,19.074,N,87.259,W
7/4/2005,3:57:39,19.079,N,87.26,W
7/4/2005,3:59:39,19.084,N,87.262,W
7/4/2005,4:01:40,19.089,N,87.264,W
7/4/2005,4:03:40,19.093,N,87.266,W
7/4/2005,4:05:39,19.098,N,87.268,W
7/4/2005,4:07:39,19.103,N,87.269,W
7/4/2005,4:09:40,19.108,N,87.271,W
7/4/2005,4:11:40,19.113,N,87.273,W
7/4/2005,4:13:39,19.118,N,87.275,W
7/4/2005,4:15:39,19.123,N,87.277,W
7/4/2005,4:17:40,19.128,N,87.279,W
7/4/2005,4:19:40,19.133,N,87.281,W
7/4/2005,4:21:39,19.138,N,87.282,W
7/4/2005,4:23:39,19.143,N,87.284,W
7/4/2005,4:25:40,19.148,N,87.286,W
7/4/2005,4:27:39,19.153,N,87.288,W
7/4/2005,4:29:39,19.158,N,87.29,W
7/4/2005,4:31:40,19.164,N,87.292,W
7/4/2005,4:33:40,19.169,N,87.294,W
7/4/2005,4:35:39,19.174,N,87.296,W
7/4/2005,4:37:39,19.18,N,87.299,W
7/4/2005,4:39:40,19.185,N,87.301,W
7/4/2005,4:41:40,19.19,N,87.303,W
7/4/2005,4:43:39,19.196,N,87.305,W
7/4/2005,4:45:39,19.201,N,87.307,W
7/4/2005,4:47:40,19.207,N,87.309,W
7/4/2005,4:49:40,19.212,N,87.311,W
7/4/2005,4:51:39,19.218,N,87.314,W
7/4/2005,4:53:39,19.223,N,87.316,W
7/4/2005,4:55:40,19.229,N,87.318,W
7/4/2005,4:57:39,19.235,N,87.32,W
7/4/2005,4:59:39,19.24,N,87.322,W
7/4/2005,5:01:40,19.246,N,87.325,W
7/4/2005,5:03:40,19.252,N,87.327,W
7/4/2005,5:05:39,19.258,N,87.329,W
7/4/2005,5:07:39,19.263,N,87.332,W
7/4/2005,5:09:40,19.269,N,87.334,W
7/4/2005,5:11:40,19.275,N,87.336,W
7/4/2005,5:13:39,19.281,N,87.339,W
7/4/2005,5:15:39,19.287,N,87.341,W
7/4/2005,5:17:40,19.293,N,87.344,W
7/4/2005,5:19:40,19.299,N,87.346,W
7/4/2005,5:21:39,19.305,N,87.349,W
7/4/2005,5:23:39,19.311,N,87.351,W
7/4/2005,5:25:40,19.317,N,87.354,W
7/4/2005,5:27:39,19.324,N,87.356,W
7/4/2005,5:29:39,19.33,N,87.359,W
7/4/2005,5:31:40,19.336,N,87.361,W
7/4/2005,5:33:40,19.342,N,87.364,W
7/4/2005,5:35:39,19.349,N,87.366,W
7/4/2005,5:37:39,19.355,N,87.369,W
7/4/2005,5:39:40,19.361,N,87.371,W
7/4/2005,5:41:40,19.368,N,87.374,W
7/4/2005,5:43:39,19.374,N,87.377,W
7/4/2005,5:45:39,19.38,N,87.379,W
7/4/2005,5:47:40,19.387,N,87.382,W
7/4/2005,5:49:40,19.393,N,87.385,W
7/4/2005,5:51:39,19.4,N,87.387,W
7/4/2005,5:53:39,19.406,N,87.39,W
7/4/2005,5:55:40,19.413,N,87.393,W
7/4/2005,5:57:39,19.42,N,87.396,W
7/4/2005,5:59:39,19.426,N,87.398,W
7/4/2005,6:01:40,19.433,N,87.401,W
7/4/2005,6:03:40,19.439,N,87.404,W
7/4/2005,6:05:39,19.446,N,87.407,W
7/4/2005,6:07:39,19.453,N,87.409,W
7/4/2005,6:09:40,19.46,N,87.412,W
7/4/2005,6:11:40,19.466,N,87.415,W
7/4/2005,6:13:39,19.473,N,87.418,W
7/4/2005,6:15:39,19.48,N,87.421,W
7/4/2005,6:17:40,19.487,N,87.424,W
7/4/2005,6:19:40,19.494,N,87.427,W
7/4/2005,6:21:39,19.501,N,87.43,W
7/4/2005,6:23:39,19.508,N,87.433,W
7/4/2005,6:25:40,19.515,N,87.435,W
7/4/2005,6:27:39,19.522,N,87.438,W
7/4/2005,6:29:39,19.529,N,87.441,W
7/4/2005,6:31:40,19.536,N,87.444,W
7/4/2005,6:33:40,19.543,N,87.447,W
7/4/2005,6:35:39,19.55,N,87.45,W
7/4/2005,6:37:39,19.557,N,87.453,W
7/4/2005,6:39:40,19.564,N,87.456,W
7/4/2005,6:41:40,19.572,N,87.46,W
7/4/2005,6:43:39,19.579,N,87.463,W
7/4/2005,6:45:39,19.586,N,87.466,W
7/4/2005,6:47:40,19.593,N,87.469,W
7/4/2005,6:49:40,19.601,N,87.472,W
7/4/2005,6:51:39,19.608,N,87.475,W
7/4/2005,6:53:39,19.615,N,87.478,W
7/4/2005,6:55:40,19.623,N,87.481,W
7/4/2005,6:57:39,19.63,N,87.484,W
7/4/2005,6:59:39,19.637,N,87.488,W
7/4/2005,7:01:40,19.645,N,87.491,W
7/4/2005,7:03:40,19.652,N,87.494,W
7/4/2005,7:05:39,19.66,N,87.497,W
7/4/2005,7:07:39,19.667,N,87.5,W
7/4/2005,7:09:40,19.675,N,87.504,W
7/4/2005,7:11:40,19.682,N,87.507,W
7/4/2005,7:13:39,19.69,N,87.51,W
7/4/2005,7:15:39,19.697,N,87.513,W
7/4/2005,7:17:40,19.705,N,87.517,W
7/4/2005,7:19:40,19.713,N,87.52,W
7/4/2005,7:21:39,19.72,N,87.523,W
7/4/2005,7:23:39,19.728,N,87.526,W
7/4/2005,7:25:40,19.736,N,87.53,W
7/4/2005,7:27:39,19.743,N,87.533,W
7/4/2005,7:29:39,19.751,N,87.536,W
7/4/2005,7:31:40,19.759,N,87.54,W
7/4/2005,7:33:40,19.767,N,87.543,W
7/4/2005,7:35:39,19.774,N,87.546,W
7/4/2005,7:37:39,19.782,N,87.55,W
7/4/2005,7:39:40,19.79,N,87.553,W
7/4/2005,7:41:40,19.798,N,87.557,W
7/4/2005,7:43:39,19.806,N,87.56,W
7/4/2005,7:45:39,19.814,N,87.563,W
7/4/2005,7:47:40,19.822,N,87.567,W
7/4/2005,7:49:40,19.83,N,87.57,W
7/4/2005,7:51:39,19.838,N,87.574,W
7/4/2005,7:53:39,19.846,N,87.577,W
7/4/2005,7:55:40,19.854,N,87.581,W
7/4/2005,7:57:39,19.862,N,87.584,W
7/4/2005,7:59:39,19.87,N,87.588,W
7/4/2005,8:01:40,19.878,N,87.591,W
7/4/2005,8:03:40,19.886,N,87.595,W
7/4/2005,8:05:39,19.894,N,87.598,W
7/4/2005,8:07:39,19.902,N,87.602,W
7/4/2005,8:09:39,19.91,N,87.605,W
7/4/2005,8:11:39,19.918,N,87.609,W
7/4/2005,8:13:40,19.926,N,87.612,W
7/4/2005,8:15:40,19.934,N,87.616,W
7/4/2005,8:17:40,19.943,N,87.619,W
7/4/2005,8:19:40,19.951,N,87.623,W
7/4/2005,8:21:39,19.959,N,87.626,W
7/4/2005,8:23:39,19.967,N,87.63,W
7/4/2005,8:25:39,19.975,N,87.634,W
7/4/2005,8:27:40,19.984,N,87.637,W
7/4/2005,8:29:40,19.992,N,87.641,W
7/4/2005,8:31:40,20,N,87.644,W
7/4/2005,8:33:40,20.009,N,87.648,W
7/4/2005,8:35:39,20.017,N,87.652,W
7/4/2005,8:37:39,20.025,N,87.655,W
7/4/2005,8:39:39,20.034,N,87.659,W
7/4/2005,8:41:39,20.042,N,87.662,W
7/4/2005,8:43:40,20.05,N,87.666,W
7/4/2005,8:45:40,20.059,N,87.67,W
7/4/2005,8:47:40,20.067,N,87.673,W
7/4/2005,8:49:40,20.076,N,87.677,W
7/4/2005,8:51:39,20.084,N,87.681,W
7/4/2005,8:53:39,20.093,N,87.684,W
7/4/2005,8:55:39,20.101,N,87.688,W
7/4/2005,8:57:40,20.109,N,87.692,W
7/4/2005,8:59:40,20.118,N,87.696,W
7/4/2005,9:01:40,20.126,N,87.699,W
7/4/2005,9:03:40,20.135,N,87.703,W
7/4/2005,9:05:39,20.144,N,87.707,W
7/4/2005,9:07:39,20.152,N,87.71,W
7/4/2005,9:09:39,20.161,N,87.714,W
7/4/2005,9:11:39,20.169,N,87.718,W
7/4/2005,9:13:40,20.178,N,87.722,W
7/4/2005,9:15:40,20.186,N,87.725,W
7/4/2005,9:17:40,20.195,N,87.729,W
7/4/2005,9:19:40,20.204,N,87.733,W
7/4/2005,9:21:39,20.212,N,87.737,W
7/4/2005,9:23:39,20.221,N,87.74,W
7/4/2005,9:25:39,20.229,N,87.744,W
7/4/2005,9:27:40,20.238,N,87.748,W
7/4/2005,9:29:40,20.247,N,87.752,W
7/4/2005,9:31:40,20.255,N,87.756,W
7/4/2005,9:33:40,20.264,N,87.759,W
7/4/2005,9:35:39,20.273,N,87.763,W
7/4/2005,9:37:39,20.282,N,87.767,W
7/4/2005,9:39:39,20.29,N,87.771,W
7/4/2005,9:41:39,20.299,N,87.775,W
7/4/2005,9:43:40,20.308,N,87.778,W
7/4/2005,9:45:40,20.316,N,87.782,W
7/4/2005,9:47:40,20.325,N,87.786,W
7/4/2005,9:49:40,20.334,N,87.79,W
7/4/2005,9:51:39,20.343,N,87.794,W
7/4/2005,9:53:39,20.352,N,87.797,W
7/4/2005,9:55:39,20.36,N,87.801,W
7/4/2005,9:57:40,20.369,N,87.805,W
7/4/2005,9:59:40,20.378,N,87.809,W
7/4/2005,10:01:40,20.387,N,87.813,W
7/4/2005,10:03:40,20.396,N,87.817,W
7/4/2005,10:05:39,20.404,N,87.82,W
7/4/2005,10:07:39,20.413,N,87.824,W
7/4/2005,10:09:39,20.422,N,87.828,W
7/4/2005,10:11:39,20.431,N,87.832,W
7/4/2005,10:13:40,20.44,N,87.836,W
7/4/2005,10:15:40,20.449,N,87.84,W
7/4/2005,10:17:40,20.457,N,87.844,W
7/4/2005,10:19:40,20.466,N,87.847,W
7/4/2005,10:21:39,20.475,N,87.851,W
7/4/2005,10:23:39,20.484,N,87.855,W
7/4/2005,10:25:39,20.493,N,87.859,W
7/4/2005,10:27:40,20.502,N,87.863,W
7/4/2005,10:29:40,20.511,N,87.867,W
7/4/2005,10:31:40,20.52,N,87.871,W
7/4/2005,10:33:40,20.529,N,87.875,W
7/4/2005,10:35:39,20.538,N,87.878,W
7/4/2005,10:37:39,20.546,N,87.882,W
7/4/2005,10:39:39,20.555,N,87.886,W
7/4/2005,10:41:39,20.564,N,87.89,W
7/4/2005,10:43:40,20.573,N,87.894,W
7/4/2005,10:45:40,20.582,N,87.898,W
7/4/2005,10:47:40,20.591,N,87.902,W
7/4/2005,10:49:40,20.6,N,87.905,W
7/4/2005,10:51:39,20.609,N,87.909,W
7/4/2005,10:53:39,20.618,N,87.913,W
7/4/2005,10:55:39,20.627,N,87.917,W
7/4/2005,10:57:40,20.636,N,87.921,W
7/4/2005,10:59:40,20.645,N,87.925,W
7/4/2005,11:01:40,20.654,N,87.929,W
7/4/2005,11:03:40,20.663,N,87.933,W
7/4/2005,11:05:39,20.672,N,87.937,W
7/4/2005,11:07:39,20.681,N,87.94,W
7/4/2005,11:09:39,20.69,N,87.944,W
7/4/2005,11:11:39,20.699,N,87.948,W
7/4/2005,11:13:40,20.708,N,87.952,W
7/4/2005,11:15:40,20.717,N,87.956,W
7/4/2005,11:17:40,20.726,N,87.96,W
7/4/2005,11:19:40,20.735,N,87.964,W
7/4/2005,11:21:39,20.744,N,87.968,W
7/4/2005,11:23:39,20.752,N,87.971,W
7/4/2005,11:25:39,20.761,N,87.975,W
7/4/2005,11:27:40,20.77,N,87.979,W
7/4/2005,11:29:40,20.779,N,87.983,W
7/4/2005,11:31:40,20.788,N,87.987,W
7/4/2005,11:33:40,20.797,N,87.991,W
7/4/2005,11:35:39,20.806,N,87.995,W
7/4/2005,11:37:39,20.815,N,87.998,W
7/4/2005,11:39:39,20.824,N,88.002,W
7/4/2005,11:41:39,20.833,N,88.006,W
7/4/2005,11:43:40,20.842,N,88.01,W
7/4/2005,11:45:40,20.851,N,88.014,W
7/4/2005,11:47:40,20.86,N,88.018,W
7/4/2005,11:49:40,20.869,N,88.022,W
7/4/2005,11:51:39,20.878,N,88.025,W
7/4/2005,11:53:39,20.887,N,88.029,W
7/4/2005,11:55:39,20.896,N,88.033,W
7/4/2005,11:57:40,20.905,N,88.037,W
7/4/2005,11:59:40,20.914,N,88.041,W
7/4/2005,12:01:40,20.923,N,88.045,W
7/4/2005,12:03:40,20.932,N,88.048,W
7/4/2005,12:05:39,20.941,N,88.052,W
7/4/2005,12:07:39,20.95,N,88.056,W
7/4/2005,12:09:39,20.959,N,88.06,W
7/4/2005,12:11:39,20.968,N,88.064,W
7/4/2005,12:13:40,20.977,N,88.068,W
7/4/2005,12:15:40,20.986,N,88.071,W
7/4/2005,12:17:40,20.995,N,88.075,W
7/4/2005,12:19:40,21.003,N,88.079,W
7/4/2005,12:21:39,21.012,N,88.083,W
7/4/2005,12:23:39,21.021,N,88.087,W
7/4/2005,12:25:39,21.03,N,88.09,W
7/4/2005,12:27:40,21.039,N,88.094,W
7/4/2005,12:29:40,21.048,N,88.098,W
7/4/2005,12:31:40,21.057,N,88.102,W
7/4/2005,12:33:40,21.066,N,88.105,W
7/4/2005,12:35:39,21.075,N,88.109,W
7/4/2005,12:37:39,21.084,N,88.113,W
7/4/2005,12:39:39,21.092,N,88.117,W
7/4/2005,12:41:39,21.101,N,88.12,W
7/4/2005,12:43:40,21.11,N,88.124,W
7/4/2005,12:45:40,21.119,N,88.128,W
7/4/2005,12:47:40,21.128,N,88.132,W
7/4/2005,12:49:40,21.137,N,88.135,W
7/4/2005,12:51:39,21.146,N,88.139,W
7/4/2005,12:53:39,21.154,N,88.143,W
7/4/2005,12:55:39,21.163,N,88.146,W
7/4/2005,12:57:40,21.172,N,88.15,W
7/4/2005,12:59:40,21.181,N,88.154,W
7/4/2005,13:01:40,21.19,N,88.158,W
7/4/2005,13:03:40,21.198,N,88.161,W
7/4/2005,13:05:39,21.207,N,88.165,W
7/4/2005,13:07:39,21.216,N,88.169,W
7/4/2005,13:09:39,21.225,N,88.172,W
7/4/2005,13:11:39,21.234,N,88.176,W
7/4/2005,13:13:40,21.242,N,88.18,W
7/4/2005,13:15:40,21.251,N,88.183,W
7/4/2005,13:17:40,21.26,N,88.187,W
7/4/2005,13:19:40,21.269,N,88.191,W
7/4/2005,13:21:39,21.277,N,88.194,W
7/4/2005,13:23:39,21.286,N,88.198,W
7/4/2005,13:25:39,21.295,N,88.201,W
7/4/2005,13:27:40,21.304,N,88.205,W
7/4/2005,13:29:40,21.312,N,88.209,W
7/4/2005,13:31:40,21.321,N,88.212,W
7/4/2005,13:33:40,21.33,N,88.216,W
7/4/2005,13:35:39,21.338,N,88.22,W
7/4/2005,13:37:39,21.347,N,88.223,W
7/4/2005,13:39:39,21.356,N,88.227,W
7/4/2005,13:41:39,21.364,N,88.23,W
7/4/2005,13:43:40,21.373,N,88.234,W
7/4/2005,13:45:40,21.382,N,88.238,W
7/4/2005,13:47:40,21.39,N,88.241,W
7/4/2005,13:49:40,21.399,N,88.245,W
7/4/2005,13:51:39,21.408,N,88.248,W
7/4/2005,13:53:39,21.416,N,88.252,W
7/4/2005,13:55:39,21.425,N,88.255,W
7/4/2005,13:57:40,21.434,N,88.259,W
7/4/2005,13:59:40,21.442,N,88.262,W
7/4/2005,14:01:40,21.451,N,88.266,W
7/4/2005,14:03:40,21.46,N,88.27,W
7/4/2005,14:05:39,21.468,N,88.273,W
7/4/2005,14:07:39,21.477,N,88.277,W
7/4/2005,14:09:39,21.485,N,88.28,W
7/4/2005,14:11:39,21.494,N,88.284,W
7/4/2005,14:13:40,21.503,N,88.287,W
7/4/2005,14:15:40,21.511,N,88.291,W
7/4/2005,14:17:40,21.52,N,88.294,W
7/4/2005,14:19:40,21.528,N,88.298,W
