Track,for,Beta,2005,,
10/28/2005,9:10:00,12.576,N,81.035,W
10/28/2005,9:11:59,12.579,N,81.035,W
10/28/2005,9:14:00,12.582,N,81.034,W
10/28/2005,9:15:59,12.585,N,81.033,W
10/28/2005,9:18:00,12.587,N,81.033,W
10/28/2005,9:19:59,12.59,N,81.032,W
10/28/2005,9:22:00,12.593,N,81.032,W
10/28/2005,9:23:59,12.596,N,81.031,W
10/28/2005,9:26:00,12.599,N,81.031,W
10/28/2005,9:27:59,12.601,N,81.03,W
10/28/2005,9:30:00,12.604,N,81.03,W
10/28/2005,9:32:00,12.607,N,81.029,W
10/28/2005,9:33:59,12.61,N,81.028,W
10/28/2005,9:36:00,12.612,N,81.028,W
10/28/2005,9:37:59,12.615,N,81.027,W
10/28/2005,9:40:00,12.618,N,81.027,W
10/28/2005,9:41:59,12.621,N,81.026,W
10/28/2005,9:44:00,12.623,N,81.026,W
10/28/2005,9:45:59,12.626,N,81.025,W
10/28/2005,9:48:00,12.629,N,81.025,W
10/28/2005,9:49:59,12.632,N,81.024,W
10/28/2005,9:52:00,12.634,N,81.024,W
10/28/2005,9:53:59,12.637,N,81.023,W
10/28/2005,9:56:00,12.64,N,81.023,W
10/28/2005,9:57:59,12.643,N,81.022,W
10/28/2005,10:00:00,12.645,N,81.022,W
10/28/2005,10:02:00,12.648,N,81.021,W
10/28/2005,10:03:59,12.651,N,81.021,W
10/28/2005,10:06:00,12.653,N,81.02,W
10/28/2005,10:07:59,12.656,N,81.02,W
10/28/2005,10:10:00,12.659,N,81.019,W
10/28/2005,10:11:59,12.662,N,81.019,W
10/28/2005,10:14:00,12.664,N,81.018,W
10/28/2005,10:15:59,12.667,N,81.018,W
10/28/2005,10:18:00,12.67,N,81.017,W
10/28/2005,10:19:59,12.672,N,81.017,W
10/28/2005,10:22:00,12.675,N,81.016,W
10/28/2005,10:23:59,12.678,N,81.016,W
10/28/2005,10:26:00,12.68,N,81.016,W
10/28/2005,10:27:59,12.683,N,81.015,W
10/28/2005,10:30:00,12.686,N,81.015,W
10/28/2005,10:32:00,12.688,N,81.014,W
10/28/2005,10:33:59,12.691,N,81.014,W
10/28/2005,10:36:00,12.694,N,81.013,W
10/28/2005,10:37:59,12.696,N,81.013,W
10/28/2005,10:40:00,12.699,N,81.013,W
10/28/2005,10:41:59,12.701,N,81.012,W
10/28/2005,10:44:00,12.704,N,81.012,W
10/28/2005,10:45:59,12.707,N,81.011,W
10/28/2005,10:48:00,12.709,N,81.011,W
10/28/2005,10:49:59,12.712,N,81.011,W
10/28/2005,10:52:00,12.715,N,81.01,W
10/28/2005,10:53:59,12.717,N,81.01,W
10/28/2005,10:56:00,12.72,N,81.009,W
10/28/2005,10:57:59,12.722,N,81.009,W
10/28/2005,11:00:00,12.725,N,81.009,W
10/28/2005,11:02:00,12.727,N,81.008,W
10/28/2005,11:03:59,12.73,N,81.008,W
10/28/2005,11:06:00,12.733,N,81.008,W
10/28/2005,11:07:59,12.735,N,81.007,W
10/28/2005,11:10:00,12.738,N,81.007,W
10/28/2005,11:11:59,12.74,N,81.007,W
10/28/2005,11:14:00,12.743,N,81.006,W
10/28/2005,11:15:59,12.745,N,81.006,W
10/28/2005,11:18:00,12.748,N,81.006,W
10/28/2005,11:19:59,12.75,N,81.005,W
10/28/2005,11:22:00,12.753,N,81.005,W
10/28/2005,11:23:59,12.756,N,81.005,W
10/28/2005,11:26:00,12.758,N,81.004,W
10/28/2005,11:27:59,12.761,N,81.004,W
10/28/2005,11:30:00,12.763,N,81.004,W
10/28/2005,11:32:00,12.766,N,81.003,W
10/28/2005,11:33:59,12.768,N,81.003,W
10/28/2005,11:36:00,12.771,N,81.003,W
10/28/2005,11:37:59,12.773,N,81.003,W
10/28/2005,11:40:00,12.776,N,81.002,W
10/28/2005,11:41:59,12.778,N,81.002,W
10/28/2005,11:44:00,12.78,N,81.002,W
10/28/2005,11:45:59,12.783,N,81.002,W
10/28/2005,11:48:00,12.785,N,81.001,W
10/28/2005,11:49:59,12.788,N,81.001,W
10/28/2005,11:52:00,12.79,N,81.001,W
10/28/2005,11:53:59,12.793,N,81.001,W
10/28/2005,11:56:00,12.795,N,81,W
10/28/2005,11:57:59,12.798,N,81,W
10/28/2005,12:00:00,12.8,N,81,W
10/28/2005,12:02:00,12.802,N,81,W
10/28/2005,12:03:59,12.805,N,81,W
10/28/2005,12:06:00,12.807,N,80.999,W
10/28/2005,12:07:59,12.81,N,80.999,W
10/28/2005,12:10:00,12.812,N,80.999,W
10/28/2005,12:11:59,12.814,N,80.999,W
10/28/2005,12:14:00,12.817,N,80.999,W
10/28/2005,12:15:59,12.819,N,80.999,W
10/28/2005,12:18:00,12.822,N,80.998,W
10/28/2005,12:19:59,12.824,N,80.998,W
10/28/2005,12:22:00,12.826,N,80.998,W
10/28/2005,12:23:59,12.829,N,80.998,W
10/28/2005,12:26:00,12.831,N,80.998,W
10/28/2005,12:27:59,12.833,N,80.998,W
10/28/2005,12:30:00,12.836,N,80.998,W
10/28/2005,12:32:00,12.838,N,80.997,W
10/28/2005,12:33:59,12.84,N,80.997,W
10/28/2005,12:36:00,12.843,N,80.997,W
10/28/2005,12:37:59,12.845,N,80.997,W
10/28/2005,12:40:00,12.847,N,80.997,W
10/28/2005,12:41:59,12.849,N,80.997,W
10/28/2005,12:44:00,12.852,N,80.997,W
10/28/2005,12:45:59,12.854,N,80.997,W
10/28/2005,12:48:00,12.856,N,80.997,W
10/28/2005,12:49:59,12.859,N,80.997,W
10/28/2005,12:52:00,12.861,N,80.997,W
10/28/2005,12:53:59,12.863,N,80.997,W
10/28/2005,12:56:00,12.865,N,80.997,W
10/28/2005,12:57:59,12.867,N,80.997,W
10/28/2005,13:00:00,12.87,N,80.997,W
10/28/2005,13:02:00,12.872,N,80.997,W
10/28/2005,13:03:59,12.874,N,80.997,W
10/28/2005,13:06:00,12.876,N,80.997,W
10/28/2005,13:07:59,12.879,N,80.997,W
10/28/2005,13:10:00,12.881,N,80.997,W
10/28/2005,13:11:59,12.883,N,80.997,W
10/28/2005,13:14:00,12.885,N,80.997,W
10/28/2005,13:15:59,12.887,N,80.997,W
10/28/2005,13:18:00,12.889,N,80.997,W
10/28/2005,13:19:59,12.892,N,80.997,W
10/28/2005,13:22:00,12.894,N,80.997,W
10/28/2005,13:23:59,12.896,N,80.997,W
10/28/2005,13:26:00,12.898,N,80.997,W
10/28/2005,13:27:59,12.9,N,80.997,W
10/28/2005,13:30:00,12.902,N,80.997,W
10/28/2005,13:32:00,12.904,N,80.997,W
10/28/2005,13:33:59,12.906,N,80.997,W
10/28/2005,13:36:00,12.909,N,80.997,W
10/28/2005,13:37:59,12.911,N,80.998,W
10/28/2005,13:40:00,12.913,N,80.998,W
10/28/2005,13:41:59,12.915,N,80.998,W
10/28/2005,13:44:00,12.917,N,80.998,W
10/28/2005,13:45:59,12.919,N,80.998,W
10/28/2005,13:48:00,12.921,N,80.998,W
10/28/2005,13:49:59,12.923,N,80.998,W
10/28/2005,13:52:00,12.925,N,80.999,W
10/28/2005,13:53:59,12.927,N,80.999,W
10/28/2005,13:56:00,12.929,N,80.999,W
10/28/2005,13:57:59,12.931,N,80.999,W
10/28/2005,14:00:00,12.933,N,80.999,W
10/28/2005,14:02:00,12.935,N,80.999,W
10/28/2005,14:03:59,12.937,N,81,W
10/28/2005,14:06:00,12.939,N,81,W
10/28/2005,14:07:59,12.941,N,81,W
10/28/2005,14:10:00,12.943,N,81,W
10/28/2005,14:11:59,12.945,N,81,W
10/28/2005,14:14:00,12.947,N,81.001,W
10/28/2005,14:15:59,12.949,N,81.001,W
10/28/2005,14:18:00,12.951,N,81.001,W
10/28/2005,14:19:59,12.953,N,81.001,W
10/28/2005,14:22:00,12.955,N,81.002,W
10/28/2005,14:23:59,12.957,N,81.002,W
10/28/2005,14:26:00,12.959,N,81.002,W
10/28/2005,14:27:59,12.961,N,81.002,W
10/28/2005,14:30:00,12.963,N,81.003,W
10/28/2005,14:32:00,12.965,N,81.003,W
10/28/2005,14:33:59,12.967,N,81.003,W
10/28/2005,14:36:00,12.969,N,81.003,W
10/28/2005,14:37:59,12.971,N,81.004,W
10/28/2005,14:40:00,12.972,N,81.004,W
10/28/2005,14:41:59,12.974,N,81.004,W
10/28/2005,14:44:00,12.976,N,81.005,W
10/28/2005,14:45:59,12.978,N,81.005,W
10/28/2005,14:48:00,12.98,N,81.005,W
10/28/2005,14:49:59,12.982,N,81.006,W
10/28/2005,14:52:00,12.984,N,81.006,W
10/28/2005,14:53:59,12.986,N,81.006,W
10/28/2005,14:56:00,12.987,N,81.007,W
10/28/2005,14:57:59,12.989,N,81.007,W
10/28/2005,15:00:00,12.991,N,81.007,W
10/28/2005,15:02:00,12.993,N,81.008,W
10/28/2005,15:03:59,12.995,N,81.008,W
10/28/2005,15:06:00,12.997,N,81.008,W
10/28/2005,15:07:59,12.999,N,81.009,W
10/28/2005,15:10:00,13,N,81.009,W
10/28/2005,15:11:59,13.002,N,81.01,W
10/28/2005,15:14:00,13.004,N,81.01,W
10/28/2005,15:15:59,13.006,N,81.01,W
10/28/2005,15:18:00,13.008,N,81.011,W
10/28/2005,15:19:59,13.009,N,81.011,W
10/28/2005,15:22:00,13.011,N,81.012,W
10/28/2005,15:23:59,13.013,N,81.012,W
10/28/2005,15:26:00,13.015,N,81.012,W
10/28/2005,15:27:59,13.017,N,81.013,W
10/28/2005,15:30:00,13.018,N,81.013,W
10/28/2005,15:32:00,13.02,N,81.014,W
10/28/2005,15:33:59,13.022,N,81.014,W
10/28/2005,15:36:00,13.024,N,81.015,W
10/28/2005,15:37:59,13.025,N,81.015,W
10/28/2005,15:40:00,13.027,N,81.015,W
10/28/2005,15:41:59,13.029,N,81.016,W
10/28/2005,15:44:00,13.031,N,81.016,W
10/28/2005,15:45:59,13.032,N,81.017,W
10/28/2005,15:48:00,13.034,N,81.017,W
10/28/2005,15:49:59,13.036,N,81.018,W
10/28/2005,15:52:00,13.037,N,81.018,W
10/28/2005,15:53:59,13.039,N,81.019,W
10/28/2005,15:56:00,13.041,N,81.019,W
10/28/2005,15:57:59,13.043,N,81.02,W
10/28/2005,16:00:00,13.044,N,81.02,W
10/28/2005,16:01:59,13.046,N,81.021,W
10/28/2005,16:04:00,13.048,N,81.021,W
10/28/2005,16:06:00,13.049,N,81.022,W
10/28/2005,16:07:59,13.051,N,81.022,W
10/28/2005,16:09:59,13.053,N,81.023,W
10/28/2005,16:12:00,13.054,N,81.023,W
10/28/2005,16:14:00,13.056,N,81.024,W
10/28/2005,16:15:59,13.058,N,81.024,W
10/28/2005,16:17:59,13.059,N,81.025,W
10/28/2005,16:20:00,13.061,N,81.025,W
10/28/2005,16:22:00,13.063,N,81.026,W
10/28/2005,16:23:59,13.064,N,81.026,W
10/28/2005,16:25:59,13.066,N,81.027,W
10/28/2005,16:28:00,13.068,N,81.028,W
10/28/2005,16:30:00,13.069,N,81.028,W
10/28/2005,16:31:59,13.071,N,81.029,W
10/28/2005,16:34:00,13.073,N,81.029,W
10/28/2005,16:36:00,13.074,N,81.03,W
10/28/2005,16:37:59,13.076,N,81.03,W
10/28/2005,16:39:59,13.077,N,81.031,W
10/28/2005,16:42:00,13.079,N,81.031,W
10/28/2005,16:44:00,13.081,N,81.032,W
10/28/2005,16:45:59,13.082,N,81.033,W
10/28/2005,16:47:59,13.084,N,81.033,W
10/28/2005,16:50:00,13.086,N,81.034,W
10/28/2005,16:52:00,13.087,N,81.034,W
10/28/2005,16:53:59,13.089,N,81.035,W
10/28/2005,16:55:59,13.09,N,81.036,W
10/28/2005,16:58:00,13.092,N,81.036,W
10/28/2005,17:00:00,13.093,N,81.037,W
10/28/2005,17:01:59,13.095,N,81.037,W
10/28/2005,17:04:00,13.097,N,81.038,W
10/28/2005,17:06:00,13.098,N,81.039,W
10/28/2005,17:07:59,13.1,N,81.039,W
10/28/2005,17:09:59,13.101,N,81.04,W
10/28/2005,17:12:00,13.103,N,81.041,W
10/28/2005,17:14:00,13.105,N,81.041,W
10/28/2005,17:15:59,13.106,N,81.042,W
10/28/2005,17:17:59,13.108,N,81.042,W
10/28/2005,17:20:00,13.109,N,81.043,W
10/28/2005,17:22:00,13.111,N,81.044,W
10/28/2005,17:23:59,13.112,N,81.044,W
10/28/2005,17:25:59,13.114,N,81.045,W
10/28/2005,17:28:00,13.115,N,81.046,W
10/28/2005,17:30:00,13.117,N,81.046,W
10/28/2005,17:31:59,13.118,N,81.047,W
10/28/2005,17:34:00,13.12,N,81.048,W
10/28/2005,17:36:00,13.122,N,81.048,W
10/28/2005,17:37:59,13.123,N,81.049,W
10/28/2005,17:39:59,13.125,N,81.05,W
10/28/2005,17:42:00,13.126,N,81.05,W
10/28/2005,17:44:00,13.128,N,81.051,W
10/28/2005,17:45:59,13.129,N,81.052,W
10/28/2005,17:47:59,13.131,N,81.052,W
10/28/2005,17:50:00,13.132,N,81.053,W
10/28/2005,17:52:00,13.134,N,81.054,W
10/28/2005,17:53:59,13.135,N,81.054,W
10/28/2005,17:55:59,13.137,N,81.055,W
10/28/2005,17:58:00,13.138,N,81.056,W
10/28/2005,18:00:00,13.14,N,81.056,W
10/28/2005,18:01:59,13.141,N,81.057,W
10/28/2005,18:04:00,13.143,N,81.058,W
10/28/2005,18:06:00,13.144,N,81.058,W
10/28/2005,18:07:59,13.146,N,81.059,W
10/28/2005,18:09:59,13.147,N,81.06,W
10/28/2005,18:12:00,13.149,N,81.061,W
10/28/2005,18:14:00,13.15,N,81.061,W
10/28/2005,18:15:59,13.152,N,81.062,W
10/28/2005,18:17:59,13.153,N,81.063,W
10/28/2005,18:20:00,13.155,N,81.063,W
10/28/2005,18:22:00,13.156,N,81.064,W
10/28/2005,18:23:59,13.158,N,81.065,W
10/28/2005,18:25:59,13.159,N,81.066,W
10/28/2005,18:28:00,13.16,N,81.066,W
10/28/2005,18:30:00,13.162,N,81.067,W
10/28/2005,18:30:04,13.162,N,81.067,W
10/28/2005,18:32:04,13.163,N,81.068,W
10/28/2005,18:34:05,13.164,N,81.069,W
10/28/2005,18:36:05,13.166,N,81.07,W
10/28/2005,18:38:04,13.167,N,81.071,W
10/28/2005,18:40:05,13.168,N,81.071,W
10/28/2005,18:42:05,13.169,N,81.072,W
10/28/2005,18:44:04,13.17,N,81.073,W
10/28/2005,18:46:04,13.172,N,81.074,W
10/28/2005,18:48:05,13.173,N,81.075,W
10/28/2005,18:50:05,13.174,N,81.076,W
10/28/2005,18:52:04,13.175,N,81.077,W
10/28/2005,18:54:04,13.176,N,81.078,W
10/28/2005,18:56:05,13.177,N,81.079,W
10/28/2005,18:58:05,13.178,N,81.08,W
10/28/2005,19:00:04,13.179,N,81.081,W
10/28/2005,19:02:04,13.18,N,81.082,W
10/28/2005,19:04:05,13.182,N,81.083,W
10/28/2005,19:06:05,13.183,N,81.084,W
10/28/2005,19:08:04,13.184,N,81.085,W
10/28/2005,19:10:05,13.185,N,81.086,W
10/28/2005,19:12:05,13.186,N,81.087,W
10/28/2005,19:14:04,13.187,N,81.088,W
10/28/2005,19:16:04,13.188,N,81.089,W
10/28/2005,19:18:05,13.189,N,81.09,W
10/28/2005,19:20:05,13.19,N,81.091,W
10/28/2005,19:22:04,13.191,N,81.092,W
10/28/2005,19:24:04,13.192,N,81.093,W
10/28/2005,19:26:05,13.193,N,81.094,W
10/28/2005,19:28:05,13.193,N,81.096,W
10/28/2005,19:30:04,13.194,N,81.097,W
10/28/2005,19:32:04,13.195,N,81.098,W
10/28/2005,19:34:05,13.196,N,81.099,W
10/28/2005,19:36:05,13.197,N,81.1,W
10/28/2005,19:38:04,13.198,N,81.101,W
10/28/2005,19:40:05,13.199,N,81.102,W
10/28/2005,19:42:05,13.2,N,81.104,W
10/28/2005,19:44:04,13.201,N,81.105,W
10/28/2005,19:46:04,13.201,N,81.106,W
10/28/2005,19:48:05,13.202,N,81.107,W
10/28/2005,19:50:05,13.203,N,81.108,W
10/28/2005,19:52:04,13.204,N,81.11,W
10/28/2005,19:54:04,13.205,N,81.111,W
10/28/2005,19:56:05,13.205,N,81.112,W
10/28/2005,19:58:05,13.206,N,81.113,W
10/28/2005,20:00:04,13.207,N,81.115,W
10/28/2005,20:02:04,13.208,N,81.116,W
10/28/2005,20:04:05,13.208,N,81.117,W
10/28/2005,20:06:05,13.209,N,81.118,W
10/28/2005,20:08:04,13.21,N,81.12,W
10/28/2005,20:10:05,13.211,N,81.121,W
10/28/2005,20:12:05,13.211,N,81.122,W
10/28/2005,20:14:04,13.212,N,81.124,W
10/28/2005,20:16:04,13.213,N,81.125,W
10/28/2005,20:18:05,13.213,N,81.126,W
10/28/2005,20:20:05,13.214,N,81.128,W
10/28/2005,20:20:31,13.214,N,81.128,W
10/28/2005,20:22:31,13.215,N,81.129,W
10/28/2005,20:24:32,13.216,N,81.13,W
10/28/2005,20:26:32,13.217,N,81.131,W
10/28/2005,20:28:31,13.218,N,81.132,W
10/28/2005,20:30:31,13.219,N,81.133,W
10/28/2005,20:32:32,13.22,N,81.135,W
10/28/2005,20:34:32,13.221,N,81.136,W
10/28/2005,20:36:31,13.221,N,81.137,W
10/28/2005,20:38:31,13.222,N,81.138,W
10/28/2005,20:40:32,13.223,N,81.139,W
10/28/2005,20:42:32,13.224,N,81.14,W
10/28/2005,20:44:31,13.225,N,81.141,W
10/28/2005,20:46:31,13.226,N,81.142,W
10/28/2005,20:48:32,13.227,N,81.143,W
10/28/2005,20:50:31,13.228,N,81.144,W
10/28/2005,20:52:31,13.229,N,81.145,W
10/28/2005,20:54:32,13.23,N,81.146,W
10/28/2005,20:56:32,13.231,N,81.148,W
10/28/2005,20:58:31,13.232,N,81.149,W
10/28/2005,21:00:31,13.233,N,81.15,W
10/28/2005,21:02:32,13.234,N,81.151,W
10/28/2005,21:04:32,13.235,N,81.152,W
10/28/2005,21:06:31,13.236,N,81.153,W
10/28/2005,21:08:31,13.236,N,81.154,W
10/28/2005,21:10:32,13.237,N,81.155,W
10/28/2005,21:12:32,13.238,N,81.156,W
10/28/2005,21:14:31,13.239,N,81.157,W
10/28/2005,21:16:31,13.24,N,81.158,W
10/28/2005,21:18:32,13.241,N,81.159,W
10/28/2005,21:20:31,13.242,N,81.161,W
10/28/2005,21:22:31,13.243,N,81.162,W
10/28/2005,21:24:32,13.244,N,81.163,W
10/28/2005,21:26:32,13.245,N,81.164,W
10/28/2005,21:28:31,13.246,N,81.165,W
10/28/2005,21:30:31,13.247,N,81.166,W
10/28/2005,21:32:32,13.248,N,81.167,W
10/28/2005,21:34:32,13.249,N,81.168,W
10/28/2005,21:36:31,13.249,N,81.169,W
10/28/2005,21:38:31,13.25,N,81.17,W
10/28/2005,21:40:32,13.251,N,81.171,W
10/28/2005,21:42:32,13.252,N,81.172,W
10/28/2005,21:44:31,13.253,N,81.173,W
10/28/2005,21:46:31,13.254,N,81.174,W
10/28/2005,21:48:32,13.255,N,81.175,W
10/28/2005,21:50:31,13.256,N,81.177,W
10/28/2005,21:52:31,13.257,N,81.178,W
10/28/2005,21:54:32,13.258,N,81.179,W
10/28/2005,21:56:32,13.259,N,81.18,W
10/28/2005,21:58:31,13.26,N,81.181,W
10/28/2005,22:00:31,13.261,N,81.182,W
10/28/2005,22:02:32,13.262,N,81.183,W
10/28/2005,22:04:32,13.262,N,81.184,W
10/28/2005,22:06:31,13.263,N,81.185,W
10/28/2005,22:08:31,13.264,N,81.186,W
10/28/2005,22:10:32,13.265,N,81.187,W
10/28/2005,22:12:32,13.266,N,81.188,W
10/28/2005,22:14:31,13.267,N,81.189,W
10/28/2005,22:16:31,13.268,N,81.19,W
10/28/2005,22:18:32,13.269,N,81.191,W
10/28/2005,22:20:31,13.27,N,81.192,W
10/28/2005,22:22:31,13.271,N,81.193,W
10/28/2005,22:24:32,13.272,N,81.194,W
10/28/2005,22:26:32,13.273,N,81.195,W
10/28/2005,22:28:31,13.274,N,81.196,W
10/28/2005,22:30:31,13.274,N,81.197,W
10/28/2005,22:32:32,13.275,N,81.199,W
10/28/2005,22:34:32,13.276,N,81.2,W
10/28/2005,22:36:31,13.277,N,81.201,W
10/28/2005,22:38:31,13.278,N,81.202,W
10/28/2005,22:40:32,13.279,N,81.203,W
10/28/2005,22:42:32,13.28,N,81.204,W
10/28/2005,22:44:31,13.281,N,81.205,W
10/28/2005,22:46:31,13.282,N,81.206,W
10/28/2005,22:48:32,13.283,N,81.207,W
10/28/2005,22:50:31,13.284,N,81.208,W
10/28/2005,22:52:31,13.285,N,81.209,W
10/28/2005,22:54:32,13.285,N,81.21,W
10/28/2005,22:56:32,13.286,N,81.211,W
10/28/2005,22:58:31,13.287,N,81.212,W
10/28/2005,23:00:31,13.288,N,81.213,W
10/28/2005,23:02:32,13.289,N,81.214,W
10/28/2005,23:04:32,13.29,N,81.215,W
10/28/2005,23:06:31,13.291,N,81.216,W
10/28/2005,23:08:31,13.292,N,81.217,W
10/28/2005,23:10:32,13.293,N,81.218,W
10/28/2005,23:12:32,13.294,N,81.219,W
10/28/2005,23:14:31,13.295,N,81.22,W
10/28/2005,23:16:31,13.295,N,81.221,W
10/28/2005,23:18:32,13.296,N,81.222,W
10/28/2005,23:20:31,13.297,N,81.223,W
10/28/2005,23:22:31,13.298,N,81.224,W
10/28/2005,23:24:32,13.299,N,81.225,W
10/28/2005,23:26:32,13.3,N,81.226,W
10/28/2005,23:28:31,13.301,N,81.227,W
10/28/2005,23:30:31,13.302,N,81.228,W
10/28/2005,23:32:32,13.303,N,81.229,W
10/28/2005,23:34:32,13.304,N,81.23,W
10/28/2005,23:36:31,13.305,N,81.231,W
10/28/2005,23:38:31,13.305,N,81.232,W
10/28/2005,23:40:32,13.306,N,81.233,W
10/28/2005,23:42:32,13.307,N,81.234,W
10/28/2005,23:44:31,13.308,N,81.235,W
10/28/2005,23:46:31,13.309,N,81.236,W
10/28/2005,23:48:32,13.31,N,81.237,W
10/28/2005,23:50:31,13.311,N,81.238,W
10/28/2005,23:52:31,13.312,N,81.239,W
10/28/2005,23:54:32,13.313,N,81.24,W
10/28/2005,23:56:32,13.314,N,81.241,W
10/28/2005,23:58:31,13.314,N,81.242,W
10/29/2005,0:00:31,13.315,N,81.243,W
10/29/2005,0:02:32,13.316,N,81.244,W
10/29/2005,0:04:32,13.317,N,81.245,W
10/29/2005,0:06:31,13.318,N,81.246,W
10/29/2005,0:08:31,13.319,N,81.247,W
10/29/2005,0:10:32,13.32,N,81.248,W
10/29/2005,0:12:32,13.321,N,81.249,W
10/29/2005,0:14:31,13.322,N,81.25,W
10/29/2005,0:16:31,13.322,N,81.251,W
10/29/2005,0:18:32,13.323,N,81.251,W
10/29/2005,0:20:31,13.324,N,81.252,W
10/29/2005,0:22:31,13.325,N,81.253,W
