Track,for,Chris,2006,,
8/1/2006,9:10:00,17.011,N,59.372,W
8/1/2006,9:11:59,17.013,N,59.377,W
8/1/2006,9:14:00,17.015,N,59.382,W
8/1/2006,9:15:59,17.017,N,59.387,W
8/1/2006,9:18:00,17.02,N,59.392,W
8/1/2006,9:19:59,17.022,N,59.397,W
8/1/2006,9:22:00,17.024,N,59.402,W
8/1/2006,9:23:59,17.026,N,59.407,W
8/1/2006,9:26:00,17.029,N,59.412,W
8/1/2006,9:27:59,17.031,N,59.417,W
8/1/2006,9:30:00,17.033,N,59.422,W
8/1/2006,9:32:00,17.035,N,59.427,W
8/1/2006,9:33:59,17.037,N,59.432,W
8/1/2006,9:36:00,17.04,N,59.437,W
8/1/2006,9:37:59,17.042,N,59.442,W
8/1/2006,9:40:00,17.044,N,59.447,W
8/1/2006,9:41:59,17.046,N,59.452,W
8/1/2006,9:44:00,17.049,N,59.457,W
8/1/2006,9:45:59,17.051,N,59.462,W
8/1/2006,9:48:00,17.053,N,59.467,W
8/1/2006,9:49:59,17.055,N,59.472,W
8/1/2006,9:52:00,17.057,N,59.477,W
8/1/2006,9:53:59,17.06,N,59.482,W
8/1/2006,9:56:00,17.062,N,59.487,W
8/1/2006,9:57:59,17.064,N,59.492,W
8/1/2006,10:00:00,17.066,N,59.497,W
8/1/2006,10:02:00,17.069,N,59.502,W
8/1/2006,10:03:59,17.071,N,59.507,W
8/1/2006,10:06:00,17.073,N,59.512,W
8/1/2006,10:07:59,17.075,N,59.517,W
8/1/2006,10:10:00,17.077,N,59.522,W
8/1/2006,10:11:59,17.08,N,59.527,W
8/1/2006,10:14:00,17.082,N,59.532,W
8/1/2006,10:15:59,17.084,N,59.537,W
8/1/2006,10:18:00,17.086,N,59.542,W
8/1/2006,10:19:59,17.089,N,59.547,W
8/1/2006,10:22:00,17.091,N,59.552,W
8/1/2006,10:23:59,17.093,N,59.557,W
8/1/2006,10:26:00,17.095,N,59.562,W
8/1/2006,10:27:59,17.097,N,59.567,W
8/1/2006,10:30:00,17.1,N,59.572,W
8/1/2006,10:32:00,17.102,N,59.577,W
8/1/2006,10:33:59,17.104,N,59.582,W
8/1/2006,10:36:00,17.106,N,59.587,W
8/1/2006,10:37:59,17.109,N,59.592,W
8/1/2006,10:40:00,17.111,N,59.597,W
8/1/2006,10:41:59,17.113,N,59.602,W
8/1/2006,10:44:00,17.115,N,59.607,W
8/1/2006,10:45:59,17.117,N,59.612,W
8/1/2006,10:48:00,17.12,N,59.617,W
8/1/2006,10:49:59,17.122,N,59.622,W
8/1/2006,10:52:00,17.124,N,59.628,W
8/1/2006,10:53:59,17.126,N,59.633,W
8/1/2006,10:56:00,17.129,N,59.638,W
8/1/2006,10:57:59,17.131,N,59.643,W
8/1/2006,11:00:00,17.133,N,59.648,W
8/1/2006,11:02:00,17.135,N,59.653,W
8/1/2006,11:03:59,17.138,N,59.658,W
8/1/2006,11:06:00,17.14,N,59.663,W
8/1/2006,11:07:59,17.142,N,59.668,W
8/1/2006,11:10:00,17.144,N,59.673,W
8/1/2006,11:11:59,17.146,N,59.678,W
8/1/2006,11:14:00,17.149,N,59.683,W
8/1/2006,11:15:59,17.151,N,59.688,W
8/1/2006,11:18:00,17.153,N,59.693,W
8/1/2006,11:19:59,17.155,N,59.698,W
8/1/2006,11:22:00,17.158,N,59.703,W
8/1/2006,11:23:59,17.16,N,59.708,W
8/1/2006,11:26:00,17.162,N,59.714,W
8/1/2006,11:27:59,17.164,N,59.719,W
8/1/2006,11:30:00,17.167,N,59.724,W
8/1/2006,11:32:00,17.169,N,59.729,W
8/1/2006,11:33:59,17.171,N,59.734,W
8/1/2006,11:36:00,17.173,N,59.739,W
8/1/2006,11:37:59,17.175,N,59.744,W
8/1/2006,11:40:00,17.178,N,59.749,W
8/1/2006,11:41:59,17.18,N,59.754,W
8/1/2006,11:44:00,17.182,N,59.759,W
8/1/2006,11:45:59,17.184,N,59.764,W
8/1/2006,11:48:00,17.187,N,59.769,W
8/1/2006,11:49:59,17.189,N,59.775,W
8/1/2006,11:52:00,17.191,N,59.78,W
8/1/2006,11:53:59,17.193,N,59.785,W
8/1/2006,11:56:00,17.196,N,59.79,W
8/1/2006,11:57:59,17.198,N,59.795,W
8/1/2006,12:00:00,17.2,N,59.8,W
8/1/2006,12:02:00,17.202,N,59.805,W
8/1/2006,12:03:59,17.204,N,59.81,W
8/1/2006,12:06:00,17.207,N,59.815,W
8/1/2006,12:07:59,17.209,N,59.82,W
8/1/2006,12:10:00,17.211,N,59.825,W
8/1/2006,12:11:59,17.213,N,59.831,W
8/1/2006,12:14:00,17.216,N,59.836,W
8/1/2006,12:15:59,17.218,N,59.841,W
8/1/2006,12:18:00,17.22,N,59.846,W
8/1/2006,12:19:59,17.222,N,59.851,W
8/1/2006,12:22:00,17.225,N,59.856,W
8/1/2006,12:23:59,17.227,N,59.861,W
8/1/2006,12:26:00,17.229,N,59.866,W
8/1/2006,12:27:59,17.231,N,59.872,W
8/1/2006,12:30:00,17.234,N,59.877,W
8/1/2006,12:32:00,17.236,N,59.882,W
8/1/2006,12:33:59,17.238,N,59.887,W
8/1/2006,12:36:00,17.24,N,59.892,W
8/1/2006,12:37:59,17.242,N,59.897,W
8/1/2006,12:40:00,17.245,N,59.902,W
8/1/2006,12:41:59,17.247,N,59.907,W
8/1/2006,12:44:00,17.249,N,59.913,W
8/1/2006,12:45:59,17.251,N,59.918,W
8/1/2006,12:48:00,17.254,N,59.923,W
8/1/2006,12:49:59,17.256,N,59.928,W
8/1/2006,12:52:00,17.258,N,59.933,W
8/1/2006,12:53:59,17.26,N,59.938,W
8/1/2006,12:56:00,17.263,N,59.943,W
8/1/2006,12:57:59,17.265,N,59.949,W
8/1/2006,13:00:00,17.267,N,59.954,W
8/1/2006,13:02:00,17.269,N,59.959,W
8/1/2006,13:03:59,17.272,N,59.964,W
8/1/2006,13:06:00,17.274,N,59.969,W
8/1/2006,13:07:59,17.276,N,59.974,W
8/1/2006,13:10:00,17.278,N,59.979,W
8/1/2006,13:11:59,17.281,N,59.985,W
8/1/2006,13:14:00,17.283,N,59.99,W
8/1/2006,13:15:59,17.285,N,59.995,W
8/1/2006,13:18:00,17.287,N,60,W
8/1/2006,13:19:59,17.289,N,60.005,W
8/1/2006,13:22:00,17.292,N,60.01,W
8/1/2006,13:23:59,17.294,N,60.016,W
8/1/2006,13:26:00,17.296,N,60.021,W
8/1/2006,13:27:59,17.298,N,60.026,W
8/1/2006,13:30:00,17.301,N,60.031,W
8/1/2006,13:32:00,17.303,N,60.036,W
8/1/2006,13:33:59,17.305,N,60.041,W
8/1/2006,13:36:00,17.307,N,60.047,W
8/1/2006,13:37:59,17.31,N,60.052,W
8/1/2006,13:40:00,17.312,N,60.057,W
8/1/2006,13:41:59,17.314,N,60.062,W
8/1/2006,13:44:00,17.316,N,60.067,W
8/1/2006,13:45:59,17.319,N,60.073,W
8/1/2006,13:48:00,17.321,N,60.078,W
8/1/2006,13:49:59,17.323,N,60.083,W
8/1/2006,13:52:00,17.325,N,60.088,W
8/1/2006,13:53:59,17.328,N,60.093,W
8/1/2006,13:56:00,17.33,N,60.098,W
8/1/2006,13:57:59,17.332,N,60.104,W
8/1/2006,14:00:00,17.334,N,60.109,W
8/1/2006,14:02:00,17.337,N,60.114,W
8/1/2006,14:03:59,17.339,N,60.119,W
8/1/2006,14:06:00,17.341,N,60.124,W
8/1/2006,14:07:59,17.343,N,60.13,W
8/1/2006,14:10:00,17.346,N,60.135,W
8/1/2006,14:11:59,17.348,N,60.14,W
8/1/2006,14:14:00,17.35,N,60.145,W
8/1/2006,14:15:59,17.352,N,60.15,W
8/1/2006,14:18:00,17.355,N,60.156,W
8/1/2006,14:19:59,17.357,N,60.161,W
8/1/2006,14:22:00,17.359,N,60.166,W
8/1/2006,14:23:59,17.361,N,60.171,W
8/1/2006,14:26:00,17.364,N,60.176,W
8/1/2006,14:27:59,17.366,N,60.182,W
8/1/2006,14:30:00,17.368,N,60.187,W
8/1/2006,14:32:00,17.37,N,60.192,W
8/1/2006,14:33:59,17.372,N,60.197,W
8/1/2006,14:36:00,17.375,N,60.202,W
8/1/2006,14:37:59,17.377,N,60.208,W
8/1/2006,14:40:00,17.379,N,60.213,W
8/1/2006,14:41:59,17.381,N,60.218,W
8/1/2006,14:44:00,17.384,N,60.223,W
8/1/2006,14:45:59,17.386,N,60.229,W
8/1/2006,14:48:00,17.388,N,60.234,W
8/1/2006,14:49:59,17.39,N,60.239,W
8/1/2006,14:52:00,17.393,N,60.244,W
8/1/2006,14:53:59,17.395,N,60.249,W
8/1/2006,14:56:00,17.397,N,60.255,W
8/1/2006,14:57:59,17.399,N,60.26,W
8/1/2006,15:00:00,17.402,N,60.265,W
8/1/2006,15:02:00,17.404,N,60.27,W
8/1/2006,15:03:59,17.406,N,60.276,W
8/1/2006,15:06:00,17.408,N,60.281,W
8/1/2006,15:07:59,17.411,N,60.286,W
8/1/2006,15:10:00,17.413,N,60.291,W
8/1/2006,15:11:59,17.415,N,60.296,W
8/1/2006,15:14:00,17.417,N,60.302,W
8/1/2006,15:15:59,17.42,N,60.307,W
8/1/2006,15:18:00,17.422,N,60.312,W
8/1/2006,15:19:59,17.424,N,60.317,W
8/1/2006,15:22:00,17.426,N,60.323,W
8/1/2006,15:23:59,17.429,N,60.328,W
8/1/2006,15:26:00,17.431,N,60.333,W
8/1/2006,15:27:59,17.433,N,60.338,W
8/1/2006,15:30:00,17.435,N,60.344,W
8/1/2006,15:32:00,17.438,N,60.349,W
8/1/2006,15:33:59,17.44,N,60.354,W
8/1/2006,15:36:00,17.442,N,60.359,W
8/1/2006,15:37:59,17.444,N,60.365,W
8/1/2006,15:40:00,17.447,N,60.37,W
8/1/2006,15:41:59,17.449,N,60.375,W
8/1/2006,15:44:00,17.451,N,60.38,W
8/1/2006,15:45:59,17.453,N,60.385,W
8/1/2006,15:48:00,17.456,N,60.391,W
8/1/2006,15:49:59,17.458,N,60.396,W
8/1/2006,15:52:00,17.46,N,60.401,W
8/1/2006,15:53:59,17.462,N,60.406,W
8/1/2006,15:56:00,17.465,N,60.412,W
8/1/2006,15:57:59,17.467,N,60.417,W
8/1/2006,16:00:00,17.469,N,60.422,W
8/1/2006,16:01:59,17.471,N,60.427,W
8/1/2006,16:04:00,17.474,N,60.433,W
8/1/2006,16:06:00,17.476,N,60.438,W
8/1/2006,16:07:59,17.478,N,60.443,W
8/1/2006,16:09:59,17.48,N,60.448,W
8/1/2006,16:12:00,17.483,N,60.454,W
8/1/2006,16:14:00,17.485,N,60.459,W
8/1/2006,16:15:59,17.487,N,60.464,W
8/1/2006,16:17:59,17.489,N,60.47,W
8/1/2006,16:20:00,17.492,N,60.475,W
8/1/2006,16:22:00,17.494,N,60.48,W
8/1/2006,16:23:59,17.496,N,60.485,W
8/1/2006,16:25:59,17.498,N,60.491,W
8/1/2006,16:28:00,17.501,N,60.496,W
8/1/2006,16:30:00,17.503,N,60.501,W
8/1/2006,16:31:59,17.505,N,60.506,W
8/1/2006,16:34:00,17.507,N,60.512,W
8/1/2006,16:36:00,17.51,N,60.517,W
8/1/2006,16:37:59,17.512,N,60.522,W
8/1/2006,16:39:59,17.514,N,60.527,W
8/1/2006,16:42:00,17.516,N,60.533,W
8/1/2006,16:44:00,17.519,N,60.538,W
8/1/2006,16:45:59,17.521,N,60.543,W
8/1/2006,16:47:59,17.523,N,60.548,W
8/1/2006,16:50:00,17.525,N,60.554,W
8/1/2006,16:52:00,17.528,N,60.559,W
8/1/2006,16:53:59,17.53,N,60.564,W
8/1/2006,16:55:59,17.532,N,60.569,W
8/1/2006,16:58:00,17.534,N,60.575,W
8/1/2006,17:00:00,17.537,N,60.58,W
8/1/2006,17:01:59,17.539,N,60.585,W
8/1/2006,17:04:00,17.541,N,60.591,W
8/1/2006,17:06:00,17.543,N,60.596,W
8/1/2006,17:07:59,17.546,N,60.601,W
8/1/2006,17:09:59,17.548,N,60.606,W
8/1/2006,17:12:00,17.55,N,60.612,W
8/1/2006,17:14:00,17.552,N,60.617,W
8/1/2006,17:15:59,17.555,N,60.622,W
8/1/2006,17:17:59,17.557,N,60.627,W
8/1/2006,17:20:00,17.559,N,60.633,W
8/1/2006,17:22:00,17.561,N,60.638,W
8/1/2006,17:23:59,17.564,N,60.643,W
8/1/2006,17:25:59,17.566,N,60.649,W
8/1/2006,17:28:00,17.568,N,60.654,W
8/1/2006,17:30:00,17.57,N,60.659,W
8/1/2006,17:31:59,17.573,N,60.664,W
8/1/2006,17:34:00,17.575,N,60.67,W
8/1/2006,17:36:00,17.577,N,60.675,W
8/1/2006,17:37:59,17.58,N,60.68,W
8/1/2006,17:39:59,17.582,N,60.685,W
8/1/2006,17:42:00,17.584,N,60.691,W
8/1/2006,17:44:00,17.586,N,60.696,W
8/1/2006,17:45:59,17.589,N,60.701,W
8/1/2006,17:47:59,17.591,N,60.707,W
8/1/2006,17:50:00,17.593,N,60.712,W
8/1/2006,17:52:00,17.595,N,60.717,W
8/1/2006,17:53:59,17.598,N,60.722,W
8/1/2006,17:55:59,17.6,N,60.728,W
8/1/2006,17:58:00,17.602,N,60.733,W
8/1/2006,18:00:00,17.604,N,60.738,W
8/1/2006,18:01:59,17.607,N,60.743,W
8/1/2006,18:04:00,17.609,N,60.749,W
8/1/2006,18:06:00,17.611,N,60.754,W
8/1/2006,18:07:59,17.613,N,60.759,W
8/1/2006,18:09:59,17.616,N,60.765,W
8/1/2006,18:12:00,17.618,N,60.77,W
8/1/2006,18:14:00,17.62,N,60.775,W
8/1/2006,18:15:59,17.622,N,60.78,W
8/1/2006,18:16:35,17.623,N,60.782,W
8/1/2006,18:18:35,17.624,N,60.778,W
8/1/2006,18:20:36,17.626,N,60.775,W
8/1/2006,18:22:36,17.627,N,60.771,W
8/1/2006,18:24:35,17.628,N,60.767,W
8/1/2006,18:26:35,17.63,N,60.764,W
8/1/2006,18:28:36,17.631,N,60.76,W
8/1/2006,18:30:36,17.632,N,60.756,W
8/1/2006,18:32:35,17.634,N,60.753,W
8/1/2006,18:34:35,17.635,N,60.749,W
8/1/2006,18:35:47,17.636,N,60.747,W
8/1/2006,18:37:47,17.638,N,60.743,W
8/1/2006,18:39:46,17.639,N,60.739,W
8/1/2006,18:41:46,17.641,N,60.735,W
8/1/2006,18:43:47,17.643,N,60.73,W
8/1/2006,18:45:47,17.645,N,60.726,W
8/1/2006,18:47:46,17.647,N,60.721,W
8/1/2006,18:49:46,17.649,N,60.717,W
8/1/2006,18:50:52,17.65,N,60.714,W
8/1/2006,18:52:53,17.652,N,60.71,W
8/1/2006,18:54:53,17.654,N,60.706,W
8/1/2006,18:56:52,17.656,N,60.702,W
8/1/2006,18:58:52,17.658,N,60.698,W
8/1/2006,19:00:53,17.66,N,60.695,W
8/1/2006,19:02:53,17.662,N,60.691,W
8/1/2006,19:04:52,17.664,N,60.688,W
8/1/2006,19:06:52,17.666,N,60.684,W
8/1/2006,19:08:53,17.669,N,60.681,W
8/1/2006,19:10:52,17.671,N,60.679,W
8/1/2006,19:12:52,17.673,N,60.676,W
8/1/2006,19:14:53,17.676,N,60.674,W
8/1/2006,19:16:53,17.678,N,60.671,W
8/1/2006,19:18:52,17.681,N,60.67,W
8/1/2006,19:20:52,17.683,N,60.668,W
8/1/2006,19:22:53,17.686,N,60.666,W
8/1/2006,19:24:53,17.689,N,60.665,W
8/1/2006,19:26:52,17.691,N,60.664,W
8/1/2006,19:28:52,17.694,N,60.664,W
8/1/2006,19:30:53,17.697,N,60.664,W
8/1/2006,19:32:53,17.7,N,60.664,W
8/1/2006,19:34:52,17.703,N,60.664,W
8/1/2006,19:36:52,17.707,N,60.665,W
8/1/2006,19:38:53,17.71,N,60.666,W
8/1/2006,19:40:52,17.713,N,60.667,W
8/1/2006,19:42:52,17.717,N,60.669,W
8/1/2006,19:44:53,17.721,N,60.671,W
8/1/2006,19:46:53,17.724,N,60.674,W
8/1/2006,19:48:52,17.728,N,60.677,W
8/1/2006,19:50:52,17.732,N,60.68,W
8/1/2006,19:52:53,17.736,N,60.684,W
8/1/2006,19:54:53,17.74,N,60.688,W
8/1/2006,19:56:52,17.745,N,60.693,W
8/1/2006,19:58:52,17.749,N,60.698,W
8/1/2006,20:00:53,17.754,N,60.704,W
8/1/2006,20:02:53,17.758,N,60.71,W
8/1/2006,20:04:52,17.763,N,60.716,W
8/1/2006,20:06:52,17.768,N,60.722,W
8/1/2006,20:08:53,17.773,N,60.729,W
8/1/2006,20:10:52,17.778,N,60.736,W
8/1/2006,20:12:52,17.783,N,60.744,W
8/1/2006,20:14:53,17.788,N,60.752,W
8/1/2006,20:16:53,17.793,N,60.76,W
8/1/2006,20:18:52,17.799,N,60.768,W
8/1/2006,20:20:52,17.804,N,60.777,W
8/1/2006,20:22:53,17.809,N,60.785,W
8/1/2006,20:24:53,17.815,N,60.794,W
8/1/2006,20:26:52,17.82,N,60.803,W
8/1/2006,20:28:52,17.826,N,60.812,W
8/1/2006,20:30:53,17.831,N,60.822,W
8/1/2006,20:32:53,17.837,N,60.831,W
8/1/2006,20:34:52,17.842,N,60.841,W
8/1/2006,20:36:52,17.848,N,60.85,W
8/1/2006,20:38:53,17.853,N,60.86,W
8/1/2006,20:40:34,17.858,N,60.868,W
8/1/2006,20:42:33,17.863,N,60.874,W
8/1/2006,20:44:33,17.868,N,60.88,W
8/1/2006,20:46:34,17.874,N,60.886,W
8/1/2006,20:48:33,17.879,N,60.892,W
8/1/2006,20:50:33,17.884,N,60.899,W
8/1/2006,20:52:34,17.89,N,60.905,W
8/1/2006,20:54:34,17.895,N,60.912,W
8/1/2006,20:56:33,17.9,N,60.918,W
8/1/2006,20:58:33,17.906,N,60.925,W
8/1/2006,21:00:34,17.911,N,60.932,W
8/1/2006,21:02:34,17.917,N,60.939,W
8/1/2006,21:04:33,17.922,N,60.946,W
8/1/2006,21:06:33,17.928,N,60.953,W
8/1/2006,21:08:34,17.933,N,60.96,W
8/1/2006,21:10:34,17.939,N,60.968,W
8/1/2006,21:12:33,17.944,N,60.975,W
8/1/2006,21:14:33,17.95,N,60.982,W
8/1/2006,21:16:34,17.955,N,60.99,W
8/1/2006,21:18:33,17.96,N,60.997,W
8/1/2006,21:20:33,17.966,N,61.005,W
8/1/2006,21:22:34,17.971,N,61.012,W
8/1/2006,21:24:34,17.976,N,61.019,W
8/1/2006,21:26:33,17.982,N,61.027,W
8/1/2006,21:28:33,17.987,N,61.034,W
8/1/2006,21:30:34,17.992,N,61.042,W
8/1/2006,21:32:34,17.997,N,61.049,W
8/1/2006,21:34:33,18.002,N,61.057,W
8/1/2006,21:36:33,18.007,N,61.064,W
8/1/2006,21:38:34,18.012,N,61.071,W
8/1/2006,21:40:34,18.017,N,61.079,W
8/1/2006,21:42:33,18.022,N,61.086,W
8/1/2006,21:44:33,18.026,N,61.093,W
8/1/2006,21:46:34,18.031,N,61.1,W
8/1/2006,21:48:33,18.035,N,61.108,W
8/1/2006,21:50:33,18.039,N,61.115,W
8/1/2006,21:52:34,18.044,N,61.122,W
8/1/2006,21:54:34,18.048,N,61.128,W
8/1/2006,21:56:33,18.052,N,61.135,W
8/1/2006,21:58:33,18.056,N,61.142,W
8/1/2006,22:00:34,18.059,N,61.148,W
8/1/2006,22:02:34,18.063,N,61.155,W
8/1/2006,22:04:33,18.066,N,61.161,W
8/1/2006,22:06:33,18.07,N,61.168,W
8/1/2006,22:08:34,18.073,N,61.174,W
8/1/2006,22:10:34,18.076,N,61.18,W
8/1/2006,22:12:33,18.079,N,61.185,W
8/1/2006,22:14:33,18.081,N,61.191,W
8/1/2006,22:16:34,18.084,N,61.197,W
8/1/2006,22:18:33,18.086,N,61.202,W
8/1/2006,22:20:33,18.088,N,61.207,W
8/1/2006,22:22:34,18.09,N,61.212,W
8/1/2006,22:24:34,18.092,N,61.217,W
8/1/2006,22:26:33,18.094,N,61.222,W
8/1/2006,22:26:41,18.094,N,61.222,W
8/1/2006,22:28:41,18.096,N,61.227,W
8/1/2006,22:30:40,18.098,N,61.232,W
8/1/2006,22:32:40,18.101,N,61.236,W
8/1/2006,22:34:41,18.102,N,61.241,W
8/1/2006,22:36:41,18.104,N,61.245,W
8/1/2006,22:38:40,18.106,N,61.25,W
8/1/2006,22:40:40,18.108,N,61.254,W
8/1/2006,22:42:41,18.109,N,61.258,W
8/1/2006,22:44:41,18.11,N,61.262,W
8/1/2006,22:46:40,18.111,N,61.266,W
8/1/2006,22:48:40,18.112,N,61.27,W
8/1/2006,22:50:41,18.113,N,61.273,W
8/1/2006,22:52:41,18.114,N,61.277,W
8/1/2006,22:54:40,18.115,N,61.28,W
8/1/2006,22:56:41,18.115,N,61.283,W
8/1/2006,22:58:41,18.115,N,61.286,W
8/1/2006,23:00:40,18.115,N,61.289,W
8/1/2006,23:02:40,18.115,N,61.292,W
8/1/2006,23:04:41,18.115,N,61.295,W
8/1/2006,23:06:41,18.115,N,61.298,W
8/1/2006,23:08:40,18.114,N,61.3,W
8/1/2006,23:10:40,18.114,N,61.302,W
8/1/2006,23:12:41,18.113,N,61.305,W
8/1/2006,23:14:41,18.112,N,61.307,W
8/1/2006,23:16:40,18.111,N,61.309,W
8/1/2006,23:18:40,18.109,N,61.31,W
8/1/2006,23:20:41,18.108,N,61.312,W
8/1/2006,23:22:41,18.106,N,61.313,W
8/1/2006,23:24:40,18.104,N,61.315,W
8/1/2006,23:26:41,18.102,N,61.316,W
8/1/2006,23:28:41,18.1,N,61.317,W
8/1/2006,23:30:40,18.097,N,61.318,W
8/1/2006,23:32:40,18.095,N,61.318,W
8/1/2006,23:34:41,18.092,N,61.319,W
8/1/2006,23:36:41,18.089,N,61.319,W
8/1/2006,23:38:40,18.086,N,61.319,W
8/1/2006,23:40:40,18.082,N,61.319,W
8/1/2006,23:42:41,18.079,N,61.319,W
8/1/2006,23:44:41,18.075,N,61.319,W
8/1/2006,23:46:40,18.071,N,61.318,W
8/1/2006,23:48:40,18.067,N,61.318,W
8/1/2006,23:50:41,18.062,N,61.317,W
8/1/2006,23:52:41,18.058,N,61.316,W
8/1/2006,23:54:40,18.053,N,61.315,W
8/1/2006,23:56:41,18.048,N,61.313,W
8/1/2006,23:58:41,18.043,N,61.312,W
8/2/2006,0:00:40,18.037,N,61.31,W
8/2/2006,0:02:40,18.032,N,61.309,W
8/2/2006,0:04:41,18.026,N,61.307,W
8/2/2006,0:06:41,18.021,N,61.305,W
8/2/2006,0:08:40,18.015,N,61.303,W
8/2/2006,0:09:13,18.013,N,61.302,W
8/2/2006,0:11:13,18.012,N,61.304,W
8/2/2006,0:13:14,18.011,N,61.307,W
8/2/2006,0:15:14,18.011,N,61.309,W
8/2/2006,0:17:13,18.01,N,61.312,W
8/2/2006,0:19:13,18.009,N,61.314,W
