Track,for,Alex,2004,,
7/30/2004,20:53:15,28.008,N,75.791,W
7/30/2004,20:55:15,28.018,N,75.8,W
7/30/2004,20:57:14,28.028,N,75.809,W
7/30/2004,20:59:14,28.038,N,75.818,W
7/30/2004,21:01:15,28.048,N,75.827,W
7/30/2004,21:03:15,28.057,N,75.836,W
7/30/2004,21:05:14,28.067,N,75.845,W
7/30/2004,21:07:14,28.077,N,75.854,W
7/30/2004,21:09:15,28.087,N,75.863,W
7/30/2004,21:11:15,28.096,N,75.872,W
7/30/2004,21:13:14,28.106,N,75.881,W
7/30/2004,21:15:15,28.116,N,75.89,W
7/30/2004,21:17:15,28.125,N,75.899,W
7/30/2004,21:19:14,28.135,N,75.908,W
7/30/2004,21:21:14,28.145,N,75.917,W
7/30/2004,21:23:15,28.154,N,75.925,W
7/30/2004,21:25:15,28.164,N,75.934,W
7/30/2004,21:27:14,28.174,N,75.943,W
7/30/2004,21:28:20,28.179,N,75.948,W
7/30/2004,21:30:20,28.188,N,75.957,W
7/30/2004,21:32:21,28.197,N,75.966,W
7/30/2004,21:34:21,28.206,N,75.975,W
7/30/2004,21:36:20,28.215,N,75.983,W
7/30/2004,21:38:20,28.224,N,75.992,W
7/30/2004,21:40:21,28.233,N,76.001,W
7/30/2004,21:42:21,28.242,N,76.01,W
7/30/2004,21:44:20,28.251,N,76.019,W
7/30/2004,21:46:20,28.26,N,76.028,W
7/30/2004,21:48:21,28.269,N,76.036,W
7/30/2004,21:50:20,28.277,N,76.045,W
7/30/2004,21:52:20,28.286,N,76.054,W
7/30/2004,21:54:21,28.294,N,76.063,W
7/30/2004,21:56:21,28.303,N,76.071,W
7/30/2004,21:58:20,28.312,N,76.08,W
7/30/2004,22:00:20,28.32,N,76.089,W
7/30/2004,22:02:21,28.328,N,76.097,W
7/30/2004,22:04:21,28.337,N,76.106,W
7/30/2004,22:06:20,28.345,N,76.115,W
7/30/2004,22:08:20,28.353,N,76.123,W
7/30/2004,22:10:21,28.362,N,76.132,W
7/30/2004,22:12:21,28.37,N,76.14,W
7/30/2004,22:14:20,28.378,N,76.149,W
7/30/2004,22:16:20,28.386,N,76.158,W
7/30/2004,22:18:21,28.394,N,76.166,W
7/30/2004,22:20:20,28.402,N,76.175,W
7/30/2004,22:22:20,28.41,N,76.183,W
7/30/2004,22:24:21,28.418,N,76.192,W
7/30/2004,22:26:21,28.425,N,76.2,W
7/30/2004,22:28:20,28.433,N,76.208,W
7/30/2004,22:30:20,28.441,N,76.217,W
7/30/2004,22:32:21,28.448,N,76.225,W
7/30/2004,22:34:21,28.456,N,76.234,W
7/30/2004,22:36:20,28.463,N,76.242,W
7/30/2004,22:38:20,28.471,N,76.25,W
7/30/2004,22:40:21,28.478,N,76.259,W
7/30/2004,22:42:21,28.485,N,76.267,W
7/30/2004,22:44:20,28.493,N,76.275,W
7/30/2004,22:46:20,28.5,N,76.284,W
7/30/2004,22:48:21,28.507,N,76.292,W
7/30/2004,22:50:20,28.514,N,76.3,W
7/30/2004,22:52:20,28.521,N,76.308,W
7/30/2004,22:54:21,28.528,N,76.316,W
7/30/2004,22:56:21,28.535,N,76.324,W
7/30/2004,22:58:20,28.541,N,76.333,W
7/30/2004,23:00:20,28.548,N,76.341,W
7/30/2004,23:02:21,28.555,N,76.349,W
7/30/2004,23:04:21,28.561,N,76.357,W
7/30/2004,23:06:20,28.568,N,76.365,W
7/30/2004,23:08:20,28.574,N,76.373,W
7/30/2004,23:10:21,28.58,N,76.381,W
7/30/2004,23:12:21,28.587,N,76.389,W
7/30/2004,23:14:20,28.593,N,76.397,W
7/30/2004,23:16:20,28.599,N,76.405,W
7/30/2004,23:18:21,28.605,N,76.413,W
7/30/2004,23:20:20,28.611,N,76.421,W
7/30/2004,23:22:20,28.617,N,76.428,W
7/30/2004,23:24:21,28.623,N,76.436,W
7/30/2004,23:26:21,28.628,N,76.444,W
7/30/2004,23:28:20,28.634,N,76.452,W
7/30/2004,23:30:20,28.64,N,76.46,W
7/30/2004,23:32:21,28.645,N,76.467,W
7/30/2004,23:34:21,28.65,N,76.475,W
7/30/2004,23:36:20,28.656,N,76.483,W
7/30/2004,23:38:20,28.661,N,76.49,W
7/30/2004,23:40:21,28.666,N,76.498,W
7/30/2004,23:42:21,28.671,N,76.505,W
7/30/2004,23:44:20,28.676,N,76.513,W
7/30/2004,23:46:20,28.681,N,76.521,W
7/30/2004,23:48:21,28.686,N,76.528,W
7/30/2004,23:50:20,28.691,N,76.536,W
7/30/2004,23:52:20,28.695,N,76.543,W
7/30/2004,23:54:21,28.7,N,76.55,W
7/30/2004,23:56:21,28.704,N,76.558,W
7/30/2004,23:58:20,28.709,N,76.565,W
7/31/2004,0:00:20,28.713,N,76.573,W
7/31/2004,0:02:21,28.717,N,76.58,W
7/31/2004,0:04:21,28.721,N,76.587,W
7/31/2004,0:06:20,28.725,N,76.594,W
7/31/2004,0:08:20,28.729,N,76.602,W
7/31/2004,0:10:21,28.733,N,76.609,W
7/31/2004,0:12:21,28.737,N,76.616,W
7/31/2004,0:14:20,28.74,N,76.623,W
7/31/2004,0:16:20,28.744,N,76.63,W
7/31/2004,0:18:21,28.747,N,76.637,W
7/31/2004,0:20:20,28.751,N,76.644,W
7/31/2004,0:22:20,28.754,N,76.651,W
7/31/2004,0:24:21,28.757,N,76.658,W
7/31/2004,0:26:21,28.76,N,76.665,W
7/31/2004,0:28:20,28.763,N,76.672,W
7/31/2004,0:30:20,28.766,N,76.679,W
7/31/2004,0:32:21,28.768,N,76.686,W
7/31/2004,0:34:21,28.771,N,76.693,W
7/31/2004,0:36:20,28.774,N,76.699,W
7/31/2004,0:38:20,28.776,N,76.706,W
7/31/2004,0:40:21,28.778,N,76.713,W
7/31/2004,0:42:21,28.781,N,76.72,W
7/31/2004,0:44:20,28.783,N,76.726,W
7/31/2004,0:46:20,28.785,N,76.733,W
7/31/2004,0:48:21,28.787,N,76.739,W
7/31/2004,0:50:20,28.788,N,76.746,W
7/31/2004,0:52:20,28.79,N,76.752,W
7/31/2004,0:54:21,28.792,N,76.759,W
7/31/2004,0:56:21,28.793,N,76.765,W
7/31/2004,0:58:20,28.795,N,76.772,W
7/31/2004,1:00:20,28.796,N,76.778,W
7/31/2004,1:02:21,28.797,N,76.784,W
7/31/2004,1:04:21,28.798,N,76.791,W
7/31/2004,1:06:20,28.799,N,76.797,W
7/31/2004,1:08:20,28.8,N,76.803,W
7/31/2004,1:10:21,28.801,N,76.809,W
7/31/2004,1:12:21,28.801,N,76.816,W
7/31/2004,1:14:20,28.802,N,76.822,W
7/31/2004,1:16:20,28.802,N,76.828,W
7/31/2004,1:18:21,28.803,N,76.834,W
7/31/2004,1:20:20,28.803,N,76.84,W
7/31/2004,1:22:20,28.803,N,76.846,W
7/31/2004,1:24:21,28.803,N,76.852,W
7/31/2004,1:26:21,28.803,N,76.858,W
7/31/2004,1:28:20,28.803,N,76.864,W
7/31/2004,1:30:20,28.803,N,76.87,W
7/31/2004,1:32:21,28.803,N,76.876,W
7/31/2004,1:34:21,28.803,N,76.882,W
7/31/2004,1:36:20,28.802,N,76.887,W
7/31/2004,1:38:20,28.802,N,76.893,W
7/31/2004,1:40:21,28.801,N,76.899,W
7/31/2004,1:42:21,28.8,N,76.905,W
7/31/2004,1:44:20,28.8,N,76.91,W
7/31/2004,1:46:20,28.799,N,76.916,W
7/31/2004,1:48:21,28.798,N,76.922,W
7/31/2004,1:50:20,28.797,N,76.928,W
7/31/2004,1:52:20,28.796,N,76.933,W
7/31/2004,1:54:21,28.795,N,76.939,W
7/31/2004,1:56:21,28.794,N,76.944,W
7/31/2004,1:58:20,28.792,N,76.95,W
7/31/2004,2:00:20,28.791,N,76.955,W
7/31/2004,2:02:21,28.79,N,76.961,W
7/31/2004,2:04:21,28.788,N,76.966,W
7/31/2004,2:06:20,28.787,N,76.972,W
7/31/2004,2:08:20,28.785,N,76.977,W
7/31/2004,2:10:21,28.784,N,76.983,W
7/31/2004,2:12:21,28.782,N,76.988,W
7/31/2004,2:14:20,28.78,N,76.994,W
7/31/2004,2:16:20,28.778,N,76.999,W
7/31/2004,2:18:21,28.776,N,77.004,W
7/31/2004,2:20:20,28.774,N,77.01,W
7/31/2004,2:22:20,28.772,N,77.015,W
7/31/2004,2:24:21,28.77,N,77.02,W
7/31/2004,2:26:21,28.768,N,77.026,W
7/31/2004,2:28:20,28.766,N,77.031,W
7/31/2004,2:30:20,28.764,N,77.036,W
7/31/2004,2:32:21,28.762,N,77.041,W
7/31/2004,2:34:21,28.759,N,77.047,W
7/31/2004,2:36:20,28.757,N,77.052,W
7/31/2004,2:38:20,28.755,N,77.057,W
7/31/2004,2:40:21,28.752,N,77.062,W
7/31/2004,2:42:21,28.75,N,77.067,W
7/31/2004,2:44:20,28.747,N,77.073,W
7/31/2004,2:46:20,28.744,N,77.078,W
7/31/2004,2:48:21,28.742,N,77.083,W
7/31/2004,2:50:20,28.739,N,77.088,W
7/31/2004,2:52:20,28.736,N,77.093,W
7/31/2004,2:54:21,28.734,N,77.098,W
7/31/2004,2:56:21,28.731,N,77.103,W
7/31/2004,2:58:20,28.728,N,77.108,W
7/31/2004,3:00:20,28.725,N,77.113,W
7/31/2004,3:02:21,28.722,N,77.118,W
7/31/2004,3:04:21,28.72,N,77.123,W
7/31/2004,3:06:20,28.717,N,77.128,W
7/31/2004,3:08:20,28.714,N,77.133,W
7/31/2004,3:10:21,28.711,N,77.138,W
7/31/2004,3:12:21,28.708,N,77.143,W
7/31/2004,3:14:20,28.705,N,77.148,W
7/31/2004,3:16:20,28.702,N,77.153,W
7/31/2004,3:18:21,28.698,N,77.158,W
7/31/2004,3:20:20,28.695,N,77.163,W
7/31/2004,3:22:20,28.692,N,77.168,W
7/31/2004,3:24:21,28.689,N,77.173,W
7/31/2004,3:26:21,28.686,N,77.178,W
7/31/2004,3:28:20,28.683,N,77.183,W
7/31/2004,3:30:20,28.679,N,77.188,W
7/31/2004,3:32:21,28.676,N,77.193,W
7/31/2004,3:34:21,28.673,N,77.198,W
7/31/2004,3:36:20,28.67,N,77.203,W
7/31/2004,3:38:20,28.666,N,77.208,W
7/31/2004,3:40:21,28.663,N,77.213,W
7/31/2004,3:42:21,28.66,N,77.218,W
7/31/2004,3:44:20,28.657,N,77.222,W
7/31/2004,3:46:20,28.653,N,77.227,W
7/31/2004,3:48:21,28.65,N,77.232,W
7/31/2004,3:50:20,28.647,N,77.237,W
7/31/2004,3:52:20,28.643,N,77.242,W
7/31/2004,3:54:21,28.64,N,77.247,W
7/31/2004,3:56:21,28.637,N,77.252,W
7/31/2004,3:58:20,28.634,N,77.257,W
7/31/2004,4:00:20,28.63,N,77.262,W
7/31/2004,4:02:21,28.627,N,77.267,W
7/31/2004,4:04:21,28.624,N,77.272,W
7/31/2004,4:06:20,28.62,N,77.276,W
7/31/2004,4:08:20,28.617,N,77.281,W
7/31/2004,4:10:21,28.614,N,77.286,W
7/31/2004,4:12:21,28.61,N,77.291,W
7/31/2004,4:14:20,28.607,N,77.296,W
7/31/2004,4:16:20,28.604,N,77.301,W
7/31/2004,4:18:21,28.601,N,77.306,W
7/31/2004,4:20:20,28.598,N,77.311,W
7/31/2004,4:22:20,28.594,N,77.316,W
7/31/2004,4:24:21,28.591,N,77.321,W
7/31/2004,4:25:40,28.589,N,77.324,W
7/31/2004,4:27:39,28.585,N,77.333,W
7/31/2004,4:29:39,28.581,N,77.342,W
7/31/2004,4:31:40,28.576,N,77.352,W
7/31/2004,4:33:40,28.572,N,77.361,W
7/31/2004,4:35:39,28.568,N,77.37,W
7/31/2004,4:37:39,28.564,N,77.379,W
7/31/2004,4:39:40,28.56,N,77.388,W
7/31/2004,4:41:40,28.555,N,77.398,W
7/31/2004,4:43:39,28.551,N,77.407,W
7/31/2004,4:45:39,28.547,N,77.416,W
7/31/2004,4:47:40,28.543,N,77.425,W
7/31/2004,4:49:40,28.538,N,77.434,W
7/31/2004,4:51:39,28.534,N,77.444,W
7/31/2004,4:53:39,28.53,N,77.453,W
7/31/2004,4:55:40,28.525,N,77.462,W
7/31/2004,4:57:39,28.521,N,77.471,W
7/31/2004,4:59:39,28.517,N,77.48,W
7/31/2004,5:01:40,28.513,N,77.49,W
7/31/2004,5:03:40,28.508,N,77.499,W
7/31/2004,5:05:39,28.504,N,77.508,W
7/31/2004,5:07:39,28.5,N,77.517,W
7/31/2004,5:09:40,28.496,N,77.527,W
7/31/2004,5:11:40,28.491,N,77.536,W
7/31/2004,5:13:39,28.487,N,77.545,W
7/31/2004,5:15:39,28.483,N,77.554,W
7/31/2004,5:17:40,28.479,N,77.563,W
7/31/2004,5:19:40,28.474,N,77.573,W
7/31/2004,5:21:39,28.47,N,77.582,W
7/31/2004,5:23:39,28.466,N,77.591,W
7/31/2004,5:25:40,28.462,N,77.6,W
7/31/2004,5:27:39,28.458,N,77.609,W
7/31/2004,5:29:39,28.454,N,77.618,W
7/31/2004,5:31:40,28.45,N,77.627,W
7/31/2004,5:33:40,28.446,N,77.637,W
7/31/2004,5:35:39,28.442,N,77.646,W
7/31/2004,5:37:39,28.438,N,77.655,W
7/31/2004,5:39:40,28.434,N,77.664,W
7/31/2004,5:41:40,28.43,N,77.673,W
7/31/2004,5:43:39,28.426,N,77.682,W
7/31/2004,5:45:39,28.422,N,77.691,W
7/31/2004,5:47:40,28.418,N,77.7,W
7/31/2004,5:49:40,28.415,N,77.709,W
7/31/2004,5:51:39,28.411,N,77.718,W
7/31/2004,5:53:39,28.407,N,77.727,W
7/31/2004,5:55:40,28.404,N,77.736,W
7/31/2004,5:57:39,28.4,N,77.745,W
7/31/2004,5:59:39,28.396,N,77.754,W
7/31/2004,6:01:40,28.393,N,77.763,W
7/31/2004,6:03:40,28.389,N,77.772,W
7/31/2004,6:05:39,28.386,N,77.781,W
7/31/2004,6:07:39,28.383,N,77.789,W
7/31/2004,6:09:40,28.379,N,77.798,W
7/31/2004,6:11:40,28.376,N,77.807,W
7/31/2004,6:13:39,28.373,N,77.816,W
7/31/2004,6:15:39,28.37,N,77.825,W
7/31/2004,6:17:40,28.367,N,77.833,W
7/31/2004,6:19:40,28.364,N,77.842,W
7/31/2004,6:21:39,28.361,N,77.851,W
7/31/2004,6:23:39,28.358,N,77.859,W
7/31/2004,6:25:40,28.355,N,77.868,W
7/31/2004,6:27:39,28.352,N,77.877,W
7/31/2004,6:29:39,28.349,N,77.885,W
7/31/2004,6:31:40,28.347,N,77.894,W
7/31/2004,6:33:40,28.344,N,77.902,W
7/31/2004,6:35:39,28.342,N,77.911,W
7/31/2004,6:37:39,28.339,N,77.919,W
7/31/2004,6:39:40,28.337,N,77.928,W
7/31/2004,6:41:40,28.334,N,77.936,W
7/31/2004,6:43:39,28.332,N,77.944,W
7/31/2004,6:45:39,28.33,N,77.953,W
7/31/2004,6:47:40,28.328,N,77.961,W
7/31/2004,6:49:40,28.326,N,77.969,W
7/31/2004,6:51:39,28.324,N,77.977,W
7/31/2004,6:53:39,28.322,N,77.986,W
7/31/2004,6:55:40,28.32,N,77.994,W
7/31/2004,6:57:39,28.319,N,78.002,W
7/31/2004,6:59:39,28.317,N,78.01,W
7/31/2004,7:01:40,28.316,N,78.018,W
7/31/2004,7:03:40,28.314,N,78.026,W
7/31/2004,7:05:39,28.313,N,78.034,W
7/31/2004,7:07:39,28.312,N,78.042,W
7/31/2004,7:09:40,28.311,N,78.05,W
7/31/2004,7:11:40,28.31,N,78.058,W
7/31/2004,7:13:39,28.309,N,78.066,W
7/31/2004,7:15:39,28.308,N,78.073,W
7/31/2004,7:17:40,28.307,N,78.081,W
7/31/2004,7:19:40,28.306,N,78.089,W
7/31/2004,7:21:39,28.306,N,78.097,W
7/31/2004,7:23:39,28.305,N,78.104,W
7/31/2004,7:25:40,28.305,N,78.112,W
7/31/2004,7:27:39,28.305,N,78.119,W
7/31/2004,7:29:39,28.305,N,78.127,W
7/31/2004,7:31:40,28.305,N,78.134,W
7/31/2004,7:33:40,28.305,N,78.142,W
7/31/2004,7:35:39,28.305,N,78.149,W
7/31/2004,7:37:39,28.305,N,78.156,W
7/31/2004,7:39:40,28.306,N,78.163,W
7/31/2004,7:41:40,28.306,N,78.171,W
7/31/2004,7:43:39,28.307,N,78.178,W
7/31/2004,7:45:39,28.308,N,78.185,W
7/31/2004,7:47:40,28.309,N,78.192,W
7/31/2004,7:49:40,28.31,N,78.199,W
7/31/2004,7:51:39,28.311,N,78.206,W
7/31/2004,7:53:39,28.312,N,78.213,W
7/31/2004,7:55:40,28.314,N,78.22,W
7/31/2004,7:57:39,28.315,N,78.226,W
7/31/2004,7:59:39,28.317,N,78.233,W
7/31/2004,8:01:40,28.319,N,78.24,W
7/31/2004,8:03:40,28.32,N,78.247,W
7/31/2004,8:05:39,28.322,N,78.253,W
7/31/2004,8:07:39,28.325,N,78.26,W
7/31/2004,8:09:39,28.327,N,78.266,W
7/31/2004,8:11:39,28.329,N,78.273,W
7/31/2004,8:13:40,28.332,N,78.279,W
7/31/2004,8:15:40,28.334,N,78.285,W
7/31/2004,8:17:40,28.337,N,78.292,W
7/31/2004,8:19:40,28.34,N,78.298,W
7/31/2004,8:21:39,28.343,N,78.304,W
7/31/2004,8:23:39,28.346,N,78.31,W
7/31/2004,8:25:39,28.349,N,78.316,W
7/31/2004,8:27:40,28.353,N,78.322,W
7/31/2004,8:29:40,28.356,N,78.328,W
7/31/2004,8:31:40,28.36,N,78.334,W
7/31/2004,8:33:40,28.364,N,78.34,W
7/31/2004,8:35:39,28.367,N,78.346,W
7/31/2004,8:37:39,28.371,N,78.352,W
7/31/2004,8:39:39,28.375,N,78.357,W
7/31/2004,8:41:39,28.379,N,78.363,W
7/31/2004,8:43:40,28.384,N,78.369,W
7/31/2004,8:45:40,28.388,N,78.374,W
7/31/2004,8:47:40,28.393,N,78.38,W
7/31/2004,8:49:40,28.397,N,78.385,W
7/31/2004,8:51:39,28.402,N,78.391,W
7/31/2004,8:53:39,28.407,N,78.396,W
7/31/2004,8:55:39,28.411,N,78.402,W
7/31/2004,8:57:40,28.416,N,78.407,W
7/31/2004,8:59:40,28.422,N,78.412,W
7/31/2004,9:01:40,28.427,N,78.418,W
7/31/2004,9:03:40,28.432,N,78.423,W
7/31/2004,9:05:39,28.437,N,78.428,W
7/31/2004,9:07:39,28.443,N,78.433,W
7/31/2004,9:09:39,28.449,N,78.438,W
7/31/2004,9:11:39,28.454,N,78.443,W
7/31/2004,9:13:40,28.46,N,78.448,W
7/31/2004,9:15:40,28.466,N,78.453,W
7/31/2004,9:17:40,28.472,N,78.458,W
7/31/2004,9:19:40,28.478,N,78.463,W
7/31/2004,9:21:39,28.484,N,78.468,W
7/31/2004,9:23:39,28.49,N,78.473,W
7/31/2004,9:25:39,28.497,N,78.478,W
7/31/2004,9:27:40,28.503,N,78.482,W
7/31/2004,9:29:40,28.51,N,78.487,W
7/31/2004,9:31:40,28.516,N,78.492,W
7/31/2004,9:33:40,28.523,N,78.496,W
7/31/2004,9:35:39,28.53,N,78.501,W
7/31/2004,9:37:39,28.537,N,78.505,W
7/31/2004,9:39:39,28.544,N,78.51,W
7/31/2004,9:41:39,28.551,N,78.514,W
7/31/2004,9:43:40,28.558,N,78.519,W
7/31/2004,9:45:40,28.565,N,78.523,W
7/31/2004,9:47:40,28.572,N,78.528,W
7/31/2004,9:49:40,28.58,N,78.532,W
7/31/2004,9:51:39,28.587,N,78.536,W
7/31/2004,9:53:39,28.595,N,78.541,W
7/31/2004,9:55:39,28.603,N,78.545,W
7/31/2004,9:57:40,28.61,N,78.549,W
7/31/2004,9:59:40,28.618,N,78.553,W
7/31/2004,10:01:40,28.626,N,78.557,W
7/31/2004,10:03:40,28.634,N,78.561,W
7/31/2004,10:05:39,28.642,N,78.565,W
7/31/2004,10:07:39,28.65,N,78.569,W
7/31/2004,10:09:39,28.658,N,78.573,W
7/31/2004,10:11:39,28.666,N,78.577,W
7/31/2004,10:13:40,28.675,N,78.581,W
7/31/2004,10:15:40,28.683,N,78.585,W
7/31/2004,10:17:40,28.692,N,78.589,W
7/31/2004,10:19:40,28.7,N,78.593,W
7/31/2004,10:21:39,28.709,N,78.597,W
7/31/2004,10:23:39,28.717,N,78.601,W
7/31/2004,10:25:39,28.726,N,78.604,W
7/31/2004,10:27:40,28.735,N,78.608,W
7/31/2004,10:29:40,28.744,N,78.612,W
7/31/2004,10:31:40,28.753,N,78.616,W
7/31/2004,10:33:40,28.762,N,78.619,W
7/31/2004,10:35:39,28.771,N,78.623,W
7/31/2004,10:37:39,28.78,N,78.627,W
7/31/2004,10:39:39,28.789,N,78.63,W
7/31/2004,10:41:39,28.799,N,78.634,W
7/31/2004,10:43:40,28.808,N,78.637,W
7/31/2004,10:45:40,28.817,N,78.641,W
7/31/2004,10:47:40,28.827,N,78.644,W
7/31/2004,10:49:40,28.836,N,78.648,W
7/31/2004,10:51:39,28.846,N,78.651,W
7/31/2004,10:53:39,28.855,N,78.655,W
7/31/2004,10:55:39,28.865,N,78.658,W
7/31/2004,10:57:40,28.875,N,78.661,W
7/31/2004,10:59:40,28.884,N,78.665,W
7/31/2004,11:01:40,28.894,N,78.668,W
7/31/2004,11:03:40,28.904,N,78.671,W
7/31/2004,11:05:39,28.914,N,78.674,W
7/31/2004,11:07:39,28.924,N,78.678,W
7/31/2004,11:09:39,28.934,N,78.681,W
7/31/2004,11:11:39,28.944,N,78.684,W
7/31/2004,11:13:40,28.954,N,78.687,W
7/31/2004,11:15:40,28.964,N,78.691,W
7/31/2004,11:17:40,28.975,N,78.694,W
7/31/2004,11:19:40,28.985,N,78.697,W
7/31/2004,11:21:39,28.995,N,78.7,W
7/31/2004,11:22:58,29.002,N,78.702,W
7/31/2004,11:24:57,29.014,N,78.707,W
7/31/2004,11:26:57,29.026,N,78.712,W
7/31/2004,11:28:57,29.038,N,78.717,W
7/31/2004,11:30:57,29.051,N,78.722,W
7/31/2004,11:32:58,29.063,N,78.727,W
7/31/2004,11:34:58,29.075,N,78.732,W
7/31/2004,11:36:58,29.087,N,78.736,W
7/31/2004,11:38:58,29.099,N,78.741,W
7/31/2004,11:40:57,29.111,N,78.745,W
7/31/2004,11:42:57,29.123,N,78.75,W
7/31/2004,11:44:57,29.135,N,78.754,W
7/31/2004,11:46:57,29.147,N,78.759,W
7/31/2004,11:48:58,29.159,N,78.763,W
7/31/2004,11:50:58,29.171,N,78.767,W
7/31/2004,11:52:58,29.183,N,78.771,W
7/31/2004,11:54:57,29.195,N,78.775,W
7/31/2004,11:56:57,29.206,N,78.779,W
7/31/2004,11:58:57,29.218,N,78.782,W
7/31/2004,12:00:57,29.23,N,78.786,W
7/31/2004,12:02:58,29.242,N,78.789,W
7/31/2004,12:04:58,29.253,N,78.793,W
