Track,for,Claudette,2009,,
8/16/2009,15:10:00,28.735,N,84.63,W
8/16/2009,15:11:59,28.742,N,84.636,W
8/16/2009,15:14:00,28.749,N,84.642,W
8/16/2009,15:15:59,28.756,N,84.648,W
8/16/2009,15:18:00,28.763,N,84.654,W
8/16/2009,15:19:59,28.77,N,84.66,W
8/16/2009,15:22:00,28.778,N,84.666,W
8/16/2009,15:23:59,28.785,N,84.672,W
8/16/2009,15:26:00,28.792,N,84.678,W
8/16/2009,15:27:59,28.799,N,84.684,W
8/16/2009,15:30:00,28.806,N,84.69,W
8/16/2009,15:32:00,28.813,N,84.696,W
8/16/2009,15:33:59,28.82,N,84.702,W
8/16/2009,15:36:00,28.827,N,84.709,W
8/16/2009,15:37:59,28.834,N,84.715,W
8/16/2009,15:40:00,28.842,N,84.721,W
8/16/2009,15:41:59,28.849,N,84.727,W
8/16/2009,15:44:00,28.856,N,84.733,W
8/16/2009,15:45:59,28.863,N,84.739,W
8/16/2009,15:48:00,28.87,N,84.745,W
8/16/2009,15:49:59,28.878,N,84.752,W
8/16/2009,15:52:00,28.885,N,84.758,W
8/16/2009,15:53:59,28.892,N,84.764,W
8/16/2009,15:56:00,28.899,N,84.77,W
8/16/2009,15:57:59,28.906,N,84.776,W
8/16/2009,16:00:00,28.914,N,84.783,W
8/16/2009,16:01:59,28.921,N,84.789,W
8/16/2009,16:04:00,28.928,N,84.795,W
8/16/2009,16:06:00,28.935,N,84.801,W
8/16/2009,16:07:59,28.943,N,84.807,W
8/16/2009,16:09:59,28.95,N,84.814,W
8/16/2009,16:12:00,28.957,N,84.82,W
8/16/2009,16:14:00,28.964,N,84.826,W
8/16/2009,16:15:59,28.972,N,84.832,W
8/16/2009,16:17:59,28.979,N,84.839,W
8/16/2009,16:20:00,28.986,N,84.845,W
8/16/2009,16:22:00,28.993,N,84.851,W
8/16/2009,16:23:59,29.001,N,84.857,W
8/16/2009,16:25:59,29.008,N,84.864,W
8/16/2009,16:28:00,29.015,N,84.87,W
8/16/2009,16:30:00,29.023,N,84.876,W
8/16/2009,16:31:59,29.03,N,84.883,W
8/16/2009,16:34:00,29.037,N,84.889,W
8/16/2009,16:36:00,29.044,N,84.895,W
8/16/2009,16:37:59,29.052,N,84.902,W
8/16/2009,16:39:59,29.059,N,84.908,W
8/16/2009,16:42:00,29.066,N,84.914,W
8/16/2009,16:43:31,29.072,N,84.919,W
8/16/2009,16:45:31,29.077,N,84.925,W
8/16/2009,16:47:32,29.081,N,84.932,W
8/16/2009,16:49:32,29.086,N,84.938,W
8/16/2009,16:51:31,29.09,N,84.945,W
8/16/2009,16:53:31,29.094,N,84.951,W
8/16/2009,16:55:32,29.098,N,84.957,W
8/16/2009,16:57:32,29.102,N,84.964,W
8/16/2009,16:59:31,29.105,N,84.97,W
8/16/2009,17:01:31,29.109,N,84.977,W
8/16/2009,17:03:32,29.112,N,84.983,W
8/16/2009,17:05:31,29.115,N,84.99,W
8/16/2009,17:07:31,29.118,N,84.996,W
8/16/2009,17:09:32,29.121,N,85.003,W
8/16/2009,17:11:32,29.124,N,85.01,W
8/16/2009,17:13:31,29.127,N,85.016,W
8/16/2009,17:15:31,29.129,N,85.023,W
8/16/2009,17:17:32,29.131,N,85.029,W
8/16/2009,17:19:32,29.134,N,85.036,W
8/16/2009,17:21:31,29.136,N,85.042,W
8/16/2009,17:23:31,29.138,N,85.049,W
8/16/2009,17:25:32,29.14,N,85.055,W
8/16/2009,17:27:32,29.141,N,85.062,W
8/16/2009,17:29:31,29.143,N,85.069,W
8/16/2009,17:31:31,29.145,N,85.075,W
8/16/2009,17:33:18,29.146,N,85.081,W
8/16/2009,17:35:17,29.15,N,85.087,W
8/16/2009,17:37:17,29.154,N,85.092,W
8/16/2009,17:39:18,29.158,N,85.098,W
8/16/2009,17:41:18,29.162,N,85.104,W
8/16/2009,17:43:17,29.166,N,85.11,W
8/16/2009,17:45:17,29.17,N,85.115,W
8/16/2009,17:47:18,29.173,N,85.121,W
8/16/2009,17:49:18,29.177,N,85.127,W
8/16/2009,17:51:17,29.181,N,85.132,W
8/16/2009,17:53:18,29.185,N,85.138,W
8/16/2009,17:55:18,29.189,N,85.144,W
8/16/2009,17:57:17,29.193,N,85.149,W
8/16/2009,17:59:17,29.197,N,85.155,W
8/16/2009,18:01:18,29.201,N,85.161,W
8/16/2009,18:03:18,29.204,N,85.166,W
8/16/2009,18:05:17,29.208,N,85.172,W
8/16/2009,18:07:17,29.212,N,85.177,W
8/16/2009,18:09:18,29.216,N,85.183,W
8/16/2009,18:11:18,29.22,N,85.189,W
8/16/2009,18:13:17,29.224,N,85.194,W
8/16/2009,18:15:17,29.227,N,85.2,W
8/16/2009,18:17:18,29.231,N,85.205,W
8/16/2009,18:19:18,29.235,N,85.211,W
8/16/2009,18:21:17,29.239,N,85.216,W
8/16/2009,18:23:18,29.243,N,85.222,W
8/16/2009,18:25:18,29.246,N,85.227,W
8/16/2009,18:27:17,29.25,N,85.233,W
8/16/2009,18:29:17,29.254,N,85.238,W
8/16/2009,18:31:18,29.258,N,85.244,W
8/16/2009,18:33:18,29.261,N,85.249,W
8/16/2009,18:35:17,29.265,N,85.255,W
8/16/2009,18:37:17,29.269,N,85.26,W
8/16/2009,18:39:18,29.273,N,85.266,W
8/16/2009,18:41:18,29.276,N,85.271,W
8/16/2009,18:43:17,29.28,N,85.276,W
8/16/2009,18:45:17,29.284,N,85.282,W
8/16/2009,18:47:18,29.287,N,85.287,W
8/16/2009,18:49:18,29.291,N,85.293,W
8/16/2009,18:51:17,29.295,N,85.298,W
8/16/2009,18:53:18,29.298,N,85.303,W
8/16/2009,18:55:18,29.302,N,85.309,W
8/16/2009,18:57:17,29.305,N,85.314,W
8/16/2009,18:59:17,29.309,N,85.319,W
8/16/2009,19:01:18,29.313,N,85.324,W
8/16/2009,19:03:18,29.316,N,85.33,W
8/16/2009,19:05:17,29.32,N,85.335,W
8/16/2009,19:07:17,29.323,N,85.34,W
8/16/2009,19:09:18,29.327,N,85.345,W
8/16/2009,19:11:18,29.33,N,85.35,W
8/16/2009,19:13:17,29.334,N,85.356,W
8/16/2009,19:15:17,29.338,N,85.361,W
8/16/2009,19:17:18,29.341,N,85.366,W
8/16/2009,19:19:18,29.344,N,85.371,W
8/16/2009,19:21:17,29.348,N,85.376,W
8/16/2009,19:23:18,29.351,N,85.381,W
8/16/2009,19:25:18,29.355,N,85.386,W
8/16/2009,19:27:17,29.358,N,85.391,W
8/16/2009,19:29:17,29.362,N,85.396,W
8/16/2009,19:31:18,29.365,N,85.401,W
8/16/2009,19:33:18,29.369,N,85.406,W
8/16/2009,19:35:17,29.372,N,85.411,W
8/16/2009,19:37:17,29.375,N,85.416,W
8/16/2009,19:39:18,29.379,N,85.421,W
8/16/2009,19:41:18,29.382,N,85.426,W
8/16/2009,19:43:17,29.385,N,85.431,W
8/16/2009,19:45:17,29.389,N,85.436,W
8/16/2009,19:47:18,29.392,N,85.44,W
8/16/2009,19:49:18,29.395,N,85.445,W
8/16/2009,19:51:17,29.398,N,85.45,W
8/16/2009,19:53:18,29.402,N,85.455,W
8/16/2009,19:55:18,29.405,N,85.459,W
8/16/2009,19:57:17,29.408,N,85.464,W
8/16/2009,19:59:17,29.411,N,85.469,W
8/16/2009,20:01:18,29.414,N,85.474,W
8/16/2009,20:03:18,29.418,N,85.478,W
8/16/2009,20:05:17,29.421,N,85.483,W
8/16/2009,20:07:17,29.424,N,85.487,W
8/16/2009,20:09:18,29.427,N,85.492,W
8/16/2009,20:11:18,29.43,N,85.497,W
8/16/2009,20:13:17,29.433,N,85.501,W
8/16/2009,20:15:17,29.436,N,85.506,W
8/16/2009,20:17:18,29.439,N,85.51,W
8/16/2009,20:19:18,29.442,N,85.515,W
8/16/2009,20:21:17,29.445,N,85.519,W
8/16/2009,20:23:18,29.448,N,85.523,W
8/16/2009,20:25:18,29.451,N,85.528,W
8/16/2009,20:27:17,29.454,N,85.532,W
8/16/2009,20:29:17,29.457,N,85.536,W
8/16/2009,20:31:18,29.46,N,85.541,W
8/16/2009,20:33:18,29.463,N,85.545,W
8/16/2009,20:35:17,29.466,N,85.549,W
8/16/2009,20:37:17,29.469,N,85.554,W
8/16/2009,20:39:18,29.471,N,85.558,W
8/16/2009,20:41:18,29.474,N,85.562,W
8/16/2009,20:43:17,29.477,N,85.566,W
8/16/2009,20:45:17,29.48,N,85.57,W
8/16/2009,20:47:18,29.483,N,85.574,W
8/16/2009,20:49:18,29.485,N,85.578,W
8/16/2009,20:51:17,29.488,N,85.583,W
8/16/2009,20:53:18,29.491,N,85.587,W
8/16/2009,20:55:18,29.494,N,85.591,W
8/16/2009,20:57:17,29.496,N,85.595,W
8/16/2009,20:59:17,29.499,N,85.599,W
8/16/2009,21:01:18,29.502,N,85.603,W
8/16/2009,21:03:18,29.504,N,85.607,W
8/16/2009,21:05:17,29.507,N,85.61,W
8/16/2009,21:07:17,29.51,N,85.614,W
8/16/2009,21:09:18,29.512,N,85.618,W
8/16/2009,21:11:18,29.515,N,85.622,W
8/16/2009,21:13:17,29.517,N,85.626,W
8/16/2009,21:15:17,29.52,N,85.63,W
8/16/2009,21:17:18,29.523,N,85.634,W
8/16/2009,21:19:18,29.525,N,85.637,W
8/16/2009,21:21:17,29.528,N,85.641,W
8/16/2009,21:23:18,29.53,N,85.645,W
8/16/2009,21:25:18,29.533,N,85.649,W
8/16/2009,21:27:17,29.535,N,85.652,W
8/16/2009,21:29:17,29.538,N,85.656,W
8/16/2009,21:31:18,29.54,N,85.66,W
8/16/2009,21:33:18,29.543,N,85.663,W
8/16/2009,21:35:17,29.545,N,85.667,W
8/16/2009,21:37:17,29.547,N,85.671,W
8/16/2009,21:39:18,29.55,N,85.674,W
8/16/2009,21:41:18,29.552,N,85.678,W
8/16/2009,21:43:17,29.555,N,85.681,W
8/16/2009,21:45:17,29.557,N,85.685,W
8/16/2009,21:47:18,29.559,N,85.688,W
8/16/2009,21:49:18,29.562,N,85.692,W
8/16/2009,21:51:17,29.564,N,85.695,W
8/16/2009,21:53:18,29.566,N,85.699,W
8/16/2009,21:55:18,29.569,N,85.702,W
8/16/2009,21:57:17,29.571,N,85.706,W
8/16/2009,21:59:17,29.573,N,85.709,W
8/16/2009,22:01:18,29.576,N,85.713,W
8/16/2009,22:03:18,29.578,N,85.716,W
8/16/2009,22:05:17,29.58,N,85.72,W
8/16/2009,22:07:17,29.583,N,85.723,W
8/16/2009,22:09:18,29.585,N,85.726,W
8/16/2009,22:11:18,29.587,N,85.73,W
8/16/2009,22:13:17,29.589,N,85.733,W
8/16/2009,22:15:17,29.591,N,85.736,W
8/16/2009,22:17:18,29.594,N,85.74,W
8/16/2009,22:19:18,29.596,N,85.743,W
8/16/2009,22:21:17,29.598,N,85.746,W
8/16/2009,22:23:18,29.6,N,85.75,W
8/16/2009,22:25:18,29.602,N,85.753,W
8/16/2009,22:27:17,29.605,N,85.756,W
8/16/2009,22:29:17,29.607,N,85.76,W
8/16/2009,22:31:18,29.609,N,85.763,W
8/16/2009,22:33:18,29.611,N,85.766,W
8/16/2009,22:35:17,29.613,N,85.769,W
8/16/2009,22:37:17,29.615,N,85.772,W
8/16/2009,22:39:18,29.618,N,85.776,W
8/16/2009,22:41:18,29.62,N,85.779,W
8/16/2009,22:43:17,29.622,N,85.782,W
8/16/2009,22:45:17,29.624,N,85.785,W
8/16/2009,22:47:18,29.626,N,85.788,W
8/16/2009,22:49:18,29.628,N,85.792,W
8/16/2009,22:51:17,29.63,N,85.795,W
8/16/2009,22:53:18,29.632,N,85.798,W
8/16/2009,22:55:18,29.634,N,85.801,W
8/16/2009,22:57:17,29.637,N,85.804,W
8/16/2009,22:59:17,29.639,N,85.807,W
8/16/2009,23:01:18,29.641,N,85.81,W
8/16/2009,23:03:18,29.643,N,85.814,W
8/16/2009,23:05:17,29.645,N,85.817,W
8/16/2009,23:07:17,29.647,N,85.82,W
8/16/2009,23:09:18,29.649,N,85.823,W
8/16/2009,23:11:18,29.651,N,85.826,W
8/16/2009,23:13:17,29.653,N,85.829,W
8/16/2009,23:15:17,29.655,N,85.832,W
8/16/2009,23:17:18,29.657,N,85.835,W
8/16/2009,23:19:18,29.659,N,85.838,W
8/16/2009,23:21:17,29.661,N,85.841,W
8/16/2009,23:23:18,29.663,N,85.844,W
8/16/2009,23:25:18,29.665,N,85.847,W
8/16/2009,23:27:17,29.667,N,85.851,W
8/16/2009,23:29:17,29.669,N,85.854,W
8/16/2009,23:31:18,29.671,N,85.857,W
8/16/2009,23:33:18,29.673,N,85.86,W
8/16/2009,23:35:17,29.675,N,85.863,W
8/16/2009,23:37:17,29.677,N,85.866,W
8/16/2009,23:39:18,29.679,N,85.869,W
8/16/2009,23:41:18,29.681,N,85.872,W
8/16/2009,23:43:17,29.683,N,85.875,W
8/16/2009,23:45:17,29.685,N,85.878,W
8/16/2009,23:47:18,29.687,N,85.881,W
8/16/2009,23:49:18,29.689,N,85.884,W
8/16/2009,23:51:17,29.691,N,85.887,W
8/16/2009,23:53:18,29.693,N,85.89,W
8/16/2009,23:55:18,29.695,N,85.893,W
8/16/2009,23:57:17,29.697,N,85.896,W
8/16/2009,23:59:17,29.699,N,85.899,W
