Track,for,Bill,2003,,
6/29/2003,9:10:00,22.768,N,90.278,W
6/29/2003,9:11:59,22.776,N,90.281,W
6/29/2003,9:14:00,22.784,N,90.283,W
6/29/2003,9:15:59,22.792,N,90.286,W
6/29/2003,9:18:00,22.799,N,90.289,W
6/29/2003,9:19:59,22.807,N,90.292,W
6/29/2003,9:22:00,22.815,N,90.295,W
6/29/2003,9:23:59,22.823,N,90.297,W
6/29/2003,9:26:00,22.831,N,90.3,W
6/29/2003,9:27:59,22.838,N,90.303,W
6/29/2003,9:30:00,22.846,N,90.306,W
6/29/2003,9:32:00,22.854,N,90.309,W
6/29/2003,9:33:59,22.862,N,90.311,W
6/29/2003,9:36:00,22.869,N,90.314,W
6/29/2003,9:37:59,22.877,N,90.317,W
6/29/2003,9:40:00,22.885,N,90.32,W
6/29/2003,9:41:59,22.893,N,90.322,W
6/29/2003,9:44:00,22.9,N,90.325,W
6/29/2003,9:45:59,22.908,N,90.328,W
6/29/2003,9:48:00,22.916,N,90.331,W
6/29/2003,9:49:59,22.923,N,90.333,W
6/29/2003,9:52:00,22.931,N,90.336,W
6/29/2003,9:53:59,22.939,N,90.339,W
6/29/2003,9:56:00,22.946,N,90.341,W
6/29/2003,9:57:59,22.954,N,90.344,W
6/29/2003,10:00:00,22.962,N,90.347,W
6/29/2003,10:02:00,22.969,N,90.35,W
6/29/2003,10:03:59,22.977,N,90.352,W
6/29/2003,10:06:00,22.985,N,90.355,W
6/29/2003,10:07:59,22.992,N,90.358,W
6/29/2003,10:10:00,23,N,90.36,W
6/29/2003,10:11:59,23.007,N,90.363,W
6/29/2003,10:14:00,23.015,N,90.366,W
6/29/2003,10:15:59,23.023,N,90.368,W
6/29/2003,10:18:00,23.03,N,90.371,W
6/29/2003,10:19:59,23.038,N,90.374,W
6/29/2003,10:22:00,23.045,N,90.376,W
6/29/2003,10:23:59,23.053,N,90.379,W
6/29/2003,10:26:00,23.06,N,90.382,W
6/29/2003,10:27:59,23.068,N,90.384,W
6/29/2003,10:30:00,23.075,N,90.387,W
6/29/2003,10:32:00,23.083,N,90.39,W
6/29/2003,10:33:59,23.09,N,90.392,W
6/29/2003,10:36:00,23.098,N,90.395,W
6/29/2003,10:37:59,23.105,N,90.398,W
6/29/2003,10:40:00,23.112,N,90.4,W
6/29/2003,10:41:59,23.12,N,90.403,W
6/29/2003,10:44:00,23.127,N,90.405,W
6/29/2003,10:45:59,23.135,N,90.408,W
6/29/2003,10:48:00,23.142,N,90.411,W
6/29/2003,10:49:59,23.149,N,90.413,W
6/29/2003,10:52:00,23.157,N,90.416,W
6/29/2003,10:53:59,23.164,N,90.418,W
6/29/2003,10:56:00,23.172,N,90.421,W
6/29/2003,10:57:59,23.179,N,90.423,W
6/29/2003,11:00:00,23.186,N,90.426,W
6/29/2003,11:02:00,23.194,N,90.429,W
6/29/2003,11:03:59,23.201,N,90.431,W
6/29/2003,11:06:00,23.208,N,90.434,W
6/29/2003,11:07:59,23.215,N,90.436,W
6/29/2003,11:10:00,23.223,N,90.439,W
6/29/2003,11:11:59,23.23,N,90.441,W
6/29/2003,11:14:00,23.237,N,90.444,W
6/29/2003,11:15:59,23.244,N,90.446,W
6/29/2003,11:18:00,23.252,N,90.449,W
6/29/2003,11:19:59,23.259,N,90.451,W
6/29/2003,11:22:00,23.266,N,90.454,W
6/29/2003,11:23:59,23.273,N,90.456,W
6/29/2003,11:26:00,23.28,N,90.459,W
6/29/2003,11:27:59,23.287,N,90.461,W
6/29/2003,11:30:00,23.295,N,90.464,W
6/29/2003,11:32:00,23.302,N,90.466,W
6/29/2003,11:33:59,23.309,N,90.469,W
6/29/2003,11:36:00,23.316,N,90.471,W
6/29/2003,11:37:59,23.323,N,90.474,W
6/29/2003,11:40:00,23.33,N,90.476,W
6/29/2003,11:41:59,23.337,N,90.478,W
6/29/2003,11:44:00,23.344,N,90.481,W
6/29/2003,11:45:59,23.351,N,90.483,W
6/29/2003,11:48:00,23.358,N,90.486,W
6/29/2003,11:49:59,23.365,N,90.488,W
6/29/2003,11:52:00,23.372,N,90.49,W
6/29/2003,11:53:59,23.379,N,90.493,W
6/29/2003,11:56:00,23.386,N,90.495,W
6/29/2003,11:57:59,23.393,N,90.498,W
6/29/2003,12:00:00,23.4,N,90.5,W
6/29/2003,12:02:00,23.407,N,90.502,W
6/29/2003,12:03:59,23.414,N,90.505,W
6/29/2003,12:06:00,23.421,N,90.507,W
6/29/2003,12:07:59,23.428,N,90.509,W
6/29/2003,12:10:00,23.434,N,90.512,W
6/29/2003,12:11:59,23.441,N,90.514,W
6/29/2003,12:14:00,23.448,N,90.516,W
6/29/2003,12:15:59,23.455,N,90.519,W
6/29/2003,12:18:00,23.462,N,90.521,W
6/29/2003,12:19:59,23.469,N,90.523,W
6/29/2003,12:22:00,23.475,N,90.526,W
6/29/2003,12:23:59,23.482,N,90.528,W
6/29/2003,12:26:00,23.489,N,90.53,W
6/29/2003,12:27:59,23.496,N,90.533,W
6/29/2003,12:30:00,23.502,N,90.535,W
6/29/2003,12:32:00,23.509,N,90.537,W
6/29/2003,12:33:59,23.516,N,90.539,W
6/29/2003,12:36:00,23.522,N,90.542,W
6/29/2003,12:37:59,23.529,N,90.544,W
6/29/2003,12:40:00,23.536,N,90.546,W
6/29/2003,12:41:59,23.542,N,90.548,W
6/29/2003,12:44:00,23.549,N,90.55,W
6/29/2003,12:45:59,23.555,N,90.553,W
6/29/2003,12:48:00,23.562,N,90.555,W
6/29/2003,12:49:59,23.568,N,90.557,W
6/29/2003,12:52:00,23.575,N,90.559,W
6/29/2003,12:53:59,23.582,N,90.561,W
6/29/2003,12:56:00,23.588,N,90.564,W
6/29/2003,12:57:59,23.595,N,90.566,W
6/29/2003,13:00:00,23.601,N,90.568,W
6/29/2003,13:02:00,23.607,N,90.57,W
6/29/2003,13:03:59,23.614,N,90.572,W
6/29/2003,13:06:00,23.62,N,90.574,W
6/29/2003,13:07:59,23.627,N,90.576,W
6/29/2003,13:10:00,23.633,N,90.579,W
6/29/2003,13:11:59,23.639,N,90.581,W
6/29/2003,13:14:00,23.646,N,90.583,W
6/29/2003,13:15:59,23.652,N,90.585,W
6/29/2003,13:18:00,23.658,N,90.587,W
6/29/2003,13:19:59,23.665,N,90.589,W
6/29/2003,13:22:00,23.671,N,90.591,W
6/29/2003,13:23:59,23.677,N,90.593,W
6/29/2003,13:26:00,23.684,N,90.595,W
6/29/2003,13:27:59,23.69,N,90.597,W
6/29/2003,13:30:00,23.696,N,90.599,W
6/29/2003,13:32:00,23.702,N,90.601,W
6/29/2003,13:33:59,23.708,N,90.603,W
6/29/2003,13:36:00,23.715,N,90.605,W
6/29/2003,13:37:59,23.721,N,90.607,W
6/29/2003,13:40:00,23.727,N,90.609,W
6/29/2003,13:41:59,23.733,N,90.611,W
6/29/2003,13:44:00,23.739,N,90.613,W
6/29/2003,13:45:59,23.745,N,90.615,W
6/29/2003,13:48:00,23.751,N,90.617,W
6/29/2003,13:49:59,23.757,N,90.619,W
6/29/2003,13:52:00,23.763,N,90.621,W
6/29/2003,13:53:59,23.769,N,90.623,W
6/29/2003,13:56:00,23.775,N,90.625,W
6/29/2003,13:57:59,23.781,N,90.627,W
6/29/2003,14:00:00,23.787,N,90.629,W
6/29/2003,14:02:00,23.793,N,90.631,W
6/29/2003,14:03:59,23.799,N,90.633,W
6/29/2003,14:06:00,23.805,N,90.635,W
6/29/2003,14:07:59,23.811,N,90.637,W
6/29/2003,14:10:00,23.817,N,90.638,W
6/29/2003,14:11:59,23.823,N,90.64,W
6/29/2003,14:14:00,23.829,N,90.642,W
6/29/2003,14:15:59,23.835,N,90.644,W
6/29/2003,14:18:00,23.841,N,90.646,W
6/29/2003,14:19:59,23.846,N,90.648,W
6/29/2003,14:22:00,23.852,N,90.65,W
6/29/2003,14:23:59,23.858,N,90.651,W
6/29/2003,14:26:00,23.864,N,90.653,W
6/29/2003,14:27:59,23.87,N,90.655,W
6/29/2003,14:30:00,23.875,N,90.657,W
6/29/2003,14:32:00,23.881,N,90.659,W
6/29/2003,14:33:59,23.887,N,90.66,W
6/29/2003,14:36:00,23.892,N,90.662,W
6/29/2003,14:37:59,23.898,N,90.664,W
6/29/2003,14:40:00,23.904,N,90.666,W
6/29/2003,14:41:59,23.91,N,90.668,W
6/29/2003,14:44:00,23.915,N,90.669,W
6/29/2003,14:45:59,23.921,N,90.671,W
6/29/2003,14:48:00,23.926,N,90.673,W
6/29/2003,14:49:59,23.932,N,90.675,W
6/29/2003,14:52:00,23.938,N,90.676,W
6/29/2003,14:53:59,23.943,N,90.678,W
6/29/2003,14:56:00,23.949,N,90.68,W
6/29/2003,14:57:59,23.954,N,90.682,W
6/29/2003,15:00:00,23.96,N,90.683,W
6/29/2003,15:02:00,23.966,N,90.685,W
6/29/2003,15:03:59,23.971,N,90.687,W
6/29/2003,15:06:00,23.977,N,90.688,W
6/29/2003,15:07:59,23.982,N,90.69,W
6/29/2003,15:10:00,23.988,N,90.692,W
6/29/2003,15:11:59,23.993,N,90.694,W
6/29/2003,15:14:00,23.999,N,90.695,W
6/29/2003,15:15:59,24.004,N,90.697,W
6/29/2003,15:18:00,24.009,N,90.699,W
6/29/2003,15:19:59,24.015,N,90.7,W
6/29/2003,15:22:00,24.02,N,90.702,W
6/29/2003,15:23:59,24.026,N,90.703,W
6/29/2003,15:26:00,24.031,N,90.705,W
6/29/2003,15:27:59,24.036,N,90.707,W
6/29/2003,15:30:00,24.042,N,90.708,W
6/29/2003,15:32:00,24.047,N,90.71,W
6/29/2003,15:33:59,24.053,N,90.712,W
6/29/2003,15:36:00,24.058,N,90.713,W
6/29/2003,15:37:59,24.063,N,90.715,W
6/29/2003,15:40:00,24.068,N,90.716,W
6/29/2003,15:41:59,24.074,N,90.718,W
6/29/2003,15:44:00,24.079,N,90.72,W
6/29/2003,15:45:59,24.084,N,90.721,W
6/29/2003,15:48:00,24.09,N,90.723,W
6/29/2003,15:49:59,24.095,N,90.724,W
6/29/2003,15:52:00,24.1,N,90.726,W
6/29/2003,15:53:59,24.105,N,90.728,W
6/29/2003,15:56:00,24.111,N,90.729,W
6/29/2003,15:57:59,24.116,N,90.731,W
6/29/2003,16:00:00,24.121,N,90.732,W
6/29/2003,16:01:59,24.126,N,90.734,W
6/29/2003,16:04:00,24.131,N,90.735,W
6/29/2003,16:06:00,24.137,N,90.737,W
6/29/2003,16:07:59,24.142,N,90.738,W
6/29/2003,16:09:59,24.147,N,90.74,W
6/29/2003,16:12:00,24.152,N,90.741,W
6/29/2003,16:14:00,24.157,N,90.743,W
6/29/2003,16:15:59,24.162,N,90.744,W
6/29/2003,16:17:59,24.167,N,90.746,W
6/29/2003,16:20:00,24.172,N,90.747,W
6/29/2003,16:22:00,24.178,N,90.749,W
6/29/2003,16:23:59,24.183,N,90.75,W
6/29/2003,16:25:59,24.188,N,90.752,W
6/29/2003,16:28:00,24.193,N,90.753,W
6/29/2003,16:30:00,24.198,N,90.755,W
6/29/2003,16:31:59,24.203,N,90.756,W
6/29/2003,16:34:00,24.208,N,90.758,W
6/29/2003,16:36:00,24.213,N,90.759,W
6/29/2003,16:37:59,24.218,N,90.761,W
6/29/2003,16:39:59,24.223,N,90.762,W
6/29/2003,16:42:00,24.228,N,90.764,W
6/29/2003,16:44:00,24.233,N,90.765,W
6/29/2003,16:45:59,24.238,N,90.767,W
6/29/2003,16:47:59,24.243,N,90.768,W
6/29/2003,16:50:00,24.248,N,90.769,W
6/29/2003,16:52:00,24.253,N,90.771,W
6/29/2003,16:53:59,24.258,N,90.772,W
6/29/2003,16:55:59,24.263,N,90.774,W
6/29/2003,16:58:00,24.268,N,90.775,W
6/29/2003,17:00:00,24.272,N,90.777,W
6/29/2003,17:01:59,24.277,N,90.778,W
6/29/2003,17:04:00,24.282,N,90.779,W
6/29/2003,17:06:00,24.287,N,90.781,W
6/29/2003,17:07:59,24.292,N,90.782,W
6/29/2003,17:09:59,24.297,N,90.784,W
6/29/2003,17:12:00,24.302,N,90.785,W
6/29/2003,17:14:00,24.307,N,90.786,W
6/29/2003,17:15:59,24.312,N,90.788,W
6/29/2003,17:17:59,24.316,N,90.789,W
6/29/2003,17:20:00,24.321,N,90.79,W
6/29/2003,17:22:00,24.326,N,90.792,W
6/29/2003,17:23:59,24.331,N,90.793,W
6/29/2003,17:25:59,24.336,N,90.795,W
6/29/2003,17:28:00,24.34,N,90.796,W
6/29/2003,17:30:00,24.345,N,90.797,W
6/29/2003,17:31:59,24.35,N,90.799,W
6/29/2003,17:34:00,24.355,N,90.8,W
6/29/2003,17:36:00,24.36,N,90.801,W
6/29/2003,17:37:59,24.364,N,90.803,W
6/29/2003,17:39:59,24.369,N,90.804,W
6/29/2003,17:42:00,24.374,N,90.805,W
6/29/2003,17:44:00,24.379,N,90.807,W
6/29/2003,17:45:59,24.383,N,90.808,W
6/29/2003,17:47:59,24.388,N,90.809,W
6/29/2003,17:50:00,24.393,N,90.811,W
6/29/2003,17:52:00,24.398,N,90.812,W
6/29/2003,17:53:23,24.401,N,90.813,W
6/29/2003,17:55:24,24.42,N,90.819,W
6/29/2003,17:57:24,24.439,N,90.825,W
6/29/2003,17:59:23,24.457,N,90.831,W
6/29/2003,18:01:23,24.476,N,90.837,W
6/29/2003,18:03:24,24.494,N,90.843,W
6/29/2003,18:05:24,24.513,N,90.849,W
6/29/2003,18:07:23,24.531,N,90.855,W
6/29/2003,18:09:23,24.549,N,90.861,W
6/29/2003,18:11:24,24.567,N,90.867,W
6/29/2003,18:13:24,24.584,N,90.873,W
6/29/2003,18:15:23,24.602,N,90.879,W
6/29/2003,18:17:24,24.619,N,90.884,W
6/29/2003,18:19:24,24.636,N,90.89,W
6/29/2003,18:21:23,24.653,N,90.896,W
6/29/2003,18:23:23,24.669,N,90.901,W
6/29/2003,18:25:24,24.686,N,90.907,W
6/29/2003,18:27:24,24.702,N,90.912,W
6/29/2003,18:29:23,24.718,N,90.918,W
6/29/2003,18:31:23,24.734,N,90.923,W
6/29/2003,18:33:24,24.749,N,90.928,W
6/29/2003,18:35:24,24.765,N,90.933,W
6/29/2003,18:37:23,24.78,N,90.939,W
6/29/2003,18:39:23,24.794,N,90.944,W
6/29/2003,18:41:24,24.809,N,90.949,W
6/29/2003,18:43:24,24.823,N,90.954,W
6/29/2003,18:45:23,24.837,N,90.958,W
6/29/2003,18:47:24,24.851,N,90.963,W
6/29/2003,18:49:24,24.865,N,90.968,W
6/29/2003,18:51:23,24.878,N,90.973,W
6/29/2003,18:53:23,24.891,N,90.977,W
6/29/2003,18:55:24,24.903,N,90.982,W
6/29/2003,18:57:24,24.916,N,90.986,W
6/29/2003,18:59:23,24.928,N,90.99,W
6/29/2003,19:01:23,24.94,N,90.995,W
6/29/2003,19:03:24,24.952,N,90.999,W
6/29/2003,19:05:24,24.964,N,91.003,W
6/29/2003,19:07:23,24.975,N,91.007,W
6/29/2003,19:09:23,24.986,N,91.012,W
6/29/2003,19:11:24,24.997,N,91.016,W
6/29/2003,19:13:24,25.008,N,91.019,W
6/29/2003,19:15:23,25.018,N,91.023,W
6/29/2003,19:17:24,25.028,N,91.027,W
6/29/2003,19:19:24,25.038,N,91.031,W
6/29/2003,19:21:23,25.048,N,91.035,W
6/29/2003,19:23:23,25.058,N,91.038,W
6/29/2003,19:25:24,25.067,N,91.042,W
6/29/2003,19:27:24,25.076,N,91.046,W
6/29/2003,19:29:23,25.085,N,91.049,W
6/29/2003,19:31:23,25.094,N,91.053,W
6/29/2003,19:33:24,25.103,N,91.056,W
6/29/2003,19:35:24,25.111,N,91.059,W
6/29/2003,19:37:23,25.119,N,91.063,W
6/29/2003,19:39:23,25.127,N,91.066,W
6/29/2003,19:41:24,25.135,N,91.069,W
6/29/2003,19:43:24,25.143,N,91.072,W
6/29/2003,19:45:23,25.15,N,91.075,W
6/29/2003,19:47:24,25.158,N,91.078,W
6/29/2003,19:49:24,25.165,N,91.081,W
6/29/2003,19:51:23,25.172,N,91.084,W
6/29/2003,19:53:23,25.178,N,91.087,W
6/29/2003,19:55:24,25.185,N,91.09,W
6/29/2003,19:57:24,25.191,N,91.093,W
6/29/2003,19:59:23,25.198,N,91.096,W
6/29/2003,20:01:23,25.204,N,91.099,W
6/29/2003,20:03:24,25.21,N,91.101,W
6/29/2003,20:05:24,25.216,N,91.104,W
6/29/2003,20:07:23,25.221,N,91.107,W
6/29/2003,20:09:23,25.227,N,91.109,W
6/29/2003,20:11:24,25.232,N,91.112,W
6/29/2003,20:13:24,25.238,N,91.114,W
6/29/2003,20:15:23,25.243,N,91.117,W
6/29/2003,20:17:24,25.248,N,91.119,W
6/29/2003,20:19:24,25.252,N,91.121,W
6/29/2003,20:21:23,25.257,N,91.124,W
6/29/2003,20:23:23,25.262,N,91.126,W
6/29/2003,20:25:24,25.266,N,91.128,W
6/29/2003,20:27:24,25.27,N,91.131,W
6/29/2003,20:27:38,25.271,N,91.131,W
6/29/2003,20:29:37,25.273,N,91.133,W
6/29/2003,20:31:37,25.276,N,91.135,W
6/29/2003,20:33:38,25.278,N,91.136,W
6/29/2003,20:35:38,25.281,N,91.138,W
6/29/2003,20:37:37,25.283,N,91.14,W
6/29/2003,20:39:37,25.285,N,91.141,W
6/29/2003,20:41:38,25.288,N,91.143,W
6/29/2003,20:43:38,25.29,N,91.145,W
6/29/2003,20:45:37,25.293,N,91.147,W
6/29/2003,20:47:37,25.295,N,91.148,W
6/29/2003,20:49:38,25.297,N,91.15,W
6/29/2003,20:51:38,25.3,N,91.152,W
6/29/2003,20:53:37,25.302,N,91.154,W
6/29/2003,20:55:37,25.305,N,91.155,W
6/29/2003,20:57:38,25.307,N,91.157,W
6/29/2003,20:59:37,25.309,N,91.159,W
6/29/2003,21:01:37,25.312,N,91.161,W
6/29/2003,21:03:38,25.314,N,91.162,W
6/29/2003,21:05:38,25.317,N,91.164,W
6/29/2003,21:07:37,25.319,N,91.166,W
6/29/2003,21:09:37,25.321,N,91.168,W
6/29/2003,21:11:38,25.324,N,91.169,W
6/29/2003,21:13:38,25.326,N,91.171,W
6/29/2003,21:15:37,25.329,N,91.173,W
6/29/2003,21:17:37,25.331,N,91.175,W
6/29/2003,21:19:38,25.333,N,91.176,W
6/29/2003,21:21:38,25.336,N,91.178,W
6/29/2003,21:23:37,25.338,N,91.18,W
6/29/2003,21:25:37,25.341,N,91.182,W
6/29/2003,21:27:38,25.343,N,91.183,W
6/29/2003,21:29:37,25.345,N,91.185,W
6/29/2003,21:31:37,25.348,N,91.187,W
6/29/2003,21:33:38,25.35,N,91.189,W
6/29/2003,21:35:38,25.352,N,91.19,W
6/29/2003,21:37:37,25.355,N,91.192,W
6/29/2003,21:39:37,25.357,N,91.194,W
6/29/2003,21:41:38,25.36,N,91.195,W
6/29/2003,21:43:38,25.362,N,91.197,W
6/29/2003,21:45:37,25.364,N,91.199,W
6/29/2003,21:47:37,25.367,N,91.201,W
6/29/2003,21:49:38,25.369,N,91.202,W
6/29/2003,21:51:38,25.372,N,91.204,W
6/29/2003,21:53:37,25.374,N,91.206,W
6/29/2003,21:55:37,25.376,N,91.208,W
6/29/2003,21:57:38,25.379,N,91.209,W
6/29/2003,21:59:25,25.381,N,91.211,W
6/29/2003,22:01:24,25.384,N,91.213,W
6/29/2003,22:03:24,25.386,N,91.214,W
6/29/2003,22:05:25,25.389,N,91.216,W
6/29/2003,22:07:25,25.391,N,91.218,W
6/29/2003,22:09:24,25.394,N,91.22,W
6/29/2003,22:11:24,25.396,N,91.221,W
6/29/2003,22:13:25,25.399,N,91.223,W
6/29/2003,22:15:25,25.402,N,91.225,W
6/29/2003,22:17:24,25.404,N,91.227,W
6/29/2003,22:19:24,25.407,N,91.228,W
6/29/2003,22:21:25,25.41,N,91.23,W
6/29/2003,22:23:25,25.412,N,91.232,W
6/29/2003,22:25:24,25.415,N,91.233,W
6/29/2003,22:27:24,25.418,N,91.235,W
6/29/2003,22:29:25,25.42,N,91.237,W
6/29/2003,22:31:24,25.423,N,91.239,W
6/29/2003,22:33:24,25.426,N,91.24,W
6/29/2003,22:35:25,25.429,N,91.242,W
6/29/2003,22:37:25,25.431,N,91.244,W
6/29/2003,22:39:24,25.434,N,91.245,W
6/29/2003,22:41:24,25.437,N,91.247,W
6/29/2003,22:43:25,25.44,N,91.249,W
6/29/2003,22:45:25,25.443,N,91.25,W
6/29/2003,22:47:24,25.446,N,91.252,W
6/29/2003,22:49:24,25.448,N,91.254,W
6/29/2003,22:51:25,25.451,N,91.256,W
6/29/2003,22:53:25,25.454,N,91.257,W
6/29/2003,22:55:24,25.457,N,91.259,W
6/29/2003,22:57:24,25.46,N,91.261,W
6/29/2003,22:59:25,25.463,N,91.262,W
6/29/2003,23:01:24,25.466,N,91.264,W
6/29/2003,23:03:24,25.469,N,91.266,W
6/29/2003,23:05:25,25.472,N,91.267,W
6/29/2003,23:07:25,25.475,N,91.269,W
6/29/2003,23:09:24,25.478,N,91.271,W
6/29/2003,23:11:24,25.481,N,91.272,W
6/29/2003,23:13:25,25.484,N,91.274,W
6/29/2003,23:15:25,25.487,N,91.276,W
6/29/2003,23:17:24,25.49,N,91.277,W
6/29/2003,23:19:24,25.493,N,91.279,W
6/29/2003,23:21:25,25.496,N,91.281,W
6/29/2003,23:23:25,25.499,N,91.282,W
6/29/2003,23:25:24,25.503,N,91.284,W
6/29/2003,23:27:24,25.506,N,91.286,W
6/29/2003,23:29:25,25.509,N,91.287,W
6/29/2003,23:31:24,25.512,N,91.289,W
6/29/2003,23:33:24,25.515,N,91.291,W
6/29/2003,23:35:25,25.519,N,91.292,W
6/29/2003,23:37:25,25.522,N,91.294,W
6/29/2003,23:39:24,25.525,N,91.296,W
6/29/2003,23:41:24,25.529,N,91.297,W
6/29/2003,23:43:25,25.532,N,91.299,W
6/29/2003,23:45:25,25.535,N,91.301,W
6/29/2003,23:47:24,25.539,N,91.302,W
6/29/2003,23:49:24,25.542,N,91.304,W
6/29/2003,23:51:25,25.546,N,91.306,W
6/29/2003,23:53:25,25.549,N,91.307,W
6/29/2003,23:55:24,25.552,N,91.309,W
6/29/2003,23:57:24,25.556,N,91.311,W
6/29/2003,23:59:25,25.559,N,91.312,W
6/30/2003,0:01:24,25.563,N,91.314,W
6/30/2003,0:03:24,25.567,N,91.315,W
6/30/2003,0:05:25,25.57,N,91.317,W
6/30/2003,0:07:25,25.574,N,91.319,W
6/30/2003,0:09:24,25.577,N,91.32,W
6/30/2003,0:11:24,25.581,N,91.322,W
6/30/2003,0:13:25,25.585,N,91.323,W
6/30/2003,0:15:25,25.588,N,91.325,W
6/30/2003,0:17:24,25.592,N,91.327,W
6/30/2003,0:19:24,25.596,N,91.328,W
6/30/2003,0:21:25,25.6,N,91.33,W
6/30/2003,0:23:25,25.604,N,91.332,W
