Track,for,Harvey,2005,,,
7/29/2005,22:42:44,16.622,N,65.437,W,0
7/29/2005,22:44:44,16.628,N,65.443,W,0
7/29/2005,22:46:43,16.633,N,65.449,W,0
7/29/2005,22:48:43,16.639,N,65.455,W,0
7/29/2005,22:50:44,16.645,N,65.46,W,0
7/29/2005,22:52:44,16.65,N,65.466,W,0
7/29/2005,22:54:43,16.656,N,65.472,W,0
7/29/2005,22:56:43,16.661,N,65.477,W,0
7/29/2005,22:58:44,16.667,N,65.483,W,0
7/29/2005,23:00:44,16.672,N,65.489,W,0
7/29/2005,23:02:43,16.678,N,65.495,W,0
7/29/2005,23:04:43,16.683,N,65.5,W,0
7/29/2005,23:06:44,16.689,N,65.506,W,0
7/29/2005,23:08:43,16.694,N,65.512,W,0
7/29/2005,23:10:43,16.7,N,65.518,W,0
7/29/2005,23:12:44,16.706,N,65.523,W,0
7/29/2005,23:14:44,16.711,N,65.529,W,0
7/29/2005,23:16:43,16.717,N,65.535,W,0
7/29/2005,23:18:43,16.722,N,65.54,W,0
7/29/2005,23:20:44,16.728,N,65.546,W,0
7/29/2005,23:22:44,16.733,N,65.552,W,0
7/29/2005,23:24:43,16.739,N,65.558,W,0
7/29/2005,23:26:43,16.744,N,65.563,W,0
7/29/2005,23:28:44,16.75,N,65.569,W,0
7/29/2005,23:30:44,16.756,N,65.575,W,0
7/29/2005,23:32:43,16.761,N,65.58,W,0
7/29/2005,23:34:43,16.767,N,65.586,W,0
7/29/2005,23:36:44,16.772,N,65.592,W,0
7/29/2005,23:38:43,16.778,N,65.598,W,0
7/29/2005,23:40:43,16.783,N,65.603,W,0
7/29/2005,23:42:44,16.789,N,65.609,W,0
7/29/2005,23:44:44,16.794,N,65.615,W,0
7/29/2005,23:46:43,16.8,N,65.62,W,0
7/29/2005,23:48:43,16.806,N,65.626,W,0
7/29/2005,23:50:44,16.811,N,65.632,W,0
7/29/2005,23:52:44,16.817,N,65.638,W,0
7/29/2005,23:54:43,16.822,N,65.643,W,0
7/29/2005,23:56:43,16.828,N,65.649,W,0
7/29/2005,23:58:44,16.833,N,65.655,W,0
7/30/2005,0:00:44,16.839,N,65.66,W,0
7/30/2005,0:02:43,16.844,N,65.666,W,0
7/30/2005,0:04:43,16.85,N,65.672,W,0
7/30/2005,0:06:44,16.855,N,65.678,W,0
7/30/2005,0:08:43,16.861,N,65.683,W,0
7/30/2005,0:10:43,16.867,N,65.689,W,0
7/30/2005,0:12:44,16.872,N,65.695,W,0
7/30/2005,0:14:44,16.878,N,65.7,W,0
7/30/2005,0:16:43,16.883,N,65.706,W,0
7/30/2005,0:18:43,16.889,N,65.712,W,0
7/30/2005,0:20:44,16.894,N,65.718,W,0
7/30/2005,0:22:44,16.9,N,65.723,W,0
7/30/2005,0:24:43,16.905,N,65.729,W,0
7/30/2005,0:26:43,16.911,N,65.735,W,0
7/30/2005,0:28:44,16.917,N,65.74,W,0
7/30/2005,0:30:44,16.922,N,65.746,W,0
7/30/2005,0:32:43,16.928,N,65.752,W,0
7/30/2005,0:34:43,16.933,N,65.758,W,0
7/30/2005,0:36:44,16.939,N,65.763,W,0
7/30/2005,0:38:43,16.944,N,65.769,W,0
7/30/2005,0:40:43,16.95,N,65.775,W,0
7/30/2005,0:42:44,16.955,N,65.78,W,0
7/30/2005,0:44:44,16.961,N,65.786,W,0
7/30/2005,0:46:43,16.966,N,65.792,W,0
7/30/2005,0:48:43,16.972,N,65.798,W,0
7/30/2005,0:50:44,16.978,N,65.803,W,0
7/30/2005,0:52:44,16.983,N,65.809,W,0
7/30/2005,0:54:43,16.989,N,65.815,W,0
7/30/2005,0:56:43,16.994,N,65.82,W,0
7/30/2005,0:58:44,17,N,65.826,W,0
7/30/2005,1:00:44,17.005,N,65.832,W,0
7/30/2005,1:02:43,17.011,N,65.837,W,0
7/30/2005,1:04:43,17.016,N,65.843,W,0
7/30/2005,1:06:44,17.022,N,65.849,W,0
7/30/2005,1:08:43,17.027,N,65.855,W,0
7/30/2005,1:10:43,17.033,N,65.86,W,0
7/30/2005,1:12:44,17.039,N,65.866,W,0
7/30/2005,1:14:44,17.044,N,65.872,W,0
7/30/2005,1:16:43,17.05,N,65.877,W,0
7/30/2005,1:18:43,17.055,N,65.883,W,0
7/30/2005,1:20:44,17.061,N,65.889,W,0
7/30/2005,1:22:44,17.066,N,65.894,W,0
7/30/2005,1:24:43,17.072,N,65.9,W,0
7/30/2005,1:26:43,17.077,N,65.906,W,0
7/30/2005,1:28:44,17.083,N,65.912,W,0
7/30/2005,1:30:44,17.088,N,65.917,W,0
7/30/2005,1:32:43,17.094,N,65.923,W,0
7/30/2005,1:34:43,17.1,N,65.929,W,0
7/30/2005,1:36:44,17.105,N,65.934,W,0
7/30/2005,1:38:43,17.111,N,65.94,W,0
7/30/2005,1:40:43,17.116,N,65.946,W,0
7/30/2005,1:42:44,17.122,N,65.951,W,0
7/30/2005,1:44:44,17.127,N,65.957,W,0
7/30/2005,1:46:43,17.133,N,65.963,W,0
7/30/2005,1:48:43,17.138,N,65.969,W,0
7/30/2005,1:50:44,17.144,N,65.974,W,0
7/30/2005,1:52:44,17.149,N,65.98,W,0
7/30/2005,1:54:43,17.155,N,65.986,W,0
7/30/2005,1:56:43,17.161,N,65.991,W,0
7/30/2005,1:58:44,17.166,N,65.997,W,0
7/30/2005,2:00:44,17.172,N,66.003,W,0
7/30/2005,2:02:43,17.177,N,66.008,W,0
7/30/2005,2:04:43,17.183,N,66.014,W,0
7/30/2005,2:06:44,17.188,N,66.02,W,0
7/30/2005,2:08:43,17.194,N,66.025,W,0
7/30/2005,2:10:43,17.199,N,66.031,W,0
7/30/2005,2:12:44,17.205,N,66.037,W,0
7/30/2005,2:14:44,17.21,N,66.043,W,0
7/30/2005,2:16:43,17.216,N,66.048,W,0
7/30/2005,2:18:43,17.222,N,66.054,W,0
7/30/2005,2:20:44,17.227,N,66.06,W,0
7/30/2005,2:22:44,17.233,N,66.065,W,0
7/30/2005,2:24:43,17.238,N,66.071,W,0
7/30/2005,2:26:43,17.244,N,66.077,W,0
7/30/2005,2:28:44,17.249,N,66.082,W,0
7/30/2005,2:30:44,17.255,N,66.088,W,0
7/30/2005,2:32:43,17.26,N,66.094,W,0
7/30/2005,2:34:43,17.266,N,66.099,W,0
7/30/2005,2:36:44,17.271,N,66.105,W,0
7/30/2005,2:38:43,17.277,N,66.111,W,0
7/30/2005,2:40:43,17.282,N,66.116,W,0
7/30/2005,2:42:44,17.288,N,66.122,W,0
7/30/2005,2:44:44,17.294,N,66.128,W,0
7/30/2005,2:46:43,17.299,N,66.133,W,0
7/30/2005,2:48:43,17.305,N,66.139,W,0
7/30/2005,2:50:44,17.31,N,66.145,W,0
7/30/2005,2:52:44,17.316,N,66.151,W,0
7/30/2005,2:54:43,17.321,N,66.156,W,0
7/30/2005,2:56:43,17.327,N,66.162,W,0
7/30/2005,2:58:44,17.332,N,66.168,W,0
7/30/2005,3:00:44,17.338,N,66.173,W,0
7/30/2005,3:02:43,17.343,N,66.179,W,0
7/30/2005,3:04:43,17.349,N,66.185,W,0
7/30/2005,3:06:44,17.355,N,66.19,W,0
7/30/2005,3:08:43,17.36,N,66.196,W,0
7/30/2005,3:10:43,17.366,N,66.202,W,0
7/30/2005,3:12:44,17.371,N,66.207,W,0
7/30/2005,3:14:44,17.377,N,66.213,W,0
7/30/2005,3:16:43,17.382,N,66.219,W,0
7/30/2005,3:18:43,17.388,N,66.224,W,0
7/30/2005,3:20:44,17.393,N,66.23,W,0
7/30/2005,3:22:44,17.399,N,66.236,W,0
7/30/2005,3:24:43,17.404,N,66.241,W,0
7/30/2005,3:26:43,17.41,N,66.247,W,0
7/30/2005,3:28:44,17.415,N,66.253,W,0
7/30/2005,3:30:44,17.421,N,66.258,W,0
7/30/2005,3:32:43,17.427,N,66.264,W,0
7/30/2005,3:34:43,17.432,N,66.27,W,0
7/30/2005,3:36:44,17.438,N,66.275,W,0
7/30/2005,3:38:43,17.443,N,66.281,W,0
7/30/2005,3:40:43,17.449,N,66.287,W,0
7/30/2005,3:42:44,17.454,N,66.292,W,0
7/30/2005,3:44:44,17.46,N,66.298,W,0
7/30/2005,3:46:43,17.465,N,66.304,W,0
7/30/2005,3:48:43,17.471,N,66.309,W,0
7/30/2005,3:50:44,17.476,N,66.315,W,0
7/30/2005,3:52:44,17.482,N,66.321,W,0
7/30/2005,3:54:43,17.487,N,66.326,W,0
7/30/2005,3:56:43,17.493,N,66.332,W,0
7/30/2005,3:58:44,17.498,N,66.338,W,0
7/30/2005,4:00:44,17.504,N,66.343,W,0
7/30/2005,4:02:43,17.51,N,66.349,W,0
7/30/2005,4:04:43,17.515,N,66.355,W,0
7/30/2005,4:06:44,17.521,N,66.36,W,0
7/30/2005,4:08:43,17.526,N,66.366,W,0
7/30/2005,4:10:43,17.532,N,66.372,W,0
7/30/2005,4:12:44,17.537,N,66.377,W,0
7/30/2005,4:14:44,17.543,N,66.383,W,0
7/30/2005,4:16:43,17.548,N,66.389,W,0
7/30/2005,4:18:43,17.554,N,66.394,W,0
7/30/2005,4:20:44,17.559,N,66.4,W,0
7/30/2005,4:22:44,17.565,N,66.406,W,0
7/30/2005,4:24:43,17.57,N,66.411,W,0
7/30/2005,4:26:43,17.576,N,66.417,W,0
7/30/2005,4:28:44,17.581,N,66.422,W,0
7/30/2005,4:30:44,17.587,N,66.428,W,0
7/30/2005,4:32:43,17.593,N,66.434,W,0
7/30/2005,4:34:43,17.598,N,66.439,W,0
7/30/2005,4:36:44,17.604,N,66.445,W,0
7/30/2005,4:38:43,17.609,N,66.451,W,0
7/30/2005,4:40:43,17.615,N,66.456,W,0
7/30/2005,4:42:44,17.62,N,66.462,W,0
7/30/2005,4:44:44,17.626,N,66.468,W,0
7/30/2005,4:46:43,17.631,N,66.473,W,0
7/30/2005,4:48:43,17.637,N,66.479,W,0
7/30/2005,4:50:44,17.642,N,66.485,W,0
7/30/2005,4:52:44,17.648,N,66.49,W,0
7/30/2005,4:54:43,17.653,N,66.496,W,0
7/30/2005,4:56:43,17.659,N,66.502,W,0
7/30/2005,4:58:44,17.664,N,66.507,W,0
7/30/2005,5:00:44,17.67,N,66.513,W,0
7/30/2005,5:02:43,17.676,N,66.518,W,0
7/30/2005,5:04:43,17.681,N,66.524,W,0
7/30/2005,5:06:44,17.687,N,66.53,W,0
7/30/2005,5:08:43,17.692,N,66.535,W,0
7/30/2005,5:10:43,17.698,N,66.541,W,0
7/30/2005,5:12:44,17.703,N,66.547,W,0
7/30/2005,5:14:44,17.709,N,66.552,W,0
7/30/2005,5:16:43,17.714,N,66.558,W,0
7/30/2005,5:18:43,17.72,N,66.564,W,0
7/30/2005,5:20:44,17.725,N,66.569,W,0
7/30/2005,5:22:44,17.731,N,66.575,W,0
7/30/2005,5:24:43,17.736,N,66.58,W,0
7/30/2005,5:26:43,17.742,N,66.586,W,0
7/30/2005,5:28:44,17.747,N,66.592,W,0
7/30/2005,5:30:44,17.753,N,66.597,W,0
7/30/2005,5:32:43,17.758,N,66.603,W,0
7/30/2005,5:34:43,17.764,N,66.609,W,0
7/30/2005,5:36:44,17.769,N,66.614,W,0
7/30/2005,5:38:43,17.775,N,66.62,W,0
7/30/2005,5:40:43,17.781,N,66.625,W,0
7/30/2005,5:42:44,17.786,N,66.631,W,0
7/30/2005,5:44:44,17.792,N,66.637,W,0
7/30/2005,5:46:43,17.797,N,66.642,W,0
7/30/2005,5:48:43,17.803,N,66.648,W,0
7/30/2005,5:50:44,17.808,N,66.654,W,0
7/30/2005,5:52:44,17.814,N,66.659,W,0
7/30/2005,5:54:43,17.819,N,66.665,W,0
7/30/2005,5:56:43,17.825,N,66.67,W,0
7/30/2005,5:58:44,17.83,N,66.676,W,0
7/30/2005,6:00:44,17.836,N,66.682,W,0
7/30/2005,6:02:43,17.841,N,66.687,W,0
7/30/2005,6:04:43,17.847,N,66.693,W,0
7/30/2005,6:06:44,17.852,N,66.699,W,0
7/30/2005,6:08:43,17.858,N,66.704,W,0
7/30/2005,6:10:43,17.863,N,66.71,W,0
7/30/2005,6:12:44,17.869,N,66.715,W,0
7/30/2005,6:14:44,17.874,N,66.721,W,0
7/30/2005,6:16:43,17.88,N,66.727,W,0
7/30/2005,6:18:43,17.885,N,66.732,W,0
7/30/2005,6:20:44,17.891,N,66.738,W,0
7/30/2005,6:22:44,17.896,N,66.743,W,0
7/30/2005,6:24:43,17.902,N,66.749,W,0
7/30/2005,6:26:43,17.908,N,66.755,W,0
7/30/2005,6:28:44,17.913,N,66.76,W,0
7/30/2005,6:30:44,17.919,N,66.766,W,0
7/30/2005,6:32:43,17.924,N,66.771,W,0
7/30/2005,6:34:43,17.93,N,66.777,W,0
7/30/2005,6:36:44,17.935,N,66.783,W,0
7/30/2005,6:38:43,17.941,N,66.788,W,0
7/30/2005,6:40:43,17.946,N,66.794,W,0
7/30/2005,6:42:44,17.952,N,66.799,W,0
7/30/2005,6:44:44,17.957,N,66.805,W,0
7/30/2005,6:46:43,17.963,N,66.811,W,0
7/30/2005,6:48:43,17.968,N,66.816,W,0
7/30/2005,6:50:44,17.974,N,66.822,W,0
7/30/2005,6:52:44,17.979,N,66.827,W,0
7/30/2005,6:54:43,17.985,N,66.833,W,0
7/30/2005,6:56:43,17.99,N,66.839,W,0
7/30/2005,6:58:44,17.996,N,66.844,W,0
7/30/2005,7:00:44,18.001,N,66.85,W,0
7/30/2005,7:02:43,18.007,N,66.855,W,0
7/30/2005,7:04:43,18.012,N,66.861,W,0
7/30/2005,7:06:44,18.018,N,66.867,W,0
7/30/2005,7:08:43,18.023,N,66.872,W,0
7/30/2005,7:10:43,18.029,N,66.878,W,0
7/30/2005,7:12:44,18.034,N,66.883,W,0
7/30/2005,7:14:44,18.04,N,66.889,W,0
7/30/2005,7:16:43,18.045,N,66.895,W,0
7/30/2005,7:18:43,18.051,N,66.9,W,0
7/30/2005,7:20:44,18.056,N,66.906,W,0
7/30/2005,7:22:44,18.062,N,66.911,W,0
7/30/2005,7:24:43,18.068,N,66.917,W,0
7/30/2005,7:26:43,18.073,N,66.922,W,0
7/30/2005,7:28:44,18.079,N,66.928,W,0
7/30/2005,7:30:44,18.084,N,66.934,W,0
7/30/2005,7:32:43,18.09,N,66.939,W,0
7/30/2005,7:34:43,18.095,N,66.945,W,0
7/30/2005,7:36:44,18.101,N,66.95,W,0
7/30/2005,7:38:43,18.106,N,66.956,W,0
7/30/2005,7:40:43,18.112,N,66.962,W,0
7/30/2005,7:42:44,18.117,N,66.967,W,0
7/30/2005,7:44:44,18.123,N,66.973,W,0
7/30/2005,7:46:43,18.128,N,66.978,W,0
7/30/2005,7:48:43,18.134,N,66.984,W,0
7/30/2005,7:50:44,18.139,N,66.989,W,0
7/30/2005,7:52:44,18.145,N,66.995,W,0
7/30/2005,7:54:43,18.15,N,67.001,W,0
7/30/2005,7:56:43,18.156,N,67.006,W,0
7/30/2005,7:58:44,18.161,N,67.012,W,0
7/30/2005,8:00:44,18.167,N,67.017,W,0
7/30/2005,8:02:43,18.172,N,67.023,W,0
7/30/2005,8:04:43,18.178,N,67.028,W,0
7/30/2005,8:06:43,18.183,N,67.034,W,0
7/30/2005,8:08:44,18.189,N,67.039,W,0
7/30/2005,8:10:44,18.194,N,67.045,W,0
7/30/2005,8:12:44,18.2,N,67.051,W,0
7/30/2005,8:14:44,18.205,N,67.056,W,0
7/30/2005,8:16:43,18.211,N,67.062,W,0
7/30/2005,8:18:43,18.216,N,67.067,W,0
7/30/2005,8:20:43,18.222,N,67.073,W,0
7/30/2005,8:22:43,18.227,N,67.078,W,0
7/30/2005,8:24:44,18.233,N,67.084,W,0
7/30/2005,8:26:44,18.238,N,67.089,W,0
7/30/2005,8:28:44,18.244,N,67.095,W,0
7/30/2005,8:30:44,18.249,N,67.101,W,0
7/30/2005,8:32:43,18.255,N,67.106,W,0
7/30/2005,8:34:43,18.26,N,67.112,W,0
7/30/2005,8:36:43,18.266,N,67.117,W,0
7/30/2005,8:38:44,18.271,N,67.123,W,0
7/30/2005,8:40:44,18.277,N,67.128,W,0
7/30/2005,8:42:44,18.282,N,67.134,W,0
7/30/2005,8:44:44,18.288,N,67.139,W,0
7/30/2005,8:46:43,18.293,N,67.145,W,0
7/30/2005,8:48:43,18.299,N,67.15,W,0
7/30/2005,8:50:43,18.304,N,67.156,W,0
7/30/2005,8:52:43,18.31,N,67.162,W,0
7/30/2005,8:54:44,18.315,N,67.167,W,0
7/30/2005,8:56:44,18.321,N,67.173,W,0
7/30/2005,8:58:44,18.326,N,67.178,W,0
7/30/2005,9:00:44,18.332,N,67.184,W,0
7/30/2005,9:02:43,18.337,N,67.189,W,0
7/30/2005,9:04:43,18.343,N,67.195,W,0
7/30/2005,9:06:43,18.348,N,67.2,W,0
7/30/2005,9:08:44,18.354,N,67.206,W,0
7/30/2005,9:10:44,18.359,N,67.211,W,0
7/30/2005,9:12:44,18.365,N,67.217,W,0
7/30/2005,9:14:44,18.37,N,67.222,W,0
7/30/2005,9:16:43,18.376,N,67.228,W,0
7/30/2005,9:18:43,18.381,N,67.233,W,0
7/30/2005,9:20:43,18.387,N,67.239,W,0
7/30/2005,9:22:43,18.392,N,67.244,W,0
7/30/2005,9:24:44,18.398,N,67.25,W,0
7/30/2005,9:26:44,18.403,N,67.256,W,0
7/30/2005,9:28:44,18.409,N,67.261,W,0
7/30/2005,9:30:44,18.414,N,67.267,W,0
7/30/2005,9:32:43,18.42,N,67.272,W,0
7/30/2005,9:34:43,18.425,N,67.278,W,0
7/30/2005,9:36:43,18.431,N,67.283,W,0
7/30/2005,9:38:44,18.436,N,67.289,W,0
7/30/2005,9:40:44,18.442,N,67.294,W,0
7/30/2005,9:42:44,18.447,N,67.3,W,0
7/30/2005,9:44:44,18.453,N,67.305,W,0
7/30/2005,9:46:43,18.458,N,67.311,W,0
7/30/2005,9:48:43,18.464,N,67.316,W,0
7/30/2005,9:50:43,18.469,N,67.322,W,0
7/30/2005,9:52:43,18.475,N,67.327,W,0
7/30/2005,9:54:44,18.48,N,67.333,W,0
7/30/2005,9:56:44,18.486,N,67.338,W,0
7/30/2005,9:58:44,18.491,N,67.344,W,0
7/30/2005,10:00:44,18.497,N,67.349,W,0
7/30/2005,10:02:43,18.502,N,67.355,W,0
7/30/2005,10:04:43,18.508,N,67.36,W,0
7/30/2005,10:06:43,18.513,N,67.366,W,0
7/30/2005,10:08:44,18.519,N,67.371,W,0
7/30/2005,10:10:44,18.524,N,67.377,W,0
7/30/2005,10:12:44,18.53,N,67.382,W,0
7/30/2005,10:14:44,18.535,N,67.388,W,0
7/30/2005,10:16:43,18.541,N,67.393,W,0
7/30/2005,10:18:43,18.546,N,67.399,W,0
7/30/2005,10:20:43,18.552,N,67.404,W,0
7/30/2005,10:22:43,18.557,N,67.41,W,0
7/30/2005,10:24:44,18.562,N,67.415,W,0
7/30/2005,10:26:44,18.568,N,67.421,W,0
7/30/2005,10:28:44,18.573,N,67.426,W,0
7/30/2005,10:30:44,18.579,N,67.432,W,0
7/30/2005,10:32:43,18.584,N,67.437,W,0
7/30/2005,10:34:43,18.59,N,67.443,W,0
7/30/2005,10:36:43,18.595,N,67.448,W,0
7/30/2005,10:38:44,18.601,N,67.453,W,0
7/30/2005,10:40:44,18.606,N,67.459,W,0
7/30/2005,10:42:44,18.612,N,67.464,W,0
7/30/2005,10:44:44,18.617,N,67.47,W,0
7/30/2005,10:46:43,18.623,N,67.475,W,0
7/30/2005,10:48:43,18.628,N,67.481,W,0
7/30/2005,10:50:43,18.634,N,67.486,W,0
7/30/2005,10:52:43,18.639,N,67.492,W,0
7/30/2005,10:54:44,18.645,N,67.497,W,0
7/30/2005,10:56:44,18.65,N,67.503,W,0
7/30/2005,10:58:44,18.656,N,67.508,W,0
7/30/2005,11:00:44,18.661,N,67.514,W,0
7/30/2005,11:02:43,18.667,N,67.519,W,0
7/30/2005,11:04:43,18.672,N,67.525,W,0
7/30/2005,11:06:43,18.678,N,67.53,W,0
7/30/2005,11:08:44,18.683,N,67.535,W,0
7/30/2005,11:10:44,18.689,N,67.541,W,0
7/30/2005,11:12:44,18.694,N,67.546,W,0
7/30/2005,11:14:44,18.7,N,67.552,W,0
7/30/2005,11:16:43,18.705,N,67.557,W,0
7/30/2005,11:18:43,18.71,N,67.563,W,0
7/30/2005,11:20:43,18.716,N,67.568,W,0
7/30/2005,11:22:43,18.721,N,67.574,W,0
7/30/2005,11:24:44,18.727,N,67.579,W,0
7/30/2005,11:26:44,18.732,N,67.585,W,0
7/30/2005,11:28:44,18.738,N,67.59,W,0
7/30/2005,11:30:44,18.743,N,67.595,W,0
7/30/2005,11:32:43,18.749,N,67.601,W,0
7/30/2005,11:34:43,18.754,N,67.606,W,0
7/30/2005,11:36:43,18.76,N,67.612,W,0
7/30/2005,11:38:44,18.765,N,67.617,W,0
7/30/2005,11:40:44,18.771,N,67.623,W,0
7/30/2005,11:42:44,18.776,N,67.628,W,0
7/30/2005,11:44:44,18.782,N,67.634,W,0
7/30/2005,11:46:43,18.787,N,67.639,W,0
7/30/2005,11:48:43,18.793,N,67.644,W,0
7/30/2005,11:50:43,18.798,N,67.65,W,0
7/30/2005,11:52:43,18.804,N,67.655,W,0
7/30/2005,11:54:44,18.809,N,67.661,W,0
7/30/2005,11:56:44,18.814,N,67.666,W,0
7/30/2005,11:58:44,18.82,N,67.672,W,0
7/30/2005,12:00:44,18.825,N,67.677,W,0
7/30/2005,12:02:43,18.831,N,67.682,W,0
7/30/2005,12:04:43,18.836,N,67.688,W,0
7/30/2005,12:06:43,18.842,N,67.693,W,0
7/30/2005,12:08:44,18.847,N,67.699,W,0
7/30/2005,12:10:44,18.853,N,67.704,W,0
7/30/2005,12:12:44,18.858,N,67.71,W,0
7/30/2005,12:14:44,18.864,N,67.715,W,0
7/30/2005,12:16:43,18.869,N,67.72,W,0
7/30/2005,12:18:43,18.875,N,67.726,W,0
7/30/2005,12:20:43,18.88,N,67.731,W,0
7/30/2005,12:22:43,18.886,N,67.737,W,0
7/30/2005,12:24:44,18.891,N,67.742,W,0
7/30/2005,12:26:44,18.896,N,67.747,W,0
7/30/2005,12:28:44,18.902,N,67.753,W,0
7/30/2005,12:30:44,18.907,N,67.758,W,0
7/30/2005,12:32:43,18.913,N,67.764,W,0
7/30/2005,12:34:43,18.918,N,67.769,W,0
7/30/2005,12:36:43,18.924,N,67.774,W,0
7/30/2005,12:38:44,18.929,N,67.78,W,0
7/30/2005,12:40:44,18.935,N,67.785,W,0
7/30/2005,12:42:44,18.94,N,67.791,W,0
7/30/2005,12:44:44,18.946,N,67.796,W,0
7/30/2005,12:46:43,18.951,N,67.801,W,0
7/30/2005,12:48:43,18.957,N,67.807,W,0
7/30/2005,12:50:43,18.962,N,67.812,W,0
7/30/2005,12:52:43,18.967,N,67.818,W,0
7/30/2005,12:54:44,18.973,N,67.823,W,0
7/30/2005,12:56:44,18.978,N,67.828,W,0
7/30/2005,12:58:44,18.984,N,67.834,W,0
7/30/2005,13:00:44,18.989,N,67.839,W,0
7/30/2005,13:02:43,18.995,N,67.845,W,0
7/30/2005,13:04:43,19,N,67.85,W,0
7/30/2005,13:06:43,19.006,N,67.855,W,0
7/30/2005,13:08:44,19.011,N,67.861,W,0
7/30/2005,13:10:44,19.017,N,67.866,W,0
7/30/2005,13:12:44,19.022,N,67.871,W,0
7/30/2005,13:14:44,19.027,N,67.877,W,0
7/30/2005,13:16:43,19.033,N,67.882,W,0
7/30/2005,13:18:43,19.038,N,67.888,W,0
7/30/2005,13:20:43,19.044,N,67.893,W,0
7/30/2005,13:22:43,19.049,N,67.898,W,0
7/30/2005,13:24:44,19.055,N,67.904,W,0
7/30/2005,13:26:44,19.06,N,67.909,W,0
7/30/2005,13:28:44,19.066,N,67.914,W,0
7/30/2005,13:30:44,19.071,N,67.92,W,0
7/30/2005,13:32:43,19.077,N,67.925,W,0
7/30/2005,13:34:43,19.082,N,67.93,W,0
7/30/2005,13:36:43,19.087,N,67.936,W,0
7/30/2005,13:38:44,19.093,N,67.941,W,0
7/30/2005,13:40:44,19.098,N,67.947,W,0
7/30/2005,13:42:44,19.104,N,67.952,W,0
7/30/2005,13:44:44,19.109,N,67.957,W,0
7/30/2005,13:46:43,19.115,N,67.963,W,0
7/30/2005,13:48:43,19.12,N,67.968,W,0
7/30/2005,13:50:43,19.126,N,67.973,W,0
7/30/2005,13:52:43,19.131,N,67.979,W,0
7/30/2005,13:54:44,19.136,N,67.984,W,0
7/30/2005,13:56:44,19.142,N,67.989,W,0
7/30/2005,13:58:44,19.147,N,67.995,W,0
