Track,for,Humberto,2007,,
9/12/2007,9:10:00,27.567,N,95.064,W
9/12/2007,9:11:59,27.57,N,95.065,W
9/12/2007,9:14:00,27.572,N,95.065,W
9/12/2007,9:15:59,27.575,N,95.066,W
9/12/2007,9:18:00,27.578,N,95.067,W
9/12/2007,9:19:59,27.581,N,95.067,W
9/12/2007,9:22:00,27.584,N,95.068,W
9/12/2007,9:23:59,27.586,N,95.068,W
9/12/2007,9:26:00,27.589,N,95.069,W
9/12/2007,9:27:59,27.592,N,95.069,W
9/12/2007,9:30:00,27.595,N,95.07,W
9/12/2007,9:32:00,27.597,N,95.071,W
9/12/2007,9:33:59,27.6,N,95.071,W
9/12/2007,9:36:00,27.603,N,95.072,W
9/12/2007,9:37:59,27.606,N,95.072,W
9/12/2007,9:40:00,27.609,N,95.073,W
9/12/2007,9:41:59,27.611,N,95.073,W
9/12/2007,9:44:00,27.614,N,95.074,W
9/12/2007,9:45:59,27.617,N,95.074,W
9/12/2007,9:48:00,27.62,N,95.075,W
9/12/2007,9:49:59,27.622,N,95.075,W
9/12/2007,9:52:00,27.625,N,95.076,W
9/12/2007,9:53:59,27.628,N,95.076,W
9/12/2007,9:56:00,27.631,N,95.077,W
9/12/2007,9:57:59,27.633,N,95.077,W
9/12/2007,10:00:00,27.636,N,95.078,W
9/12/2007,10:02:00,27.639,N,95.078,W
9/12/2007,10:03:59,27.642,N,95.079,W
9/12/2007,10:06:00,27.644,N,95.079,W
9/12/2007,10:07:59,27.647,N,95.08,W
9/12/2007,10:10:00,27.65,N,95.08,W
9/12/2007,10:11:59,27.653,N,95.081,W
9/12/2007,10:14:00,27.656,N,95.081,W
9/12/2007,10:15:59,27.658,N,95.082,W
9/12/2007,10:18:00,27.661,N,95.082,W
9/12/2007,10:19:59,27.664,N,95.083,W
9/12/2007,10:22:00,27.667,N,95.083,W
9/12/2007,10:23:59,27.669,N,95.084,W
9/12/2007,10:26:00,27.672,N,95.084,W
9/12/2007,10:27:59,27.675,N,95.084,W
9/12/2007,10:30:00,27.678,N,95.085,W
9/12/2007,10:32:00,27.68,N,95.085,W
9/12/2007,10:33:59,27.683,N,95.086,W
9/12/2007,10:36:00,27.686,N,95.086,W
9/12/2007,10:37:59,27.689,N,95.087,W
9/12/2007,10:40:00,27.691,N,95.087,W
9/12/2007,10:41:59,27.694,N,95.087,W
9/12/2007,10:44:00,27.697,N,95.088,W
9/12/2007,10:45:59,27.699,N,95.088,W
9/12/2007,10:48:00,27.702,N,95.089,W
9/12/2007,10:49:59,27.705,N,95.089,W
9/12/2007,10:52:00,27.708,N,95.089,W
9/12/2007,10:53:59,27.71,N,95.09,W
9/12/2007,10:56:00,27.713,N,95.09,W
9/12/2007,10:57:59,27.716,N,95.091,W
9/12/2007,11:00:00,27.719,N,95.091,W
9/12/2007,11:02:00,27.721,N,95.091,W
9/12/2007,11:03:59,27.724,N,95.092,W
9/12/2007,11:06:00,27.727,N,95.092,W
9/12/2007,11:07:59,27.73,N,95.092,W
9/12/2007,11:10:00,27.732,N,95.093,W
9/12/2007,11:11:59,27.735,N,95.093,W
9/12/2007,11:14:00,27.738,N,95.094,W
9/12/2007,11:15:59,27.74,N,95.094,W
9/12/2007,11:18:00,27.743,N,95.094,W
9/12/2007,11:19:59,27.746,N,95.095,W
9/12/2007,11:22:00,27.749,N,95.095,W
9/12/2007,11:23:59,27.751,N,95.095,W
9/12/2007,11:26:00,27.754,N,95.095,W
9/12/2007,11:27:59,27.757,N,95.096,W
9/12/2007,11:30:00,27.759,N,95.096,W
9/12/2007,11:32:00,27.762,N,95.096,W
9/12/2007,11:33:59,27.765,N,95.097,W
9/12/2007,11:36:00,27.768,N,95.097,W
9/12/2007,11:37:59,27.77,N,95.097,W
9/12/2007,11:40:00,27.773,N,95.098,W
9/12/2007,11:41:59,27.776,N,95.098,W
9/12/2007,11:44:00,27.778,N,95.098,W
9/12/2007,11:45:59,27.781,N,95.098,W
9/12/2007,11:48:00,27.784,N,95.099,W
9/12/2007,11:49:59,27.787,N,95.099,W
9/12/2007,11:52:00,27.789,N,95.099,W
9/12/2007,11:53:59,27.792,N,95.099,W
9/12/2007,11:56:00,27.795,N,95.1,W
9/12/2007,11:57:59,27.797,N,95.1,W
9/12/2007,12:00:00,27.8,N,95.1,W
9/12/2007,12:02:00,27.803,N,95.1,W
9/12/2007,12:03:59,27.805,N,95.1,W
9/12/2007,12:06:00,27.808,N,95.101,W
9/12/2007,12:07:59,27.811,N,95.101,W
9/12/2007,12:10:00,27.813,N,95.101,W
9/12/2007,12:11:59,27.816,N,95.101,W
9/12/2007,12:14:00,27.819,N,95.101,W
9/12/2007,12:15:59,27.821,N,95.102,W
9/12/2007,12:18:00,27.824,N,95.102,W
9/12/2007,12:19:59,27.827,N,95.102,W
9/12/2007,12:22:00,27.83,N,95.102,W
9/12/2007,12:23:59,27.832,N,95.102,W
9/12/2007,12:26:00,27.835,N,95.102,W
9/12/2007,12:27:59,27.838,N,95.102,W
9/12/2007,12:30:00,27.84,N,95.103,W
9/12/2007,12:32:00,27.843,N,95.103,W
9/12/2007,12:33:59,27.846,N,95.103,W
9/12/2007,12:36:00,27.848,N,95.103,W
9/12/2007,12:37:59,27.851,N,95.103,W
9/12/2007,12:40:00,27.854,N,95.103,W
9/12/2007,12:41:59,27.856,N,95.103,W
9/12/2007,12:44:00,27.859,N,95.103,W
9/12/2007,12:45:59,27.862,N,95.103,W
9/12/2007,12:48:00,27.864,N,95.104,W
9/12/2007,12:49:59,27.867,N,95.104,W
9/12/2007,12:52:00,27.869,N,95.104,W
9/12/2007,12:53:59,27.872,N,95.104,W
9/12/2007,12:56:00,27.875,N,95.104,W
9/12/2007,12:57:59,27.877,N,95.104,W
9/12/2007,13:00:00,27.88,N,95.104,W
9/12/2007,13:02:00,27.883,N,95.104,W
9/12/2007,13:03:59,27.885,N,95.104,W
9/12/2007,13:06:00,27.888,N,95.104,W
9/12/2007,13:07:59,27.891,N,95.104,W
9/12/2007,13:10:00,27.893,N,95.104,W
9/12/2007,13:11:59,27.896,N,95.104,W
9/12/2007,13:14:00,27.899,N,95.104,W
9/12/2007,13:15:59,27.901,N,95.104,W
9/12/2007,13:18:00,27.904,N,95.104,W
9/12/2007,13:19:59,27.906,N,95.104,W
9/12/2007,13:22:00,27.909,N,95.104,W
9/12/2007,13:23:59,27.912,N,95.104,W
9/12/2007,13:26:00,27.914,N,95.104,W
9/12/2007,13:27:59,27.917,N,95.104,W
9/12/2007,13:30:00,27.92,N,95.104,W
9/12/2007,13:32:00,27.922,N,95.104,W
9/12/2007,13:33:59,27.925,N,95.104,W
9/12/2007,13:36:00,27.927,N,95.104,W
9/12/2007,13:37:59,27.93,N,95.103,W
9/12/2007,13:40:00,27.933,N,95.103,W
9/12/2007,13:41:59,27.935,N,95.103,W
9/12/2007,13:44:00,27.938,N,95.103,W
9/12/2007,13:45:59,27.94,N,95.103,W
9/12/2007,13:48:00,27.943,N,95.103,W
9/12/2007,13:49:59,27.946,N,95.103,W
9/12/2007,13:52:00,27.948,N,95.103,W
9/12/2007,13:53:59,27.951,N,95.103,W
9/12/2007,13:56:00,27.953,N,95.102,W
9/12/2007,13:57:59,27.956,N,95.102,W
9/12/2007,14:00:00,27.959,N,95.102,W
9/12/2007,14:02:00,27.961,N,95.102,W
9/12/2007,14:03:59,27.964,N,95.102,W
9/12/2007,14:06:00,27.966,N,95.102,W
9/12/2007,14:07:59,27.969,N,95.101,W
9/12/2007,14:10:00,27.972,N,95.101,W
9/12/2007,14:11:59,27.974,N,95.101,W
9/12/2007,14:14:00,27.977,N,95.101,W
9/12/2007,14:15:59,27.979,N,95.101,W
9/12/2007,14:18:00,27.982,N,95.101,W
9/12/2007,14:19:59,27.985,N,95.1,W
9/12/2007,14:22:00,27.987,N,95.1,W
9/12/2007,14:23:59,27.99,N,95.1,W
9/12/2007,14:26:00,27.992,N,95.1,W
9/12/2007,14:27:59,27.995,N,95.099,W
9/12/2007,14:30:00,27.997,N,95.099,W
9/12/2007,14:32:00,28,N,95.099,W
9/12/2007,14:33:59,28.003,N,95.099,W
9/12/2007,14:36:00,28.005,N,95.099,W
9/12/2007,14:37:59,28.008,N,95.098,W
9/12/2007,14:40:00,28.01,N,95.098,W
9/12/2007,14:41:59,28.013,N,95.098,W
9/12/2007,14:44:00,28.015,N,95.097,W
9/12/2007,14:45:59,28.018,N,95.097,W
9/12/2007,14:48:00,28.021,N,95.097,W
9/12/2007,14:49:59,28.023,N,95.097,W
9/12/2007,14:52:00,28.026,N,95.096,W
9/12/2007,14:53:59,28.028,N,95.096,W
9/12/2007,14:56:00,28.031,N,95.096,W
9/12/2007,14:57:59,28.033,N,95.095,W
9/12/2007,15:00:00,28.036,N,95.095,W
9/12/2007,15:02:00,28.038,N,95.095,W
9/12/2007,15:03:59,28.041,N,95.094,W
9/12/2007,15:06:00,28.044,N,95.094,W
9/12/2007,15:07:59,28.046,N,95.094,W
9/12/2007,15:10:00,28.049,N,95.094,W
9/12/2007,15:11:59,28.051,N,95.093,W
9/12/2007,15:14:00,28.054,N,95.093,W
9/12/2007,15:15:59,28.056,N,95.092,W
9/12/2007,15:18:00,28.059,N,95.092,W
9/12/2007,15:19:59,28.061,N,95.092,W
9/12/2007,15:22:00,28.064,N,95.091,W
9/12/2007,15:23:59,28.066,N,95.091,W
9/12/2007,15:26:00,28.069,N,95.091,W
9/12/2007,15:27:59,28.072,N,95.09,W
9/12/2007,15:30:00,28.074,N,95.09,W
9/12/2007,15:32:00,28.077,N,95.09,W
9/12/2007,15:33:59,28.079,N,95.089,W
9/12/2007,15:36:00,28.082,N,95.089,W
9/12/2007,15:37:59,28.084,N,95.088,W
9/12/2007,15:40:00,28.087,N,95.088,W
9/12/2007,15:41:59,28.089,N,95.088,W
9/12/2007,15:44:00,28.092,N,95.087,W
9/12/2007,15:45:59,28.094,N,95.087,W
9/12/2007,15:48:00,28.097,N,95.086,W
9/12/2007,15:49:59,28.099,N,95.086,W
9/12/2007,15:52:00,28.102,N,95.085,W
9/12/2007,15:53:59,28.104,N,95.085,W
9/12/2007,15:56:00,28.107,N,95.085,W
9/12/2007,15:57:59,28.11,N,95.084,W
9/12/2007,16:00:00,28.112,N,95.084,W
9/12/2007,16:01:59,28.115,N,95.083,W
9/12/2007,16:04:00,28.117,N,95.083,W
9/12/2007,16:06:00,28.12,N,95.082,W
9/12/2007,16:07:59,28.122,N,95.082,W
9/12/2007,16:09:59,28.125,N,95.081,W
9/12/2007,16:12:00,28.127,N,95.081,W
9/12/2007,16:14:00,28.13,N,95.081,W
9/12/2007,16:15:59,28.132,N,95.08,W
9/12/2007,16:17:59,28.135,N,95.08,W
9/12/2007,16:20:00,28.137,N,95.079,W
9/12/2007,16:22:00,28.14,N,95.079,W
9/12/2007,16:23:59,28.142,N,95.078,W
9/12/2007,16:25:59,28.145,N,95.078,W
9/12/2007,16:28:00,28.147,N,95.077,W
9/12/2007,16:30:00,28.15,N,95.077,W
9/12/2007,16:31:59,28.152,N,95.076,W
9/12/2007,16:34:00,28.155,N,95.076,W
9/12/2007,16:36:00,28.157,N,95.075,W
9/12/2007,16:37:59,28.16,N,95.075,W
9/12/2007,16:39:59,28.162,N,95.074,W
9/12/2007,16:42:00,28.165,N,95.074,W
9/12/2007,16:44:00,28.167,N,95.073,W
9/12/2007,16:45:59,28.17,N,95.073,W
9/12/2007,16:47:59,28.172,N,95.072,W
9/12/2007,16:50:00,28.175,N,95.071,W
9/12/2007,16:52:00,28.177,N,95.071,W
9/12/2007,16:53:59,28.18,N,95.07,W
9/12/2007,16:55:59,28.182,N,95.07,W
9/12/2007,16:58:00,28.185,N,95.069,W
9/12/2007,17:00:00,28.187,N,95.069,W
9/12/2007,17:01:59,28.19,N,95.068,W
9/12/2007,17:04:00,28.192,N,95.068,W
9/12/2007,17:06:00,28.195,N,95.067,W
9/12/2007,17:07:59,28.197,N,95.067,W
9/12/2007,17:09:59,28.2,N,95.066,W
9/12/2007,17:12:00,28.202,N,95.065,W
9/12/2007,17:14:00,28.205,N,95.065,W
9/12/2007,17:15:59,28.207,N,95.064,W
9/12/2007,17:17:59,28.21,N,95.064,W
9/12/2007,17:20:00,28.212,N,95.063,W
9/12/2007,17:22:00,28.215,N,95.063,W
9/12/2007,17:23:59,28.217,N,95.062,W
9/12/2007,17:25:59,28.22,N,95.061,W
9/12/2007,17:28:00,28.222,N,95.061,W
9/12/2007,17:30:00,28.225,N,95.06,W
9/12/2007,17:31:59,28.227,N,95.06,W
9/12/2007,17:34:00,28.23,N,95.059,W
9/12/2007,17:36:00,28.232,N,95.058,W
9/12/2007,17:37:59,28.235,N,95.058,W
9/12/2007,17:39:59,28.237,N,95.057,W
9/12/2007,17:42:00,28.24,N,95.057,W
9/12/2007,17:44:00,28.242,N,95.056,W
9/12/2007,17:45:59,28.244,N,95.055,W
9/12/2007,17:47:59,28.247,N,95.055,W
9/12/2007,17:50:00,28.249,N,95.054,W
9/12/2007,17:52:00,28.252,N,95.054,W
9/12/2007,17:53:59,28.254,N,95.053,W
9/12/2007,17:55:59,28.257,N,95.052,W
9/12/2007,17:58:00,28.259,N,95.052,W
9/12/2007,18:00:00,28.262,N,95.051,W
9/12/2007,18:01:59,28.264,N,95.05,W
9/12/2007,18:04:00,28.267,N,95.05,W
9/12/2007,18:06:00,28.269,N,95.049,W
9/12/2007,18:07:59,28.272,N,95.049,W
9/12/2007,18:09:59,28.274,N,95.048,W
9/12/2007,18:12:00,28.277,N,95.047,W
9/12/2007,18:14:00,28.279,N,95.047,W
9/12/2007,18:15:59,28.282,N,95.046,W
9/12/2007,18:17:59,28.284,N,95.045,W
9/12/2007,18:20:00,28.287,N,95.045,W
9/12/2007,18:22:00,28.289,N,95.044,W
9/12/2007,18:23:59,28.291,N,95.043,W
9/12/2007,18:25:15,28.293,N,95.043,W
9/12/2007,18:27:14,28.298,N,95.036,W
9/12/2007,18:29:14,28.303,N,95.029,W
9/12/2007,18:31:15,28.308,N,95.023,W
9/12/2007,18:33:15,28.313,N,95.017,W
9/12/2007,18:35:14,28.318,N,95.01,W
9/12/2007,18:37:14,28.323,N,95.005,W
9/12/2007,18:39:15,28.328,N,94.999,W
9/12/2007,18:41:15,28.333,N,94.993,W
9/12/2007,18:43:14,28.337,N,94.988,W
9/12/2007,18:45:15,28.342,N,94.983,W
9/12/2007,18:47:15,28.347,N,94.978,W
9/12/2007,18:49:14,28.351,N,94.974,W
9/12/2007,18:51:14,28.356,N,94.969,W
9/12/2007,18:53:15,28.36,N,94.965,W
9/12/2007,18:55:15,28.364,N,94.961,W
9/12/2007,18:57:14,28.369,N,94.957,W
9/12/2007,18:59:14,28.373,N,94.953,W
9/12/2007,19:01:15,28.377,N,94.949,W
9/12/2007,19:03:15,28.381,N,94.946,W
9/12/2007,19:05:14,28.385,N,94.943,W
9/12/2007,19:07:14,28.389,N,94.94,W
9/12/2007,19:09:15,28.393,N,94.937,W
9/12/2007,19:11:15,28.397,N,94.934,W
9/12/2007,19:13:14,28.401,N,94.931,W
9/12/2007,19:15:15,28.405,N,94.929,W
9/12/2007,19:17:15,28.409,N,94.926,W
9/12/2007,19:19:14,28.412,N,94.924,W
9/12/2007,19:21:14,28.416,N,94.922,W
9/12/2007,19:23:15,28.42,N,94.92,W
9/12/2007,19:25:15,28.423,N,94.919,W
9/12/2007,19:27:14,28.427,N,94.917,W
9/12/2007,19:29:14,28.43,N,94.915,W
9/12/2007,19:31:15,28.434,N,94.914,W
9/12/2007,19:33:15,28.437,N,94.913,W
9/12/2007,19:35:14,28.441,N,94.912,W
9/12/2007,19:37:14,28.444,N,94.911,W
9/12/2007,19:39:15,28.447,N,94.91,W
9/12/2007,19:41:15,28.451,N,94.909,W
9/12/2007,19:43:14,28.454,N,94.909,W
9/12/2007,19:45:15,28.457,N,94.908,W
9/12/2007,19:47:15,28.46,N,94.908,W
9/12/2007,19:49:14,28.464,N,94.907,W
9/12/2007,19:51:14,28.467,N,94.907,W
9/12/2007,19:53:15,28.47,N,94.907,W
9/12/2007,19:55:15,28.473,N,94.907,W
9/12/2007,19:57:14,28.476,N,94.907,W
9/12/2007,19:59:14,28.479,N,94.907,W
9/12/2007,20:01:15,28.482,N,94.907,W
9/12/2007,20:03:15,28.485,N,94.908,W
9/12/2007,20:05:14,28.488,N,94.908,W
9/12/2007,20:07:14,28.491,N,94.909,W
9/12/2007,20:09:15,28.494,N,94.909,W
9/12/2007,20:11:15,28.497,N,94.91,W
9/12/2007,20:13:14,28.499,N,94.911,W
9/12/2007,20:14:22,28.501,N,94.911,W
9/12/2007,20:16:23,28.504,N,94.912,W
9/12/2007,20:18:22,28.507,N,94.913,W
9/12/2007,20:20:22,28.51,N,94.914,W
9/12/2007,20:22:23,28.513,N,94.916,W
9/12/2007,20:24:23,28.516,N,94.917,W
9/12/2007,20:26:22,28.518,N,94.918,W
9/12/2007,20:28:22,28.521,N,94.92,W
9/12/2007,20:30:23,28.524,N,94.921,W
9/12/2007,20:32:23,28.527,N,94.922,W
9/12/2007,20:34:22,28.529,N,94.924,W
9/12/2007,20:36:22,28.532,N,94.925,W
9/12/2007,20:38:23,28.535,N,94.927,W
9/12/2007,20:40:23,28.537,N,94.928,W
9/12/2007,20:42:22,28.54,N,94.929,W
9/12/2007,20:44:22,28.543,N,94.93,W
9/12/2007,20:46:23,28.545,N,94.932,W
9/12/2007,20:48:22,28.548,N,94.933,W
9/12/2007,20:50:22,28.55,N,94.934,W
9/12/2007,20:52:23,28.553,N,94.935,W
9/12/2007,20:54:23,28.555,N,94.936,W
9/12/2007,20:56:22,28.558,N,94.937,W
9/12/2007,20:57:19,28.559,N,94.937,W
9/12/2007,20:59:20,28.561,N,94.937,W
9/12/2007,21:01:20,28.563,N,94.936,W
9/12/2007,21:03:19,28.566,N,94.936,W
9/12/2007,21:05:19,28.568,N,94.935,W
9/12/2007,21:07:20,28.57,N,94.934,W
9/12/2007,21:09:20,28.572,N,94.933,W
9/12/2007,21:11:19,28.574,N,94.931,W
9/12/2007,21:13:19,28.575,N,94.929,W
9/12/2007,21:15:20,28.577,N,94.927,W
9/12/2007,21:17:20,28.579,N,94.925,W
9/12/2007,21:19:19,28.58,N,94.923,W
9/12/2007,21:21:20,28.582,N,94.92,W
9/12/2007,21:23:20,28.584,N,94.917,W
9/12/2007,21:25:19,28.585,N,94.914,W
9/12/2007,21:27:19,28.587,N,94.911,W
9/12/2007,21:29:20,28.588,N,94.908,W
9/12/2007,21:31:20,28.589,N,94.905,W
9/12/2007,21:33:19,28.591,N,94.902,W
9/12/2007,21:35:19,28.592,N,94.898,W
9/12/2007,21:37:20,28.594,N,94.895,W
9/12/2007,21:39:20,28.595,N,94.891,W
9/12/2007,21:41:19,28.597,N,94.888,W
9/12/2007,21:43:19,28.598,N,94.884,W
9/12/2007,21:45:20,28.6,N,94.881,W
9/12/2007,21:47:20,28.602,N,94.877,W
9/12/2007,21:49:19,28.603,N,94.874,W
9/12/2007,21:51:20,28.605,N,94.871,W
9/12/2007,21:53:20,28.607,N,94.867,W
9/12/2007,21:55:19,28.609,N,94.864,W
9/12/2007,21:57:19,28.611,N,94.861,W
9/12/2007,21:59:20,28.613,N,94.858,W
9/12/2007,22:01:20,28.615,N,94.855,W
9/12/2007,22:03:19,28.618,N,94.852,W
9/12/2007,22:05:19,28.62,N,94.85,W
9/12/2007,22:07:20,28.622,N,94.848,W
9/12/2007,22:09:20,28.625,N,94.845,W
9/12/2007,22:11:19,28.628,N,94.843,W
9/12/2007,22:13:19,28.631,N,94.842,W
9/12/2007,22:15:20,28.634,N,94.84,W
9/12/2007,22:17:20,28.637,N,94.839,W
9/12/2007,22:19:19,28.64,N,94.837,W
9/12/2007,22:21:20,28.643,N,94.836,W
9/12/2007,22:23:20,28.647,N,94.835,W
9/12/2007,22:25:19,28.65,N,94.834,W
9/12/2007,22:27:19,28.654,N,94.834,W
9/12/2007,22:29:20,28.658,N,94.833,W
9/12/2007,22:31:20,28.661,N,94.833,W
9/12/2007,22:33:19,28.665,N,94.832,W
9/12/2007,22:34:51,28.668,N,94.832,W
9/12/2007,22:36:50,28.672,N,94.832,W
9/12/2007,22:38:50,28.675,N,94.831,W
9/12/2007,22:40:51,28.679,N,94.831,W
9/12/2007,22:42:50,28.683,N,94.831,W
9/12/2007,22:44:50,28.687,N,94.831,W
9/12/2007,22:46:51,28.691,N,94.831,W
9/12/2007,22:48:51,28.695,N,94.831,W
9/12/2007,22:50:50,28.699,N,94.831,W
9/12/2007,22:52:50,28.704,N,94.832,W
9/12/2007,22:54:51,28.708,N,94.832,W
9/12/2007,22:56:51,28.712,N,94.833,W
9/12/2007,22:58:50,28.717,N,94.834,W
9/12/2007,23:00:50,28.722,N,94.834,W
9/12/2007,23:02:51,28.727,N,94.835,W
9/12/2007,23:03:49,28.729,N,94.836,W
9/12/2007,23:05:49,28.733,N,94.836,W
9/12/2007,23:07:50,28.737,N,94.836,W
9/12/2007,23:09:50,28.741,N,94.837,W
9/12/2007,23:11:49,28.746,N,94.837,W
9/12/2007,23:13:50,28.75,N,94.837,W
9/12/2007,23:15:50,28.754,N,94.837,W
9/12/2007,23:17:49,28.758,N,94.837,W
9/12/2007,23:19:49,28.762,N,94.837,W
9/12/2007,23:21:50,28.766,N,94.837,W
9/12/2007,23:23:50,28.77,N,94.837,W
9/12/2007,23:25:49,28.774,N,94.837,W
9/12/2007,23:27:49,28.778,N,94.837,W
9/12/2007,23:29:50,28.782,N,94.837,W
9/12/2007,23:31:50,28.786,N,94.837,W
9/12/2007,23:33:49,28.79,N,94.836,W
9/12/2007,23:35:49,28.794,N,94.836,W
9/12/2007,23:37:50,28.798,N,94.836,W
9/12/2007,23:39:50,28.802,N,94.836,W
9/12/2007,23:41:49,28.806,N,94.835,W
9/12/2007,23:43:50,28.809,N,94.835,W
9/12/2007,23:45:50,28.813,N,94.835,W
9/12/2007,23:47:49,28.817,N,94.834,W
9/12/2007,23:49:49,28.821,N,94.834,W
9/12/2007,23:51:50,28.825,N,94.833,W
9/12/2007,23:53:50,28.828,N,94.833,W
9/12/2007,23:55:49,28.832,N,94.832,W
9/12/2007,23:57:49,28.836,N,94.831,W
9/12/2007,23:59:50,28.839,N,94.831,W
9/13/2007,0:01:50,28.843,N,94.83,W
9/13/2007,0:03:49,28.846,N,94.829,W
9/13/2007,0:05:49,28.85,N,94.828,W
9/13/2007,0:07:50,28.854,N,94.827,W
9/13/2007,0:09:50,28.857,N,94.826,W
9/13/2007,0:11:49,28.86,N,94.825,W
9/13/2007,0:13:50,28.864,N,94.824,W
9/13/2007,0:15:50,28.867,N,94.823,W
9/13/2007,0:17:49,28.871,N,94.822,W
9/13/2007,0:19:49,28.874,N,94.821,W
