Track,for,Mindy,2003,,,
10/10/2003,19:44:00,19.417,N,69.166,W,0
10/10/2003,19:45:59,19.434,N,69.167,W,0
10/10/2003,19:47:59,19.451,N,69.167,W,0
10/10/2003,19:50:00,19.468,N,69.165,W,0
10/10/2003,19:52:00,19.486,N,69.162,W,0
10/10/2003,19:53:59,19.504,N,69.158,W,0
10/10/2003,19:55:59,19.522,N,69.153,W,0
10/10/2003,19:58:00,19.54,N,69.148,W,0
10/10/2003,20:00:00,19.557,N,69.141,W,0
10/10/2003,20:01:59,19.574,N,69.134,W,0
10/10/2003,20:04:00,19.591,N,69.127,W,0
10/10/2003,20:06:00,19.606,N,69.119,W,0
10/10/2003,20:07:59,19.62,N,69.112,W,0
10/10/2003,20:09:59,19.633,N,69.104,W,0
10/10/2003,20:12:00,19.645,N,69.097,W,0
10/10/2003,20:14:00,19.655,N,69.089,W,0
10/10/2003,20:15:59,19.663,N,69.083,W,0
10/10/2003,20:17:59,19.669,N,69.077,W,0
10/10/2003,20:20:00,19.673,N,69.072,W,0
10/10/2003,20:22:00,19.676,N,69.067,W,0
10/10/2003,20:23:59,19.677,N,69.063,W,0
10/10/2003,20:25:59,19.676,N,69.059,W,0
10/10/2003,20:28:00,19.673,N,69.056,W,0
10/10/2003,20:30:00,19.669,N,69.053,W,0
10/10/2003,20:31:59,19.664,N,69.051,W,0
10/10/2003,20:34:00,19.658,N,69.049,W,0
10/10/2003,20:36:00,19.65,N,69.048,W,0
10/10/2003,20:36:00,19.65,N,69.048,W,0
10/10/2003,20:38:01,19.639,N,69.047,W,0
10/10/2003,20:40:01,19.627,N,69.046,W,0
10/10/2003,20:42:00,19.616,N,69.045,W,0
10/10/2003,20:44:01,19.604,N,69.045,W,0
10/10/2003,20:46:01,19.593,N,69.044,W,0
10/10/2003,20:48:00,19.583,N,69.044,W,0
10/10/2003,20:50:00,19.573,N,69.044,W,0
10/10/2003,20:52:01,19.563,N,69.045,W,0
10/10/2003,20:53:10,19.558,N,69.045,W,0
10/10/2003,20:55:10,19.562,N,69.049,W,0
10/10/2003,20:57:11,19.566,N,69.053,W,0
10/10/2003,20:59:11,19.571,N,69.057,W,0
10/10/2003,21:01:10,19.575,N,69.061,W,0
10/10/2003,21:03:10,19.579,N,69.065,W,0
10/10/2003,21:05:11,19.583,N,69.069,W,0
10/10/2003,21:07:11,19.587,N,69.074,W,0
10/10/2003,21:09:10,19.591,N,69.078,W,0
10/10/2003,21:11:10,19.596,N,69.082,W,0
10/10/2003,21:13:11,19.6,N,69.086,W,0
10/10/2003,21:15:11,19.604,N,69.09,W,0
10/10/2003,21:17:10,19.608,N,69.094,W,0
10/10/2003,21:19:11,19.612,N,69.098,W,0
10/10/2003,21:21:11,19.617,N,69.102,W,0
10/10/2003,21:23:10,19.621,N,69.106,W,0
10/10/2003,21:25:10,19.625,N,69.11,W,0
10/10/2003,21:27:11,19.629,N,69.114,W,0
10/10/2003,21:29:11,19.633,N,69.118,W,0
10/10/2003,21:31:10,19.638,N,69.122,W,0
10/10/2003,21:33:10,19.642,N,69.127,W,0
10/10/2003,21:35:11,19.646,N,69.131,W,0
10/10/2003,21:37:11,19.65,N,69.135,W,0
10/10/2003,21:39:10,19.654,N,69.139,W,0
10/10/2003,21:41:10,19.658,N,69.143,W,0
10/10/2003,21:43:11,19.663,N,69.147,W,0
10/10/2003,21:45:11,19.667,N,69.151,W,0
10/10/2003,21:47:10,19.671,N,69.155,W,0
10/10/2003,21:49:10,19.675,N,69.159,W,0
10/10/2003,21:51:09,19.679,N,69.163,W,0
10/10/2003,21:53:09,19.684,N,69.167,W,0
10/10/2003,21:55:10,19.688,N,69.171,W,0
10/10/2003,21:57:10,19.692,N,69.175,W,0
10/10/2003,21:59:09,19.696,N,69.18,W,0
10/10/2003,22:01:09,19.701,N,69.184,W,0
10/10/2003,22:03:10,19.705,N,69.188,W,0
10/10/2003,22:05:09,19.709,N,69.192,W,0
10/10/2003,22:07:09,19.713,N,69.196,W,0
10/10/2003,22:09:10,19.718,N,69.2,W,0
10/10/2003,22:11:10,19.722,N,69.204,W,0
10/10/2003,22:13:09,19.726,N,69.208,W,0
10/10/2003,22:15:09,19.73,N,69.212,W,0
10/10/2003,22:17:10,19.735,N,69.216,W,0
10/10/2003,22:19:10,19.739,N,69.221,W,0
10/10/2003,22:21:09,19.743,N,69.225,W,0
10/10/2003,22:23:09,19.748,N,69.229,W,0
10/10/2003,22:25:10,19.752,N,69.233,W,0
10/10/2003,22:27:10,19.756,N,69.237,W,0
10/10/2003,22:29:09,19.76,N,69.241,W,0
10/10/2003,22:31:09,19.765,N,69.245,W,0
10/10/2003,22:33:10,19.769,N,69.249,W,0
10/10/2003,22:35:09,19.773,N,69.254,W,0
10/10/2003,22:37:09,19.778,N,69.258,W,0
10/10/2003,22:39:10,19.782,N,69.262,W,0
10/10/2003,22:41:10,19.786,N,69.266,W,0
10/10/2003,22:43:09,19.791,N,69.27,W,0
10/10/2003,22:45:09,19.795,N,69.274,W,0
10/10/2003,22:47:10,19.8,N,69.278,W,0
10/10/2003,22:49:10,19.804,N,69.282,W,0
10/10/2003,22:51:09,19.808,N,69.287,W,0
10/10/2003,22:53:09,19.813,N,69.291,W,0
10/10/2003,22:55:10,19.817,N,69.295,W,0
10/10/2003,22:57:10,19.821,N,69.299,W,0
10/10/2003,22:59:09,19.826,N,69.303,W,0
10/10/2003,23:01:09,19.83,N,69.307,W,0
10/10/2003,23:03:10,19.835,N,69.312,W,0
10/10/2003,23:05:09,19.839,N,69.316,W,0
10/10/2003,23:07:09,19.844,N,69.32,W,0
10/10/2003,23:09:10,19.848,N,69.324,W,0
10/10/2003,23:11:10,19.853,N,69.328,W,0
10/10/2003,23:13:09,19.857,N,69.332,W,0
10/10/2003,23:15:09,19.861,N,69.337,W,0
10/10/2003,23:17:10,19.866,N,69.341,W,0
10/10/2003,23:19:10,19.87,N,69.345,W,0
10/10/2003,23:21:09,19.875,N,69.349,W,0
10/10/2003,23:23:09,19.879,N,69.353,W,0
10/10/2003,23:25:10,19.884,N,69.358,W,0
10/10/2003,23:27:10,19.889,N,69.362,W,0
10/10/2003,23:29:09,19.893,N,69.366,W,0
10/10/2003,23:31:09,19.898,N,69.37,W,0
10/10/2003,23:33:10,19.902,N,69.374,W,0
10/10/2003,23:35:09,19.907,N,69.379,W,0
10/10/2003,23:37:09,19.911,N,69.383,W,0
10/10/2003,23:39:10,19.916,N,69.387,W,0
10/10/2003,23:41:10,19.921,N,69.391,W,0
10/10/2003,23:43:09,19.925,N,69.396,W,0
10/10/2003,23:45:09,19.93,N,69.4,W,0
10/10/2003,23:47:10,19.934,N,69.404,W,0
10/10/2003,23:49:10,19.939,N,69.408,W,0
10/10/2003,23:51:09,19.944,N,69.413,W,0
10/10/2003,23:53:09,19.948,N,69.417,W,0
10/10/2003,23:55:10,19.953,N,69.421,W,0
10/10/2003,23:57:10,19.958,N,69.425,W,0
10/10/2003,23:59:09,19.962,N,69.43,W,0
10/11/2003,0:01:09,19.967,N,69.434,W,0
10/11/2003,0:03:10,19.972,N,69.438,W,0
10/11/2003,0:05:09,19.977,N,69.442,W,0
10/11/2003,0:07:09,19.981,N,69.447,W,0
10/11/2003,0:09:10,19.986,N,69.451,W,0
10/11/2003,0:11:10,19.991,N,69.455,W,0
10/11/2003,0:13:09,19.996,N,69.46,W,0
10/11/2003,0:15:09,20,N,69.464,W,0
10/11/2003,0:17:10,20.005,N,69.468,W,0
10/11/2003,0:19:10,20.01,N,69.472,W,0
10/11/2003,0:21:09,20.015,N,69.477,W,0
10/11/2003,0:23:09,20.02,N,69.481,W,0
10/11/2003,0:25:10,20.025,N,69.485,W,0
10/11/2003,0:27:10,20.03,N,69.49,W,0
10/11/2003,0:29:09,20.034,N,69.494,W,0
10/11/2003,0:31:09,20.039,N,69.498,W,0
10/11/2003,0:33:10,20.044,N,69.503,W,0
10/11/2003,0:35:09,20.049,N,69.507,W,0
10/11/2003,0:37:09,20.054,N,69.511,W,0
10/11/2003,0:39:10,20.059,N,69.516,W,0
10/11/2003,0:41:10,20.064,N,69.52,W,0
10/11/2003,0:43:09,20.069,N,69.525,W,0
10/11/2003,0:45:09,20.074,N,69.529,W,0
10/11/2003,0:47:10,20.079,N,69.533,W,0
10/11/2003,0:49:10,20.084,N,69.538,W,0
10/11/2003,0:51:09,20.089,N,69.542,W,0
10/11/2003,0:53:09,20.094,N,69.546,W,0
10/11/2003,0:55:10,20.099,N,69.551,W,0
10/11/2003,0:57:10,20.104,N,69.555,W,0
10/11/2003,0:59:09,20.109,N,69.56,W,0
10/11/2003,1:01:09,20.114,N,69.564,W,0
10/11/2003,1:03:10,20.12,N,69.569,W,0
10/11/2003,1:05:09,20.125,N,69.573,W,0
10/11/2003,1:07:09,20.13,N,69.577,W,0
10/11/2003,1:09:10,20.135,N,69.582,W,0
10/11/2003,1:11:10,20.14,N,69.586,W,0
10/11/2003,1:13:09,20.145,N,69.591,W,0
10/11/2003,1:15:09,20.151,N,69.595,W,0
10/11/2003,1:17:10,20.156,N,69.6,W,0
10/11/2003,1:19:10,20.161,N,69.604,W,0
10/11/2003,1:21:09,20.166,N,69.609,W,0
10/11/2003,1:23:09,20.172,N,69.613,W,0
10/11/2003,1:25:10,20.177,N,69.618,W,0
10/11/2003,1:27:10,20.182,N,69.622,W,0
10/11/2003,1:29:09,20.188,N,69.627,W,0
10/11/2003,1:31:09,20.193,N,69.631,W,0
10/11/2003,1:33:10,20.198,N,69.636,W,0
10/11/2003,1:35:09,20.204,N,69.64,W,0
10/11/2003,1:37:09,20.209,N,69.645,W,0
10/11/2003,1:39:10,20.215,N,69.649,W,0
10/11/2003,1:41:10,20.22,N,69.654,W,0
10/11/2003,1:43:09,20.226,N,69.658,W,0
10/11/2003,1:45:09,20.231,N,69.663,W,0
10/11/2003,1:47:10,20.237,N,69.667,W,0
10/11/2003,1:49:10,20.242,N,69.672,W,0
10/11/2003,1:51:09,20.248,N,69.677,W,0
10/11/2003,1:53:09,20.253,N,69.681,W,0
10/11/2003,1:55:10,20.259,N,69.686,W,0
10/11/2003,1:57:10,20.264,N,69.69,W,0
10/11/2003,1:59:09,20.27,N,69.695,W,0
10/11/2003,2:01:09,20.275,N,69.699,W,0
10/11/2003,2:03:10,20.281,N,69.704,W,0
10/11/2003,2:05:09,20.287,N,69.709,W,0
10/11/2003,2:07:09,20.292,N,69.713,W,0
10/11/2003,2:09:10,20.298,N,69.718,W,0
10/11/2003,2:11:10,20.304,N,69.723,W,0
10/11/2003,2:13:09,20.31,N,69.727,W,0
10/11/2003,2:15:09,20.315,N,69.732,W,0
10/11/2003,2:17:10,20.321,N,69.737,W,0
10/11/2003,2:19:10,20.327,N,69.741,W,0
10/11/2003,2:21:09,20.333,N,69.746,W,0
10/11/2003,2:23:09,20.339,N,69.751,W,0
10/11/2003,2:25:10,20.345,N,69.755,W,0
10/11/2003,2:27:10,20.35,N,69.76,W,0
10/11/2003,2:29:09,20.356,N,69.765,W,0
10/11/2003,2:31:09,20.362,N,69.77,W,0
10/11/2003,2:33:10,20.368,N,69.774,W,0
10/11/2003,2:35:09,20.374,N,69.779,W,0
10/11/2003,2:37:09,20.38,N,69.784,W,0
10/11/2003,2:39:10,20.386,N,69.788,W,0
10/11/2003,2:41:10,20.392,N,69.793,W,0
10/11/2003,2:43:09,20.398,N,69.798,W,0
10/11/2003,2:45:09,20.404,N,69.803,W,0
10/11/2003,2:47:10,20.41,N,69.808,W,0
10/11/2003,2:49:10,20.416,N,69.812,W,0
10/11/2003,2:51:09,20.423,N,69.817,W,0
10/11/2003,2:53:09,20.429,N,69.822,W,0
10/11/2003,2:55:10,20.435,N,69.827,W,0
10/11/2003,2:57:10,20.441,N,69.832,W,0
10/11/2003,2:59:09,20.447,N,69.836,W,0
10/11/2003,3:01:09,20.453,N,69.841,W,0
10/11/2003,3:03:10,20.46,N,69.846,W,0
10/11/2003,3:05:09,20.466,N,69.851,W,0
10/11/2003,3:07:09,20.472,N,69.856,W,0
10/11/2003,3:09:10,20.478,N,69.861,W,0
10/11/2003,3:11:10,20.485,N,69.865,W,0
10/11/2003,3:13:09,20.491,N,69.87,W,0
10/11/2003,3:15:09,20.497,N,69.875,W,0
10/11/2003,3:17:10,20.504,N,69.88,W,0
10/11/2003,3:19:10,20.51,N,69.885,W,0
10/11/2003,3:21:09,20.516,N,69.89,W,0
10/11/2003,3:23:09,20.523,N,69.895,W,0
10/11/2003,3:25:10,20.529,N,69.9,W,0
10/11/2003,3:27:10,20.535,N,69.905,W,0
10/11/2003,3:29:09,20.542,N,69.91,W,0
10/11/2003,3:31:09,20.548,N,69.914,W,0
10/11/2003,3:33:10,20.555,N,69.919,W,0
10/11/2003,3:35:09,20.561,N,69.924,W,0
10/11/2003,3:37:09,20.568,N,69.929,W,0
10/11/2003,3:39:10,20.574,N,69.934,W,0
10/11/2003,3:41:10,20.58,N,69.939,W,0
10/11/2003,3:43:09,20.587,N,69.944,W,0
10/11/2003,3:45:09,20.593,N,69.949,W,0
10/11/2003,3:47:10,20.6,N,69.954,W,0
10/11/2003,3:49:10,20.606,N,69.959,W,0
10/11/2003,3:51:09,20.613,N,69.964,W,0
10/11/2003,3:53:09,20.619,N,69.969,W,0
10/11/2003,3:55:10,20.626,N,69.974,W,0
10/11/2003,3:57:10,20.633,N,69.979,W,0
10/11/2003,3:59:09,20.639,N,69.984,W,0
10/11/2003,4:01:09,20.646,N,69.989,W,0
10/11/2003,4:03:10,20.652,N,69.994,W,0
10/11/2003,4:05:09,20.659,N,69.999,W,0
10/11/2003,4:07:09,20.665,N,70.004,W,0
10/11/2003,4:09:10,20.672,N,70.009,W,0
10/11/2003,4:11:10,20.678,N,70.014,W,0
10/11/2003,4:13:09,20.685,N,70.019,W,0
10/11/2003,4:15:09,20.692,N,70.025,W,0
10/11/2003,4:17:10,20.698,N,70.03,W,0
10/11/2003,4:19:10,20.705,N,70.035,W,0
10/11/2003,4:21:09,20.711,N,70.04,W,0
10/11/2003,4:23:09,20.718,N,70.045,W,0
10/11/2003,4:25:10,20.725,N,70.05,W,0
10/11/2003,4:27:10,20.731,N,70.055,W,0
10/11/2003,4:29:09,20.738,N,70.06,W,0
10/11/2003,4:31:09,20.745,N,70.065,W,0
10/11/2003,4:33:10,20.751,N,70.07,W,0
10/11/2003,4:35:09,20.758,N,70.075,W,0
10/11/2003,4:37:09,20.764,N,70.081,W,0
10/11/2003,4:39:10,20.771,N,70.086,W,0
10/11/2003,4:41:10,20.778,N,70.091,W,0
10/11/2003,4:43:09,20.784,N,70.096,W,0
10/11/2003,4:45:09,20.791,N,70.101,W,0
10/11/2003,4:47:10,20.798,N,70.106,W,0
10/11/2003,4:49:10,20.804,N,70.111,W,0
10/11/2003,4:51:09,20.811,N,70.117,W,0
10/11/2003,4:53:09,20.818,N,70.122,W,0
10/11/2003,4:55:10,20.824,N,70.127,W,0
10/11/2003,4:57:10,20.831,N,70.132,W,0
10/11/2003,4:59:09,20.837,N,70.137,W,0
10/11/2003,5:01:09,20.844,N,70.142,W,0
10/11/2003,5:03:10,20.851,N,70.148,W,0
10/11/2003,5:05:09,20.857,N,70.153,W,0
10/11/2003,5:07:09,20.864,N,70.158,W,0
10/11/2003,5:09:10,20.871,N,70.163,W,0
10/11/2003,5:11:10,20.877,N,70.168,W,0
10/11/2003,5:13:09,20.884,N,70.174,W,0
10/11/2003,5:15:09,20.89,N,70.179,W,0
10/11/2003,5:17:10,20.897,N,70.184,W,0
10/11/2003,5:19:10,20.904,N,70.189,W,0
10/11/2003,5:21:09,20.91,N,70.195,W,0
10/11/2003,5:23:09,20.917,N,70.2,W,0
10/11/2003,5:25:10,20.923,N,70.205,W,0
10/11/2003,5:27:10,20.93,N,70.21,W,0
10/11/2003,5:29:09,20.937,N,70.215,W,0
10/11/2003,5:31:09,20.943,N,70.221,W,0
10/11/2003,5:33:10,20.95,N,70.226,W,0
10/11/2003,5:35:09,20.956,N,70.231,W,0
10/11/2003,5:37:09,20.963,N,70.236,W,0
10/11/2003,5:39:10,20.969,N,70.242,W,0
10/11/2003,5:41:10,20.976,N,70.247,W,0
10/11/2003,5:43:09,20.982,N,70.252,W,0
10/11/2003,5:45:09,20.989,N,70.258,W,0
10/11/2003,5:47:10,20.996,N,70.263,W,0
10/11/2003,5:49:10,21.002,N,70.268,W,0
10/11/2003,5:51:09,21.009,N,70.273,W,0
10/11/2003,5:53:09,21.015,N,70.279,W,0
10/11/2003,5:55:10,21.021,N,70.284,W,0
10/11/2003,5:57:10,21.028,N,70.289,W,0
10/11/2003,5:59:09,21.034,N,70.295,W,0
10/11/2003,6:01:09,21.041,N,70.3,W,0
10/11/2003,6:03:10,21.047,N,70.305,W,0
10/11/2003,6:05:09,21.054,N,70.31,W,0
10/11/2003,6:07:09,21.06,N,70.316,W,0
10/11/2003,6:09:10,21.066,N,70.321,W,0
10/11/2003,6:11:10,21.073,N,70.326,W,0
10/11/2003,6:13:09,21.079,N,70.332,W,0
10/11/2003,6:15:09,21.086,N,70.337,W,0
10/11/2003,6:17:10,21.092,N,70.342,W,0
10/11/2003,6:19:10,21.098,N,70.348,W,0
10/11/2003,6:21:09,21.105,N,70.353,W,0
10/11/2003,6:23:09,21.111,N,70.358,W,0
10/11/2003,6:25:10,21.117,N,70.364,W,0
10/11/2003,6:27:10,21.123,N,70.369,W,0
10/11/2003,6:29:09,21.13,N,70.374,W,0
10/11/2003,6:31:09,21.136,N,70.38,W,0
10/11/2003,6:33:10,21.142,N,70.385,W,0
10/11/2003,6:35:09,21.148,N,70.39,W,0
10/11/2003,6:37:09,21.155,N,70.396,W,0
10/11/2003,6:39:10,21.161,N,70.401,W,0
10/11/2003,6:41:10,21.167,N,70.407,W,0
10/11/2003,6:43:09,21.173,N,70.412,W,0
10/11/2003,6:45:09,21.179,N,70.417,W,0
10/11/2003,6:47:10,21.185,N,70.423,W,0
10/11/2003,6:49:10,21.191,N,70.428,W,0
10/11/2003,6:51:09,21.197,N,70.433,W,0
10/11/2003,6:53:09,21.203,N,70.439,W,0
10/11/2003,6:55:10,21.209,N,70.444,W,0
10/11/2003,6:57:10,21.216,N,70.45,W,0
10/11/2003,6:59:09,21.221,N,70.455,W,0
10/11/2003,7:01:09,21.227,N,70.46,W,0
10/11/2003,7:03:10,21.233,N,70.466,W,0
10/11/2003,7:05:09,21.239,N,70.471,W,0
10/11/2003,7:07:09,21.245,N,70.476,W,0
10/11/2003,7:09:10,21.251,N,70.482,W,0
10/11/2003,7:11:10,21.257,N,70.487,W,0
10/11/2003,7:13:09,21.263,N,70.493,W,0
10/11/2003,7:15:09,21.269,N,70.498,W,0
10/11/2003,7:17:10,21.275,N,70.503,W,0
10/11/2003,7:19:10,21.28,N,70.509,W,0
10/11/2003,7:21:09,21.286,N,70.514,W,0
10/11/2003,7:23:09,21.292,N,70.52,W,0
10/11/2003,7:25:10,21.298,N,70.525,W,0
10/11/2003,7:27:10,21.303,N,70.53,W,0
10/11/2003,7:29:09,21.309,N,70.536,W,0
10/11/2003,7:31:09,21.315,N,70.541,W,0
10/11/2003,7:33:10,21.32,N,70.547,W,0
10/11/2003,7:35:09,21.326,N,70.552,W,0
10/11/2003,7:37:09,21.331,N,70.558,W,0
10/11/2003,7:39:10,21.337,N,70.563,W,0
10/11/2003,7:41:10,21.342,N,70.568,W,0
10/11/2003,7:43:09,21.348,N,70.574,W,0
10/11/2003,7:45:09,21.353,N,70.579,W,0
10/11/2003,7:47:10,21.359,N,70.585,W,0
10/11/2003,7:49:10,21.364,N,70.59,W,0
10/11/2003,7:51:09,21.369,N,70.595,W,0
10/11/2003,7:53:09,21.375,N,70.601,W,0
10/11/2003,7:55:10,21.38,N,70.606,W,0
10/11/2003,7:57:10,21.385,N,70.612,W,0
10/11/2003,7:59:09,21.391,N,70.617,W,0
10/11/2003,8:01:09,21.396,N,70.623,W,0
10/11/2003,8:03:09,21.401,N,70.628,W,0
10/11/2003,8:05:10,21.406,N,70.633,W,0
10/11/2003,8:07:10,21.411,N,70.639,W,0
10/11/2003,8:09:10,21.417,N,70.644,W,0
10/11/2003,8:11:10,21.422,N,70.65,W,0
10/11/2003,8:13:09,21.427,N,70.655,W,0
10/11/2003,8:15:09,21.432,N,70.661,W,0
10/11/2003,8:17:09,21.437,N,70.666,W,0
10/11/2003,8:19:09,21.442,N,70.672,W,0
10/11/2003,8:21:10,21.447,N,70.677,W,0
10/11/2003,8:23:10,21.452,N,70.682,W,0
10/11/2003,8:25:10,21.457,N,70.688,W,0
10/11/2003,8:27:10,21.461,N,70.693,W,0
10/11/2003,8:29:09,21.466,N,70.699,W,0
10/11/2003,8:31:09,21.471,N,70.704,W,0
10/11/2003,8:33:09,21.476,N,70.71,W,0
10/11/2003,8:35:10,21.48,N,70.715,W,0
10/11/2003,8:37:10,21.485,N,70.72,W,0
10/11/2003,8:39:10,21.49,N,70.726,W,0
10/11/2003,8:41:10,21.495,N,70.731,W,0
10/11/2003,8:43:09,21.499,N,70.737,W,0
10/11/2003,8:45:09,21.504,N,70.742,W,0
10/11/2003,8:47:09,21.508,N,70.748,W,0
10/11/2003,8:49:09,21.513,N,70.753,W,0
10/11/2003,8:51:10,21.517,N,70.759,W,0
10/11/2003,8:53:10,21.522,N,70.764,W,0
10/11/2003,8:55:10,21.526,N,70.77,W,0
10/11/2003,8:57:10,21.531,N,70.775,W,0
10/11/2003,8:59:09,21.535,N,70.78,W,0
10/11/2003,9:01:09,21.54,N,70.786,W,0
10/11/2003,9:03:09,21.544,N,70.791,W,0
10/11/2003,9:05:10,21.548,N,70.797,W,0
10/11/2003,9:07:10,21.553,N,70.802,W,0
10/11/2003,9:09:10,21.557,N,70.808,W,0
10/11/2003,9:11:10,21.561,N,70.813,W,0
10/11/2003,9:13:09,21.566,N,70.819,W,0
10/11/2003,9:15:09,21.57,N,70.824,W,0
10/11/2003,9:17:09,21.574,N,70.83,W,0
10/11/2003,9:19:09,21.578,N,70.835,W,0
10/11/2003,9:21:10,21.582,N,70.84,W,0
10/11/2003,9:23:10,21.586,N,70.846,W,0
10/11/2003,9:25:10,21.591,N,70.851,W,0
10/11/2003,9:27:10,21.595,N,70.857,W,0
10/11/2003,9:29:09,21.599,N,70.862,W,0
10/11/2003,9:31:09,21.603,N,70.868,W,0
10/11/2003,9:33:09,21.607,N,70.873,W,0
10/11/2003,9:35:10,21.611,N,70.879,W,0
10/11/2003,9:37:10,21.615,N,70.884,W,0
10/11/2003,9:39:10,21.619,N,70.89,W,0
10/11/2003,9:41:10,21.623,N,70.895,W,0
10/11/2003,9:43:09,21.626,N,70.901,W,0
10/11/2003,9:45:09,21.63,N,70.906,W,0
10/11/2003,9:47:09,21.634,N,70.911,W,0
10/11/2003,9:49:09,21.638,N,70.917,W,0
10/11/2003,9:51:10,21.642,N,70.922,W,0
10/11/2003,9:53:10,21.646,N,70.928,W,0
10/11/2003,9:55:10,21.649,N,70.933,W,0
10/11/2003,9:57:10,21.653,N,70.939,W,0
10/11/2003,9:59:09,21.657,N,70.944,W,0
10/11/2003,10:01:09,21.661,N,70.95,W,0
10/11/2003,10:03:09,21.664,N,70.955,W,0
10/11/2003,10:05:10,21.668,N,70.961,W,0
10/11/2003,10:07:10,21.672,N,70.966,W,0
10/11/2003,10:09:10,21.675,N,70.972,W,0
10/11/2003,10:11:10,21.679,N,70.977,W,0
10/11/2003,10:13:09,21.683,N,70.983,W,0
10/11/2003,10:15:09,21.686,N,70.988,W,0
10/11/2003,10:17:09,21.69,N,70.993,W,0
10/11/2003,10:19:09,21.693,N,70.999,W,0
10/11/2003,10:21:10,21.697,N,71.004,W,0
10/11/2003,10:23:10,21.7,N,71.01,W,0
10/11/2003,10:25:10,21.704,N,71.015,W,0
10/11/2003,10:27:10,21.707,N,71.021,W,0
10/11/2003,10:29:09,21.711,N,71.026,W,0
10/11/2003,10:31:09,21.714,N,71.032,W,0
10/11/2003,10:33:09,21.718,N,71.037,W,0
10/11/2003,10:35:10,21.721,N,71.043,W,0
10/11/2003,10:37:10,21.724,N,71.048,W,0
10/11/2003,10:39:10,21.728,N,71.054,W,0
10/11/2003,10:41:10,21.731,N,71.059,W,0
10/11/2003,10:43:09,21.734,N,71.065,W,0
10/11/2003,10:45:09,21.738,N,71.07,W,0
10/11/2003,10:47:09,21.741,N,71.076,W,0
10/11/2003,10:49:09,21.744,N,71.081,W,0
10/11/2003,10:51:10,21.748,N,71.087,W,0
10/11/2003,10:53:10,21.751,N,71.092,W,0
10/11/2003,10:55:10,21.754,N,71.098,W,0
10/11/2003,10:57:10,21.757,N,71.103,W,0
