Track,for,Felix,2007,,
8/31/2007,15:10:00,11.287,N,57.442,W
8/31/2007,15:11:59,11.286,N,57.451,W
8/31/2007,15:14:00,11.285,N,57.459,W
8/31/2007,15:15:59,11.285,N,57.467,W
8/31/2007,15:18:00,11.284,N,57.475,W
8/31/2007,15:19:59,11.283,N,57.483,W
8/31/2007,15:22:00,11.282,N,57.491,W
8/31/2007,15:23:59,11.281,N,57.499,W
8/31/2007,15:26:00,11.281,N,57.507,W
8/31/2007,15:27:59,11.28,N,57.515,W
8/31/2007,15:30:00,11.279,N,57.523,W
8/31/2007,15:32:00,11.279,N,57.53,W
8/31/2007,15:33:59,11.278,N,57.538,W
8/31/2007,15:36:00,11.278,N,57.546,W
8/31/2007,15:37:59,11.277,N,57.554,W
8/31/2007,15:40:00,11.277,N,57.562,W
8/31/2007,15:41:59,11.277,N,57.569,W
8/31/2007,15:44:00,11.276,N,57.577,W
8/31/2007,15:45:59,11.276,N,57.585,W
8/31/2007,15:48:00,11.276,N,57.592,W
8/31/2007,15:49:59,11.276,N,57.6,W
8/31/2007,15:52:00,11.276,N,57.608,W
8/31/2007,15:53:59,11.275,N,57.615,W
8/31/2007,15:56:00,11.275,N,57.623,W
8/31/2007,15:57:59,11.275,N,57.63,W
8/31/2007,16:00:00,11.276,N,57.638,W
8/31/2007,16:01:59,11.276,N,57.645,W
8/31/2007,16:04:00,11.276,N,57.653,W
8/31/2007,16:06:00,11.276,N,57.66,W
8/31/2007,16:07:59,11.276,N,57.667,W
8/31/2007,16:09:59,11.277,N,57.675,W
8/31/2007,16:12:00,11.277,N,57.682,W
8/31/2007,16:14:00,11.278,N,57.689,W
8/31/2007,16:15:59,11.278,N,57.696,W
8/31/2007,16:17:59,11.279,N,57.704,W
8/31/2007,16:20:00,11.279,N,57.711,W
8/31/2007,16:22:00,11.28,N,57.718,W
8/31/2007,16:23:59,11.28,N,57.725,W
8/31/2007,16:25:59,11.281,N,57.732,W
8/31/2007,16:28:00,11.282,N,57.739,W
8/31/2007,16:30:00,11.283,N,57.746,W
8/31/2007,16:31:59,11.284,N,57.753,W
8/31/2007,16:34:00,11.285,N,57.76,W
8/31/2007,16:36:00,11.286,N,57.767,W
8/31/2007,16:37:59,11.287,N,57.774,W
8/31/2007,16:39:59,11.288,N,57.781,W
8/31/2007,16:42:00,11.289,N,57.788,W
8/31/2007,16:44:00,11.29,N,57.794,W
8/31/2007,16:45:59,11.292,N,57.801,W
8/31/2007,16:47:59,11.293,N,57.808,W
8/31/2007,16:50:00,11.295,N,57.814,W
8/31/2007,16:52:00,11.296,N,57.821,W
8/31/2007,16:53:59,11.298,N,57.828,W
8/31/2007,16:55:59,11.299,N,57.834,W
8/31/2007,16:58:00,11.301,N,57.841,W
8/31/2007,17:00:00,11.303,N,57.847,W
8/31/2007,17:01:59,11.304,N,57.854,W
8/31/2007,17:04:00,11.306,N,57.86,W
8/31/2007,17:06:00,11.308,N,57.866,W
8/31/2007,17:07:59,11.31,N,57.873,W
8/31/2007,17:09:59,11.312,N,57.879,W
8/31/2007,17:12:00,11.314,N,57.885,W
8/31/2007,17:14:00,11.316,N,57.892,W
8/31/2007,17:15:59,11.319,N,57.898,W
8/31/2007,17:17:59,11.321,N,57.904,W
8/31/2007,17:20:00,11.323,N,57.91,W
8/31/2007,17:22:00,11.326,N,57.916,W
8/31/2007,17:23:59,11.328,N,57.922,W
8/31/2007,17:25:59,11.331,N,57.928,W
8/31/2007,17:28:00,11.334,N,57.934,W
8/31/2007,17:30:00,11.336,N,57.94,W
8/31/2007,17:31:59,11.339,N,57.946,W
8/31/2007,17:34:00,11.342,N,57.952,W
8/31/2007,17:36:00,11.345,N,57.958,W
8/31/2007,17:37:59,11.348,N,57.963,W
8/31/2007,17:39:59,11.351,N,57.969,W
8/31/2007,17:42:00,11.354,N,57.975,W
8/31/2007,17:44:00,11.357,N,57.98,W
8/31/2007,17:45:59,11.36,N,57.986,W
8/31/2007,17:47:59,11.363,N,57.992,W
8/31/2007,17:50:00,11.366,N,57.997,W
8/31/2007,17:52:00,11.37,N,58.003,W
8/31/2007,17:53:59,11.373,N,58.008,W
8/31/2007,17:55:59,11.377,N,58.014,W
8/31/2007,17:58:00,11.38,N,58.019,W
8/31/2007,18:00:00,11.384,N,58.024,W
8/31/2007,18:01:59,11.387,N,58.03,W
8/31/2007,18:04:00,11.391,N,58.035,W
8/31/2007,18:06:00,11.395,N,58.04,W
8/31/2007,18:07:59,11.399,N,58.046,W
8/31/2007,18:09:59,11.402,N,58.051,W
8/31/2007,18:12:00,11.406,N,58.056,W
8/31/2007,18:14:00,11.41,N,58.061,W
8/31/2007,18:15:59,11.414,N,58.066,W
8/31/2007,18:17:59,11.418,N,58.071,W
8/31/2007,18:20:00,11.423,N,58.076,W
8/31/2007,18:22:00,11.427,N,58.081,W
8/31/2007,18:23:59,11.431,N,58.086,W
8/31/2007,18:25:59,11.435,N,58.091,W
8/31/2007,18:28:00,11.44,N,58.096,W
8/31/2007,18:30:00,11.444,N,58.101,W
8/31/2007,18:31:59,11.448,N,58.106,W
8/31/2007,18:34:00,11.453,N,58.111,W
8/31/2007,18:36:00,11.457,N,58.116,W
8/31/2007,18:37:59,11.462,N,58.12,W
8/31/2007,18:39:59,11.467,N,58.125,W
8/31/2007,18:42:00,11.471,N,58.13,W
8/31/2007,18:44:00,11.476,N,58.135,W
8/31/2007,18:45:59,11.481,N,58.139,W
8/31/2007,18:47:59,11.486,N,58.144,W
8/31/2007,18:50:00,11.491,N,58.149,W
8/31/2007,18:52:00,11.495,N,58.153,W
8/31/2007,18:53:59,11.5,N,58.158,W
8/31/2007,18:55:59,11.505,N,58.162,W
8/31/2007,18:58:00,11.51,N,58.167,W
8/31/2007,19:00:00,11.516,N,58.171,W
8/31/2007,19:01:59,11.521,N,58.176,W
8/31/2007,19:04:00,11.526,N,58.18,W
8/31/2007,19:06:00,11.531,N,58.184,W
8/31/2007,19:07:59,11.536,N,58.189,W
8/31/2007,19:09:59,11.542,N,58.193,W
8/31/2007,19:12:00,11.547,N,58.197,W
8/31/2007,19:14:00,11.552,N,58.202,W
8/31/2007,19:15:59,11.558,N,58.206,W
8/31/2007,19:17:59,11.563,N,58.21,W
8/31/2007,19:20:00,11.569,N,58.214,W
8/31/2007,19:22:00,11.574,N,58.219,W
8/31/2007,19:23:59,11.58,N,58.223,W
8/31/2007,19:25:59,11.586,N,58.227,W
8/31/2007,19:28:00,11.591,N,58.231,W
8/31/2007,19:30:00,11.597,N,58.235,W
8/31/2007,19:31:59,11.603,N,58.239,W
8/31/2007,19:34:00,11.608,N,58.243,W
8/31/2007,19:36:00,11.614,N,58.247,W
8/31/2007,19:37:59,11.62,N,58.251,W
8/31/2007,19:39:59,11.626,N,58.255,W
8/31/2007,19:42:00,11.632,N,58.259,W
8/31/2007,19:44:00,11.638,N,58.263,W
8/31/2007,19:45:59,11.644,N,58.267,W
8/31/2007,19:47:59,11.65,N,58.271,W
8/31/2007,19:50:00,11.656,N,58.275,W
8/31/2007,19:52:00,11.662,N,58.279,W
8/31/2007,19:53:59,11.668,N,58.283,W
8/31/2007,19:55:59,11.674,N,58.287,W
8/31/2007,19:58:00,11.681,N,58.29,W
8/31/2007,20:00:00,11.687,N,58.294,W
8/31/2007,20:01:59,11.693,N,58.298,W
8/31/2007,20:04:00,11.699,N,58.302,W
8/31/2007,20:06:00,11.706,N,58.305,W
8/31/2007,20:07:59,11.712,N,58.309,W
8/31/2007,20:09:59,11.719,N,58.313,W
8/31/2007,20:12:00,11.725,N,58.317,W
8/31/2007,20:14:00,11.731,N,58.32,W
8/31/2007,20:15:59,11.738,N,58.324,W
8/31/2007,20:17:59,11.744,N,58.327,W
8/31/2007,20:20:00,11.751,N,58.331,W
8/31/2007,20:22:00,11.757,N,58.335,W
8/31/2007,20:23:59,11.764,N,58.338,W
8/31/2007,20:25:59,11.771,N,58.342,W
8/31/2007,20:28:00,11.777,N,58.345,W
8/31/2007,20:30:00,11.784,N,58.349,W
8/31/2007,20:31:59,11.791,N,58.352,W
8/31/2007,20:34:00,11.797,N,58.356,W
8/31/2007,20:36:00,11.804,N,58.359,W
8/31/2007,20:37:59,11.811,N,58.363,W
8/31/2007,20:39:59,11.818,N,58.366,W
8/31/2007,20:42:00,11.824,N,58.37,W
8/31/2007,20:44:00,11.831,N,58.373,W
8/31/2007,20:45:59,11.838,N,58.377,W
8/31/2007,20:47:59,11.845,N,58.38,W
8/31/2007,20:50:00,11.852,N,58.383,W
8/31/2007,20:52:00,11.859,N,58.387,W
8/31/2007,20:53:59,11.866,N,58.39,W
8/31/2007,20:55:59,11.873,N,58.393,W
8/31/2007,20:58:00,11.88,N,58.397,W
8/31/2007,21:00:00,11.887,N,58.4,W
8/31/2007,21:01:59,11.894,N,58.403,W
8/31/2007,21:04:00,11.901,N,58.407,W
8/31/2007,21:06:00,11.908,N,58.41,W
8/31/2007,21:07:59,11.915,N,58.413,W
8/31/2007,21:09:59,11.922,N,58.417,W
8/31/2007,21:10:16,11.923,N,58.417,W
8/31/2007,21:12:16,11.928,N,58.422,W
8/31/2007,21:14:15,11.933,N,58.427,W
8/31/2007,21:16:15,11.938,N,58.433,W
8/31/2007,21:18:16,11.943,N,58.438,W
8/31/2007,21:20:16,11.948,N,58.444,W
8/31/2007,21:22:15,11.953,N,58.449,W
8/31/2007,21:24:15,11.958,N,58.455,W
8/31/2007,21:26:16,11.963,N,58.46,W
8/31/2007,21:28:16,11.967,N,58.466,W
8/31/2007,21:30:15,11.972,N,58.472,W
8/31/2007,21:32:15,11.977,N,58.478,W
8/31/2007,21:34:16,11.981,N,58.484,W
8/31/2007,21:36:16,11.986,N,58.49,W
8/31/2007,21:38:15,11.99,N,58.496,W
8/31/2007,21:40:16,11.994,N,58.502,W
8/31/2007,21:42:16,11.999,N,58.509,W
8/31/2007,21:44:15,12.003,N,58.515,W
8/31/2007,21:46:15,12.007,N,58.522,W
8/31/2007,21:48:16,12.011,N,58.528,W
8/31/2007,21:50:16,12.015,N,58.535,W
8/31/2007,21:52:15,12.019,N,58.542,W
8/31/2007,21:54:15,12.023,N,58.549,W
8/31/2007,21:56:16,12.027,N,58.555,W
8/31/2007,21:58:16,12.03,N,58.563,W
8/31/2007,22:00:15,12.034,N,58.57,W
8/31/2007,22:02:15,12.038,N,58.577,W
8/31/2007,22:04:16,12.041,N,58.584,W
8/31/2007,22:06:16,12.044,N,58.592,W
8/31/2007,22:08:15,12.048,N,58.599,W
8/31/2007,22:10:16,12.051,N,58.607,W
8/31/2007,22:12:16,12.054,N,58.614,W
8/31/2007,22:14:15,12.057,N,58.622,W
8/31/2007,22:16:15,12.06,N,58.63,W
8/31/2007,22:18:16,12.063,N,58.638,W
8/31/2007,22:20:16,12.066,N,58.646,W
8/31/2007,22:22:15,12.069,N,58.654,W
8/31/2007,22:24:15,12.072,N,58.663,W
8/31/2007,22:26:16,12.074,N,58.671,W
8/31/2007,22:28:16,12.077,N,58.68,W
8/31/2007,22:30:15,12.079,N,58.688,W
8/31/2007,22:32:15,12.082,N,58.697,W
8/31/2007,22:34:16,12.084,N,58.706,W
8/31/2007,22:34:19,12.084,N,58.706,W
8/31/2007,22:36:19,12.088,N,58.713,W
8/31/2007,22:38:18,12.091,N,58.72,W
8/31/2007,22:40:18,12.095,N,58.727,W
8/31/2007,22:42:19,12.098,N,58.734,W
8/31/2007,22:44:19,12.102,N,58.742,W
8/31/2007,22:46:18,12.106,N,58.749,W
8/31/2007,22:48:18,12.109,N,58.756,W
8/31/2007,22:50:19,12.113,N,58.763,W
8/31/2007,22:52:18,12.116,N,58.77,W
8/31/2007,22:54:18,12.12,N,58.778,W
8/31/2007,22:56:19,12.123,N,58.785,W
8/31/2007,22:58:19,12.127,N,58.792,W
8/31/2007,23:00:18,12.13,N,58.799,W
8/31/2007,23:02:18,12.134,N,58.807,W
8/31/2007,23:04:19,12.137,N,58.814,W
8/31/2007,23:06:19,12.14,N,58.821,W
8/31/2007,23:08:18,12.144,N,58.829,W
8/31/2007,23:10:18,12.147,N,58.836,W
8/31/2007,23:12:19,12.15,N,58.843,W
8/31/2007,23:14:19,12.154,N,58.851,W
8/31/2007,23:16:18,12.157,N,58.858,W
8/31/2007,23:18:18,12.16,N,58.866,W
8/31/2007,23:20:19,12.164,N,58.873,W
8/31/2007,23:22:18,12.167,N,58.881,W
8/31/2007,23:24:18,12.17,N,58.888,W
8/31/2007,23:26:19,12.173,N,58.896,W
8/31/2007,23:28:19,12.176,N,58.903,W
8/31/2007,23:30:18,12.179,N,58.911,W
8/31/2007,23:32:18,12.183,N,58.918,W
8/31/2007,23:34:19,12.186,N,58.926,W
8/31/2007,23:36:19,12.189,N,58.934,W
8/31/2007,23:38:18,12.192,N,58.941,W
8/31/2007,23:40:18,12.195,N,58.949,W
8/31/2007,23:42:19,12.198,N,58.957,W
8/31/2007,23:44:19,12.201,N,58.965,W
8/31/2007,23:46:18,12.204,N,58.972,W
8/31/2007,23:48:18,12.207,N,58.98,W
8/31/2007,23:50:19,12.21,N,58.988,W
8/31/2007,23:52:18,12.213,N,58.996,W
8/31/2007,23:54:18,12.215,N,59.004,W
8/31/2007,23:56:19,12.218,N,59.012,W
8/31/2007,23:58:19,12.221,N,59.02,W
9/1/2007,0:00:18,12.224,N,59.028,W
9/1/2007,0:02:18,12.227,N,59.036,W
9/1/2007,0:04:19,12.229,N,59.044,W
9/1/2007,0:06:19,12.232,N,59.052,W
9/1/2007,0:08:18,12.235,N,59.06,W
9/1/2007,0:10:18,12.237,N,59.068,W
9/1/2007,0:12:19,12.24,N,59.076,W
9/1/2007,0:14:19,12.242,N,59.084,W
9/1/2007,0:16:18,12.245,N,59.092,W
9/1/2007,0:18:18,12.247,N,59.101,W
9/1/2007,0:20:19,12.25,N,59.109,W
9/1/2007,0:22:18,12.252,N,59.117,W
9/1/2007,0:24:18,12.255,N,59.126,W
9/1/2007,0:26:19,12.257,N,59.134,W
9/1/2007,0:28:19,12.26,N,59.142,W
9/1/2007,0:30:18,12.262,N,59.151,W
9/1/2007,0:32:18,12.264,N,59.159,W
9/1/2007,0:34:19,12.267,N,59.168,W
9/1/2007,0:36:19,12.269,N,59.176,W
9/1/2007,0:38:18,12.271,N,59.185,W
9/1/2007,0:40:18,12.273,N,59.193,W
9/1/2007,0:42:19,12.275,N,59.202,W
9/1/2007,0:44:19,12.277,N,59.211,W
9/1/2007,0:46:18,12.279,N,59.219,W
9/1/2007,0:48:18,12.281,N,59.228,W
9/1/2007,0:50:19,12.283,N,59.237,W
9/1/2007,0:52:18,12.285,N,59.246,W
9/1/2007,0:54:18,12.287,N,59.255,W
9/1/2007,0:56:19,12.289,N,59.263,W
9/1/2007,0:58:19,12.291,N,59.272,W
9/1/2007,1:00:18,12.293,N,59.281,W
9/1/2007,1:02:18,12.295,N,59.29,W
9/1/2007,1:04:19,12.296,N,59.299,W
9/1/2007,1:06:19,12.298,N,59.308,W
9/1/2007,1:08:18,12.3,N,59.318,W
9/1/2007,1:10:18,12.301,N,59.327,W
9/1/2007,1:12:19,12.303,N,59.336,W
9/1/2007,1:14:19,12.304,N,59.345,W
9/1/2007,1:16:18,12.306,N,59.354,W
9/1/2007,1:18:18,12.307,N,59.364,W
9/1/2007,1:20:19,12.309,N,59.373,W
9/1/2007,1:22:18,12.31,N,59.383,W
9/1/2007,1:24:18,12.312,N,59.392,W
9/1/2007,1:26:19,12.313,N,59.402,W
9/1/2007,1:28:19,12.314,N,59.411,W
9/1/2007,1:30:18,12.315,N,59.421,W
9/1/2007,1:32:18,12.317,N,59.43,W
9/1/2007,1:34:19,12.318,N,59.44,W
9/1/2007,1:36:19,12.319,N,59.45,W
9/1/2007,1:38:18,12.32,N,59.459,W
9/1/2007,1:40:18,12.321,N,59.469,W
9/1/2007,1:42:19,12.322,N,59.479,W
9/1/2007,1:44:19,12.323,N,59.489,W
9/1/2007,1:46:18,12.324,N,59.499,W
9/1/2007,1:48:18,12.324,N,59.509,W
9/1/2007,1:50:19,12.325,N,59.519,W
9/1/2007,1:52:18,12.326,N,59.529,W
9/1/2007,1:54:18,12.327,N,59.539,W
9/1/2007,1:56:19,12.327,N,59.549,W
9/1/2007,1:58:19,12.328,N,59.559,W
9/1/2007,2:00:18,12.329,N,59.57,W
9/1/2007,2:02:18,12.329,N,59.58,W
9/1/2007,2:04:19,12.33,N,59.59,W
9/1/2007,2:06:19,12.33,N,59.601,W
9/1/2007,2:08:18,12.33,N,59.611,W
9/1/2007,2:10:18,12.331,N,59.622,W
9/1/2007,2:12:19,12.331,N,59.632,W
9/1/2007,2:14:19,12.331,N,59.643,W
9/1/2007,2:16:18,12.331,N,59.654,W
9/1/2007,2:18:18,12.331,N,59.664,W
9/1/2007,2:20:19,12.332,N,59.675,W
9/1/2007,2:22:18,12.332,N,59.686,W
9/1/2007,2:24:18,12.332,N,59.697,W
9/1/2007,2:26:19,12.331,N,59.708,W
9/1/2007,2:28:19,12.331,N,59.719,W
9/1/2007,2:30:18,12.331,N,59.73,W
9/1/2007,2:32:18,12.331,N,59.741,W
9/1/2007,2:34:19,12.331,N,59.752,W
9/1/2007,2:36:19,12.33,N,59.763,W
9/1/2007,2:38:18,12.33,N,59.774,W
9/1/2007,2:40:18,12.329,N,59.786,W
9/1/2007,2:42:19,12.329,N,59.797,W
9/1/2007,2:44:19,12.328,N,59.808,W
9/1/2007,2:46:18,12.328,N,59.82,W
9/1/2007,2:48:18,12.327,N,59.831,W
9/1/2007,2:50:19,12.327,N,59.843,W
9/1/2007,2:52:18,12.326,N,59.854,W
9/1/2007,2:54:18,12.325,N,59.866,W
9/1/2007,2:56:19,12.324,N,59.878,W
9/1/2007,2:58:19,12.323,N,59.89,W
9/1/2007,3:00:18,12.322,N,59.902,W
9/1/2007,3:02:18,12.321,N,59.913,W
9/1/2007,3:04:19,12.32,N,59.925,W
9/1/2007,3:06:19,12.319,N,59.937,W
9/1/2007,3:08:18,12.318,N,59.949,W
9/1/2007,3:10:18,12.317,N,59.962,W
9/1/2007,3:12:19,12.315,N,59.974,W
9/1/2007,3:14:19,12.314,N,59.986,W
9/1/2007,3:16:18,12.313,N,59.998,W
9/1/2007,3:18:18,12.311,N,60.01,W
9/1/2007,3:20:19,12.31,N,60.023,W
9/1/2007,3:22:18,12.308,N,60.035,W
9/1/2007,3:24:18,12.307,N,60.048,W
9/1/2007,3:26:19,12.305,N,60.06,W
9/1/2007,3:28:19,12.303,N,60.073,W
9/1/2007,3:30:18,12.302,N,60.085,W
9/1/2007,3:32:18,12.3,N,60.098,W
9/1/2007,3:34:19,12.298,N,60.111,W
9/1/2007,3:36:19,12.296,N,60.123,W
9/1/2007,3:38:18,12.295,N,60.136,W
9/1/2007,3:40:18,12.293,N,60.149,W
9/1/2007,3:42:19,12.291,N,60.162,W
9/1/2007,3:44:19,12.289,N,60.174,W
9/1/2007,3:46:18,12.287,N,60.187,W
9/1/2007,3:48:18,12.285,N,60.2,W
9/1/2007,3:50:19,12.283,N,60.213,W
9/1/2007,3:52:18,12.281,N,60.226,W
9/1/2007,3:54:18,12.279,N,60.239,W
9/1/2007,3:56:19,12.276,N,60.252,W
9/1/2007,3:58:19,12.274,N,60.265,W
9/1/2007,4:00:18,12.272,N,60.279,W
9/1/2007,4:02:18,12.27,N,60.292,W
9/1/2007,4:04:19,12.267,N,60.305,W
9/1/2007,4:06:19,12.265,N,60.318,W
9/1/2007,4:08:18,12.263,N,60.331,W
9/1/2007,4:10:18,12.26,N,60.345,W
9/1/2007,4:12:19,12.258,N,60.358,W
9/1/2007,4:14:19,12.255,N,60.371,W
9/1/2007,4:16:18,12.253,N,60.385,W
9/1/2007,4:18:18,12.25,N,60.398,W
9/1/2007,4:20:19,12.248,N,60.412,W
9/1/2007,4:22:18,12.245,N,60.425,W
9/1/2007,4:24:18,12.243,N,60.439,W
9/1/2007,4:26:19,12.24,N,60.452,W
9/1/2007,4:28:19,12.237,N,60.466,W
9/1/2007,4:30:18,12.235,N,60.479,W
9/1/2007,4:32:18,12.232,N,60.493,W
9/1/2007,4:34:19,12.229,N,60.506,W
9/1/2007,4:36:19,12.226,N,60.52,W
9/1/2007,4:38:18,12.224,N,60.534,W
9/1/2007,4:40:18,12.221,N,60.547,W
9/1/2007,4:42:19,12.218,N,60.561,W
9/1/2007,4:44:19,12.215,N,60.575,W
9/1/2007,4:46:18,12.212,N,60.588,W
9/1/2007,4:48:18,12.21,N,60.602,W
9/1/2007,4:50:19,12.207,N,60.616,W
9/1/2007,4:52:18,12.204,N,60.63,W
9/1/2007,4:54:18,12.201,N,60.644,W
9/1/2007,4:56:19,12.198,N,60.657,W
9/1/2007,4:58:19,12.195,N,60.671,W
9/1/2007,5:00:18,12.192,N,60.685,W
9/1/2007,5:02:18,12.189,N,60.699,W
9/1/2007,5:04:19,12.186,N,60.713,W
9/1/2007,5:06:19,12.183,N,60.726,W
9/1/2007,5:08:18,12.18,N,60.74,W
9/1/2007,5:10:18,12.177,N,60.754,W
9/1/2007,5:12:19,12.174,N,60.768,W
9/1/2007,5:14:19,12.171,N,60.782,W
9/1/2007,5:16:18,12.168,N,60.796,W
9/1/2007,5:18:18,12.165,N,60.81,W
9/1/2007,5:20:19,12.162,N,60.824,W
9/1/2007,5:22:18,12.159,N,60.838,W
9/1/2007,5:24:18,12.156,N,60.852,W
9/1/2007,5:26:19,12.153,N,60.865,W
9/1/2007,5:28:19,12.149,N,60.879,W
9/1/2007,5:30:18,12.146,N,60.893,W
9/1/2007,5:32:18,12.143,N,60.907,W
9/1/2007,5:34:19,12.14,N,60.921,W
9/1/2007,5:36:19,12.137,N,60.935,W
9/1/2007,5:38:18,12.134,N,60.949,W
9/1/2007,5:40:18,12.131,N,60.963,W
9/1/2007,5:42:19,12.128,N,60.977,W
9/1/2007,5:44:19,12.124,N,60.991,W
9/1/2007,5:46:18,12.121,N,61.005,W
9/1/2007,5:48:18,12.118,N,61.019,W
9/1/2007,5:50:19,12.115,N,61.033,W
9/1/2007,5:52:18,12.112,N,61.047,W
9/1/2007,5:54:18,12.109,N,61.06,W
9/1/2007,5:56:19,12.106,N,61.074,W
9/1/2007,5:58:19,12.103,N,61.088,W
9/1/2007,6:00:00,12.1,N,61.1,W
9/1/2007,6:01:59,12.1,N,61.11,W
9/1/2007,6:04:00,12.099,N,61.121,W
9/1/2007,6:06:00,12.099,N,61.131,W
9/1/2007,6:07:59,12.098,N,61.141,W
9/1/2007,6:09:59,12.098,N,61.151,W
9/1/2007,6:12:00,12.097,N,61.162,W
9/1/2007,6:14:00,12.097,N,61.172,W
9/1/2007,6:15:59,12.097,N,61.182,W
9/1/2007,6:17:59,12.096,N,61.192,W
9/1/2007,6:20:00,12.096,N,61.202,W
