Track,for,Bill,2015,,,
6/15/2015,17:52:01,26.369,N,93.029,W,0
6/15/2015,17:54:01,26.372,N,93.033,W,0
6/15/2015,17:56:02,26.374,N,93.036,W,0
6/15/2015,17:58:01,26.376,N,93.04,W,0
6/15/2015,18:00:01,26.379,N,93.044,W,0
6/15/2015,18:02:02,26.381,N,93.048,W,0
6/15/2015,18:04:02,26.384,N,93.051,W,0
6/15/2015,18:06:01,26.386,N,93.055,W,0
6/15/2015,18:08:01,26.389,N,93.059,W,0
6/15/2015,18:10:02,26.391,N,93.063,W,0
6/15/2015,18:12:02,26.394,N,93.066,W,0
6/15/2015,18:14:01,26.396,N,93.07,W,0
6/15/2015,18:16:01,26.399,N,93.074,W,0
6/15/2015,18:18:02,26.401,N,93.078,W,0
6/15/2015,18:20:02,26.404,N,93.081,W,0
6/15/2015,18:22:01,26.406,N,93.085,W,0
6/15/2015,18:24:01,26.409,N,93.089,W,0
6/15/2015,18:26:02,26.412,N,93.093,W,0
6/15/2015,18:28:01,26.414,N,93.097,W,0
6/15/2015,18:30:01,26.417,N,93.101,W,0
6/15/2015,18:32:02,26.419,N,93.105,W,0
6/15/2015,18:34:02,26.422,N,93.109,W,0
6/15/2015,18:36:01,26.425,N,93.113,W,0
6/15/2015,18:38:01,26.427,N,93.117,W,0
6/15/2015,18:40:02,26.43,N,93.12,W,0
6/15/2015,18:42:02,26.433,N,93.124,W,0
6/15/2015,18:44:01,26.435,N,93.128,W,0
6/15/2015,18:46:01,26.438,N,93.132,W,0
6/15/2015,18:48:02,26.441,N,93.137,W,0
6/15/2015,18:50:02,26.443,N,93.141,W,0
6/15/2015,18:52:01,26.446,N,93.145,W,0
6/15/2015,18:54:01,26.449,N,93.149,W,0
6/15/2015,18:56:02,26.452,N,93.153,W,0
6/15/2015,18:58:01,26.454,N,93.157,W,0
6/15/2015,19:00:01,26.457,N,93.161,W,0
6/15/2015,19:02:02,26.46,N,93.165,W,0
6/15/2015,19:04:02,26.463,N,93.169,W,0
6/15/2015,19:06:01,26.466,N,93.174,W,0
6/15/2015,19:08:01,26.469,N,93.178,W,0
6/15/2015,19:10:02,26.471,N,93.182,W,0
6/15/2015,19:12:02,26.474,N,93.186,W,0
6/15/2015,19:14:01,26.477,N,93.191,W,0
6/15/2015,19:16:01,26.48,N,93.195,W,0
6/15/2015,19:18:02,26.483,N,93.199,W,0
6/15/2015,19:20:02,26.486,N,93.203,W,0
6/15/2015,19:22:01,26.489,N,93.208,W,0
6/15/2015,19:24:01,26.492,N,93.212,W,0
6/15/2015,19:26:02,26.495,N,93.216,W,0
6/15/2015,19:28:01,26.498,N,93.221,W,0
6/15/2015,19:30:01,26.501,N,93.225,W,0
6/15/2015,19:32:02,26.504,N,93.23,W,0
6/15/2015,19:34:02,26.507,N,93.234,W,0
6/15/2015,19:36:01,26.51,N,93.239,W,0
6/15/2015,19:38:01,26.513,N,93.243,W,0
6/15/2015,19:40:02,26.517,N,93.248,W,0
6/15/2015,19:42:02,26.52,N,93.252,W,0
6/15/2015,19:44:01,26.523,N,93.257,W,0
6/15/2015,19:46:01,26.526,N,93.261,W,0
6/15/2015,19:48:02,26.529,N,93.266,W,0
6/15/2015,19:50:02,26.533,N,93.271,W,0
6/15/2015,19:52:01,26.536,N,93.275,W,0
6/15/2015,19:54:01,26.539,N,93.28,W,0
6/15/2015,19:56:02,26.542,N,93.285,W,0
6/15/2015,19:58:01,26.546,N,93.289,W,0
6/15/2015,20:00:01,26.549,N,93.294,W,0
6/15/2015,20:02:02,26.552,N,93.299,W,0
6/15/2015,20:04:02,26.556,N,93.304,W,0
6/15/2015,20:06:01,26.559,N,93.308,W,0
6/15/2015,20:08:01,26.562,N,93.313,W,0
6/15/2015,20:10:02,26.566,N,93.318,W,0
6/15/2015,20:12:02,26.569,N,93.323,W,0
6/15/2015,20:14:01,26.573,N,93.328,W,0
6/15/2015,20:16:01,26.576,N,93.333,W,0
6/15/2015,20:18:02,26.58,N,93.338,W,0
6/15/2015,20:20:02,26.583,N,93.343,W,0
6/15/2015,20:22:01,26.587,N,93.348,W,0
6/15/2015,20:24:01,26.59,N,93.353,W,0
6/15/2015,20:26:02,26.594,N,93.358,W,0
6/15/2015,20:28:01,26.597,N,93.363,W,0
6/15/2015,20:30:01,26.601,N,93.368,W,0
6/15/2015,20:32:02,26.605,N,93.373,W,0
6/15/2015,20:34:02,26.608,N,93.379,W,0
6/15/2015,20:36:01,26.612,N,93.384,W,0
6/15/2015,20:38:01,26.616,N,93.389,W,0
6/15/2015,20:40:02,26.62,N,93.394,W,0
6/15/2015,20:42:02,26.623,N,93.4,W,0
6/15/2015,20:44:01,26.627,N,93.405,W,0
6/15/2015,20:46:01,26.631,N,93.41,W,0
6/15/2015,20:48:02,26.635,N,93.416,W,0
6/15/2015,20:50:02,26.639,N,93.421,W,0
6/15/2015,20:52:01,26.643,N,93.426,W,0
6/15/2015,20:54:01,26.646,N,93.432,W,0
6/15/2015,20:56:02,26.65,N,93.437,W,0
6/15/2015,20:58:01,26.654,N,93.443,W,0
6/15/2015,21:00:01,26.658,N,93.448,W,0
6/15/2015,21:02:02,26.662,N,93.454,W,0
6/15/2015,21:04:02,26.666,N,93.46,W,0
6/15/2015,21:06:01,26.67,N,93.465,W,0
6/15/2015,21:08:01,26.675,N,93.471,W,0
6/15/2015,21:10:02,26.679,N,93.477,W,0
6/15/2015,21:12:02,26.683,N,93.482,W,0
6/15/2015,21:14:01,26.687,N,93.488,W,0
6/15/2015,21:16:01,26.691,N,93.494,W,0
6/15/2015,21:18:02,26.695,N,93.5,W,0
6/15/2015,21:20:02,26.7,N,93.505,W,0
6/15/2015,21:22:01,26.704,N,93.511,W,0
6/15/2015,21:24:01,26.708,N,93.517,W,0
6/15/2015,21:26:02,26.712,N,93.523,W,0
6/15/2015,21:28:01,26.717,N,93.529,W,0
6/15/2015,21:30:01,26.721,N,93.535,W,0
6/15/2015,21:32:02,26.726,N,93.541,W,0
6/15/2015,21:34:02,26.73,N,93.547,W,0
6/15/2015,21:36:01,26.734,N,93.553,W,0
6/15/2015,21:38:01,26.739,N,93.56,W,0
6/15/2015,21:40:02,26.743,N,93.566,W,0
6/15/2015,21:42:02,26.748,N,93.572,W,0
6/15/2015,21:44:01,26.753,N,93.578,W,0
6/15/2015,21:46:01,26.757,N,93.584,W,0
6/15/2015,21:48:02,26.762,N,93.591,W,0
6/15/2015,21:50:02,26.766,N,93.597,W,0
6/15/2015,21:52:01,26.771,N,93.603,W,0
6/15/2015,21:54:01,26.776,N,93.61,W,0
6/15/2015,21:56:02,26.781,N,93.616,W,0
6/15/2015,21:58:01,26.785,N,93.623,W,0
6/15/2015,22:00:01,26.79,N,93.629,W,0
6/15/2015,22:02:02,26.795,N,93.636,W,0
6/15/2015,22:04:02,26.8,N,93.642,W,0
6/15/2015,22:06:01,26.805,N,93.649,W,0
6/15/2015,22:08:01,26.81,N,93.656,W,0
6/15/2015,22:10:02,26.815,N,93.662,W,0
6/15/2015,22:12:02,26.82,N,93.669,W,0
6/15/2015,22:14:01,26.825,N,93.676,W,0
6/15/2015,22:16:01,26.83,N,93.683,W,0
6/15/2015,22:18:02,26.835,N,93.69,W,0
6/15/2015,22:20:02,26.84,N,93.697,W,0
6/15/2015,22:22:01,26.845,N,93.703,W,0
6/15/2015,22:24:01,26.85,N,93.71,W,0
6/15/2015,22:26:02,26.855,N,93.717,W,0
6/15/2015,22:28:01,26.861,N,93.724,W,0
6/15/2015,22:30:01,26.866,N,93.731,W,0
6/15/2015,22:32:02,26.871,N,93.739,W,0
6/15/2015,22:34:02,26.876,N,93.746,W,0
6/15/2015,22:36:01,26.882,N,93.753,W,0
6/15/2015,22:38:01,26.887,N,93.76,W,0
6/15/2015,22:40:02,26.893,N,93.767,W,0
6/15/2015,22:42:02,26.898,N,93.775,W,0
6/15/2015,22:44:01,26.904,N,93.782,W,0
6/15/2015,22:46:01,26.909,N,93.79,W,0
6/15/2015,22:48:02,26.915,N,93.797,W,0
6/15/2015,22:50:02,26.92,N,93.804,W,0
6/15/2015,22:52:01,26.926,N,93.812,W,0
6/15/2015,22:54:01,26.932,N,93.819,W,0
6/15/2015,22:56:02,26.937,N,93.827,W,0
6/15/2015,22:58:01,26.943,N,93.835,W,0
6/15/2015,23:00:01,26.949,N,93.842,W,0
6/15/2015,23:02:02,26.955,N,93.85,W,0
6/15/2015,23:04:02,26.96,N,93.858,W,0
6/15/2015,23:06:01,26.966,N,93.866,W,0
6/15/2015,23:08:01,26.972,N,93.874,W,0
6/15/2015,23:10:02,26.978,N,93.881,W,0
6/15/2015,23:12:02,26.984,N,93.889,W,0
6/15/2015,23:14:01,26.99,N,93.897,W,0
6/15/2015,23:16:01,26.996,N,93.905,W,0
6/15/2015,23:18:02,27.002,N,93.913,W,0
6/15/2015,23:20:02,27.008,N,93.921,W,0
6/15/2015,23:22:01,27.015,N,93.93,W,0
6/15/2015,23:24:01,27.021,N,93.938,W,0
6/15/2015,23:26:02,27.027,N,93.946,W,0
6/15/2015,23:28:01,27.033,N,93.954,W,0
6/15/2015,23:30:01,27.04,N,93.963,W,0
6/15/2015,23:32:02,27.046,N,93.971,W,0
6/15/2015,23:34:02,27.052,N,93.979,W,0
6/15/2015,23:36:01,27.059,N,93.988,W,0
6/15/2015,23:38:01,27.065,N,93.996,W,0
6/15/2015,23:40:02,27.072,N,94.005,W,0
6/15/2015,23:42:02,27.078,N,94.014,W,0
6/15/2015,23:44:01,27.085,N,94.022,W,0
6/15/2015,23:46:01,27.092,N,94.031,W,0
6/15/2015,23:48:02,27.098,N,94.04,W,0
6/15/2015,23:50:02,27.105,N,94.048,W,0
6/15/2015,23:52:01,27.112,N,94.057,W,0
6/15/2015,23:54:01,27.118,N,94.066,W,0
6/15/2015,23:56:02,27.125,N,94.075,W,0
6/15/2015,23:58:01,27.132,N,94.084,W,0
6/16/2015,0:00:01,27.139,N,94.093,W,0
6/16/2015,0:02:02,27.146,N,94.102,W,0
6/16/2015,0:04:02,27.153,N,94.111,W,0
6/16/2015,0:06:01,27.16,N,94.12,W,0
6/16/2015,0:08:01,27.167,N,94.13,W,0
6/16/2015,0:10:02,27.174,N,94.139,W,0
6/16/2015,0:12:02,27.181,N,94.148,W,0
6/16/2015,0:14:01,27.188,N,94.157,W,0
6/16/2015,0:16:01,27.196,N,94.167,W,0
6/16/2015,0:16:42,27.198,N,94.17,W,0
6/16/2015,0:18:41,27.204,N,94.178,W,0
6/16/2015,0:20:41,27.211,N,94.186,W,0
6/16/2015,0:22:42,27.217,N,94.194,W,0
6/16/2015,0:24:42,27.223,N,94.202,W,0
6/16/2015,0:26:41,27.229,N,94.21,W,0
6/16/2015,0:28:41,27.236,N,94.218,W,0
6/16/2015,0:30:42,27.242,N,94.226,W,0
6/16/2015,0:32:42,27.248,N,94.234,W,0
6/16/2015,0:34:41,27.255,N,94.242,W,0
6/16/2015,0:36:41,27.261,N,94.25,W,0
6/16/2015,0:38:42,27.267,N,94.258,W,0
6/16/2015,0:40:41,27.273,N,94.266,W,0
6/16/2015,0:42:41,27.28,N,94.274,W,0
6/16/2015,0:44:42,27.286,N,94.282,W,0
6/16/2015,0:46:42,27.292,N,94.29,W,0
6/16/2015,0:48:41,27.298,N,94.298,W,0
6/16/2015,0:50:41,27.305,N,94.305,W,0
6/16/2015,0:52:42,27.311,N,94.313,W,0
6/16/2015,0:54:42,27.317,N,94.321,W,0
6/16/2015,0:56:41,27.323,N,94.329,W,0
6/16/2015,0:58:41,27.329,N,94.336,W,0
6/16/2015,1:00:42,27.336,N,94.344,W,0
6/16/2015,1:02:42,27.342,N,94.352,W,0
6/16/2015,1:04:41,27.348,N,94.359,W,0
6/16/2015,1:06:41,27.354,N,94.367,W,0
6/16/2015,1:08:42,27.361,N,94.375,W,0
6/16/2015,1:10:41,27.367,N,94.382,W,0
6/16/2015,1:12:41,27.373,N,94.39,W,0
6/16/2015,1:14:42,27.379,N,94.397,W,0
6/16/2015,1:16:42,27.385,N,94.405,W,0
6/16/2015,1:18:41,27.391,N,94.412,W,0
6/16/2015,1:20:41,27.398,N,94.42,W,0
6/16/2015,1:22:42,27.404,N,94.427,W,0
6/16/2015,1:24:42,27.41,N,94.435,W,0
6/16/2015,1:26:41,27.416,N,94.442,W,0
6/16/2015,1:28:41,27.422,N,94.449,W,0
6/16/2015,1:30:42,27.428,N,94.457,W,0
6/16/2015,1:32:42,27.435,N,94.464,W,0
6/16/2015,1:34:41,27.441,N,94.471,W,0
6/16/2015,1:36:41,27.447,N,94.479,W,0
6/16/2015,1:38:42,27.453,N,94.486,W,0
6/16/2015,1:40:41,27.459,N,94.493,W,0
6/16/2015,1:42:41,27.465,N,94.5,W,0
6/16/2015,1:44:42,27.471,N,94.507,W,0
6/16/2015,1:46:42,27.477,N,94.514,W,0
6/16/2015,1:48:41,27.484,N,94.521,W,0
6/16/2015,1:50:41,27.49,N,94.529,W,0
6/16/2015,1:52:42,27.496,N,94.536,W,0
6/16/2015,1:54:42,27.502,N,94.543,W,0
6/16/2015,1:56:41,27.508,N,94.549,W,0
6/16/2015,1:58:41,27.514,N,94.556,W,0
6/16/2015,2:00:42,27.52,N,94.563,W,0
6/16/2015,2:02:42,27.526,N,94.57,W,0
6/16/2015,2:04:41,27.532,N,94.577,W,0
6/16/2015,2:06:41,27.538,N,94.584,W,0
6/16/2015,2:08:42,27.544,N,94.59,W,0
6/16/2015,2:10:41,27.55,N,94.597,W,0
6/16/2015,2:12:41,27.556,N,94.604,W,0
6/16/2015,2:14:42,27.562,N,94.611,W,0
6/16/2015,2:16:42,27.568,N,94.617,W,0
6/16/2015,2:18:41,27.574,N,94.624,W,0
6/16/2015,2:20:41,27.58,N,94.63,W,0
6/16/2015,2:22:42,27.586,N,94.637,W,0
6/16/2015,2:24:42,27.592,N,94.643,W,0
6/16/2015,2:26:41,27.598,N,94.65,W,0
6/16/2015,2:28:41,27.604,N,94.656,W,0
6/16/2015,2:30:42,27.61,N,94.662,W,0
6/16/2015,2:32:42,27.616,N,94.669,W,0
6/16/2015,2:34:41,27.622,N,94.675,W,0
6/16/2015,2:36:41,27.628,N,94.681,W,0
6/16/2015,2:38:42,27.634,N,94.688,W,0
6/16/2015,2:40:41,27.64,N,94.694,W,0
6/16/2015,2:42:41,27.646,N,94.7,W,0
6/16/2015,2:44:42,27.652,N,94.706,W,0
6/16/2015,2:46:42,27.658,N,94.712,W,0
6/16/2015,2:48:41,27.664,N,94.718,W,0
6/16/2015,2:50:41,27.67,N,94.724,W,0
6/16/2015,2:52:42,27.676,N,94.73,W,0
6/16/2015,2:54:42,27.681,N,94.736,W,0
6/16/2015,2:56:41,27.687,N,94.742,W,0
6/16/2015,2:58:41,27.693,N,94.747,W,0
6/16/2015,3:00:42,27.699,N,94.753,W,0
6/16/2015,3:02:42,27.705,N,94.759,W,0
6/16/2015,3:04:41,27.711,N,94.765,W,0
6/16/2015,3:06:41,27.717,N,94.77,W,0
6/16/2015,3:08:42,27.722,N,94.776,W,0
6/16/2015,3:10:41,27.728,N,94.781,W,0
6/16/2015,3:12:41,27.734,N,94.787,W,0
6/16/2015,3:14:42,27.74,N,94.792,W,0
6/16/2015,3:16:42,27.746,N,94.798,W,0
6/16/2015,3:18:41,27.751,N,94.803,W,0
6/16/2015,3:20:41,27.757,N,94.809,W,0
6/16/2015,3:22:42,27.763,N,94.814,W,0
6/16/2015,3:24:42,27.769,N,94.819,W,0
6/16/2015,3:26:41,27.774,N,94.825,W,0
6/16/2015,3:28:41,27.78,N,94.83,W,0
6/16/2015,3:30:42,27.786,N,94.835,W,0
6/16/2015,3:32:42,27.792,N,94.84,W,0
6/16/2015,3:34:41,27.797,N,94.845,W,0
6/16/2015,3:36:41,27.803,N,94.85,W,0
6/16/2015,3:38:42,27.809,N,94.855,W,0
6/16/2015,3:40:41,27.814,N,94.86,W,0
6/16/2015,3:42:41,27.82,N,94.865,W,0
6/16/2015,3:44:42,27.825,N,94.87,W,0
6/16/2015,3:46:42,27.831,N,94.875,W,0
6/16/2015,3:48:41,27.837,N,94.88,W,0
6/16/2015,3:50:41,27.842,N,94.885,W,0
6/16/2015,3:52:42,27.848,N,94.89,W,0
6/16/2015,3:54:42,27.853,N,94.894,W,0
6/16/2015,3:56:41,27.859,N,94.899,W,0
6/16/2015,3:58:41,27.864,N,94.904,W,0
6/16/2015,4:00:42,27.87,N,94.909,W,0
6/16/2015,4:02:42,27.875,N,94.913,W,0
6/16/2015,4:04:41,27.88,N,94.918,W,0
6/16/2015,4:06:41,27.886,N,94.922,W,0
6/16/2015,4:08:42,27.891,N,94.927,W,0
6/16/2015,4:10:41,27.897,N,94.932,W,0
6/16/2015,4:12:41,27.902,N,94.936,W,0
6/16/2015,4:14:42,27.907,N,94.941,W,0
6/16/2015,4:16:42,27.913,N,94.945,W,0
6/16/2015,4:18:41,27.918,N,94.95,W,0
6/16/2015,4:20:41,27.923,N,94.954,W,0
6/16/2015,4:22:42,27.928,N,94.958,W,0
6/16/2015,4:24:42,27.933,N,94.963,W,0
6/16/2015,4:26:41,27.939,N,94.967,W,0
6/16/2015,4:28:41,27.944,N,94.971,W,0
6/16/2015,4:30:42,27.949,N,94.976,W,0
6/16/2015,4:32:42,27.954,N,94.98,W,0
6/16/2015,4:34:41,27.959,N,94.984,W,0
6/16/2015,4:36:41,27.964,N,94.989,W,0
6/16/2015,4:38:42,27.969,N,94.993,W,0
6/16/2015,4:40:41,27.974,N,94.997,W,0
6/16/2015,4:42:41,27.979,N,95.001,W,0
6/16/2015,4:44:42,27.984,N,95.005,W,0
6/16/2015,4:46:42,27.989,N,95.01,W,0
6/16/2015,4:48:41,27.994,N,95.014,W,0
6/16/2015,4:50:41,27.999,N,95.018,W,0
6/16/2015,4:52:42,28.003,N,95.022,W,0
6/16/2015,4:54:42,28.008,N,95.026,W,0
6/16/2015,4:56:41,28.013,N,95.03,W,0
6/16/2015,4:58:41,28.018,N,95.034,W,0
6/16/2015,5:00:42,28.022,N,95.038,W,0
6/16/2015,5:02:42,28.027,N,95.042,W,0
6/16/2015,5:04:41,28.032,N,95.046,W,0
6/16/2015,5:06:41,28.036,N,95.05,W,0
6/16/2015,5:08:42,28.041,N,95.054,W,0
6/16/2015,5:10:41,28.045,N,95.058,W,0
6/16/2015,5:12:41,28.05,N,95.062,W,0
6/16/2015,5:14:42,28.054,N,95.066,W,0
6/16/2015,5:16:42,28.059,N,95.07,W,0
6/16/2015,5:18:41,28.063,N,95.074,W,0
6/16/2015,5:20:41,28.068,N,95.078,W,0
6/16/2015,5:22:42,28.072,N,95.082,W,0
6/16/2015,5:24:42,28.076,N,95.086,W,0
6/16/2015,5:26:41,28.08,N,95.09,W,0
6/16/2015,5:28:41,28.085,N,95.093,W,0
6/16/2015,5:30:42,28.089,N,95.097,W,0
6/16/2015,5:32:42,28.093,N,95.101,W,0
6/16/2015,5:34:41,28.097,N,95.105,W,0
6/16/2015,5:36:41,28.101,N,95.109,W,0
6/16/2015,5:38:42,28.105,N,95.113,W,0
6/16/2015,5:40:41,28.109,N,95.117,W,0
6/16/2015,5:42:41,28.113,N,95.121,W,0
6/16/2015,5:44:42,28.117,N,95.124,W,0
6/16/2015,5:46:42,28.121,N,95.128,W,0
6/16/2015,5:48:41,28.125,N,95.132,W,0
6/16/2015,5:50:41,28.128,N,95.136,W,0
6/16/2015,5:52:42,28.132,N,95.14,W,0
6/16/2015,5:54:42,28.136,N,95.144,W,0
6/16/2015,5:56:41,28.139,N,95.147,W,0
6/16/2015,5:58:41,28.143,N,95.151,W,0
6/16/2015,6:00:42,28.147,N,95.155,W,0
6/16/2015,6:02:42,28.15,N,95.159,W,0
6/16/2015,6:04:41,28.154,N,95.163,W,0
6/16/2015,6:06:41,28.157,N,95.167,W,0
6/16/2015,6:08:42,28.16,N,95.17,W,0
6/16/2015,6:10:41,28.164,N,95.174,W,0
6/16/2015,6:12:41,28.167,N,95.178,W,0
6/16/2015,6:14:42,28.17,N,95.182,W,0
6/16/2015,6:16:42,28.173,N,95.186,W,0
6/16/2015,6:18:41,28.177,N,95.19,W,0
6/16/2015,6:20:41,28.18,N,95.193,W,0
6/16/2015,6:22:42,28.183,N,95.197,W,0
6/16/2015,6:24:42,28.186,N,95.201,W,0
6/16/2015,6:26:41,28.189,N,95.205,W,0
6/16/2015,6:28:41,28.192,N,95.209,W,0
6/16/2015,6:30:42,28.194,N,95.213,W,0
6/16/2015,6:32:42,28.197,N,95.217,W,0
6/16/2015,6:34:41,28.2,N,95.221,W,0
6/16/2015,6:36:41,28.203,N,95.225,W,0
6/16/2015,6:38:42,28.205,N,95.228,W,0
6/16/2015,6:40:41,28.208,N,95.232,W,0
6/16/2015,6:42:41,28.21,N,95.236,W,0
6/16/2015,6:44:42,28.213,N,95.24,W,0
6/16/2015,6:46:42,28.215,N,95.244,W,0
6/16/2015,6:48:41,28.218,N,95.248,W,0
6/16/2015,6:50:41,28.22,N,95.252,W,0
6/16/2015,6:52:42,28.222,N,95.256,W,0
6/16/2015,6:54:42,28.225,N,95.26,W,0
6/16/2015,6:56:41,28.227,N,95.264,W,0
6/16/2015,6:58:41,28.229,N,95.268,W,0
6/16/2015,7:00:42,28.231,N,95.272,W,0
6/16/2015,7:02:42,28.233,N,95.276,W,0
6/16/2015,7:04:41,28.235,N,95.28,W,0
6/16/2015,7:06:41,28.237,N,95.285,W,0
6/16/2015,7:08:42,28.239,N,95.289,W,0
6/16/2015,7:10:41,28.24,N,95.293,W,0
6/16/2015,7:12:41,28.242,N,95.297,W,0
6/16/2015,7:14:42,28.244,N,95.301,W,0
6/16/2015,7:16:42,28.245,N,95.305,W,0
6/16/2015,7:18:41,28.247,N,95.31,W,0
6/16/2015,7:20:41,28.248,N,95.314,W,0
6/16/2015,7:22:42,28.25,N,95.318,W,0
6/16/2015,7:24:42,28.251,N,95.322,W,0
6/16/2015,7:26:41,28.252,N,95.327,W,0
6/16/2015,7:28:41,28.254,N,95.331,W,0
6/16/2015,7:30:42,28.255,N,95.335,W,0
6/16/2015,7:32:42,28.256,N,95.34,W,0
6/16/2015,7:34:41,28.257,N,95.344,W,0
6/16/2015,7:36:41,28.258,N,95.348,W,0
6/16/2015,7:38:42,28.259,N,95.353,W,0
6/16/2015,7:40:41,28.26,N,95.357,W,0
6/16/2015,7:42:41,28.261,N,95.362,W,0
6/16/2015,7:44:42,28.261,N,95.366,W,0
6/16/2015,7:46:42,28.262,N,95.37,W,0
6/16/2015,7:48:41,28.263,N,95.375,W,0
6/16/2015,7:50:41,28.263,N,95.379,W,0
6/16/2015,7:52:42,28.264,N,95.384,W,0
6/16/2015,7:54:42,28.264,N,95.389,W,0
6/16/2015,7:56:41,28.265,N,95.393,W,0
6/16/2015,7:58:41,28.265,N,95.398,W,0
6/16/2015,8:00:41,28.265,N,95.402,W,0
6/16/2015,8:02:41,28.266,N,95.407,W,0
6/16/2015,8:04:42,28.266,N,95.412,W,0
6/16/2015,8:06:42,28.266,N,95.416,W,0
6/16/2015,8:08:42,28.266,N,95.421,W,0
6/16/2015,8:10:41,28.266,N,95.426,W,0
6/16/2015,8:12:41,28.266,N,95.43,W,0
6/16/2015,8:14:41,28.266,N,95.435,W,0
6/16/2015,8:16:41,28.266,N,95.44,W,0
6/16/2015,8:18:42,28.266,N,95.445,W,0
6/16/2015,8:20:42,28.266,N,95.449,W,0
6/16/2015,8:22:42,28.266,N,95.454,W,0
6/16/2015,8:24:42,28.265,N,95.459,W,0
6/16/2015,8:26:41,28.265,N,95.464,W,0
6/16/2015,8:28:41,28.265,N,95.469,W,0
6/16/2015,8:30:41,28.264,N,95.473,W,0
6/16/2015,8:32:41,28.264,N,95.478,W,0
6/16/2015,8:34:42,28.263,N,95.483,W,0
6/16/2015,8:36:42,28.263,N,95.488,W,0
6/16/2015,8:38:42,28.262,N,95.493,W,0
6/16/2015,8:40:41,28.262,N,95.498,W,0
6/16/2015,8:42:41,28.261,N,95.503,W,0
6/16/2015,8:44:41,28.26,N,95.508,W,0
6/16/2015,8:46:41,28.259,N,95.513,W,0
6/16/2015,8:48:42,28.259,N,95.518,W,0
6/16/2015,8:50:42,28.258,N,95.523,W,0
6/16/2015,8:52:42,28.257,N,95.528,W,0
6/16/2015,8:54:42,28.256,N,95.533,W,0
6/16/2015,8:56:41,28.255,N,95.538,W,0
6/16/2015,8:58:41,28.254,N,95.543,W,0
6/16/2015,9:00:41,28.253,N,95.548,W,0
6/16/2015,9:02:41,28.252,N,95.553,W,0
6/16/2015,9:04:42,28.251,N,95.558,W,0
6/16/2015,9:06:42,28.25,N,95.563,W,0
