Track,for,Fabian,2003,,
9/1/2003,3:15:59,18.402,N,54.892,W
9/1/2003,3:17:59,18.403,N,54.898,W
9/1/2003,3:19:59,18.404,N,54.904,W
9/1/2003,3:21:59,18.405,N,54.91,W
9/1/2003,3:24:00,18.406,N,54.915,W
9/1/2003,3:26:00,18.407,N,54.921,W
9/1/2003,3:28:00,18.408,N,54.927,W
9/1/2003,3:30:00,18.409,N,54.933,W
9/1/2003,3:31:59,18.41,N,54.938,W
9/1/2003,3:33:59,18.41,N,54.944,W
9/1/2003,3:35:59,18.411,N,54.95,W
9/1/2003,3:38:00,18.412,N,54.956,W
9/1/2003,3:40:00,18.413,N,54.961,W
9/1/2003,3:42:00,18.414,N,54.967,W
9/1/2003,3:44:00,18.415,N,54.973,W
9/1/2003,3:46:00,18.416,N,54.979,W
9/1/2003,3:47:59,18.417,N,54.984,W
9/1/2003,3:49:59,18.418,N,54.99,W
9/1/2003,3:51:59,18.419,N,54.996,W
9/1/2003,3:54:00,18.42,N,55.001,W
9/1/2003,3:56:00,18.421,N,55.007,W
9/1/2003,3:58:00,18.422,N,55.013,W
9/1/2003,4:00:00,18.423,N,55.018,W
9/1/2003,4:01:59,18.424,N,55.024,W
9/1/2003,4:03:59,18.425,N,55.029,W
9/1/2003,4:05:59,18.426,N,55.035,W
9/1/2003,4:07:59,18.427,N,55.041,W
9/1/2003,4:09:59,18.427,N,55.046,W
9/1/2003,4:11:59,18.428,N,55.052,W
9/1/2003,4:13:59,18.429,N,55.058,W
9/1/2003,4:16:00,18.43,N,55.063,W
9/1/2003,4:18:00,18.431,N,55.069,W
9/1/2003,4:20:00,18.432,N,55.074,W
9/1/2003,4:22:00,18.433,N,55.08,W
9/1/2003,4:24:00,18.434,N,55.085,W
9/1/2003,4:26:00,18.435,N,55.091,W
9/1/2003,4:28:00,18.436,N,55.097,W
9/1/2003,4:30:00,18.437,N,55.102,W
9/1/2003,4:31:59,18.437,N,55.108,W
9/1/2003,4:33:59,18.438,N,55.113,W
9/1/2003,4:35:59,18.439,N,55.119,W
9/1/2003,4:37:59,18.44,N,55.124,W
9/1/2003,4:39:59,18.441,N,55.13,W
9/1/2003,4:41:59,18.442,N,55.135,W
9/1/2003,4:43:59,18.443,N,55.141,W
9/1/2003,4:46:00,18.444,N,55.146,W
9/1/2003,4:48:00,18.445,N,55.152,W
9/1/2003,4:50:00,18.446,N,55.157,W
9/1/2003,4:52:00,18.446,N,55.163,W
9/1/2003,4:54:00,18.447,N,55.168,W
9/1/2003,4:56:00,18.448,N,55.174,W
9/1/2003,4:58:00,18.449,N,55.179,W
9/1/2003,5:00:00,18.45,N,55.185,W
9/1/2003,5:01:59,18.451,N,55.19,W
9/1/2003,5:03:59,18.452,N,55.195,W
9/1/2003,5:05:59,18.453,N,55.201,W
9/1/2003,5:07:59,18.453,N,55.206,W
9/1/2003,5:09:59,18.454,N,55.212,W
9/1/2003,5:11:59,18.455,N,55.217,W
9/1/2003,5:13:59,18.456,N,55.223,W
9/1/2003,5:16:00,18.457,N,55.228,W
9/1/2003,5:18:00,18.458,N,55.233,W
9/1/2003,5:20:00,18.459,N,55.239,W
9/1/2003,5:22:00,18.46,N,55.244,W
9/1/2003,5:24:00,18.46,N,55.25,W
9/1/2003,5:26:00,18.461,N,55.255,W
9/1/2003,5:28:00,18.462,N,55.26,W
9/1/2003,5:30:00,18.463,N,55.266,W
9/1/2003,5:31:59,18.464,N,55.271,W
9/1/2003,5:33:59,18.465,N,55.277,W
9/1/2003,5:35:59,18.466,N,55.282,W
9/1/2003,5:37:59,18.466,N,55.287,W
9/1/2003,5:39:59,18.467,N,55.293,W
9/1/2003,5:41:59,18.468,N,55.298,W
9/1/2003,5:43:59,18.469,N,55.303,W
9/1/2003,5:46:00,18.47,N,55.309,W
9/1/2003,5:48:00,18.471,N,55.314,W
9/1/2003,5:50:00,18.472,N,55.319,W
9/1/2003,5:52:00,18.472,N,55.325,W
9/1/2003,5:54:00,18.473,N,55.33,W
9/1/2003,5:56:00,18.474,N,55.335,W
9/1/2003,5:58:00,18.475,N,55.341,W
9/1/2003,6:00:00,18.476,N,55.346,W
9/1/2003,6:01:59,18.477,N,55.351,W
9/1/2003,6:03:59,18.478,N,55.357,W
9/1/2003,6:05:59,18.478,N,55.362,W
9/1/2003,6:07:59,18.479,N,55.367,W
9/1/2003,6:09:59,18.48,N,55.373,W
9/1/2003,6:11:59,18.481,N,55.378,W
9/1/2003,6:13:59,18.482,N,55.383,W
9/1/2003,6:16:00,18.483,N,55.389,W
9/1/2003,6:18:00,18.483,N,55.394,W
9/1/2003,6:20:00,18.484,N,55.399,W
9/1/2003,6:22:00,18.485,N,55.405,W
9/1/2003,6:24:00,18.486,N,55.41,W
9/1/2003,6:26:00,18.487,N,55.415,W
9/1/2003,6:28:00,18.488,N,55.42,W
9/1/2003,6:30:00,18.489,N,55.426,W
9/1/2003,6:31:59,18.489,N,55.431,W
9/1/2003,6:33:59,18.49,N,55.436,W
9/1/2003,6:35:59,18.491,N,55.442,W
9/1/2003,6:37:59,18.492,N,55.447,W
9/1/2003,6:39:59,18.493,N,55.452,W
9/1/2003,6:41:59,18.494,N,55.457,W
9/1/2003,6:43:59,18.494,N,55.463,W
9/1/2003,6:46:00,18.495,N,55.468,W
9/1/2003,6:48:00,18.496,N,55.473,W
9/1/2003,6:50:00,18.497,N,55.478,W
9/1/2003,6:52:00,18.498,N,55.484,W
9/1/2003,6:54:00,18.499,N,55.489,W
9/1/2003,6:56:00,18.499,N,55.494,W
9/1/2003,6:58:00,18.5,N,55.5,W
9/1/2003,7:00:00,18.501,N,55.505,W
9/1/2003,7:01:59,18.502,N,55.51,W
9/1/2003,7:03:59,18.503,N,55.515,W
9/1/2003,7:05:59,18.504,N,55.521,W
9/1/2003,7:07:59,18.504,N,55.526,W
9/1/2003,7:09:35,18.505,N,55.53,W
9/1/2003,7:11:35,18.507,N,55.536,W
9/1/2003,7:13:35,18.508,N,55.542,W
9/1/2003,7:15:35,18.51,N,55.549,W
9/1/2003,7:17:34,18.512,N,55.555,W
9/1/2003,7:19:34,18.514,N,55.562,W
9/1/2003,7:21:34,18.515,N,55.568,W
9/1/2003,7:23:34,18.517,N,55.575,W
9/1/2003,7:25:34,18.519,N,55.581,W
9/1/2003,7:27:34,18.521,N,55.588,W
9/1/2003,7:28:14,18.522,N,55.59,W
9/1/2003,7:30:14,18.524,N,55.596,W
9/1/2003,7:32:14,18.526,N,55.603,W
9/1/2003,7:34:14,18.527,N,55.609,W
9/1/2003,7:36:14,18.529,N,55.616,W
9/1/2003,7:38:14,18.531,N,55.622,W
9/1/2003,7:40:14,18.533,N,55.629,W
9/1/2003,7:42:15,18.535,N,55.635,W
9/1/2003,7:44:15,18.537,N,55.641,W
9/1/2003,7:46:15,18.538,N,55.648,W
9/1/2003,7:48:15,18.54,N,55.654,W
9/1/2003,7:50:15,18.542,N,55.661,W
9/1/2003,7:52:15,18.544,N,55.667,W
9/1/2003,7:54:15,18.546,N,55.673,W
9/1/2003,7:56:15,18.548,N,55.68,W
9/1/2003,7:58:15,18.549,N,55.686,W
9/1/2003,8:00:14,18.551,N,55.693,W
9/1/2003,8:02:15,18.553,N,55.699,W
9/1/2003,8:04:14,18.555,N,55.705,W
9/1/2003,8:06:15,18.557,N,55.712,W
9/1/2003,8:08:14,18.558,N,55.718,W
9/1/2003,8:10:15,18.56,N,55.725,W
9/1/2003,8:12:14,18.562,N,55.731,W
9/1/2003,8:14:15,18.564,N,55.737,W
9/1/2003,8:16:14,18.566,N,55.744,W
9/1/2003,8:18:15,18.568,N,55.75,W
9/1/2003,8:20:14,18.569,N,55.757,W
9/1/2003,8:22:15,18.571,N,55.763,W
9/1/2003,8:24:14,18.573,N,55.769,W
9/1/2003,8:26:15,18.575,N,55.776,W
9/1/2003,8:28:15,18.577,N,55.782,W
9/1/2003,8:30:14,18.578,N,55.788,W
9/1/2003,8:32:15,18.58,N,55.795,W
9/1/2003,8:34:14,18.582,N,55.801,W
9/1/2003,8:36:15,18.584,N,55.807,W
9/1/2003,8:38:14,18.586,N,55.814,W
9/1/2003,8:40:15,18.587,N,55.82,W
9/1/2003,8:42:14,18.589,N,55.826,W
9/1/2003,8:44:15,18.591,N,55.833,W
9/1/2003,8:46:14,18.593,N,55.839,W
9/1/2003,8:48:15,18.595,N,55.845,W
9/1/2003,8:50:14,18.597,N,55.852,W
9/1/2003,8:52:15,18.598,N,55.858,W
9/1/2003,8:54:14,18.6,N,55.864,W
9/1/2003,8:56:15,18.602,N,55.871,W
9/1/2003,8:58:15,18.604,N,55.877,W
9/1/2003,9:00:14,18.606,N,55.883,W
9/1/2003,9:02:15,18.607,N,55.89,W
9/1/2003,9:04:14,18.609,N,55.896,W
9/1/2003,9:06:15,18.611,N,55.902,W
9/1/2003,9:08:14,18.613,N,55.909,W
9/1/2003,9:10:15,18.615,N,55.915,W
9/1/2003,9:12:14,18.616,N,55.921,W
9/1/2003,9:14:15,18.618,N,55.927,W
9/1/2003,9:16:14,18.62,N,55.934,W
9/1/2003,9:18:15,18.622,N,55.94,W
9/1/2003,9:20:14,18.624,N,55.946,W
9/1/2003,9:22:15,18.625,N,55.952,W
9/1/2003,9:24:14,18.627,N,55.959,W
9/1/2003,9:26:15,18.629,N,55.965,W
9/1/2003,9:28:15,18.631,N,55.971,W
9/1/2003,9:30:14,18.633,N,55.977,W
9/1/2003,9:32:15,18.634,N,55.983,W
9/1/2003,9:34:14,18.636,N,55.99,W
9/1/2003,9:36:15,18.638,N,55.996,W
9/1/2003,9:38:14,18.64,N,56.002,W
9/1/2003,9:40:15,18.641,N,56.008,W
9/1/2003,9:42:14,18.643,N,56.014,W
9/1/2003,9:44:15,18.645,N,56.021,W
9/1/2003,9:46:14,18.647,N,56.027,W
9/1/2003,9:48:15,18.649,N,56.033,W
9/1/2003,9:50:14,18.65,N,56.039,W
9/1/2003,9:52:15,18.652,N,56.045,W
9/1/2003,9:54:14,18.654,N,56.051,W
9/1/2003,9:56:15,18.656,N,56.058,W
9/1/2003,9:58:15,18.658,N,56.064,W
9/1/2003,10:00:14,18.659,N,56.07,W
9/1/2003,10:02:15,18.661,N,56.076,W
9/1/2003,10:04:14,18.663,N,56.082,W
9/1/2003,10:06:15,18.665,N,56.088,W
9/1/2003,10:08:14,18.666,N,56.094,W
9/1/2003,10:10:15,18.668,N,56.1,W
9/1/2003,10:12:14,18.67,N,56.106,W
9/1/2003,10:14:15,18.672,N,56.112,W
9/1/2003,10:16:14,18.674,N,56.119,W
9/1/2003,10:18:15,18.675,N,56.125,W
9/1/2003,10:20:14,18.677,N,56.131,W
9/1/2003,10:22:15,18.679,N,56.137,W
9/1/2003,10:24:14,18.681,N,56.143,W
9/1/2003,10:26:15,18.682,N,56.149,W
9/1/2003,10:28:15,18.684,N,56.155,W
9/1/2003,10:30:14,18.686,N,56.161,W
9/1/2003,10:32:15,18.688,N,56.167,W
9/1/2003,10:34:14,18.689,N,56.173,W
9/1/2003,10:36:15,18.691,N,56.179,W
9/1/2003,10:38:14,18.693,N,56.185,W
9/1/2003,10:40:15,18.695,N,56.191,W
9/1/2003,10:42:14,18.696,N,56.197,W
9/1/2003,10:44:15,18.698,N,56.202,W
9/1/2003,10:46:14,18.7,N,56.208,W
9/1/2003,10:48:15,18.702,N,56.214,W
9/1/2003,10:50:14,18.703,N,56.22,W
9/1/2003,10:52:15,18.705,N,56.226,W
9/1/2003,10:54:14,18.707,N,56.232,W
9/1/2003,10:56:15,18.709,N,56.238,W
9/1/2003,10:58:15,18.71,N,56.244,W
9/1/2003,11:00:14,18.712,N,56.25,W
9/1/2003,11:02:15,18.714,N,56.256,W
9/1/2003,11:04:14,18.716,N,56.261,W
9/1/2003,11:06:15,18.717,N,56.267,W
9/1/2003,11:08:14,18.719,N,56.273,W
9/1/2003,11:10:15,18.721,N,56.279,W
9/1/2003,11:12:14,18.723,N,56.285,W
9/1/2003,11:14:15,18.724,N,56.29,W
9/1/2003,11:16:14,18.726,N,56.296,W
9/1/2003,11:18:15,18.728,N,56.302,W
9/1/2003,11:20:14,18.73,N,56.308,W
9/1/2003,11:22:15,18.731,N,56.314,W
9/1/2003,11:24:14,18.733,N,56.319,W
9/1/2003,11:26:15,18.735,N,56.325,W
9/1/2003,11:28:15,18.737,N,56.331,W
9/1/2003,11:30:14,18.738,N,56.336,W
9/1/2003,11:32:15,18.74,N,56.342,W
9/1/2003,11:34:14,18.742,N,56.348,W
9/1/2003,11:36:15,18.743,N,56.354,W
9/1/2003,11:38:14,18.745,N,56.359,W
9/1/2003,11:40:15,18.747,N,56.365,W
9/1/2003,11:42:14,18.749,N,56.371,W
9/1/2003,11:44:15,18.75,N,56.376,W
9/1/2003,11:46:14,18.752,N,56.382,W
9/1/2003,11:48:15,18.754,N,56.388,W
9/1/2003,11:50:14,18.755,N,56.393,W
9/1/2003,11:52:15,18.757,N,56.399,W
9/1/2003,11:54:14,18.759,N,56.404,W
9/1/2003,11:56:15,18.76,N,56.41,W
9/1/2003,11:58:15,18.762,N,56.416,W
9/1/2003,12:00:14,18.764,N,56.421,W
9/1/2003,12:02:15,18.765,N,56.427,W
9/1/2003,12:04:14,18.767,N,56.432,W
9/1/2003,12:06:15,18.769,N,56.438,W
9/1/2003,12:08:14,18.77,N,56.443,W
9/1/2003,12:10:15,18.772,N,56.449,W
9/1/2003,12:12:14,18.774,N,56.454,W
9/1/2003,12:14:15,18.775,N,56.46,W
9/1/2003,12:16:14,18.777,N,56.465,W
9/1/2003,12:18:15,18.779,N,56.471,W
9/1/2003,12:20:14,18.78,N,56.477,W
9/1/2003,12:22:15,18.782,N,56.482,W
9/1/2003,12:24:14,18.784,N,56.487,W
9/1/2003,12:26:15,18.785,N,56.493,W
9/1/2003,12:28:15,18.787,N,56.498,W
9/1/2003,12:30:14,18.789,N,56.504,W
9/1/2003,12:32:15,18.79,N,56.509,W
9/1/2003,12:34:14,18.792,N,56.515,W
9/1/2003,12:36:15,18.793,N,56.52,W
9/1/2003,12:38:14,18.795,N,56.526,W
9/1/2003,12:40:15,18.797,N,56.531,W
9/1/2003,12:42:14,18.798,N,56.536,W
9/1/2003,12:44:15,18.8,N,56.542,W
9/1/2003,12:46:14,18.801,N,56.547,W
9/1/2003,12:48:15,18.803,N,56.553,W
9/1/2003,12:50:14,18.805,N,56.558,W
9/1/2003,12:52:15,18.806,N,56.563,W
9/1/2003,12:54:14,18.808,N,56.569,W
9/1/2003,12:56:15,18.809,N,56.574,W
9/1/2003,12:58:15,18.811,N,56.58,W
9/1/2003,13:00:14,18.812,N,56.585,W
9/1/2003,13:02:15,18.814,N,56.59,W
9/1/2003,13:04:14,18.816,N,56.596,W
9/1/2003,13:06:15,18.817,N,56.601,W
9/1/2003,13:08:14,18.819,N,56.606,W
9/1/2003,13:10:15,18.82,N,56.612,W
9/1/2003,13:12:14,18.822,N,56.617,W
9/1/2003,13:14:15,18.823,N,56.622,W
9/1/2003,13:16:14,18.825,N,56.628,W
9/1/2003,13:18:15,18.826,N,56.633,W
9/1/2003,13:20:14,18.828,N,56.638,W
9/1/2003,13:22:15,18.829,N,56.643,W
9/1/2003,13:24:14,18.831,N,56.649,W
9/1/2003,13:26:15,18.832,N,56.654,W
9/1/2003,13:28:15,18.834,N,56.659,W
9/1/2003,13:30:14,18.835,N,56.665,W
9/1/2003,13:32:15,18.837,N,56.67,W
9/1/2003,13:34:14,18.838,N,56.675,W
9/1/2003,13:36:15,18.84,N,56.68,W
9/1/2003,13:38:14,18.841,N,56.686,W
9/1/2003,13:40:15,18.843,N,56.691,W
9/1/2003,13:42:14,18.844,N,56.696,W
9/1/2003,13:44:15,18.845,N,56.701,W
9/1/2003,13:46:14,18.847,N,56.706,W
9/1/2003,13:48:15,18.848,N,56.712,W
9/1/2003,13:50:14,18.85,N,56.717,W
9/1/2003,13:52:15,18.851,N,56.722,W
9/1/2003,13:54:14,18.853,N,56.727,W
9/1/2003,13:56:15,18.854,N,56.733,W
9/1/2003,13:58:15,18.855,N,56.738,W
9/1/2003,14:00:14,18.857,N,56.743,W
9/1/2003,14:02:15,18.858,N,56.748,W
9/1/2003,14:04:14,18.859,N,56.753,W
9/1/2003,14:06:15,18.861,N,56.758,W
9/1/2003,14:08:14,18.862,N,56.764,W
9/1/2003,14:10:15,18.863,N,56.769,W
9/1/2003,14:12:14,18.865,N,56.774,W
9/1/2003,14:14:15,18.866,N,56.779,W
9/1/2003,14:16:14,18.867,N,56.784,W
9/1/2003,14:18:15,18.869,N,56.789,W
9/1/2003,14:20:14,18.87,N,56.795,W
9/1/2003,14:22:15,18.871,N,56.8,W
9/1/2003,14:24:14,18.873,N,56.805,W
9/1/2003,14:26:15,18.874,N,56.81,W
9/1/2003,14:28:15,18.875,N,56.815,W
9/1/2003,14:30:14,18.877,N,56.82,W
9/1/2003,14:32:15,18.878,N,56.825,W
9/1/2003,14:34:14,18.879,N,56.831,W
9/1/2003,14:36:15,18.88,N,56.836,W
9/1/2003,14:38:14,18.882,N,56.841,W
9/1/2003,14:40:15,18.883,N,56.846,W
9/1/2003,14:42:14,18.884,N,56.851,W
9/1/2003,14:44:15,18.885,N,56.856,W
9/1/2003,14:46:14,18.886,N,56.861,W
9/1/2003,14:48:15,18.888,N,56.866,W
9/1/2003,14:50:14,18.889,N,56.871,W
9/1/2003,14:52:15,18.89,N,56.877,W
9/1/2003,14:54:14,18.891,N,56.882,W
9/1/2003,14:56:15,18.892,N,56.887,W
9/1/2003,14:58:15,18.893,N,56.892,W
9/1/2003,15:00:14,18.895,N,56.897,W
9/1/2003,15:02:15,18.896,N,56.902,W
9/1/2003,15:04:14,18.897,N,56.907,W
9/1/2003,15:06:15,18.898,N,56.912,W
9/1/2003,15:08:14,18.899,N,56.917,W
9/1/2003,15:10:15,18.9,N,56.922,W
9/1/2003,15:12:14,18.901,N,56.927,W
9/1/2003,15:14:15,18.902,N,56.932,W
9/1/2003,15:16:14,18.903,N,56.937,W
9/1/2003,15:18:15,18.904,N,56.943,W
9/1/2003,15:20:14,18.906,N,56.948,W
9/1/2003,15:22:15,18.907,N,56.953,W
9/1/2003,15:24:14,18.908,N,56.958,W
9/1/2003,15:26:15,18.909,N,56.963,W
9/1/2003,15:28:15,18.91,N,56.968,W
9/1/2003,15:30:14,18.911,N,56.973,W
9/1/2003,15:32:15,18.912,N,56.978,W
9/1/2003,15:34:14,18.913,N,56.983,W
9/1/2003,15:36:15,18.914,N,56.988,W
9/1/2003,15:38:14,18.915,N,56.993,W
9/1/2003,15:40:15,18.916,N,56.998,W
9/1/2003,15:42:14,18.917,N,57.003,W
9/1/2003,15:44:15,18.917,N,57.008,W
9/1/2003,15:46:14,18.918,N,57.013,W
9/1/2003,15:48:15,18.919,N,57.018,W
9/1/2003,15:50:14,18.92,N,57.023,W
9/1/2003,15:52:15,18.921,N,57.028,W
9/1/2003,15:54:14,18.922,N,57.033,W
9/1/2003,15:56:15,18.923,N,57.038,W
9/1/2003,15:58:15,18.924,N,57.043,W
9/1/2003,16:00:15,18.925,N,57.048,W
9/1/2003,16:02:15,18.926,N,57.053,W
9/1/2003,16:04:14,18.927,N,57.059,W
9/1/2003,16:06:14,18.927,N,57.064,W
9/1/2003,16:08:15,18.928,N,57.069,W
9/1/2003,16:10:15,18.929,N,57.074,W
9/1/2003,16:12:14,18.93,N,57.079,W
9/1/2003,16:14:14,18.931,N,57.084,W
9/1/2003,16:16:15,18.932,N,57.089,W
9/1/2003,16:18:15,18.933,N,57.094,W
9/1/2003,16:20:14,18.933,N,57.099,W
9/1/2003,16:22:14,18.934,N,57.104,W
9/1/2003,16:24:15,18.935,N,57.109,W
9/1/2003,16:26:15,18.936,N,57.114,W
9/1/2003,16:28:14,18.937,N,57.119,W
9/1/2003,16:30:15,18.937,N,57.124,W
9/1/2003,16:32:15,18.938,N,57.129,W
9/1/2003,16:34:14,18.939,N,57.134,W
9/1/2003,16:36:14,18.94,N,57.139,W
9/1/2003,16:38:15,18.941,N,57.144,W
9/1/2003,16:40:15,18.941,N,57.149,W
9/1/2003,16:42:14,18.942,N,57.154,W
9/1/2003,16:44:14,18.943,N,57.159,W
9/1/2003,16:46:15,18.944,N,57.164,W
9/1/2003,16:48:15,18.944,N,57.169,W
9/1/2003,16:50:14,18.945,N,57.174,W
9/1/2003,16:52:14,18.946,N,57.179,W
9/1/2003,16:54:15,18.946,N,57.184,W
9/1/2003,16:56:15,18.947,N,57.189,W
9/1/2003,16:58:14,18.948,N,57.194,W
9/1/2003,17:00:15,18.949,N,57.199,W
9/1/2003,17:02:15,18.949,N,57.204,W
9/1/2003,17:04:14,18.95,N,57.209,W
9/1/2003,17:06:14,18.951,N,57.213,W
9/1/2003,17:08:15,18.951,N,57.218,W
9/1/2003,17:10:15,18.952,N,57.223,W
9/1/2003,17:12:14,18.953,N,57.228,W
9/1/2003,17:14:14,18.953,N,57.233,W
9/1/2003,17:16:15,18.954,N,57.238,W
9/1/2003,17:18:15,18.955,N,57.243,W
9/1/2003,17:18:54,18.955,N,57.245,W
9/1/2003,17:20:55,18.956,N,57.25,W
9/1/2003,17:22:55,18.956,N,57.255,W
9/1/2003,17:24:54,18.957,N,57.26,W
9/1/2003,17:26:54,18.957,N,57.265,W
9/1/2003,17:28:55,18.958,N,57.27,W
9/1/2003,17:30:55,18.959,N,57.275,W
9/1/2003,17:32:54,18.959,N,57.28,W
9/1/2003,17:34:54,18.96,N,57.285,W
9/1/2003,17:36:55,18.96,N,57.29,W
9/1/2003,17:38:54,18.961,N,57.295,W
9/1/2003,17:40:54,18.961,N,57.299,W
9/1/2003,17:42:55,18.962,N,57.304,W
9/1/2003,17:44:55,18.963,N,57.309,W
9/1/2003,17:46:54,18.963,N,57.314,W
9/1/2003,17:48:54,18.964,N,57.319,W
9/1/2003,17:50:55,18.964,N,57.324,W
9/1/2003,17:52:55,18.965,N,57.329,W
9/1/2003,17:54:54,18.966,N,57.334,W
9/1/2003,17:56:54,18.966,N,57.339,W
9/1/2003,17:58:55,18.967,N,57.344,W
9/1/2003,18:00:55,18.967,N,57.349,W
9/1/2003,18:02:54,18.968,N,57.354,W
9/1/2003,18:04:54,18.969,N,57.359,W
9/1/2003,18:06:55,18.969,N,57.364,W
9/1/2003,18:08:54,18.97,N,57.369,W
9/1/2003,18:10:54,18.97,N,57.374,W
9/1/2003,18:12:55,18.971,N,57.379,W
9/1/2003,18:14:55,18.972,N,57.384,W
9/1/2003,18:16:54,18.972,N,57.389,W
9/1/2003,18:18:54,18.973,N,57.394,W
9/1/2003,18:20:55,18.973,N,57.399,W
9/1/2003,18:22:55,18.974,N,57.404,W
9/1/2003,18:24:54,18.974,N,57.409,W
9/1/2003,18:26:54,18.975,N,57.413,W
