Track,for,helene,2006,,,
9/17/2006,7:46:00,19.993,N,48.046,W,3
9/17/2006,7:48:00,19.995,N,48.049,W,3
9/17/2006,7:50:00,19.997,N,48.052,W,3
9/17/2006,7:52:00,19.998,N,48.054,W,3
9/17/2006,7:54:00,20,N,48.057,W,3
9/17/2006,7:56:00,20.002,N,48.06,W,3
9/17/2006,7:58:00,20.004,N,48.063,W,3
9/17/2006,8:00:00,20.006,N,48.065,W,3
9/17/2006,8:02:00,20.008,N,48.068,W,3
9/17/2006,8:03:59,20.01,N,48.071,W,3
9/17/2006,8:06:00,20.012,N,48.074,W,3
9/17/2006,8:07:59,20.013,N,48.077,W,3
9/17/2006,8:10:00,20.015,N,48.079,W,3
9/17/2006,8:11:59,20.017,N,48.082,W,3
9/17/2006,8:14:00,20.019,N,48.085,W,3
9/17/2006,8:15:59,20.021,N,48.088,W,3
9/17/2006,8:18:00,20.023,N,48.09,W,3
9/17/2006,8:19:59,20.025,N,48.093,W,3
9/17/2006,8:22:00,20.027,N,48.096,W,3
9/17/2006,8:23:59,20.029,N,48.099,W,3
9/17/2006,8:26:00,20.031,N,48.101,W,3
9/17/2006,8:27:59,20.033,N,48.104,W,3
9/17/2006,8:30:00,20.035,N,48.107,W,3
9/17/2006,8:32:00,20.037,N,48.11,W,3
9/17/2006,8:33:59,20.039,N,48.112,W,3
9/17/2006,8:36:00,20.041,N,48.115,W,3
9/17/2006,8:37:59,20.043,N,48.118,W,3
9/17/2006,8:40:00,20.045,N,48.121,W,3
9/17/2006,8:41:59,20.047,N,48.124,W,3
9/17/2006,8:44:00,20.049,N,48.126,W,3
9/17/2006,8:45:59,20.051,N,48.129,W,3
9/17/2006,8:48:00,20.053,N,48.132,W,3
9/17/2006,8:49:59,20.055,N,48.135,W,3
9/17/2006,8:52:00,20.057,N,48.137,W,3
9/17/2006,8:53:59,20.059,N,48.14,W,3
9/17/2006,8:56:00,20.061,N,48.143,W,3
9/17/2006,8:57:59,20.063,N,48.146,W,3
9/17/2006,9:00:00,20.065,N,48.148,W,3
9/17/2006,9:02:00,20.067,N,48.151,W,3
9/17/2006,9:03:59,20.07,N,48.154,W,3
9/17/2006,9:06:00,20.072,N,48.157,W,3
9/17/2006,9:07:59,20.074,N,48.16,W,3
9/17/2006,9:10:00,20.076,N,48.162,W,3
9/17/2006,9:11:59,20.078,N,48.165,W,3
9/17/2006,9:14:00,20.08,N,48.168,W,3
9/17/2006,9:15:59,20.082,N,48.171,W,3
9/17/2006,9:18:00,20.085,N,48.173,W,3
9/17/2006,9:19:59,20.087,N,48.176,W,3
9/17/2006,9:22:00,20.089,N,48.179,W,3
9/17/2006,9:23:59,20.091,N,48.182,W,3
9/17/2006,9:26:00,20.093,N,48.185,W,3
9/17/2006,9:27:59,20.096,N,48.187,W,3
9/17/2006,9:30:00,20.098,N,48.19,W,3
9/17/2006,9:32:00,20.1,N,48.193,W,3
9/17/2006,9:33:59,20.102,N,48.196,W,3
9/17/2006,9:36:00,20.105,N,48.198,W,3
9/17/2006,9:37:59,20.107,N,48.201,W,3
9/17/2006,9:40:00,20.109,N,48.204,W,3
9/17/2006,9:41:59,20.111,N,48.207,W,3
9/17/2006,9:44:00,20.114,N,48.21,W,3
9/17/2006,9:45:59,20.116,N,48.212,W,3
9/17/2006,9:48:00,20.118,N,48.215,W,3
9/17/2006,9:49:59,20.121,N,48.218,W,3
9/17/2006,9:52:00,20.123,N,48.221,W,3
9/17/2006,9:53:59,20.125,N,48.223,W,3
9/17/2006,9:56:00,20.128,N,48.226,W,3
9/17/2006,9:57:59,20.13,N,48.229,W,3
9/17/2006,10:00:00,20.132,N,48.232,W,3
9/17/2006,10:02:00,20.135,N,48.235,W,3
9/17/2006,10:03:59,20.137,N,48.237,W,3
9/17/2006,10:06:00,20.14,N,48.24,W,3
9/17/2006,10:07:59,20.142,N,48.243,W,3
9/17/2006,10:10:00,20.145,N,48.246,W,3
9/17/2006,10:11:59,20.147,N,48.249,W,3
9/17/2006,10:14:00,20.15,N,48.251,W,3
9/17/2006,10:15:59,20.152,N,48.254,W,3
9/17/2006,10:18:00,20.155,N,48.257,W,3
9/17/2006,10:19:59,20.157,N,48.26,W,3
9/17/2006,10:22:00,20.16,N,48.263,W,3
9/17/2006,10:23:59,20.162,N,48.265,W,3
9/17/2006,10:26:00,20.165,N,48.268,W,3
9/17/2006,10:27:59,20.167,N,48.271,W,3
9/17/2006,10:30:00,20.17,N,48.274,W,3
9/17/2006,10:32:00,20.172,N,48.276,W,3
9/17/2006,10:33:59,20.175,N,48.279,W,3
9/17/2006,10:36:00,20.178,N,48.282,W,3
9/17/2006,10:37:59,20.18,N,48.285,W,3
9/17/2006,10:40:00,20.183,N,48.288,W,3
9/17/2006,10:41:59,20.185,N,48.29,W,3
9/17/2006,10:44:00,20.188,N,48.293,W,3
9/17/2006,10:45:59,20.191,N,48.296,W,3
9/17/2006,10:48:00,20.194,N,48.299,W,3
9/17/2006,10:49:59,20.196,N,48.302,W,3
9/17/2006,10:52:00,20.199,N,48.304,W,3
9/17/2006,10:53:59,20.202,N,48.307,W,3
9/17/2006,10:56:00,20.204,N,48.31,W,3
9/17/2006,10:57:59,20.207,N,48.313,W,3
9/17/2006,11:00:00,20.21,N,48.316,W,3
9/17/2006,11:02:00,20.213,N,48.318,W,3
9/17/2006,11:03:59,20.216,N,48.321,W,3
9/17/2006,11:06:00,20.218,N,48.324,W,3
9/17/2006,11:07:59,20.221,N,48.327,W,3
9/17/2006,11:10:00,20.224,N,48.33,W,3
9/17/2006,11:11:59,20.227,N,48.332,W,3
9/17/2006,11:14:00,20.23,N,48.335,W,3
9/17/2006,11:15:59,20.233,N,48.338,W,3
9/17/2006,11:18:00,20.236,N,48.341,W,3
9/17/2006,11:19:59,20.239,N,48.344,W,3
9/17/2006,11:22:00,20.241,N,48.347,W,3
9/17/2006,11:23:59,20.244,N,48.349,W,3
9/17/2006,11:26:00,20.247,N,48.352,W,3
9/17/2006,11:27:59,20.25,N,48.355,W,3
9/17/2006,11:30:00,20.253,N,48.358,W,3
9/17/2006,11:32:00,20.256,N,48.361,W,3
9/17/2006,11:33:59,20.259,N,48.363,W,3
9/17/2006,11:36:00,20.262,N,48.366,W,3
9/17/2006,11:37:59,20.266,N,48.369,W,3
9/17/2006,11:40:00,20.269,N,48.372,W,3
9/17/2006,11:41:59,20.272,N,48.375,W,3
9/17/2006,11:44:00,20.275,N,48.377,W,3
9/17/2006,11:45:59,20.278,N,48.38,W,3
9/17/2006,11:48:00,20.281,N,48.383,W,3
9/17/2006,11:49:59,20.284,N,48.386,W,3
9/17/2006,11:52:00,20.287,N,48.389,W,3
9/17/2006,11:53:59,20.29,N,48.392,W,3
9/17/2006,11:56:00,20.294,N,48.394,W,3
9/17/2006,11:57:59,20.297,N,48.397,W,3
9/17/2006,12:00:00,20.3,N,48.4,W,3
9/17/2006,12:02:00,20.303,N,48.403,W,3
9/17/2006,12:03:59,20.306,N,48.406,W,3
9/17/2006,12:06:00,20.31,N,48.408,W,3
9/17/2006,12:07:59,20.313,N,48.411,W,3
9/17/2006,12:10:00,20.316,N,48.414,W,3
9/17/2006,12:11:59,20.319,N,48.417,W,3
9/17/2006,12:14:00,20.323,N,48.42,W,3
9/17/2006,12:15:59,20.326,N,48.423,W,3
9/17/2006,12:18:00,20.329,N,48.425,W,3
9/17/2006,12:19:59,20.333,N,48.428,W,3
9/17/2006,12:22:00,20.336,N,48.431,W,3
9/17/2006,12:23:59,20.339,N,48.434,W,3
9/17/2006,12:26:00,20.343,N,48.437,W,3
9/17/2006,12:27:59,20.346,N,48.44,W,3
9/17/2006,12:30:00,20.35,N,48.442,W,3
9/17/2006,12:32:00,20.353,N,48.445,W,3
9/17/2006,12:33:59,20.356,N,48.448,W,3
9/17/2006,12:36:00,20.36,N,48.451,W,3
9/17/2006,12:37:59,20.363,N,48.454,W,3
9/17/2006,12:40:00,20.367,N,48.457,W,3
9/17/2006,12:41:59,20.37,N,48.459,W,3
9/17/2006,12:44:00,20.374,N,48.462,W,3
9/17/2006,12:45:59,20.377,N,48.465,W,3
9/17/2006,12:48:00,20.381,N,48.468,W,3
9/17/2006,12:49:59,20.384,N,48.471,W,3
9/17/2006,12:52:00,20.388,N,48.474,W,3
9/17/2006,12:53:59,20.391,N,48.476,W,3
9/17/2006,12:56:00,20.395,N,48.479,W,3
9/17/2006,12:57:59,20.398,N,48.482,W,3
9/17/2006,13:00:00,20.402,N,48.485,W,3
9/17/2006,13:02:00,20.405,N,48.488,W,3
9/17/2006,13:03:59,20.409,N,48.491,W,3
9/17/2006,13:06:00,20.412,N,48.493,W,3
9/17/2006,13:07:59,20.416,N,48.496,W,3
9/17/2006,13:10:00,20.42,N,48.499,W,3
9/17/2006,13:11:59,20.423,N,48.502,W,3
9/17/2006,13:14:00,20.427,N,48.505,W,3
9/17/2006,13:15:59,20.43,N,48.508,W,3
9/17/2006,13:18:00,20.434,N,48.51,W,3
9/17/2006,13:19:59,20.438,N,48.513,W,3
9/17/2006,13:22:00,20.441,N,48.516,W,3
9/17/2006,13:23:59,20.445,N,48.519,W,3
9/17/2006,13:26:00,20.449,N,48.522,W,3
9/17/2006,13:27:59,20.452,N,48.525,W,3
9/17/2006,13:30:00,20.456,N,48.527,W,3
9/17/2006,13:32:00,20.46,N,48.53,W,3
9/17/2006,13:33:59,20.463,N,48.533,W,3
9/17/2006,13:36:00,20.467,N,48.536,W,3
9/17/2006,13:37:59,20.471,N,48.539,W,3
9/17/2006,13:40:00,20.475,N,48.542,W,3
9/17/2006,13:41:59,20.478,N,48.545,W,3
9/17/2006,13:44:00,20.482,N,48.547,W,3
9/17/2006,13:45:59,20.486,N,48.55,W,3
9/17/2006,13:48:00,20.49,N,48.553,W,3
9/17/2006,13:49:59,20.493,N,48.556,W,3
9/17/2006,13:52:00,20.497,N,48.559,W,3
9/17/2006,13:53:59,20.501,N,48.562,W,3
9/17/2006,13:56:00,20.505,N,48.564,W,3
9/17/2006,13:57:59,20.509,N,48.567,W,3
9/17/2006,14:00:00,20.512,N,48.57,W,3
9/17/2006,14:02:00,20.516,N,48.573,W,3
9/17/2006,14:03:59,20.52,N,48.576,W,3
9/17/2006,14:06:00,20.524,N,48.579,W,3
9/17/2006,14:07:59,20.528,N,48.582,W,3
9/17/2006,14:10:00,20.532,N,48.584,W,3
9/17/2006,14:11:59,20.535,N,48.587,W,3
9/17/2006,14:14:00,20.539,N,48.59,W,3
9/17/2006,14:15:59,20.543,N,48.593,W,3
9/17/2006,14:18:00,20.547,N,48.596,W,3
9/17/2006,14:19:59,20.551,N,48.599,W,3
9/17/2006,14:22:00,20.555,N,48.601,W,3
9/17/2006,14:23:59,20.559,N,48.604,W,3
9/17/2006,14:26:00,20.563,N,48.607,W,3
9/17/2006,14:27:59,20.566,N,48.61,W,3
9/17/2006,14:30:00,20.57,N,48.613,W,3
9/17/2006,14:32:00,20.574,N,48.616,W,3
9/17/2006,14:33:59,20.578,N,48.619,W,3
9/17/2006,14:36:00,20.582,N,48.621,W,3
9/17/2006,14:37:59,20.586,N,48.624,W,3
9/17/2006,14:40:00,20.59,N,48.627,W,3
9/17/2006,14:41:59,20.594,N,48.63,W,3
9/17/2006,14:44:00,20.598,N,48.633,W,3
9/17/2006,14:45:59,20.602,N,48.636,W,3
9/17/2006,14:48:00,20.606,N,48.639,W,3
9/17/2006,14:49:59,20.61,N,48.641,W,3
9/17/2006,14:52:00,20.614,N,48.644,W,3
9/17/2006,14:53:59,20.618,N,48.647,W,3
9/17/2006,14:56:00,20.622,N,48.65,W,3
9/17/2006,14:57:59,20.626,N,48.653,W,3
9/17/2006,15:00:00,20.63,N,48.656,W,3
9/17/2006,15:02:00,20.634,N,48.659,W,3
9/17/2006,15:03:59,20.638,N,48.661,W,3
9/17/2006,15:06:00,20.642,N,48.664,W,3
9/17/2006,15:07:59,20.646,N,48.667,W,3
9/17/2006,15:10:00,20.65,N,48.67,W,3
9/17/2006,15:11:59,20.654,N,48.673,W,3
9/17/2006,15:14:00,20.658,N,48.676,W,3
9/17/2006,15:15:59,20.662,N,48.679,W,3
9/17/2006,15:18:00,20.666,N,48.681,W,3
9/17/2006,15:19:59,20.67,N,48.684,W,3
9/17/2006,15:22:00,20.674,N,48.687,W,3
9/17/2006,15:23:59,20.678,N,48.69,W,3
9/17/2006,15:26:00,20.682,N,48.693,W,3
9/17/2006,15:27:59,20.686,N,48.696,W,3
9/17/2006,15:30:00,20.69,N,48.699,W,3
9/17/2006,15:32:00,20.694,N,48.701,W,3
9/17/2006,15:33:59,20.698,N,48.704,W,3
9/17/2006,15:36:00,20.702,N,48.707,W,3
9/17/2006,15:37:59,20.706,N,48.71,W,3
9/17/2006,15:40:00,20.71,N,48.713,W,3
9/17/2006,15:41:59,20.714,N,48.716,W,3
9/17/2006,15:44:00,20.718,N,48.719,W,3
9/17/2006,15:45:59,20.722,N,48.721,W,3
9/17/2006,15:46:24,20.723,N,48.722,W,3
9/17/2006,15:48:25,20.728,N,48.724,W,3
9/17/2006,15:50:24,20.733,N,48.726,W,3
9/17/2006,15:52:25,20.738,N,48.728,W,3
9/17/2006,15:54:24,20.743,N,48.73,W,3
9/17/2006,15:56:25,20.748,N,48.732,W,3
9/17/2006,15:58:24,20.753,N,48.734,W,3
9/17/2006,16:00:25,20.758,N,48.736,W,3
9/17/2006,16:02:24,20.762,N,48.738,W,3
9/17/2006,16:04:24,20.767,N,48.74,W,3
9/17/2006,16:06:25,20.771,N,48.742,W,3
9/17/2006,16:08:25,20.775,N,48.744,W,3
9/17/2006,16:10:24,20.78,N,48.746,W,3
9/17/2006,16:12:24,20.784,N,48.748,W,3
9/17/2006,16:14:25,20.788,N,48.75,W,3
9/17/2006,16:16:24,20.792,N,48.752,W,3
9/17/2006,16:18:24,20.796,N,48.754,W,3
9/17/2006,16:20:25,20.799,N,48.756,W,3
9/17/2006,16:22:25,20.803,N,48.759,W,3
9/17/2006,16:24:24,20.807,N,48.761,W,3
9/17/2006,16:26:24,20.81,N,48.763,W,3
9/17/2006,16:28:25,20.814,N,48.765,W,3
9/17/2006,16:30:17,20.817,N,48.767,W,3
9/17/2006,16:32:18,20.821,N,48.769,W,3
9/17/2006,16:34:18,20.824,N,48.772,W,3
9/17/2006,16:36:17,20.828,N,48.774,W,3
9/17/2006,16:38:18,20.831,N,48.776,W,3
9/17/2006,16:40:18,20.835,N,48.779,W,3
9/17/2006,16:42:17,20.838,N,48.781,W,3
9/17/2006,16:44:17,20.841,N,48.784,W,3
9/17/2006,16:46:18,20.844,N,48.786,W,3
9/17/2006,16:48:18,20.847,N,48.789,W,3
9/17/2006,16:50:17,20.85,N,48.792,W,3
9/17/2006,16:52:17,20.853,N,48.794,W,3
9/17/2006,16:54:18,20.856,N,48.797,W,3
9/17/2006,16:56:18,20.859,N,48.8,W,3
9/17/2006,16:58:17,20.861,N,48.802,W,3
9/17/2006,17:00:17,20.864,N,48.805,W,3
9/17/2006,17:02:18,20.866,N,48.808,W,3
9/17/2006,17:04:18,20.869,N,48.811,W,3
9/17/2006,17:06:17,20.871,N,48.813,W,3
9/17/2006,17:08:18,20.873,N,48.816,W,3
9/17/2006,17:10:18,20.875,N,48.819,W,3
9/17/2006,17:12:17,20.877,N,48.821,W,3
9/17/2006,17:14:17,20.88,N,48.824,W,3
9/17/2006,17:16:18,20.882,N,48.827,W,3
9/17/2006,17:18:18,20.884,N,48.829,W,3
9/17/2006,17:20:17,20.885,N,48.832,W,3
9/17/2006,17:22:17,20.887,N,48.834,W,3
9/17/2006,17:24:18,20.889,N,48.837,W,3
9/17/2006,17:26:18,20.891,N,48.839,W,3
9/17/2006,17:28:17,20.893,N,48.842,W,3
9/17/2006,17:30:17,20.895,N,48.844,W,3
9/17/2006,17:32:18,20.896,N,48.846,W,3
9/17/2006,17:34:18,20.898,N,48.849,W,3
9/17/2006,17:36:17,20.9,N,48.851,W,3
9/17/2006,17:38:18,20.901,N,48.853,W,3
9/17/2006,17:40:18,20.903,N,48.855,W,3
9/17/2006,17:42:17,20.904,N,48.857,W,3
9/17/2006,17:44:17,20.906,N,48.858,W,3
9/17/2006,17:46:18,20.907,N,48.86,W,3
9/17/2006,17:48:18,20.909,N,48.862,W,3
9/17/2006,17:50:17,20.911,N,48.863,W,3
9/17/2006,17:52:17,20.912,N,48.865,W,3
9/17/2006,17:54:18,20.914,N,48.866,W,3
9/17/2006,17:56:18,20.915,N,48.868,W,3
9/17/2006,17:58:17,20.917,N,48.869,W,3
9/17/2006,18:00:17,20.918,N,48.87,W,3
9/17/2006,18:02:18,20.919,N,48.872,W,3
9/17/2006,18:03:05,20.92,N,48.872,W,3
9/17/2006,18:05:05,20.921,N,48.873,W,3
9/17/2006,18:07:06,20.923,N,48.874,W,3
9/17/2006,18:09:05,20.924,N,48.875,W,3
9/17/2006,18:11:05,20.926,N,48.875,W,3
9/17/2006,18:13:06,20.927,N,48.876,W,3
9/17/2006,18:15:06,20.928,N,48.877,W,3
9/17/2006,18:17:05,20.93,N,48.878,W,3
9/17/2006,18:19:05,20.931,N,48.879,W,3
9/17/2006,18:21:06,20.932,N,48.88,W,3
9/17/2006,18:23:06,20.934,N,48.881,W,3
9/17/2006,18:25:05,20.935,N,48.882,W,3
9/17/2006,18:27:05,20.937,N,48.882,W,3
9/17/2006,18:29:06,20.938,N,48.883,W,3
9/17/2006,18:31:06,20.939,N,48.884,W,3
9/17/2006,18:33:05,20.941,N,48.885,W,3
9/17/2006,18:35:05,20.942,N,48.886,W,3
9/17/2006,18:37:06,20.944,N,48.887,W,3
9/17/2006,18:37:45,20.944,N,48.887,W,3
9/17/2006,18:39:45,20.945,N,48.888,W,3
9/17/2006,18:41:44,20.947,N,48.889,W,3
9/17/2006,18:43:44,20.948,N,48.89,W,3
9/17/2006,18:45:45,20.95,N,48.89,W,3
9/17/2006,18:47:45,20.951,N,48.891,W,3
9/17/2006,18:49:44,20.952,N,48.892,W,3
9/17/2006,18:51:44,20.954,N,48.893,W,3
9/17/2006,18:53:45,20.955,N,48.894,W,3
9/17/2006,18:55:45,20.957,N,48.895,W,3
9/17/2006,18:57:44,20.958,N,48.896,W,3
9/17/2006,18:59:44,20.96,N,48.897,W,3
9/17/2006,19:01:45,20.961,N,48.897,W,3
9/17/2006,19:03:45,20.962,N,48.898,W,3
9/17/2006,19:05:44,20.964,N,48.899,W,3
9/17/2006,19:07:45,20.965,N,48.9,W,3
9/17/2006,19:09:45,20.967,N,48.901,W,3
9/17/2006,19:11:44,20.968,N,48.902,W,3
9/17/2006,19:13:44,20.97,N,48.903,W,3
9/17/2006,19:15:45,20.971,N,48.904,W,3
9/17/2006,19:17:45,20.972,N,48.904,W,3
9/17/2006,19:19:44,20.974,N,48.905,W,3
9/17/2006,19:21:44,20.975,N,48.906,W,3
9/17/2006,19:23:45,20.977,N,48.907,W,3
9/17/2006,19:25:45,20.978,N,48.908,W,3
9/17/2006,19:27:44,20.98,N,48.909,W,3
9/17/2006,19:29:44,20.981,N,48.91,W,3
9/17/2006,19:31:45,20.983,N,48.911,W,3
9/17/2006,19:33:45,20.984,N,48.911,W,3
9/17/2006,19:35:44,20.986,N,48.912,W,3
9/17/2006,19:37:45,20.987,N,48.913,W,3
9/17/2006,19:39:45,20.989,N,48.914,W,3
9/17/2006,19:41:44,20.99,N,48.915,W,3
9/17/2006,19:43:44,20.992,N,48.916,W,3
9/17/2006,19:45:45,20.993,N,48.917,W,3
9/17/2006,19:47:45,20.995,N,48.918,W,3
9/17/2006,19:49:44,20.996,N,48.918,W,3
9/17/2006,19:51:44,20.998,N,48.919,W,3
9/17/2006,19:53:45,21,N,48.92,W,3
9/17/2006,19:55:45,21.001,N,48.921,W,3
9/17/2006,19:57:44,21.003,N,48.922,W,3
9/17/2006,19:59:44,21.004,N,48.923,W,3
9/17/2006,20:01:45,21.006,N,48.924,W,3
9/17/2006,20:03:45,21.007,N,48.925,W,3
9/17/2006,20:05:44,21.009,N,48.926,W,3
9/17/2006,20:07:45,21.011,N,48.926,W,3
9/17/2006,20:09:45,21.012,N,48.927,W,3
9/17/2006,20:11:44,21.014,N,48.928,W,3
9/17/2006,20:13:44,21.015,N,48.929,W,3
9/17/2006,20:15:45,21.017,N,48.93,W,3
9/17/2006,20:17:45,21.019,N,48.931,W,3
9/17/2006,20:19:44,21.02,N,48.932,W,3
9/17/2006,20:21:44,21.022,N,48.933,W,3
9/17/2006,20:23:45,21.024,N,48.934,W,3
9/17/2006,20:25:45,21.025,N,48.934,W,3
9/17/2006,20:27:44,21.027,N,48.935,W,3
9/17/2006,20:29:44,21.029,N,48.936,W,3
9/17/2006,20:31:45,21.03,N,48.937,W,3
9/17/2006,20:33:45,21.032,N,48.938,W,3
9/17/2006,20:35:44,21.034,N,48.939,W,3
9/17/2006,20:37:45,21.036,N,48.94,W,3
9/17/2006,20:39:45,21.037,N,48.941,W,3
9/17/2006,20:41:44,21.039,N,48.942,W,3
9/17/2006,20:43:44,21.041,N,48.943,W,3
9/17/2006,20:45:45,21.042,N,48.944,W,3
9/17/2006,20:47:45,21.044,N,48.944,W,3
9/17/2006,20:49:44,21.046,N,48.945,W,3
9/17/2006,20:51:44,21.048,N,48.946,W,3
9/17/2006,20:53:45,21.05,N,48.947,W,3
9/17/2006,20:55:45,21.051,N,48.948,W,3
9/17/2006,20:57:44,21.053,N,48.949,W,3
9/17/2006,20:59:44,21.055,N,48.95,W,3
9/17/2006,21:01:45,21.057,N,48.951,W,3
9/17/2006,21:03:45,21.059,N,48.952,W,3
9/17/2006,21:05:44,21.061,N,48.953,W,3
9/17/2006,21:07:45,21.062,N,48.954,W,3
9/17/2006,21:09:45,21.064,N,48.954,W,3
9/17/2006,21:11:44,21.066,N,48.955,W,3
9/17/2006,21:13:44,21.068,N,48.956,W,3
9/17/2006,21:15:45,21.07,N,48.957,W,3
9/17/2006,21:17:45,21.072,N,48.958,W,3
9/17/2006,21:19:44,21.074,N,48.959,W,3
9/17/2006,21:21:44,21.076,N,48.96,W,3
9/17/2006,21:23:45,21.078,N,48.961,W,3
9/17/2006,21:25:45,21.08,N,48.962,W,3
9/17/2006,21:27:44,21.082,N,48.963,W,3
9/17/2006,21:29:44,21.084,N,48.964,W,3
9/17/2006,21:31:45,21.086,N,48.965,W,3
9/17/2006,21:33:45,21.088,N,48.966,W,3
9/17/2006,21:35:44,21.09,N,48.967,W,3
9/17/2006,21:37:45,21.092,N,48.968,W,3
9/17/2006,21:39:45,21.094,N,48.968,W,3
9/17/2006,21:41:44,21.096,N,48.969,W,3
9/17/2006,21:43:44,21.098,N,48.97,W,3
9/17/2006,21:45:45,21.1,N,48.971,W,3
9/17/2006,21:47:45,21.102,N,48.972,W,3
9/17/2006,21:49:44,21.104,N,48.973,W,3
9/17/2006,21:51:44,21.106,N,48.974,W,3
9/17/2006,21:53:45,21.108,N,48.975,W,3
9/17/2006,21:55:45,21.11,N,48.976,W,3
9/17/2006,21:57:44,21.113,N,48.977,W,3
9/17/2006,21:59:44,21.115,N,48.978,W,3
9/17/2006,22:01:45,21.117,N,48.979,W,3
9/17/2006,22:03:45,21.119,N,48.98,W,3
9/17/2006,22:05:44,21.121,N,48.981,W,3
9/17/2006,22:07:45,21.124,N,48.982,W,3
9/17/2006,22:09:45,21.126,N,48.983,W,3
9/17/2006,22:11:44,21.128,N,48.984,W,3
9/17/2006,22:13:44,21.13,N,48.985,W,3
9/17/2006,22:15:45,21.133,N,48.986,W,3
9/17/2006,22:17:45,21.135,N,48.987,W,3
9/17/2006,22:19:44,21.137,N,48.988,W,3
9/17/2006,22:21:44,21.14,N,48.989,W,3
9/17/2006,22:23:45,21.142,N,48.99,W,3
9/17/2006,22:25:45,21.144,N,48.991,W,3
9/17/2006,22:27:44,21.147,N,48.992,W,3
9/17/2006,22:29:44,21.149,N,48.992,W,3
9/17/2006,22:31:45,21.152,N,48.993,W,3
9/17/2006,22:33:45,21.154,N,48.994,W,3
9/17/2006,22:35:44,21.156,N,48.995,W,3
9/17/2006,22:37:45,21.159,N,48.996,W,3
9/17/2006,22:39:45,21.161,N,48.997,W,3
9/17/2006,22:41:44,21.164,N,48.998,W,3
9/17/2006,22:43:44,21.166,N,48.999,W,3
9/17/2006,22:45:45,21.169,N,49,W,3
9/17/2006,22:47:45,21.171,N,49.001,W,3
9/17/2006,22:49:44,21.174,N,49.002,W,3
9/17/2006,22:51:44,21.176,N,49.003,W,3
9/17/2006,22:53:45,21.179,N,49.004,W,3
9/17/2006,22:55:45,21.182,N,49.005,W,3
9/17/2006,22:57:44,21.184,N,49.006,W,3
