Track,for,Michelle,2001,,,
10/31/2001,22:04:51,15.545,N,83.025,W,
10/31/2001,22:06:50,15.55,N,83.025,W,
10/31/2001,22:08:50,15.555,N,83.024,W,
10/31/2001,22:10:51,15.559,N,83.024,W,
10/31/2001,22:12:50,15.564,N,83.023,W,
10/31/2001,22:14:50,15.569,N,83.023,W,
10/31/2001,22:16:51,15.574,N,83.022,W,
10/31/2001,22:18:51,15.579,N,83.022,W,
10/31/2001,22:20:50,15.584,N,83.021,W,
10/31/2001,22:22:50,15.588,N,83.021,W,
10/31/2001,22:24:51,15.593,N,83.021,W,
10/31/2001,22:26:51,15.598,N,83.02,W,
10/31/2001,22:28:50,15.603,N,83.02,W,
10/31/2001,22:30:50,15.608,N,83.019,W,
10/31/2001,22:32:51,15.613,N,83.019,W,
10/31/2001,22:34:51,15.617,N,83.019,W,
10/31/2001,22:36:50,15.622,N,83.018,W,
10/31/2001,22:38:50,15.627,N,83.018,W,
10/31/2001,22:40:51,15.632,N,83.018,W,
10/31/2001,22:42:50,15.637,N,83.017,W,
10/31/2001,22:44:50,15.641,N,83.017,W,
10/31/2001,22:46:51,15.646,N,83.017,W,
10/31/2001,22:48:51,15.651,N,83.016,W,
10/31/2001,22:50:50,15.656,N,83.016,W,
10/31/2001,22:52:50,15.661,N,83.016,W,
10/31/2001,22:54:51,15.665,N,83.016,W,
10/31/2001,22:56:51,15.67,N,83.015,W,
10/31/2001,22:58:50,15.675,N,83.015,W,
10/31/2001,23:00:50,15.68,N,83.015,W,
10/31/2001,23:02:51,15.685,N,83.015,W,
10/31/2001,23:04:51,15.689,N,83.015,W,
10/31/2001,23:06:50,15.694,N,83.014,W,
10/31/2001,23:08:50,15.699,N,83.014,W,
10/31/2001,23:10:51,15.704,N,83.014,W,
10/31/2001,23:12:50,15.709,N,83.014,W,
10/31/2001,23:14:50,15.713,N,83.014,W,
10/31/2001,23:16:51,15.718,N,83.014,W,
10/31/2001,23:18:51,15.723,N,83.014,W,
10/31/2001,23:20:50,15.728,N,83.014,W,
10/31/2001,23:22:50,15.732,N,83.014,W,
10/31/2001,23:24:51,15.737,N,83.014,W,
10/31/2001,23:26:51,15.742,N,83.014,W,
10/31/2001,23:28:50,15.747,N,83.014,W,
10/31/2001,23:30:50,15.751,N,83.014,W,
10/31/2001,23:32:51,15.756,N,83.014,W,
10/31/2001,23:34:51,15.761,N,83.014,W,
10/31/2001,23:36:50,15.766,N,83.014,W,
10/31/2001,23:38:50,15.77,N,83.014,W,
10/31/2001,23:40:51,15.775,N,83.014,W,
10/31/2001,23:42:50,15.78,N,83.014,W,
10/31/2001,23:44:50,15.785,N,83.014,W,
10/31/2001,23:46:51,15.789,N,83.015,W,
10/31/2001,23:48:51,15.794,N,83.015,W,
10/31/2001,23:50:50,15.799,N,83.015,W,
10/31/2001,23:52:50,15.803,N,83.015,W,
10/31/2001,23:54:51,15.808,N,83.015,W,
10/31/2001,23:56:51,15.813,N,83.016,W,
10/31/2001,23:58:50,15.818,N,83.016,W,
11/1/2001,0:00:50,15.822,N,83.016,W,
11/1/2001,0:02:51,15.827,N,83.017,W,
11/1/2001,0:04:51,15.832,N,83.017,W,
11/1/2001,0:06:50,15.836,N,83.017,W,
11/1/2001,0:08:50,15.841,N,83.018,W,
11/1/2001,0:10:51,15.846,N,83.018,W,
11/1/2001,0:12:50,15.85,N,83.018,W,
11/1/2001,0:14:50,15.855,N,83.019,W,
11/1/2001,0:16:51,15.86,N,83.019,W,
11/1/2001,0:18:51,15.864,N,83.02,W,
11/1/2001,0:20:50,15.869,N,83.02,W,
11/1/2001,0:22:50,15.874,N,83.021,W,
11/1/2001,0:24:51,15.878,N,83.021,W,
11/1/2001,0:26:51,15.883,N,83.022,W,
11/1/2001,0:28:50,15.888,N,83.023,W,
11/1/2001,0:30:50,15.892,N,83.023,W,
11/1/2001,0:32:51,15.897,N,83.024,W,
11/1/2001,0:34:51,15.902,N,83.024,W,
11/1/2001,0:36:50,15.906,N,83.025,W,
11/1/2001,0:38:50,15.911,N,83.026,W,
11/1/2001,0:40:51,15.916,N,83.027,W,
11/1/2001,0:42:50,15.92,N,83.027,W,
11/1/2001,0:44:50,15.925,N,83.028,W,
11/1/2001,0:46:51,15.93,N,83.029,W,
11/1/2001,0:48:51,15.934,N,83.03,W,
11/1/2001,0:50:50,15.939,N,83.031,W,
11/1/2001,0:52:50,15.943,N,83.031,W,
11/1/2001,0:54:51,15.948,N,83.032,W,
11/1/2001,0:56:51,15.953,N,83.033,W,
11/1/2001,0:58:50,15.957,N,83.034,W,
11/1/2001,1:00:50,15.962,N,83.035,W,
11/1/2001,1:02:51,15.966,N,83.036,W,
11/1/2001,1:04:51,15.971,N,83.037,W,
11/1/2001,1:06:50,15.976,N,83.038,W,
11/1/2001,1:08:50,15.98,N,83.039,W,
11/1/2001,1:10:51,15.985,N,83.04,W,
11/1/2001,1:12:50,15.989,N,83.042,W,
11/1/2001,1:14:50,15.994,N,83.043,W,
11/1/2001,1:16:51,15.998,N,83.044,W,
11/1/2001,1:18:51,16.003,N,83.045,W,
11/1/2001,1:20:50,16.007,N,83.046,W,
11/1/2001,1:22:50,16.012,N,83.048,W,
11/1/2001,1:24:51,16.017,N,83.049,W,
11/1/2001,1:26:51,16.021,N,83.05,W,
11/1/2001,1:28:50,16.026,N,83.052,W,
11/1/2001,1:30:50,16.03,N,83.053,W,
11/1/2001,1:32:51,16.035,N,83.054,W,
11/1/2001,1:34:51,16.039,N,83.056,W,
11/1/2001,1:36:50,16.044,N,83.057,W,
11/1/2001,1:38:50,16.048,N,83.059,W,
11/1/2001,1:40:51,16.053,N,83.06,W,
11/1/2001,1:42:50,16.057,N,83.062,W,
11/1/2001,1:44:50,16.062,N,83.063,W,
11/1/2001,1:46:51,16.066,N,83.065,W,
11/1/2001,1:48:51,16.071,N,83.067,W,
11/1/2001,1:50:50,16.075,N,83.068,W,
11/1/2001,1:52:50,16.08,N,83.07,W,
11/1/2001,1:54:51,16.084,N,83.072,W,
11/1/2001,1:56:51,16.089,N,83.073,W,
11/1/2001,1:58:50,16.093,N,83.075,W,
11/1/2001,2:00:50,16.097,N,83.077,W,
11/1/2001,2:02:51,16.102,N,83.079,W,
11/1/2001,2:04:51,16.106,N,83.081,W,
11/1/2001,2:06:50,16.111,N,83.083,W,
11/1/2001,2:08:50,16.115,N,83.085,W,
11/1/2001,2:10:51,16.12,N,83.087,W,
11/1/2001,2:12:50,16.124,N,83.089,W,
11/1/2001,2:14:50,16.128,N,83.091,W,
11/1/2001,2:16:51,16.133,N,83.093,W,
11/1/2001,2:18:51,16.137,N,83.095,W,
11/1/2001,2:20:50,16.142,N,83.097,W,
11/1/2001,2:22:50,16.146,N,83.099,W,
11/1/2001,2:24:51,16.15,N,83.101,W,
11/1/2001,2:26:51,16.155,N,83.104,W,
11/1/2001,2:28:50,16.159,N,83.106,W,
11/1/2001,2:30:50,16.164,N,83.108,W,
11/1/2001,2:32:51,16.168,N,83.111,W,
11/1/2001,2:34:51,16.172,N,83.113,W,
11/1/2001,2:36:50,16.177,N,83.115,W,
11/1/2001,2:38:50,16.181,N,83.118,W,
11/1/2001,2:40:51,16.185,N,83.12,W,
11/1/2001,2:42:50,16.19,N,83.123,W,
11/1/2001,2:44:50,16.194,N,83.125,W,
11/1/2001,2:46:51,16.198,N,83.128,W,
11/1/2001,2:48:51,16.203,N,83.131,W,
11/1/2001,2:50:50,16.207,N,83.133,W,
11/1/2001,2:52:50,16.211,N,83.136,W,
11/1/2001,2:54:51,16.216,N,83.139,W,
11/1/2001,2:56:51,16.22,N,83.141,W,
11/1/2001,2:58:50,16.224,N,83.144,W,
11/1/2001,3:00:50,16.228,N,83.147,W,
11/1/2001,3:02:51,16.233,N,83.15,W,
11/1/2001,3:04:51,16.237,N,83.153,W,
11/1/2001,3:06:50,16.241,N,83.156,W,
11/1/2001,3:08:50,16.246,N,83.159,W,
11/1/2001,3:10:51,16.25,N,83.162,W,
11/1/2001,3:12:50,16.254,N,83.165,W,
11/1/2001,3:14:50,16.258,N,83.168,W,
11/1/2001,3:16:51,16.262,N,83.171,W,
11/1/2001,3:18:51,16.267,N,83.174,W,
11/1/2001,3:20:50,16.271,N,83.178,W,
11/1/2001,3:22:50,16.275,N,83.181,W,
11/1/2001,3:24:51,16.279,N,83.184,W,
11/1/2001,3:26:51,16.284,N,83.187,W,
11/1/2001,3:28:50,16.288,N,83.191,W,
11/1/2001,3:30:50,16.292,N,83.194,W,
11/1/2001,3:32:51,16.296,N,83.198,W,
11/1/2001,3:34:51,16.3,N,83.201,W,
11/1/2001,3:36:50,16.304,N,83.205,W,
11/1/2001,3:38:50,16.309,N,83.208,W,
11/1/2001,3:40:51,16.313,N,83.212,W,
11/1/2001,3:42:50,16.317,N,83.216,W,
11/1/2001,3:44:50,16.321,N,83.219,W,
11/1/2001,3:46:51,16.325,N,83.223,W,
11/1/2001,3:48:51,16.329,N,83.227,W,
11/1/2001,3:50:50,16.333,N,83.231,W,
11/1/2001,3:52:50,16.337,N,83.234,W,
11/1/2001,3:54:51,16.342,N,83.238,W,
11/1/2001,3:56:51,16.346,N,83.242,W,
11/1/2001,3:58:50,16.35,N,83.246,W,
11/1/2001,4:00:50,16.354,N,83.25,W,
11/1/2001,4:02:51,16.358,N,83.254,W,
11/1/2001,4:04:51,16.362,N,83.259,W,
11/1/2001,4:06:50,16.366,N,83.263,W,
11/1/2001,4:08:50,16.37,N,83.267,W,
11/1/2001,4:10:51,16.374,N,83.271,W,
11/1/2001,4:12:50,16.378,N,83.275,W,
11/1/2001,4:14:50,16.382,N,83.28,W,
11/1/2001,4:16:51,16.386,N,83.284,W,
11/1/2001,4:18:51,16.39,N,83.289,W,
11/1/2001,4:20:50,16.394,N,83.293,W,
11/1/2001,4:22:50,16.398,N,83.298,W,
11/1/2001,4:24:51,16.402,N,83.302,W,
11/1/2001,4:26:51,16.406,N,83.307,W,
11/1/2001,4:28:50,16.41,N,83.311,W,
11/1/2001,4:30:50,16.414,N,83.316,W,
11/1/2001,4:32:51,16.418,N,83.321,W,
11/1/2001,4:34:51,16.422,N,83.326,W,
11/1/2001,4:36:50,16.426,N,83.331,W,
11/1/2001,4:38:50,16.43,N,83.335,W,
11/1/2001,4:40:51,16.434,N,83.34,W,
11/1/2001,4:42:50,16.438,N,83.345,W,
11/1/2001,4:44:50,16.442,N,83.35,W,
11/1/2001,4:46:51,16.446,N,83.355,W,
11/1/2001,4:48:51,16.45,N,83.361,W,
11/1/2001,4:50:50,16.453,N,83.366,W,
11/1/2001,4:52:50,16.457,N,83.371,W,
11/1/2001,4:54:51,16.461,N,83.376,W,
11/1/2001,4:56:51,16.465,N,83.381,W,
11/1/2001,4:58:50,16.469,N,83.387,W,
11/1/2001,5:00:50,16.473,N,83.392,W,
11/1/2001,5:02:51,16.477,N,83.398,W,
11/1/2001,5:04:51,16.48,N,83.403,W,
11/1/2001,5:06:50,16.484,N,83.409,W,
11/1/2001,5:08:50,16.488,N,83.414,W,
11/1/2001,5:10:51,16.492,N,83.42,W,
11/1/2001,5:12:50,16.496,N,83.426,W,
11/1/2001,5:14:50,16.5,N,83.431,W,
11/1/2001,5:16:51,16.503,N,83.437,W,
11/1/2001,5:18:51,16.507,N,83.443,W,
11/1/2001,5:20:50,16.511,N,83.449,W,
11/1/2001,5:22:50,16.515,N,83.455,W,
11/1/2001,5:24:51,16.518,N,83.461,W,
11/1/2001,5:26:51,16.522,N,83.467,W,
11/1/2001,5:28:50,16.526,N,83.473,W,
11/1/2001,5:29:28,16.527,N,83.475,W,
11/1/2001,5:31:28,16.531,N,83.477,W,
11/1/2001,5:33:27,16.534,N,83.479,W,
11/1/2001,5:35:27,16.538,N,83.481,W,
11/1/2001,5:37:28,16.541,N,83.483,W,
11/1/2001,5:39:28,16.545,N,83.485,W,
11/1/2001,5:41:27,16.549,N,83.486,W,
11/1/2001,5:43:28,16.552,N,83.488,W,
11/1/2001,5:45:28,16.556,N,83.49,W,
11/1/2001,5:47:27,16.559,N,83.492,W,
11/1/2001,5:49:27,16.563,N,83.494,W,
11/1/2001,5:51:28,16.566,N,83.496,W,
11/1/2001,5:53:28,16.57,N,83.498,W,
11/1/2001,5:55:27,16.573,N,83.5,W,
11/1/2001,5:57:27,16.577,N,83.502,W,
11/1/2001,5:59:28,16.58,N,83.503,W,
11/1/2001,6:01:28,16.584,N,83.505,W,
11/1/2001,6:03:27,16.587,N,83.507,W,
11/1/2001,6:05:27,16.59,N,83.509,W,
11/1/2001,6:07:28,16.594,N,83.511,W,
11/1/2001,6:09:28,16.597,N,83.513,W,
11/1/2001,6:11:27,16.601,N,83.514,W,
11/1/2001,6:13:28,16.604,N,83.516,W,
11/1/2001,6:15:28,16.607,N,83.518,W,
11/1/2001,6:17:27,16.611,N,83.52,W,
11/1/2001,6:19:27,16.614,N,83.522,W,
11/1/2001,6:21:28,16.617,N,83.523,W,
11/1/2001,6:23:28,16.621,N,83.525,W,
11/1/2001,6:25:27,16.624,N,83.527,W,
11/1/2001,6:27:27,16.627,N,83.529,W,
11/1/2001,6:29:28,16.631,N,83.53,W,
11/1/2001,6:31:28,16.634,N,83.532,W,
11/1/2001,6:33:27,16.637,N,83.534,W,
11/1/2001,6:35:27,16.64,N,83.536,W,
11/1/2001,6:37:28,16.644,N,83.537,W,
11/1/2001,6:39:28,16.647,N,83.539,W,
11/1/2001,6:41:27,16.65,N,83.541,W,
11/1/2001,6:43:28,16.653,N,83.543,W,
11/1/2001,6:45:28,16.656,N,83.544,W,
11/1/2001,6:47:27,16.66,N,83.546,W,
11/1/2001,6:49:27,16.663,N,83.548,W,
11/1/2001,6:51:28,16.666,N,83.549,W,
11/1/2001,6:53:28,16.669,N,83.551,W,
11/1/2001,6:55:27,16.672,N,83.553,W,
11/1/2001,6:57:27,16.675,N,83.554,W,
11/1/2001,6:59:28,16.678,N,83.556,W,
11/1/2001,7:01:28,16.681,N,83.558,W,
11/1/2001,7:03:27,16.684,N,83.559,W,
11/1/2001,7:05:27,16.687,N,83.561,W,
11/1/2001,7:07:28,16.69,N,83.563,W,
11/1/2001,7:09:28,16.693,N,83.564,W,
11/1/2001,7:11:27,16.696,N,83.566,W,
11/1/2001,7:13:28,16.699,N,83.567,W,
11/1/2001,7:15:28,16.702,N,83.569,W,
11/1/2001,7:17:27,16.705,N,83.571,W,
11/1/2001,7:19:27,16.708,N,83.572,W,
11/1/2001,7:21:28,16.711,N,83.574,W,
11/1/2001,7:23:28,16.714,N,83.575,W,
11/1/2001,7:25:27,16.717,N,83.577,W,
11/1/2001,7:27:27,16.72,N,83.579,W,
11/1/2001,7:29:28,16.723,N,83.58,W,
11/1/2001,7:31:28,16.726,N,83.582,W,
11/1/2001,7:33:27,16.728,N,83.583,W,
11/1/2001,7:35:27,16.731,N,83.585,W,
11/1/2001,7:37:28,16.734,N,83.586,W,
11/1/2001,7:39:28,16.737,N,83.588,W,
11/1/2001,7:41:27,16.74,N,83.589,W,
11/1/2001,7:43:28,16.742,N,83.591,W,
11/1/2001,7:45:28,16.745,N,83.592,W,
11/1/2001,7:47:27,16.748,N,83.594,W,
11/1/2001,7:49:27,16.751,N,83.595,W,
11/1/2001,7:51:28,16.753,N,83.597,W,
11/1/2001,7:53:28,16.756,N,83.598,W,
11/1/2001,7:55:27,16.759,N,83.6,W,
11/1/2001,7:57:27,16.761,N,83.601,W,
11/1/2001,7:59:28,16.764,N,83.603,W,
11/1/2001,8:01:28,16.767,N,83.604,W,
11/1/2001,8:03:27,16.769,N,83.605,W,
11/1/2001,8:05:27,16.772,N,83.607,W,
11/1/2001,8:07:27,16.774,N,83.608,W,
11/1/2001,8:09:27,16.777,N,83.61,W,
11/1/2001,8:11:28,16.779,N,83.611,W,
11/1/2001,8:13:28,16.782,N,83.612,W,
11/1/2001,8:15:28,16.784,N,83.614,W,
11/1/2001,8:17:27,16.787,N,83.615,W,
11/1/2001,8:19:27,16.789,N,83.617,W,
11/1/2001,8:21:27,16.792,N,83.618,W,
11/1/2001,8:23:27,16.794,N,83.619,W,
11/1/2001,8:25:28,16.797,N,83.621,W,
11/1/2001,8:27:28,16.799,N,83.622,W,
11/1/2001,8:29:28,16.802,N,83.623,W,
11/1/2001,8:31:28,16.804,N,83.625,W,
11/1/2001,8:33:27,16.806,N,83.626,W,
11/1/2001,8:35:27,16.809,N,83.627,W,
11/1/2001,8:37:27,16.811,N,83.629,W,
11/1/2001,8:39:27,16.813,N,83.63,W,
11/1/2001,8:41:28,16.816,N,83.631,W,
11/1/2001,8:43:28,16.818,N,83.632,W,
11/1/2001,8:45:28,16.82,N,83.634,W,
11/1/2001,8:47:27,16.823,N,83.635,W,
11/1/2001,8:49:27,16.825,N,83.636,W,
11/1/2001,8:51:27,16.827,N,83.637,W,
11/1/2001,8:53:27,16.829,N,83.639,W,
11/1/2001,8:55:28,16.831,N,83.64,W,
11/1/2001,8:57:28,16.834,N,83.641,W,
11/1/2001,8:59:28,16.836,N,83.642,W,
11/1/2001,9:01:28,16.838,N,83.643,W,
11/1/2001,9:03:27,16.84,N,83.645,W,
11/1/2001,9:05:27,16.842,N,83.646,W,
11/1/2001,9:07:27,16.844,N,83.647,W,
11/1/2001,9:09:27,16.846,N,83.648,W,
11/1/2001,9:11:28,16.848,N,83.649,W,
11/1/2001,9:13:28,16.85,N,83.65,W,
11/1/2001,9:15:28,16.852,N,83.651,W,
11/1/2001,9:17:27,16.854,N,83.653,W,
11/1/2001,9:19:27,16.856,N,83.654,W,
11/1/2001,9:21:27,16.858,N,83.655,W,
11/1/2001,9:23:27,16.86,N,83.656,W,
11/1/2001,9:25:28,16.862,N,83.657,W,
11/1/2001,9:27:28,16.864,N,83.658,W,
11/1/2001,9:29:28,16.866,N,83.659,W,
11/1/2001,9:31:28,16.868,N,83.66,W,
11/1/2001,9:33:27,16.87,N,83.661,W,
11/1/2001,9:35:27,16.872,N,83.662,W,
11/1/2001,9:37:27,16.873,N,83.663,W,
11/1/2001,9:39:27,16.875,N,83.664,W,
11/1/2001,9:41:28,16.877,N,83.665,W,
11/1/2001,9:43:28,16.879,N,83.666,W,
11/1/2001,9:45:28,16.881,N,83.667,W,
11/1/2001,9:47:27,16.882,N,83.668,W,
11/1/2001,9:49:27,16.884,N,83.669,W,
11/1/2001,9:51:27,16.886,N,83.67,W,
11/1/2001,9:53:27,16.888,N,83.671,W,
11/1/2001,9:55:28,16.889,N,83.672,W,
11/1/2001,9:57:28,16.891,N,83.673,W,
11/1/2001,9:59:28,16.893,N,83.674,W,
11/1/2001,10:01:28,16.894,N,83.675,W,
11/1/2001,10:03:27,16.896,N,83.676,W,
11/1/2001,10:05:27,16.897,N,83.677,W,
11/1/2001,10:07:27,16.899,N,83.678,W,
11/1/2001,10:09:27,16.901,N,83.679,W,
11/1/2001,10:11:28,16.902,N,83.68,W,
11/1/2001,10:13:28,16.904,N,83.681,W,
11/1/2001,10:15:28,16.905,N,83.682,W,
11/1/2001,10:17:27,16.907,N,83.682,W,
11/1/2001,10:19:27,16.908,N,83.683,W,
11/1/2001,10:21:27,16.91,N,83.684,W,
11/1/2001,10:23:27,16.911,N,83.685,W,
11/1/2001,10:25:28,16.913,N,83.686,W,
11/1/2001,10:27:28,16.914,N,83.687,W,
11/1/2001,10:29:28,16.915,N,83.688,W,
11/1/2001,10:31:28,16.917,N,83.688,W,
11/1/2001,10:33:27,16.918,N,83.689,W,
11/1/2001,10:35:27,16.92,N,83.69,W,
11/1/2001,10:37:27,16.921,N,83.691,W,
11/1/2001,10:39:27,16.922,N,83.692,W,
11/1/2001,10:41:28,16.924,N,83.692,W,
11/1/2001,10:43:28,16.925,N,83.693,W,
11/1/2001,10:45:28,16.926,N,83.694,W,
11/1/2001,10:47:27,16.928,N,83.695,W,
11/1/2001,10:49:27,16.929,N,83.695,W,
11/1/2001,10:51:27,16.93,N,83.696,W,
11/1/2001,10:53:27,16.931,N,83.697,W,
11/1/2001,10:55:28,16.933,N,83.698,W,
11/1/2001,10:57:28,16.934,N,83.698,W,
11/1/2001,10:59:28,16.935,N,83.699,W,
11/1/2001,11:01:28,16.936,N,83.7,W,
11/1/2001,11:03:27,16.938,N,83.701,W,
11/1/2001,11:05:27,16.939,N,83.701,W,
11/1/2001,11:07:27,16.94,N,83.702,W,
11/1/2001,11:09:27,16.941,N,83.703,W,
11/1/2001,11:11:28,16.942,N,83.703,W,
11/1/2001,11:13:28,16.943,N,83.704,W,
11/1/2001,11:15:28,16.944,N,83.705,W,
11/1/2001,11:17:27,16.945,N,83.705,W,
11/1/2001,11:19:27,16.947,N,83.706,W,
11/1/2001,11:21:27,16.948,N,83.707,W,
11/1/2001,11:23:27,16.949,N,83.707,W,
11/1/2001,11:25:28,16.95,N,83.708,W,
11/1/2001,11:27:28,16.951,N,83.709,W,
11/1/2001,11:29:28,16.952,N,83.709,W,
11/1/2001,11:31:28,16.953,N,83.71,W,
11/1/2001,11:33:27,16.954,N,83.71,W,
11/1/2001,11:35:27,16.955,N,83.711,W,
11/1/2001,11:37:27,16.956,N,83.712,W,
11/1/2001,11:39:27,16.957,N,83.712,W,
11/1/2001,11:41:28,16.958,N,83.713,W,
11/1/2001,11:43:28,16.959,N,83.713,W,
11/1/2001,11:45:28,16.96,N,83.714,W,
11/1/2001,11:47:27,16.961,N,83.715,W,
11/1/2001,11:49:27,16.961,N,83.715,W,
11/1/2001,11:51:27,16.962,N,83.716,W,
11/1/2001,11:53:27,16.963,N,83.716,W,
11/1/2001,11:55:28,16.964,N,83.717,W,
11/1/2001,11:57:28,16.965,N,83.717,W,
11/1/2001,11:59:28,16.966,N,83.718,W,
11/1/2001,12:01:28,16.967,N,83.718,W,
11/1/2001,12:03:27,16.967,N,83.719,W,
11/1/2001,12:05:27,16.968,N,83.719,W,
11/1/2001,12:07:27,16.969,N,83.72,W,
11/1/2001,12:09:27,16.97,N,83.721,W,
11/1/2001,12:11:28,16.971,N,83.721,W,
11/1/2001,12:13:28,16.971,N,83.722,W,
11/1/2001,12:15:28,16.972,N,83.722,W,
11/1/2001,12:17:27,16.973,N,83.722,W,
11/1/2001,12:19:27,16.974,N,83.723,W,
11/1/2001,12:21:27,16.974,N,83.723,W,
11/1/2001,12:23:27,16.975,N,83.724,W,
11/1/2001,12:25:28,16.976,N,83.724,W,
11/1/2001,12:27:28,16.977,N,83.725,W,
11/1/2001,12:29:28,16.977,N,83.725,W,
11/1/2001,12:31:28,16.978,N,83.726,W,
11/1/2001,12:33:27,16.979,N,83.726,W,
11/1/2001,12:35:27,16.979,N,83.727,W,
11/1/2001,12:37:27,16.98,N,83.727,W,
11/1/2001,12:39:27,16.981,N,83.727,W,
11/1/2001,12:41:28,16.981,N,83.728,W,
11/1/2001,12:43:28,16.982,N,83.728,W,
11/1/2001,12:45:28,16.983,N,83.729,W,
11/1/2001,12:47:27,16.983,N,83.729,W,
11/1/2001,12:49:27,16.984,N,83.73,W,
11/1/2001,12:51:27,16.984,N,83.73,W,
11/1/2001,12:53:27,16.985,N,83.73,W,
11/1/2001,12:55:28,16.986,N,83.731,W,
11/1/2001,12:57:28,16.986,N,83.731,W,
11/1/2001,12:59:28,16.987,N,83.731,W,
11/1/2001,13:01:28,16.987,N,83.732,W,
11/1/2001,13:03:27,16.988,N,83.732,W,
11/1/2001,13:05:27,16.988,N,83.733,W,
11/1/2001,13:07:27,16.989,N,83.733,W,
11/1/2001,13:09:27,16.989,N,83.733,W,
11/1/2001,13:11:28,16.99,N,83.734,W,
11/1/2001,13:13:28,16.99,N,83.734,W,
11/1/2001,13:15:28,16.991,N,83.734,W,
11/1/2001,13:17:27,16.991,N,83.735,W,
11/1/2001,13:19:27,16.992,N,83.735,W,
11/1/2001,13:21:27,16.992,N,83.735,W,
11/1/2001,13:23:27,16.993,N,83.736,W,
11/1/2001,13:25:28,16.993,N,83.736,W,
11/1/2001,13:27:28,16.994,N,83.736,W,
11/1/2001,13:29:28,16.994,N,83.737,W,
11/1/2001,13:31:28,16.995,N,83.737,W,
11/1/2001,13:33:27,16.995,N,83.737,W,
11/1/2001,13:35:27,16.995,N,83.737,W,
11/1/2001,13:37:27,16.996,N,83.738,W,
11/1/2001,13:39:27,16.996,N,83.738,W,
11/1/2001,13:41:28,16.997,N,83.738,W,
11/1/2001,13:43:28,16.997,N,83.739,W,
11/1/2001,13:45:28,16.998,N,83.739,W,
11/1/2001,13:47:27,16.998,N,83.739,W,
11/1/2001,13:49:27,16.998,N,83.739,W,
11/1/2001,13:51:27,16.999,N,83.74,W,
11/1/2001,13:53:27,16.999,N,83.74,W,
11/1/2001,13:55:28,16.999,N,83.74,W,
11/1/2001,13:57:28,17,N,83.741,W,
11/1/2001,13:59:28,17,N,83.741,W,
11/1/2001,14:01:28,17,N,83.741,W,
11/1/2001,14:03:27,17.001,N,83.741,W,
11/1/2001,14:05:27,17.001,N,83.742,W,
11/1/2001,14:07:27,17.001,N,83.742,W,
11/1/2001,14:09:27,17.002,N,83.742,W,
11/1/2001,14:11:28,17.002,N,83.742,W,
11/1/2001,14:13:28,17.002,N,83.742,W,
11/1/2001,14:15:28,17.003,N,83.743,W,
11/1/2001,14:17:27,17.003,N,83.743,W,
