Track,for,Dennis,2005,,
7/5/2005,15:10:00,13.253,N,66.649,W
7/5/2005,15:11:59,13.256,N,66.656,W
7/5/2005,15:14:00,13.259,N,66.664,W
7/5/2005,15:15:59,13.263,N,66.672,W
7/5/2005,15:18:00,13.266,N,66.68,W
7/5/2005,15:19:59,13.269,N,66.688,W
7/5/2005,15:22:00,13.272,N,66.695,W
7/5/2005,15:23:59,13.276,N,66.703,W
7/5/2005,15:26:00,13.279,N,66.711,W
7/5/2005,15:27:59,13.282,N,66.719,W
7/5/2005,15:30:00,13.286,N,66.727,W
7/5/2005,15:32:00,13.289,N,66.734,W
7/5/2005,15:33:59,13.292,N,66.742,W
7/5/2005,15:36:00,13.296,N,66.75,W
7/5/2005,15:37:59,13.299,N,66.758,W
7/5/2005,15:40:00,13.303,N,66.765,W
7/5/2005,15:41:59,13.306,N,66.773,W
7/5/2005,15:44:00,13.31,N,66.781,W
7/5/2005,15:45:59,13.313,N,66.789,W
7/5/2005,15:48:00,13.317,N,66.796,W
7/5/2005,15:49:59,13.32,N,66.804,W
7/5/2005,15:52:00,13.324,N,66.812,W
7/5/2005,15:53:59,13.327,N,66.82,W
7/5/2005,15:56:00,13.331,N,66.827,W
7/5/2005,15:57:59,13.335,N,66.835,W
7/5/2005,16:00:00,13.338,N,66.843,W
7/5/2005,16:01:59,13.342,N,66.851,W
7/5/2005,16:04:00,13.346,N,66.858,W
7/5/2005,16:06:00,13.349,N,66.866,W
7/5/2005,16:07:59,13.353,N,66.874,W
7/5/2005,16:09:59,13.357,N,66.881,W
7/5/2005,16:12:00,13.361,N,66.889,W
7/5/2005,16:14:00,13.364,N,66.897,W
7/5/2005,16:15:59,13.368,N,66.905,W
7/5/2005,16:17:59,13.372,N,66.912,W
7/5/2005,16:20:00,13.376,N,66.92,W
7/5/2005,16:22:00,13.38,N,66.928,W
7/5/2005,16:23:59,13.384,N,66.935,W
7/5/2005,16:25:59,13.388,N,66.943,W
7/5/2005,16:28:00,13.391,N,66.951,W
7/5/2005,16:30:00,13.395,N,66.958,W
7/5/2005,16:31:59,13.399,N,66.966,W
7/5/2005,16:34:00,13.403,N,66.974,W
7/5/2005,16:36:00,13.408,N,66.981,W
7/5/2005,16:37:59,13.412,N,66.989,W
7/5/2005,16:39:59,13.416,N,66.997,W
7/5/2005,16:42:00,13.42,N,67.004,W
7/5/2005,16:44:00,13.424,N,67.012,W
7/5/2005,16:45:59,13.428,N,67.02,W
7/5/2005,16:47:59,13.432,N,67.027,W
7/5/2005,16:50:00,13.437,N,67.035,W
7/5/2005,16:52:00,13.441,N,67.043,W
7/5/2005,16:53:59,13.445,N,67.05,W
7/5/2005,16:55:59,13.449,N,67.058,W
7/5/2005,16:58:00,13.454,N,67.065,W
7/5/2005,17:00:00,13.458,N,67.073,W
7/5/2005,17:01:59,13.462,N,67.081,W
7/5/2005,17:04:00,13.467,N,67.088,W
7/5/2005,17:06:00,13.471,N,67.096,W
7/5/2005,17:07:59,13.476,N,67.104,W
7/5/2005,17:09:59,13.48,N,67.111,W
7/5/2005,17:12:00,13.485,N,67.119,W
7/5/2005,17:14:00,13.489,N,67.126,W
7/5/2005,17:15:59,13.494,N,67.134,W
7/5/2005,17:17:59,13.498,N,67.142,W
7/5/2005,17:20:00,13.503,N,67.149,W
7/5/2005,17:22:00,13.507,N,67.157,W
7/5/2005,17:23:59,13.512,N,67.164,W
7/5/2005,17:25:59,13.517,N,67.172,W
7/5/2005,17:28:00,13.522,N,67.179,W
7/5/2005,17:30:00,13.526,N,67.187,W
7/5/2005,17:31:59,13.531,N,67.195,W
7/5/2005,17:34:00,13.536,N,67.202,W
7/5/2005,17:36:00,13.541,N,67.21,W
7/5/2005,17:37:59,13.545,N,67.217,W
7/5/2005,17:39:59,13.55,N,67.225,W
7/5/2005,17:42:00,13.555,N,67.232,W
7/5/2005,17:44:00,13.56,N,67.24,W
7/5/2005,17:45:59,13.565,N,67.247,W
7/5/2005,17:47:59,13.57,N,67.255,W
7/5/2005,17:50:00,13.575,N,67.262,W
7/5/2005,17:52:00,13.58,N,67.27,W
7/5/2005,17:53:59,13.585,N,67.277,W
7/5/2005,17:55:59,13.59,N,67.285,W
7/5/2005,17:58:00,13.595,N,67.292,W
7/5/2005,18:00:00,13.6,N,67.3,W
7/5/2005,18:01:59,13.605,N,67.308,W
7/5/2005,18:04:00,13.61,N,67.315,W
7/5/2005,18:06:00,13.615,N,67.323,W
7/5/2005,18:07:59,13.621,N,67.33,W
7/5/2005,18:09:59,13.626,N,67.338,W
7/5/2005,18:12:00,13.631,N,67.345,W
7/5/2005,18:14:00,13.636,N,67.352,W
7/5/2005,18:15:59,13.641,N,67.36,W
7/5/2005,18:17:59,13.647,N,67.367,W
7/5/2005,18:20:00,13.652,N,67.375,W
7/5/2005,18:22:00,13.657,N,67.382,W
7/5/2005,18:23:59,13.663,N,67.39,W
7/5/2005,18:25:59,13.668,N,67.397,W
7/5/2005,18:28:00,13.673,N,67.405,W
7/5/2005,18:30:00,13.679,N,67.412,W
7/5/2005,18:31:59,13.684,N,67.42,W
7/5/2005,18:34:00,13.689,N,67.427,W
7/5/2005,18:36:00,13.695,N,67.435,W
7/5/2005,18:37:59,13.7,N,67.442,W
7/5/2005,18:39:59,13.706,N,67.45,W
7/5/2005,18:42:00,13.711,N,67.457,W
7/5/2005,18:44:00,13.717,N,67.464,W
7/5/2005,18:45:59,13.722,N,67.472,W
7/5/2005,18:47:59,13.728,N,67.479,W
7/5/2005,18:50:00,13.734,N,67.487,W
7/5/2005,18:52:00,13.739,N,67.494,W
7/5/2005,18:53:59,13.745,N,67.502,W
7/5/2005,18:55:59,13.75,N,67.509,W
7/5/2005,18:58:00,13.756,N,67.516,W
7/5/2005,19:00:00,13.762,N,67.524,W
7/5/2005,19:01:59,13.767,N,67.531,W
7/5/2005,19:04:00,13.773,N,67.539,W
7/5/2005,19:06:00,13.779,N,67.546,W
7/5/2005,19:07:59,13.784,N,67.554,W
7/5/2005,19:09:59,13.79,N,67.561,W
7/5/2005,19:12:00,13.796,N,67.568,W
7/5/2005,19:14:00,13.802,N,67.576,W
7/5/2005,19:15:59,13.807,N,67.583,W
7/5/2005,19:17:59,13.813,N,67.591,W
7/5/2005,19:20:00,13.819,N,67.598,W
7/5/2005,19:22:00,13.825,N,67.605,W
7/5/2005,19:23:59,13.831,N,67.613,W
7/5/2005,19:25:59,13.837,N,67.62,W
7/5/2005,19:28:00,13.842,N,67.628,W
7/5/2005,19:30:00,13.848,N,67.635,W
7/5/2005,19:31:59,13.854,N,67.642,W
7/5/2005,19:34:00,13.86,N,67.65,W
7/5/2005,19:36:00,13.866,N,67.657,W
7/5/2005,19:37:59,13.872,N,67.664,W
7/5/2005,19:39:59,13.878,N,67.672,W
7/5/2005,19:42:00,13.884,N,67.679,W
7/5/2005,19:44:00,13.89,N,67.687,W
7/5/2005,19:45:59,13.896,N,67.694,W
7/5/2005,19:47:59,13.902,N,67.701,W
7/5/2005,19:50:00,13.908,N,67.709,W
7/5/2005,19:52:00,13.914,N,67.716,W
7/5/2005,19:53:59,13.92,N,67.723,W
7/5/2005,19:55:59,13.926,N,67.731,W
7/5/2005,19:58:00,13.932,N,67.738,W
7/5/2005,20:00:00,13.938,N,67.745,W
7/5/2005,20:01:59,13.944,N,67.753,W
7/5/2005,20:04:00,13.95,N,67.76,W
7/5/2005,20:06:00,13.956,N,67.768,W
7/5/2005,20:07:59,13.962,N,67.775,W
7/5/2005,20:09:59,13.969,N,67.782,W
7/5/2005,20:12:00,13.975,N,67.79,W
7/5/2005,20:14:00,13.981,N,67.797,W
7/5/2005,20:15:59,13.987,N,67.804,W
7/5/2005,20:17:59,13.993,N,67.812,W
7/5/2005,20:20:00,13.999,N,67.819,W
7/5/2005,20:22:00,14.006,N,67.826,W
7/5/2005,20:23:59,14.012,N,67.834,W
7/5/2005,20:25:59,14.018,N,67.841,W
7/5/2005,20:28:00,14.024,N,67.848,W
7/5/2005,20:30:00,14.03,N,67.856,W
7/5/2005,20:31:59,14.037,N,67.863,W
7/5/2005,20:34:00,14.043,N,67.87,W
7/5/2005,20:36:00,14.049,N,67.878,W
7/5/2005,20:37:59,14.055,N,67.885,W
7/5/2005,20:39:59,14.062,N,67.892,W
7/5/2005,20:42:00,14.068,N,67.9,W
7/5/2005,20:44:00,14.074,N,67.907,W
7/5/2005,20:45:59,14.081,N,67.914,W
7/5/2005,20:47:59,14.087,N,67.922,W
7/5/2005,20:50:00,14.093,N,67.929,W
7/5/2005,20:52:00,14.099,N,67.936,W
7/5/2005,20:53:59,14.106,N,67.944,W
7/5/2005,20:55:59,14.112,N,67.951,W
7/5/2005,20:58:00,14.118,N,67.958,W
7/5/2005,20:58:30,14.12,N,67.96,W
7/5/2005,21:00:29,14.123,N,67.966,W
7/5/2005,21:02:29,14.126,N,67.971,W
7/5/2005,21:04:30,14.129,N,67.977,W
7/5/2005,21:06:30,14.132,N,67.982,W
7/5/2005,21:08:29,14.134,N,67.988,W
7/5/2005,21:10:29,14.137,N,67.993,W
7/5/2005,21:12:30,14.139,N,67.998,W
7/5/2005,21:14:30,14.142,N,68.003,W
7/5/2005,21:16:29,14.144,N,68.008,W
7/5/2005,21:18:29,14.146,N,68.013,W
7/5/2005,21:20:30,14.148,N,68.018,W
7/5/2005,21:22:30,14.15,N,68.023,W
7/5/2005,21:24:29,14.152,N,68.028,W
7/5/2005,21:26:30,14.154,N,68.033,W
7/5/2005,21:28:30,14.156,N,68.038,W
7/5/2005,21:30:29,14.157,N,68.042,W
7/5/2005,21:32:29,14.159,N,68.047,W
7/5/2005,21:34:30,14.16,N,68.052,W
7/5/2005,21:36:30,14.161,N,68.056,W
7/5/2005,21:38:29,14.163,N,68.06,W
7/5/2005,21:40:29,14.164,N,68.065,W
7/5/2005,21:42:30,14.165,N,68.069,W
7/5/2005,21:44:30,14.165,N,68.073,W
7/5/2005,21:46:29,14.166,N,68.077,W
7/5/2005,21:48:29,14.167,N,68.081,W
7/5/2005,21:50:30,14.167,N,68.085,W
7/5/2005,21:52:30,14.167,N,68.089,W
7/5/2005,21:54:29,14.168,N,68.093,W
7/5/2005,21:56:30,14.168,N,68.096,W
7/5/2005,21:58:30,14.168,N,68.1,W
7/5/2005,22:00:29,14.167,N,68.104,W
7/5/2005,22:02:29,14.167,N,68.107,W
7/5/2005,22:04:30,14.167,N,68.111,W
7/5/2005,22:06:30,14.166,N,68.114,W
7/5/2005,22:08:29,14.166,N,68.117,W
7/5/2005,22:10:19,14.165,N,68.12,W
7/5/2005,22:12:19,14.166,N,68.125,W
7/5/2005,22:14:20,14.168,N,68.129,W
7/5/2005,22:16:20,14.169,N,68.134,W
7/5/2005,22:18:19,14.17,N,68.138,W
7/5/2005,22:20:19,14.171,N,68.143,W
7/5/2005,22:22:20,14.173,N,68.147,W
7/5/2005,22:24:20,14.174,N,68.152,W
7/5/2005,22:26:19,14.175,N,68.156,W
7/5/2005,22:28:19,14.177,N,68.161,W
7/5/2005,22:30:20,14.178,N,68.166,W
7/5/2005,22:32:20,14.179,N,68.17,W
7/5/2005,22:34:19,14.181,N,68.175,W
7/5/2005,22:36:20,14.182,N,68.179,W
7/5/2005,22:38:20,14.183,N,68.184,W
7/5/2005,22:40:19,14.185,N,68.189,W
7/5/2005,22:42:19,14.186,N,68.193,W
7/5/2005,22:44:20,14.187,N,68.198,W
7/5/2005,22:46:20,14.189,N,68.203,W
7/5/2005,22:48:19,14.19,N,68.207,W
7/5/2005,22:50:19,14.191,N,68.212,W
7/5/2005,22:52:20,14.193,N,68.217,W
7/5/2005,22:54:20,14.194,N,68.221,W
7/5/2005,22:56:19,14.195,N,68.226,W
7/5/2005,22:58:19,14.197,N,68.231,W
7/5/2005,23:00:20,14.198,N,68.236,W
7/5/2005,23:02:20,14.2,N,68.24,W
7/5/2005,23:04:19,14.201,N,68.245,W
7/5/2005,23:06:20,14.202,N,68.25,W
7/5/2005,23:08:20,14.204,N,68.255,W
7/5/2005,23:10:19,14.205,N,68.259,W
7/5/2005,23:12:19,14.207,N,68.264,W
7/5/2005,23:14:20,14.208,N,68.269,W
7/5/2005,23:16:20,14.209,N,68.274,W
7/5/2005,23:18:19,14.211,N,68.279,W
7/5/2005,23:20:19,14.212,N,68.283,W
7/5/2005,23:22:20,14.214,N,68.288,W
7/5/2005,23:24:20,14.215,N,68.293,W
7/5/2005,23:26:19,14.217,N,68.298,W
7/5/2005,23:28:19,14.218,N,68.303,W
7/5/2005,23:30:20,14.219,N,68.308,W
7/5/2005,23:32:20,14.221,N,68.313,W
7/5/2005,23:34:19,14.222,N,68.318,W
7/5/2005,23:36:20,14.224,N,68.323,W
7/5/2005,23:38:20,14.225,N,68.328,W
7/5/2005,23:40:19,14.227,N,68.333,W
7/5/2005,23:42:19,14.228,N,68.337,W
7/5/2005,23:44:20,14.23,N,68.342,W
7/5/2005,23:46:20,14.231,N,68.347,W
7/5/2005,23:48:19,14.233,N,68.353,W
7/5/2005,23:50:19,14.234,N,68.358,W
7/5/2005,23:52:20,14.236,N,68.363,W
7/5/2005,23:54:20,14.237,N,68.368,W
7/5/2005,23:56:19,14.239,N,68.373,W
7/5/2005,23:58:19,14.24,N,68.378,W
7/6/2005,0:00:20,14.242,N,68.383,W
7/6/2005,0:02:20,14.244,N,68.388,W
7/6/2005,0:04:19,14.245,N,68.393,W
7/6/2005,0:06:20,14.247,N,68.398,W
7/6/2005,0:08:20,14.248,N,68.404,W
7/6/2005,0:10:19,14.25,N,68.409,W
7/6/2005,0:12:19,14.251,N,68.414,W
7/6/2005,0:14:20,14.253,N,68.419,W
7/6/2005,0:16:20,14.255,N,68.424,W
7/6/2005,0:18:19,14.256,N,68.43,W
7/6/2005,0:20:19,14.258,N,68.435,W
7/6/2005,0:22:20,14.259,N,68.44,W
7/6/2005,0:24:20,14.261,N,68.446,W
7/6/2005,0:26:19,14.263,N,68.451,W
7/6/2005,0:28:19,14.264,N,68.456,W
7/6/2005,0:30:20,14.266,N,68.462,W
7/6/2005,0:32:20,14.268,N,68.467,W
7/6/2005,0:34:19,14.269,N,68.472,W
7/6/2005,0:36:20,14.271,N,68.478,W
7/6/2005,0:38:20,14.273,N,68.483,W
7/6/2005,0:40:19,14.275,N,68.489,W
7/6/2005,0:42:19,14.276,N,68.494,W
7/6/2005,0:44:20,14.278,N,68.5,W
7/6/2005,0:46:20,14.28,N,68.505,W
7/6/2005,0:48:19,14.281,N,68.511,W
7/6/2005,0:50:19,14.283,N,68.516,W
7/6/2005,0:52:20,14.285,N,68.522,W
7/6/2005,0:54:20,14.287,N,68.527,W
7/6/2005,0:56:19,14.288,N,68.533,W
7/6/2005,0:58:19,14.29,N,68.539,W
7/6/2005,1:00:20,14.292,N,68.544,W
7/6/2005,1:02:20,14.294,N,68.55,W
7/6/2005,1:04:19,14.296,N,68.556,W
7/6/2005,1:06:20,14.297,N,68.561,W
7/6/2005,1:08:20,14.299,N,68.567,W
7/6/2005,1:10:19,14.301,N,68.573,W
7/6/2005,1:12:19,14.303,N,68.579,W
7/6/2005,1:14:20,14.305,N,68.584,W
7/6/2005,1:16:20,14.307,N,68.59,W
7/6/2005,1:18:19,14.309,N,68.596,W
7/6/2005,1:20:19,14.31,N,68.602,W
7/6/2005,1:22:20,14.312,N,68.608,W
7/6/2005,1:24:20,14.314,N,68.614,W
7/6/2005,1:26:19,14.316,N,68.62,W
7/6/2005,1:28:19,14.318,N,68.626,W
7/6/2005,1:30:20,14.32,N,68.632,W
7/6/2005,1:32:20,14.322,N,68.638,W
7/6/2005,1:34:19,14.324,N,68.644,W
7/6/2005,1:36:20,14.326,N,68.65,W
7/6/2005,1:38:20,14.328,N,68.656,W
7/6/2005,1:40:19,14.33,N,68.662,W
7/6/2005,1:42:19,14.332,N,68.668,W
7/6/2005,1:44:20,14.334,N,68.674,W
7/6/2005,1:46:20,14.336,N,68.68,W
7/6/2005,1:48:19,14.338,N,68.686,W
7/6/2005,1:50:19,14.34,N,68.693,W
7/6/2005,1:52:20,14.342,N,68.699,W
7/6/2005,1:54:20,14.344,N,68.705,W
7/6/2005,1:56:19,14.346,N,68.711,W
7/6/2005,1:58:19,14.348,N,68.718,W
7/6/2005,2:00:20,14.35,N,68.724,W
7/6/2005,2:02:20,14.352,N,68.73,W
7/6/2005,2:04:19,14.355,N,68.737,W
7/6/2005,2:06:20,14.357,N,68.743,W
7/6/2005,2:08:20,14.359,N,68.75,W
7/6/2005,2:10:19,14.361,N,68.756,W
7/6/2005,2:12:19,14.363,N,68.763,W
7/6/2005,2:14:20,14.365,N,68.769,W
7/6/2005,2:16:20,14.368,N,68.776,W
7/6/2005,2:18:19,14.37,N,68.782,W
7/6/2005,2:20:19,14.372,N,68.789,W
7/6/2005,2:22:20,14.374,N,68.796,W
7/6/2005,2:24:20,14.376,N,68.802,W
7/6/2005,2:26:19,14.379,N,68.809,W
7/6/2005,2:28:19,14.381,N,68.816,W
7/6/2005,2:30:20,14.383,N,68.822,W
7/6/2005,2:32:20,14.386,N,68.829,W
7/6/2005,2:34:19,14.388,N,68.836,W
7/6/2005,2:36:20,14.39,N,68.843,W
7/6/2005,2:38:20,14.393,N,68.85,W
7/6/2005,2:40:19,14.395,N,68.857,W
7/6/2005,2:42:19,14.397,N,68.863,W
7/6/2005,2:44:20,14.4,N,68.87,W
7/6/2005,2:46:20,14.402,N,68.877,W
7/6/2005,2:48:19,14.404,N,68.884,W
7/6/2005,2:50:19,14.407,N,68.891,W
7/6/2005,2:52:20,14.409,N,68.898,W
7/6/2005,2:54:20,14.412,N,68.906,W
7/6/2005,2:56:19,14.414,N,68.913,W
7/6/2005,2:58:19,14.417,N,68.92,W
7/6/2005,3:00:20,14.419,N,68.927,W
7/6/2005,3:02:20,14.422,N,68.934,W
7/6/2005,3:04:19,14.424,N,68.942,W
7/6/2005,3:06:20,14.427,N,68.949,W
7/6/2005,3:08:20,14.429,N,68.956,W
7/6/2005,3:10:19,14.432,N,68.963,W
7/6/2005,3:12:19,14.434,N,68.971,W
7/6/2005,3:14:20,14.437,N,68.978,W
7/6/2005,3:16:20,14.439,N,68.986,W
7/6/2005,3:18:19,14.442,N,68.993,W
7/6/2005,3:20:19,14.445,N,69.001,W
7/6/2005,3:22:20,14.447,N,69.008,W
7/6/2005,3:24:20,14.45,N,69.016,W
7/6/2005,3:26:19,14.453,N,69.023,W
7/6/2005,3:28:19,14.455,N,69.031,W
7/6/2005,3:30:20,14.458,N,69.039,W
7/6/2005,3:32:20,14.461,N,69.046,W
7/6/2005,3:34:19,14.463,N,69.054,W
7/6/2005,3:36:20,14.466,N,69.062,W
7/6/2005,3:38:20,14.469,N,69.07,W
7/6/2005,3:40:19,14.472,N,69.077,W
7/6/2005,3:42:19,14.474,N,69.085,W
7/6/2005,3:44:20,14.477,N,69.093,W
7/6/2005,3:46:20,14.48,N,69.101,W
7/6/2005,3:48:19,14.483,N,69.109,W
7/6/2005,3:50:19,14.486,N,69.117,W
7/6/2005,3:52:20,14.489,N,69.125,W
7/6/2005,3:54:20,14.491,N,69.133,W
7/6/2005,3:56:19,14.494,N,69.141,W
7/6/2005,3:58:19,14.497,N,69.149,W
7/6/2005,4:00:20,14.5,N,69.158,W
7/6/2005,4:02:20,14.503,N,69.166,W
7/6/2005,4:04:19,14.506,N,69.174,W
7/6/2005,4:06:20,14.509,N,69.182,W
7/6/2005,4:08:20,14.512,N,69.191,W
7/6/2005,4:10:19,14.515,N,69.199,W
7/6/2005,4:12:19,14.518,N,69.207,W
7/6/2005,4:14:20,14.521,N,69.216,W
7/6/2005,4:16:20,14.524,N,69.224,W
7/6/2005,4:18:19,14.527,N,69.233,W
7/6/2005,4:20:19,14.53,N,69.241,W
7/6/2005,4:22:20,14.533,N,69.25,W
7/6/2005,4:24:20,14.537,N,69.259,W
7/6/2005,4:26:19,14.54,N,69.267,W
7/6/2005,4:28:19,14.543,N,69.276,W
7/6/2005,4:30:20,14.546,N,69.285,W
7/6/2005,4:32:20,14.549,N,69.293,W
7/6/2005,4:34:19,14.552,N,69.302,W
7/6/2005,4:36:20,14.556,N,69.311,W
7/6/2005,4:38:20,14.559,N,69.32,W
7/6/2005,4:40:19,14.562,N,69.328,W
7/6/2005,4:42:19,14.565,N,69.337,W
7/6/2005,4:44:20,14.569,N,69.346,W
7/6/2005,4:46:20,14.572,N,69.355,W
7/6/2005,4:48:19,14.575,N,69.364,W
7/6/2005,4:50:19,14.578,N,69.373,W
7/6/2005,4:52:20,14.582,N,69.382,W
7/6/2005,4:54:20,14.585,N,69.391,W
7/6/2005,4:56:19,14.588,N,69.4,W
7/6/2005,4:58:19,14.592,N,69.409,W
7/6/2005,5:00:20,14.595,N,69.418,W
7/6/2005,5:02:20,14.598,N,69.427,W
7/6/2005,5:04:19,14.602,N,69.437,W
7/6/2005,5:06:20,14.605,N,69.446,W
7/6/2005,5:08:20,14.609,N,69.455,W
7/6/2005,5:10:19,14.612,N,69.464,W
7/6/2005,5:12:19,14.615,N,69.474,W
7/6/2005,5:14:20,14.619,N,69.483,W
7/6/2005,5:16:20,14.622,N,69.492,W
7/6/2005,5:18:19,14.626,N,69.501,W
7/6/2005,5:20:19,14.629,N,69.511,W
7/6/2005,5:22:20,14.633,N,69.52,W
7/6/2005,5:24:20,14.636,N,69.53,W
7/6/2005,5:26:19,14.64,N,69.539,W
7/6/2005,5:28:19,14.643,N,69.548,W
7/6/2005,5:30:20,14.647,N,69.558,W
7/6/2005,5:32:20,14.65,N,69.567,W
7/6/2005,5:34:19,14.654,N,69.577,W
7/6/2005,5:36:20,14.657,N,69.586,W
7/6/2005,5:38:20,14.661,N,69.596,W
7/6/2005,5:40:19,14.664,N,69.605,W
7/6/2005,5:42:19,14.668,N,69.615,W
7/6/2005,5:44:20,14.672,N,69.624,W
7/6/2005,5:46:20,14.675,N,69.634,W
7/6/2005,5:48:19,14.679,N,69.644,W
7/6/2005,5:50:19,14.682,N,69.653,W
7/6/2005,5:52:20,14.686,N,69.663,W
7/6/2005,5:54:20,14.69,N,69.673,W
7/6/2005,5:56:19,14.693,N,69.682,W
7/6/2005,5:58:19,14.697,N,69.692,W
7/6/2005,6:00:00,14.7,N,69.7,W
7/6/2005,6:01:59,14.702,N,69.707,W
7/6/2005,6:04:00,14.704,N,69.714,W
7/6/2005,6:06:00,14.706,N,69.721,W
7/6/2005,6:07:59,14.708,N,69.728,W
7/6/2005,6:09:59,14.71,N,69.736,W
7/6/2005,6:12:00,14.712,N,69.743,W
7/6/2005,6:14:00,14.715,N,69.75,W
7/6/2005,6:15:59,14.717,N,69.757,W
7/6/2005,6:17:59,14.719,N,69.764,W
7/6/2005,6:20:00,14.721,N,69.771,W
7/6/2005,6:22:00,14.723,N,69.778,W
