Track,for,Emily,2005,,,
7/13/2005,7:46:00,11.059,N,55.941,W,5
7/13/2005,7:48:00,11.06,N,55.95,W,5
7/13/2005,7:50:00,11.061,N,55.959,W,5
7/13/2005,7:52:00,11.062,N,55.968,W,5
7/13/2005,7:54:00,11.063,N,55.977,W,5
7/13/2005,7:56:00,11.065,N,55.986,W,5
7/13/2005,7:58:00,11.066,N,55.995,W,5
7/13/2005,8:00:00,11.067,N,56.004,W,5
7/13/2005,8:02:00,11.068,N,56.013,W,5
7/13/2005,8:03:59,11.069,N,56.023,W,5
7/13/2005,8:06:00,11.07,N,56.032,W,5
7/13/2005,8:07:59,11.071,N,56.041,W,5
7/13/2005,8:10:00,11.072,N,56.051,W,5
7/13/2005,8:11:59,11.073,N,56.06,W,5
7/13/2005,8:14:00,11.075,N,56.069,W,5
7/13/2005,8:15:59,11.076,N,56.079,W,5
7/13/2005,8:18:00,11.077,N,56.089,W,5
7/13/2005,8:19:59,11.078,N,56.098,W,5
7/13/2005,8:22:00,11.079,N,56.108,W,5
7/13/2005,8:23:59,11.08,N,56.117,W,5
7/13/2005,8:26:00,11.081,N,56.127,W,5
7/13/2005,8:27:59,11.082,N,56.137,W,5
7/13/2005,8:30:00,11.083,N,56.147,W,5
7/13/2005,8:32:00,11.085,N,56.157,W,5
7/13/2005,8:33:59,11.086,N,56.166,W,5
7/13/2005,8:36:00,11.087,N,56.176,W,5
7/13/2005,8:37:59,11.088,N,56.186,W,5
7/13/2005,8:40:00,11.089,N,56.196,W,5
7/13/2005,8:41:59,11.09,N,56.207,W,5
7/13/2005,8:44:00,11.091,N,56.217,W,5
7/13/2005,8:45:59,11.092,N,56.227,W,5
7/13/2005,8:48:00,11.093,N,56.237,W,5
7/13/2005,8:49:59,11.094,N,56.248,W,5
7/13/2005,8:52:00,11.096,N,56.258,W,5
7/13/2005,8:53:59,11.097,N,56.268,W,5
7/13/2005,8:56:00,11.098,N,56.279,W,5
7/13/2005,8:57:59,11.099,N,56.289,W,5
7/13/2005,9:00:00,11.1,N,56.3,W,5
7/13/2005,9:02:00,11.101,N,56.311,W,5
7/13/2005,9:03:59,11.102,N,56.321,W,5
7/13/2005,9:06:00,11.103,N,56.332,W,5
7/13/2005,9:07:59,11.104,N,56.343,W,5
7/13/2005,9:10:00,11.106,N,56.354,W,5
7/13/2005,9:11:59,11.107,N,56.365,W,5
7/13/2005,9:14:00,11.108,N,56.376,W,5
7/13/2005,9:15:59,11.109,N,56.387,W,5
7/13/2005,9:18:00,11.11,N,56.398,W,5
7/13/2005,9:19:59,11.111,N,56.409,W,5
7/13/2005,9:22:00,11.112,N,56.421,W,5
7/13/2005,9:23:59,11.113,N,56.432,W,5
7/13/2005,9:26:00,11.114,N,56.443,W,5
7/13/2005,9:27:59,11.115,N,56.455,W,5
7/13/2005,9:30:00,11.117,N,56.466,W,5
7/13/2005,9:32:00,11.118,N,56.478,W,5
7/13/2005,9:33:59,11.119,N,56.49,W,5
7/13/2005,9:36:00,11.12,N,56.501,W,5
7/13/2005,9:37:59,11.121,N,56.513,W,5
7/13/2005,9:40:00,11.122,N,56.525,W,5
7/13/2005,9:41:59,11.123,N,56.537,W,5
7/13/2005,9:44:00,11.124,N,56.549,W,5
7/13/2005,9:45:59,11.125,N,56.561,W,5
7/13/2005,9:48:00,11.126,N,56.574,W,5
7/13/2005,9:49:59,11.128,N,56.586,W,5
7/13/2005,9:52:00,11.129,N,56.598,W,5
7/13/2005,9:53:59,11.13,N,56.61,W,5
7/13/2005,9:56:00,11.131,N,56.623,W,5
7/13/2005,9:57:59,11.132,N,56.635,W,5
7/13/2005,10:00:00,11.133,N,56.648,W,5
7/13/2005,10:02:00,11.134,N,56.661,W,5
7/13/2005,10:03:59,11.135,N,56.674,W,5
7/13/2005,10:06:00,11.136,N,56.686,W,5
7/13/2005,10:07:59,11.137,N,56.699,W,5
7/13/2005,10:10:00,11.139,N,56.712,W,5
7/13/2005,10:11:59,11.14,N,56.725,W,5
7/13/2005,10:14:00,11.141,N,56.738,W,5
7/13/2005,10:15:59,11.142,N,56.751,W,5
7/13/2005,10:18:00,11.143,N,56.765,W,5
7/13/2005,10:19:59,11.144,N,56.778,W,5
7/13/2005,10:22:00,11.145,N,56.791,W,5
7/13/2005,10:23:59,11.146,N,56.805,W,5
7/13/2005,10:26:00,11.147,N,56.818,W,5
7/13/2005,10:27:59,11.148,N,56.832,W,5
7/13/2005,10:30:00,11.15,N,56.845,W,5
7/13/2005,10:32:00,11.151,N,56.859,W,5
7/13/2005,10:33:59,11.152,N,56.873,W,5
7/13/2005,10:36:00,11.153,N,56.886,W,5
7/13/2005,10:37:59,11.154,N,56.9,W,5
7/13/2005,10:40:00,11.155,N,56.914,W,5
7/13/2005,10:41:59,11.156,N,56.928,W,5
7/13/2005,10:44:00,11.157,N,56.942,W,5
7/13/2005,10:45:59,11.158,N,56.956,W,5
7/13/2005,10:48:00,11.159,N,56.97,W,5
7/13/2005,10:49:59,11.16,N,56.985,W,5
7/13/2005,10:52:00,11.162,N,56.999,W,5
7/13/2005,10:53:59,11.163,N,57.013,W,5
7/13/2005,10:56:00,11.164,N,57.027,W,5
7/13/2005,10:57:59,11.165,N,57.042,W,5
7/13/2005,11:00:00,11.166,N,57.056,W,5
7/13/2005,11:02:00,11.167,N,57.071,W,5
7/13/2005,11:03:59,11.168,N,57.085,W,5
7/13/2005,11:06:00,11.169,N,57.1,W,5
7/13/2005,11:07:59,11.17,N,57.114,W,5
7/13/2005,11:10:00,11.171,N,57.129,W,5
7/13/2005,11:11:59,11.172,N,57.144,W,5
7/13/2005,11:14:00,11.174,N,57.159,W,5
7/13/2005,11:15:59,11.175,N,57.173,W,5
7/13/2005,11:18:00,11.176,N,57.188,W,5
7/13/2005,11:19:59,11.177,N,57.203,W,5
7/13/2005,11:22:00,11.178,N,57.218,W,5
7/13/2005,11:23:59,11.179,N,57.233,W,5
7/13/2005,11:26:00,11.18,N,57.248,W,5
7/13/2005,11:27:59,11.181,N,57.263,W,5
7/13/2005,11:30:00,11.182,N,57.278,W,5
7/13/2005,11:32:00,11.183,N,57.293,W,5
7/13/2005,11:33:59,11.184,N,57.309,W,5
7/13/2005,11:36:00,11.186,N,57.324,W,5
7/13/2005,11:37:59,11.187,N,57.339,W,5
7/13/2005,11:40:00,11.188,N,57.355,W,5
7/13/2005,11:41:59,11.189,N,57.37,W,5
7/13/2005,11:44:00,11.19,N,57.385,W,5
7/13/2005,11:45:59,11.191,N,57.401,W,5
7/13/2005,11:47:50,11.192,N,57.415,W,5
7/13/2005,11:49:51,11.191,N,57.423,W,5
7/13/2005,11:51:50,11.19,N,57.432,W,5
7/13/2005,11:53:51,11.188,N,57.44,W,5
7/13/2005,11:55:50,11.187,N,57.448,W,5
7/13/2005,11:57:50,11.186,N,57.456,W,5
7/13/2005,11:59:51,11.184,N,57.464,W,5
7/13/2005,12:01:50,11.183,N,57.472,W,5
7/13/2005,12:03:51,11.182,N,57.48,W,5
7/13/2005,12:05:50,11.181,N,57.487,W,5
7/13/2005,12:07:51,11.179,N,57.495,W,5
7/13/2005,12:09:50,11.178,N,57.503,W,5
7/13/2005,12:11:51,11.177,N,57.51,W,5
7/13/2005,12:13:50,11.175,N,57.518,W,5
7/13/2005,12:15:51,11.174,N,57.525,W,5
7/13/2005,12:17:50,11.173,N,57.533,W,5
7/13/2005,12:19:51,11.171,N,57.54,W,5
7/13/2005,12:21:50,11.17,N,57.547,W,5
7/13/2005,12:23:51,11.169,N,57.555,W,5
7/13/2005,12:25:50,11.168,N,57.562,W,5
7/13/2005,12:27:50,11.167,N,57.569,W,5
7/13/2005,12:29:51,11.166,N,57.576,W,5
7/13/2005,12:31:50,11.164,N,57.584,W,5
7/13/2005,12:33:51,11.163,N,57.591,W,5
7/13/2005,12:35:50,11.162,N,57.598,W,5
7/13/2005,12:37:51,11.161,N,57.605,W,5
7/13/2005,12:39:50,11.161,N,57.613,W,5
7/13/2005,12:41:51,11.16,N,57.62,W,5
7/13/2005,12:43:50,11.159,N,57.627,W,5
7/13/2005,12:45:51,11.158,N,57.634,W,5
7/13/2005,12:47:50,11.157,N,57.641,W,5
7/13/2005,12:49:51,11.157,N,57.649,W,5
7/13/2005,12:51:50,11.156,N,57.656,W,5
7/13/2005,12:53:51,11.156,N,57.663,W,5
7/13/2005,12:55:50,11.155,N,57.67,W,5
7/13/2005,12:57:50,11.155,N,57.678,W,5
7/13/2005,12:59:51,11.154,N,57.685,W,5
7/13/2005,13:01:50,11.154,N,57.693,W,5
7/13/2005,13:03:51,11.154,N,57.7,W,5
7/13/2005,13:05:50,11.154,N,57.708,W,5
7/13/2005,13:07:51,11.154,N,57.715,W,5
7/13/2005,13:09:50,11.154,N,57.723,W,5
7/13/2005,13:11:51,11.154,N,57.73,W,5
7/13/2005,13:13:50,11.155,N,57.738,W,5
7/13/2005,13:15:51,11.155,N,57.746,W,5
7/13/2005,13:17:50,11.156,N,57.754,W,5
7/13/2005,13:19:51,11.156,N,57.762,W,5
7/13/2005,13:21:50,11.157,N,57.769,W,5
7/13/2005,13:23:51,11.158,N,57.778,W,5
7/13/2005,13:25:50,11.159,N,57.786,W,5
7/13/2005,13:27:50,11.16,N,57.794,W,5
7/13/2005,13:29:51,11.161,N,57.802,W,5
7/13/2005,13:31:50,11.162,N,57.81,W,5
7/13/2005,13:33:51,11.163,N,57.819,W,5
7/13/2005,13:35:50,11.165,N,57.827,W,5
7/13/2005,13:36:19,11.165,N,57.829,W,5
7/13/2005,13:38:18,11.167,N,57.838,W,5
7/13/2005,13:40:19,11.169,N,57.846,W,5
7/13/2005,13:42:18,11.171,N,57.855,W,5
7/13/2005,13:44:19,11.173,N,57.864,W,5
7/13/2005,13:46:18,11.176,N,57.873,W,5
7/13/2005,13:48:19,11.178,N,57.882,W,5
7/13/2005,13:50:18,11.181,N,57.891,W,5
7/13/2005,13:52:18,11.184,N,57.9,W,5
7/13/2005,13:54:19,11.186,N,57.909,W,5
7/13/2005,13:56:18,11.189,N,57.918,W,5
7/13/2005,13:58:19,11.192,N,57.928,W,5
7/13/2005,14:00:18,11.195,N,57.937,W,5
7/13/2005,14:02:19,11.198,N,57.946,W,5
7/13/2005,14:04:18,11.202,N,57.956,W,5
7/13/2005,14:06:19,11.205,N,57.965,W,5
7/13/2005,14:08:18,11.208,N,57.974,W,5
7/13/2005,14:10:19,11.211,N,57.984,W,5
7/13/2005,14:12:18,11.215,N,57.993,W,5
7/13/2005,14:14:19,11.218,N,58.003,W,5
7/13/2005,14:16:18,11.222,N,58.012,W,5
7/13/2005,14:18:19,11.225,N,58.022,W,5
7/13/2005,14:20:18,11.229,N,58.031,W,5
7/13/2005,14:22:18,11.232,N,58.041,W,5
7/13/2005,14:24:19,11.236,N,58.05,W,5
7/13/2005,14:26:18,11.239,N,58.06,W,5
7/13/2005,14:28:19,11.243,N,58.07,W,5
7/13/2005,14:30:18,11.247,N,58.079,W,5
7/13/2005,14:32:19,11.25,N,58.089,W,5
7/13/2005,14:34:18,11.254,N,58.099,W,5
7/13/2005,14:36:19,11.257,N,58.108,W,5
7/13/2005,14:38:18,11.261,N,58.118,W,5
7/13/2005,14:40:19,11.265,N,58.128,W,5
7/13/2005,14:42:18,11.268,N,58.138,W,5
7/13/2005,14:44:19,11.272,N,58.147,W,5
7/13/2005,14:46:18,11.275,N,58.157,W,5
7/13/2005,14:48:19,11.279,N,58.167,W,5
7/13/2005,14:50:18,11.282,N,58.177,W,5
7/13/2005,14:52:18,11.285,N,58.186,W,5
7/13/2005,14:54:19,11.289,N,58.196,W,5
7/13/2005,14:56:18,11.292,N,58.206,W,5
7/13/2005,14:58:19,11.295,N,58.216,W,5
7/13/2005,15:00:18,11.298,N,58.225,W,5
7/13/2005,15:02:19,11.301,N,58.235,W,5
7/13/2005,15:04:18,11.304,N,58.245,W,5
7/13/2005,15:06:19,11.307,N,58.255,W,5
7/13/2005,15:08:18,11.31,N,58.264,W,5
7/13/2005,15:10:19,11.313,N,58.274,W,5
7/13/2005,15:12:18,11.316,N,58.284,W,5
7/13/2005,15:14:19,11.318,N,58.294,W,5
7/13/2005,15:16:18,11.321,N,58.303,W,5
7/13/2005,15:18:19,11.323,N,58.313,W,5
7/13/2005,15:20:18,11.325,N,58.323,W,5
7/13/2005,15:22:18,11.328,N,58.332,W,5
7/13/2005,15:24:19,11.33,N,58.342,W,5
7/13/2005,15:25:35,11.331,N,58.348,W,5
7/13/2005,15:27:36,11.333,N,58.357,W,5
7/13/2005,15:29:35,11.335,N,58.367,W,5
7/13/2005,15:31:35,11.337,N,58.376,W,5
7/13/2005,15:33:36,11.339,N,58.386,W,5
7/13/2005,15:35:35,11.34,N,58.395,W,5
7/13/2005,15:37:36,11.342,N,58.404,W,5
7/13/2005,15:39:35,11.344,N,58.414,W,5
7/13/2005,15:41:36,11.345,N,58.423,W,5
7/13/2005,15:43:35,11.347,N,58.433,W,5
7/13/2005,15:45:36,11.348,N,58.442,W,5
7/13/2005,15:47:35,11.349,N,58.451,W,5
7/13/2005,15:49:36,11.351,N,58.461,W,5
7/13/2005,15:51:35,11.352,N,58.47,W,5
7/13/2005,15:53:36,11.353,N,58.479,W,5
7/13/2005,15:55:35,11.354,N,58.489,W,5
7/13/2005,15:57:36,11.355,N,58.498,W,5
7/13/2005,15:59:35,11.356,N,58.507,W,5
7/13/2005,16:01:35,11.357,N,58.517,W,5
7/13/2005,16:03:35,11.358,N,58.526,W,5
7/13/2005,16:05:36,11.358,N,58.535,W,5
7/13/2005,16:07:36,11.359,N,58.545,W,5
7/13/2005,16:09:35,11.36,N,58.554,W,5
7/13/2005,16:11:35,11.36,N,58.563,W,5
7/13/2005,16:13:36,11.36,N,58.572,W,5
7/13/2005,16:15:36,11.361,N,58.582,W,5
7/13/2005,16:17:35,11.361,N,58.591,W,5
7/13/2005,16:19:35,11.361,N,58.6,W,5
7/13/2005,16:21:36,11.361,N,58.609,W,5
7/13/2005,16:23:36,11.361,N,58.619,W,5
7/13/2005,16:25:35,11.361,N,58.628,W,5
7/13/2005,16:27:35,11.361,N,58.637,W,5
7/13/2005,16:29:36,11.361,N,58.646,W,5
7/13/2005,16:31:35,11.36,N,58.656,W,5
7/13/2005,16:33:35,11.36,N,58.665,W,5
7/13/2005,16:35:36,11.359,N,58.674,W,5
7/13/2005,16:37:36,11.358,N,58.683,W,5
7/13/2005,16:39:35,11.358,N,58.692,W,5
7/13/2005,16:41:35,11.357,N,58.702,W,5
7/13/2005,16:43:36,11.356,N,58.711,W,5
7/13/2005,16:45:36,11.355,N,58.72,W,5
7/13/2005,16:47:35,11.354,N,58.729,W,5
7/13/2005,16:49:35,11.352,N,58.738,W,5
7/13/2005,16:51:36,11.351,N,58.747,W,5
7/13/2005,16:53:36,11.35,N,58.757,W,5
7/13/2005,16:55:35,11.348,N,58.766,W,5
7/13/2005,16:57:35,11.347,N,58.775,W,5
7/13/2005,16:59:36,11.345,N,58.784,W,5
7/13/2005,17:01:35,11.343,N,58.793,W,5
7/13/2005,17:03:35,11.341,N,58.802,W,5
7/13/2005,17:05:36,11.339,N,58.811,W,5
7/13/2005,17:07:20,11.337,N,58.819,W,5
7/13/2005,17:09:20,11.337,N,58.828,W,5
7/13/2005,17:11:19,11.338,N,58.836,W,5
7/13/2005,17:13:19,11.339,N,58.845,W,5
7/13/2005,17:15:20,11.339,N,58.853,W,5
7/13/2005,17:17:20,11.34,N,58.862,W,5
7/13/2005,17:19:19,11.34,N,58.87,W,5
7/13/2005,17:21:20,11.341,N,58.879,W,5
7/13/2005,17:23:20,11.341,N,58.887,W,5
7/13/2005,17:25:19,11.342,N,58.896,W,5
7/13/2005,17:27:19,11.343,N,58.904,W,5
7/13/2005,17:29:20,11.344,N,58.912,W,5
7/13/2005,17:31:20,11.344,N,58.92,W,5
7/13/2005,17:33:19,11.345,N,58.928,W,5
7/13/2005,17:35:19,11.346,N,58.937,W,5
7/13/2005,17:37:20,11.347,N,58.945,W,5
7/13/2005,17:39:20,11.348,N,58.953,W,5
7/13/2005,17:41:19,11.348,N,58.961,W,5
7/13/2005,17:43:19,11.349,N,58.969,W,5
7/13/2005,17:45:20,11.35,N,58.977,W,5
7/13/2005,17:47:20,11.351,N,58.984,W,5
7/13/2005,17:49:19,11.352,N,58.992,W,5
7/13/2005,17:51:20,11.353,N,59,W,5
7/13/2005,17:53:20,11.354,N,59.008,W,5
7/13/2005,17:55:19,11.355,N,59.015,W,5
7/13/2005,17:57:19,11.356,N,59.023,W,5
7/13/2005,17:59:20,11.358,N,59.031,W,5
7/13/2005,18:01:20,11.359,N,59.038,W,5
7/13/2005,18:03:19,11.36,N,59.045,W,5
7/13/2005,18:05:19,11.361,N,59.053,W,5
7/13/2005,18:07:20,11.362,N,59.06,W,5
7/13/2005,18:09:20,11.364,N,59.067,W,5
7/13/2005,18:11:19,11.365,N,59.075,W,5
7/13/2005,18:13:19,11.366,N,59.082,W,5
7/13/2005,18:15:20,11.368,N,59.089,W,5
7/13/2005,18:17:20,11.369,N,59.096,W,5
7/13/2005,18:19:19,11.371,N,59.103,W,5
7/13/2005,18:21:20,11.372,N,59.11,W,5
7/13/2005,18:23:20,11.374,N,59.117,W,5
7/13/2005,18:25:19,11.375,N,59.124,W,5
7/13/2005,18:27:19,11.377,N,59.13,W,5
7/13/2005,18:29:20,11.379,N,59.137,W,5
7/13/2005,18:31:20,11.38,N,59.144,W,5
7/13/2005,18:33:19,11.382,N,59.15,W,5
7/13/2005,18:35:19,11.384,N,59.157,W,5
7/13/2005,18:37:20,11.386,N,59.163,W,5
7/13/2005,18:39:20,11.388,N,59.17,W,5
7/13/2005,18:41:19,11.39,N,59.176,W,5
7/13/2005,18:43:19,11.391,N,59.182,W,5
7/13/2005,18:45:20,11.393,N,59.188,W,5
7/13/2005,18:47:20,11.395,N,59.194,W,5
7/13/2005,18:49:19,11.397,N,59.2,W,5
7/13/2005,18:51:20,11.4,N,59.206,W,5
7/13/2005,18:53:20,11.402,N,59.212,W,5
7/13/2005,18:55:19,11.404,N,59.218,W,5
7/13/2005,18:57:19,11.406,N,59.224,W,5
7/13/2005,18:59:20,11.408,N,59.229,W,5
7/13/2005,19:01:20,11.411,N,59.235,W,5
7/13/2005,19:03:19,11.413,N,59.241,W,5
7/13/2005,19:05:19,11.415,N,59.246,W,5
7/13/2005,19:07:20,11.418,N,59.251,W,5
7/13/2005,19:09:20,11.42,N,59.257,W,5
7/13/2005,19:11:19,11.423,N,59.262,W,5
7/13/2005,19:13:19,11.426,N,59.267,W,5
7/13/2005,19:15:20,11.428,N,59.272,W,5
7/13/2005,19:17:20,11.431,N,59.277,W,5
7/13/2005,19:19:19,11.434,N,59.282,W,5
7/13/2005,19:21:20,11.436,N,59.287,W,5
7/13/2005,19:23:20,11.439,N,59.292,W,5
7/13/2005,19:25:19,11.442,N,59.297,W,5
7/13/2005,19:27:19,11.445,N,59.301,W,5
7/13/2005,19:29:20,11.448,N,59.306,W,5
7/13/2005,19:31:20,11.45,N,59.31,W,5
7/13/2005,19:33:19,11.453,N,59.315,W,5
7/13/2005,19:35:19,11.456,N,59.319,W,5
7/13/2005,19:37:20,11.459,N,59.324,W,5
7/13/2005,19:39:20,11.462,N,59.328,W,5
7/13/2005,19:41:19,11.466,N,59.333,W,5
7/13/2005,19:43:19,11.469,N,59.337,W,5
7/13/2005,19:45:20,11.472,N,59.341,W,5
7/13/2005,19:47:20,11.475,N,59.345,W,5
7/13/2005,19:49:19,11.478,N,59.349,W,5
7/13/2005,19:51:20,11.481,N,59.353,W,5
7/13/2005,19:53:20,11.485,N,59.358,W,5
7/13/2005,19:55:19,11.488,N,59.362,W,5
7/13/2005,19:57:19,11.491,N,59.366,W,5
7/13/2005,19:59:20,11.494,N,59.369,W,5
7/13/2005,20:01:20,11.498,N,59.373,W,5
7/13/2005,20:03:19,11.501,N,59.377,W,5
7/13/2005,20:05:19,11.504,N,59.381,W,5
7/13/2005,20:07:20,11.508,N,59.385,W,5
7/13/2005,20:09:20,11.511,N,59.389,W,5
7/13/2005,20:11:19,11.514,N,59.392,W,5
7/13/2005,20:13:19,11.518,N,59.396,W,5
7/13/2005,20:15:20,11.521,N,59.4,W,5
7/13/2005,20:17:20,11.525,N,59.403,W,5
7/13/2005,20:19:19,11.528,N,59.407,W,5
7/13/2005,20:21:20,11.532,N,59.411,W,5
7/13/2005,20:23:20,11.535,N,59.414,W,5
7/13/2005,20:25:19,11.538,N,59.418,W,5
7/13/2005,20:27:19,11.542,N,59.421,W,5
7/13/2005,20:29:20,11.545,N,59.425,W,5
7/13/2005,20:31:20,11.549,N,59.429,W,5
7/13/2005,20:33:19,11.552,N,59.432,W,5
7/13/2005,20:35:19,11.556,N,59.436,W,5
7/13/2005,20:37:20,11.559,N,59.439,W,5
7/13/2005,20:39:20,11.563,N,59.443,W,5
7/13/2005,20:41:19,11.566,N,59.446,W,5
7/13/2005,20:43:19,11.57,N,59.45,W,5
7/13/2005,20:45:20,11.573,N,59.453,W,5
7/13/2005,20:47:20,11.577,N,59.457,W,5
7/13/2005,20:49:19,11.58,N,59.46,W,5
7/13/2005,20:51:20,11.584,N,59.464,W,5
7/13/2005,20:53:20,11.587,N,59.467,W,5
7/13/2005,20:55:19,11.591,N,59.471,W,5
7/13/2005,20:57:19,11.594,N,59.474,W,5
7/13/2005,20:59:20,11.598,N,59.478,W,5
7/13/2005,21:01:20,11.601,N,59.481,W,5
7/13/2005,21:03:19,11.604,N,59.485,W,5
7/13/2005,21:05:19,11.608,N,59.488,W,5
7/13/2005,21:07:20,11.611,N,59.492,W,5
7/13/2005,21:09:20,11.615,N,59.495,W,5
7/13/2005,21:11:19,11.618,N,59.499,W,5
7/13/2005,21:13:19,11.621,N,59.503,W,5
7/13/2005,21:15:20,11.625,N,59.506,W,5
7/13/2005,21:17:20,11.628,N,59.51,W,5
7/13/2005,21:19:19,11.631,N,59.514,W,5
7/13/2005,21:21:20,11.635,N,59.517,W,5
7/13/2005,21:23:20,11.638,N,59.521,W,5
7/13/2005,21:25:19,11.641,N,59.525,W,5
7/13/2005,21:27:19,11.644,N,59.529,W,5
7/13/2005,21:29:20,11.648,N,59.532,W,5
7/13/2005,21:31:20,11.651,N,59.536,W,5
7/13/2005,21:33:19,11.654,N,59.54,W,5
7/13/2005,21:35:19,11.657,N,59.544,W,5
7/13/2005,21:37:20,11.66,N,59.548,W,5
7/13/2005,21:39:20,11.663,N,59.552,W,5
7/13/2005,21:41:19,11.666,N,59.556,W,5
7/13/2005,21:43:19,11.669,N,59.56,W,5
7/13/2005,21:45:20,11.672,N,59.564,W,5
7/13/2005,21:47:20,11.675,N,59.568,W,5
7/13/2005,21:49:19,11.678,N,59.573,W,5
7/13/2005,21:51:20,11.681,N,59.577,W,5
7/13/2005,21:53:20,11.684,N,59.581,W,5
7/13/2005,21:55:19,11.687,N,59.586,W,5
7/13/2005,21:57:19,11.689,N,59.59,W,5
7/13/2005,21:59:20,11.692,N,59.594,W,5
7/13/2005,22:01:20,11.695,N,59.599,W,5
7/13/2005,22:03:19,11.697,N,59.603,W,5
7/13/2005,22:05:19,11.7,N,59.608,W,5
7/13/2005,22:07:20,11.703,N,59.613,W,5
7/13/2005,22:09:20,11.705,N,59.617,W,5
7/13/2005,22:11:19,11.708,N,59.622,W,5
7/13/2005,22:13:19,11.71,N,59.627,W,5
7/13/2005,22:15:20,11.713,N,59.632,W,5
7/13/2005,22:17:20,11.715,N,59.637,W,5
7/13/2005,22:19:19,11.717,N,59.642,W,5
7/13/2005,22:21:20,11.72,N,59.647,W,5
7/13/2005,22:23:20,11.722,N,59.652,W,5
7/13/2005,22:25:19,11.724,N,59.658,W,5
7/13/2005,22:27:19,11.726,N,59.663,W,5
7/13/2005,22:29:20,11.728,N,59.668,W,5
7/13/2005,22:31:20,11.73,N,59.674,W,5
7/13/2005,22:33:19,11.732,N,59.679,W,5
7/13/2005,22:35:19,11.734,N,59.685,W,5
7/13/2005,22:37:20,11.736,N,59.691,W,5
7/13/2005,22:39:20,11.738,N,59.697,W,5
7/13/2005,22:41:19,11.739,N,59.702,W,5
7/13/2005,22:43:19,11.741,N,59.708,W,5
7/13/2005,22:45:20,11.743,N,59.714,W,5
7/13/2005,22:47:20,11.744,N,59.721,W,5
7/13/2005,22:49:19,11.746,N,59.727,W,5
7/13/2005,22:51:20,11.747,N,59.733,W,5
7/13/2005,22:53:20,11.749,N,59.74,W,5
7/13/2005,22:55:19,11.75,N,59.746,W,5
7/13/2005,22:57:19,11.751,N,59.753,W,5
7/13/2005,22:59:20,11.752,N,59.759,W,5
