Track,for,Lorenzo,2007,,
9/25/2007,21:15:50,21.743,N,95.061,W
9/25/2007,21:17:49,21.744,N,95.075,W
9/25/2007,21:19:49,21.745,N,95.089,W
9/25/2007,21:21:50,21.746,N,95.102,W
9/25/2007,21:23:50,21.747,N,95.116,W
9/25/2007,21:25:49,21.749,N,95.129,W
9/25/2007,21:27:49,21.75,N,95.142,W
9/25/2007,21:29:50,21.751,N,95.155,W
9/25/2007,21:31:50,21.753,N,95.169,W
9/25/2007,21:33:49,21.754,N,95.182,W
9/25/2007,21:35:49,21.756,N,95.195,W
9/25/2007,21:37:50,21.757,N,95.208,W
9/25/2007,21:39:50,21.759,N,95.221,W
9/25/2007,21:41:49,21.76,N,95.233,W
9/25/2007,21:43:50,21.762,N,95.246,W
9/25/2007,21:45:50,21.764,N,95.259,W
9/25/2007,21:47:49,21.765,N,95.271,W
9/25/2007,21:49:49,21.767,N,95.284,W
9/25/2007,21:51:50,21.769,N,95.296,W
9/25/2007,21:53:50,21.771,N,95.308,W
9/25/2007,21:55:49,21.773,N,95.321,W
9/25/2007,21:57:49,21.775,N,95.333,W
9/25/2007,21:59:50,21.777,N,95.345,W
9/25/2007,22:01:50,21.779,N,95.357,W
9/25/2007,22:03:49,21.782,N,95.368,W
9/25/2007,22:05:49,21.784,N,95.38,W
9/25/2007,22:07:50,21.787,N,95.392,W
9/25/2007,22:09:50,21.789,N,95.403,W
9/25/2007,22:11:49,21.792,N,95.415,W
9/25/2007,22:13:50,21.794,N,95.426,W
9/25/2007,22:15:50,21.797,N,95.437,W
9/25/2007,22:17:49,21.8,N,95.448,W
9/25/2007,22:19:49,21.803,N,95.459,W
9/25/2007,22:21:50,21.805,N,95.47,W
9/25/2007,22:23:50,21.808,N,95.48,W
9/25/2007,22:25:49,21.812,N,95.491,W
9/25/2007,22:27:49,21.815,N,95.502,W
9/25/2007,22:29:50,21.818,N,95.512,W
9/25/2007,22:31:50,21.821,N,95.522,W
9/25/2007,22:33:49,21.825,N,95.532,W
9/25/2007,22:35:49,21.828,N,95.542,W
9/25/2007,22:37:50,21.832,N,95.552,W
9/25/2007,22:39:50,21.836,N,95.562,W
9/25/2007,22:41:49,21.839,N,95.571,W
9/25/2007,22:43:50,21.843,N,95.581,W
9/25/2007,22:45:50,21.847,N,95.59,W
9/25/2007,22:47:49,21.851,N,95.599,W
9/25/2007,22:49:49,21.855,N,95.608,W
9/25/2007,22:51:50,21.86,N,95.617,W
9/25/2007,22:53:50,21.864,N,95.625,W
9/25/2007,22:55:49,21.868,N,95.634,W
9/25/2007,22:57:49,21.873,N,95.642,W
9/25/2007,22:59:50,21.878,N,95.651,W
9/25/2007,23:01:50,21.882,N,95.659,W
9/25/2007,23:03:49,21.887,N,95.667,W
9/25/2007,23:05:49,21.892,N,95.674,W
9/25/2007,23:07:50,21.897,N,95.682,W
9/25/2007,23:09:50,21.902,N,95.69,W
9/25/2007,23:11:49,21.907,N,95.697,W
9/25/2007,23:13:50,21.912,N,95.704,W
9/25/2007,23:15:50,21.917,N,95.711,W
9/25/2007,23:17:49,21.923,N,95.718,W
9/25/2007,23:19:49,21.928,N,95.725,W
9/25/2007,23:21:50,21.933,N,95.731,W
9/25/2007,23:23:50,21.939,N,95.738,W
9/25/2007,23:25:49,21.944,N,95.744,W
9/25/2007,23:27:49,21.95,N,95.75,W
9/25/2007,23:29:50,21.955,N,95.756,W
9/25/2007,23:31:50,21.96,N,95.761,W
9/25/2007,23:33:49,21.966,N,95.767,W
9/25/2007,23:35:49,21.971,N,95.772,W
9/25/2007,23:37:50,21.977,N,95.778,W
9/25/2007,23:39:50,21.982,N,95.783,W
9/25/2007,23:41:49,21.988,N,95.788,W
9/25/2007,23:43:50,21.993,N,95.793,W
9/25/2007,23:45:50,21.999,N,95.797,W
9/25/2007,23:47:49,22.004,N,95.802,W
9/25/2007,23:49:49,22.009,N,95.806,W
9/25/2007,23:51:50,22.015,N,95.81,W
9/25/2007,23:53:50,22.02,N,95.814,W
9/25/2007,23:55:49,22.025,N,95.818,W
9/25/2007,23:57:49,22.03,N,95.821,W
9/25/2007,23:59:50,22.035,N,95.825,W
9/26/2007,0:01:50,22.04,N,95.828,W
9/26/2007,0:03:49,22.045,N,95.831,W
9/26/2007,0:05:49,22.05,N,95.834,W
9/26/2007,0:07:50,22.055,N,95.837,W
9/26/2007,0:09:50,22.06,N,95.839,W
9/26/2007,0:11:49,22.064,N,95.842,W
9/26/2007,0:13:50,22.069,N,95.844,W
9/26/2007,0:15:50,22.073,N,95.846,W
9/26/2007,0:17:49,22.077,N,95.848,W
9/26/2007,0:19:49,22.082,N,95.849,W
9/26/2007,0:21:50,22.086,N,95.851,W
9/26/2007,0:23:50,22.09,N,95.852,W
9/26/2007,0:25:49,22.093,N,95.854,W
9/26/2007,0:27:49,22.097,N,95.854,W
9/26/2007,0:29:50,22.101,N,95.855,W
9/26/2007,0:31:50,22.104,N,95.856,W
9/26/2007,0:33:49,22.107,N,95.856,W
9/26/2007,0:35:49,22.11,N,95.857,W
9/26/2007,0:37:50,22.113,N,95.857,W
9/26/2007,0:39:50,22.116,N,95.857,W
9/26/2007,0:41:49,22.119,N,95.856,W
9/26/2007,0:43:50,22.121,N,95.856,W
9/26/2007,0:45:50,22.124,N,95.855,W
9/26/2007,0:47:49,22.126,N,95.854,W
9/26/2007,0:49:49,22.127,N,95.853,W
9/26/2007,0:51:50,22.129,N,95.852,W
9/26/2007,0:53:50,22.131,N,95.851,W
9/26/2007,0:55:49,22.132,N,95.849,W
9/26/2007,0:57:49,22.133,N,95.848,W
9/26/2007,0:59:50,22.134,N,95.846,W
9/26/2007,1:01:50,22.134,N,95.844,W
9/26/2007,1:03:49,22.135,N,95.841,W
9/26/2007,1:05:49,22.135,N,95.839,W
9/26/2007,1:07:50,22.135,N,95.836,W
9/26/2007,1:09:50,22.135,N,95.833,W
9/26/2007,1:11:49,22.134,N,95.83,W
9/26/2007,1:13:50,22.133,N,95.827,W
9/26/2007,1:15:50,22.132,N,95.823,W
9/26/2007,1:17:49,22.131,N,95.82,W
9/26/2007,1:19:49,22.129,N,95.816,W
9/26/2007,1:21:50,22.127,N,95.812,W
9/26/2007,1:23:50,22.125,N,95.808,W
9/26/2007,1:25:49,22.123,N,95.803,W
9/26/2007,1:27:49,22.12,N,95.799,W
9/26/2007,1:29:50,22.117,N,95.794,W
9/26/2007,1:31:50,22.114,N,95.789,W
9/26/2007,1:33:49,22.11,N,95.784,W
9/26/2007,1:35:49,22.106,N,95.778,W
9/26/2007,1:37:50,22.102,N,95.773,W
9/26/2007,1:39:50,22.097,N,95.767,W
9/26/2007,1:41:49,22.092,N,95.761,W
9/26/2007,1:43:50,22.087,N,95.755,W
9/26/2007,1:45:50,22.082,N,95.748,W
9/26/2007,1:47:49,22.076,N,95.742,W
9/26/2007,1:49:49,22.07,N,95.735,W
9/26/2007,1:51:50,22.063,N,95.728,W
9/26/2007,1:53:50,22.057,N,95.721,W
9/26/2007,1:55:49,22.05,N,95.713,W
9/26/2007,1:57:49,22.042,N,95.706,W
9/26/2007,1:59:50,22.035,N,95.698,W
9/26/2007,2:01:50,22.027,N,95.691,W
9/26/2007,2:03:49,22.019,N,95.683,W
9/26/2007,2:05:49,22.011,N,95.674,W
9/26/2007,2:07:50,22.002,N,95.666,W
9/26/2007,2:09:50,21.993,N,95.658,W
9/26/2007,2:11:49,21.984,N,95.649,W
9/26/2007,2:13:50,21.975,N,95.64,W
9/26/2007,2:15:50,21.965,N,95.631,W
9/26/2007,2:17:49,21.956,N,95.622,W
9/26/2007,2:19:49,21.946,N,95.613,W
9/26/2007,2:21:50,21.935,N,95.604,W
9/26/2007,2:23:50,21.925,N,95.594,W
9/26/2007,2:25:49,21.914,N,95.584,W
9/26/2007,2:27:49,21.903,N,95.575,W
9/26/2007,2:29:50,21.892,N,95.565,W
9/26/2007,2:31:50,21.881,N,95.555,W
9/26/2007,2:33:49,21.869,N,95.544,W
9/26/2007,2:35:49,21.857,N,95.534,W
9/26/2007,2:37:50,21.845,N,95.524,W
9/26/2007,2:39:50,21.833,N,95.513,W
9/26/2007,2:41:49,21.821,N,95.502,W
9/26/2007,2:43:50,21.808,N,95.491,W
9/26/2007,2:45:50,21.795,N,95.481,W
9/26/2007,2:47:49,21.782,N,95.469,W
9/26/2007,2:49:49,21.769,N,95.458,W
9/26/2007,2:51:50,21.756,N,95.447,W
9/26/2007,2:53:50,21.743,N,95.436,W
9/26/2007,2:55:49,21.729,N,95.424,W
9/26/2007,2:57:49,21.715,N,95.413,W
9/26/2007,2:59:50,21.701,N,95.401,W
9/26/2007,3:00:00,21.7,N,95.4,W
9/26/2007,3:01:59,21.684,N,95.387,W
9/26/2007,3:04:00,21.668,N,95.374,W
9/26/2007,3:06:00,21.652,N,95.361,W
9/26/2007,3:07:59,21.636,N,95.348,W
9/26/2007,3:09:59,21.62,N,95.335,W
9/26/2007,3:12:00,21.604,N,95.322,W
9/26/2007,3:14:00,21.588,N,95.309,W
9/26/2007,3:15:59,21.572,N,95.296,W
9/26/2007,3:17:59,21.556,N,95.283,W
9/26/2007,3:20:00,21.54,N,95.27,W
9/26/2007,3:22:00,21.524,N,95.257,W
9/26/2007,3:23:59,21.508,N,95.244,W
9/26/2007,3:25:59,21.492,N,95.232,W
9/26/2007,3:28:00,21.476,N,95.219,W
9/26/2007,3:30:00,21.46,N,95.206,W
9/26/2007,3:31:59,21.444,N,95.193,W
9/26/2007,3:34:00,21.428,N,95.18,W
9/26/2007,3:36:00,21.412,N,95.167,W
9/26/2007,3:37:59,21.396,N,95.154,W
9/26/2007,3:39:59,21.38,N,95.141,W
9/26/2007,3:42:00,21.364,N,95.128,W
9/26/2007,3:44:00,21.348,N,95.115,W
9/26/2007,3:45:59,21.332,N,95.102,W
9/26/2007,3:47:59,21.316,N,95.089,W
9/26/2007,3:50:00,21.3,N,95.076,W
9/26/2007,3:52:00,21.284,N,95.063,W
9/26/2007,3:53:59,21.268,N,95.05,W
9/26/2007,3:55:59,21.252,N,95.037,W
9/26/2007,3:58:00,21.236,N,95.024,W
9/26/2007,4:00:00,21.22,N,95.011,W
9/26/2007,4:01:59,21.204,N,94.998,W
9/26/2007,4:04:00,21.188,N,94.985,W
9/26/2007,4:06:00,21.172,N,94.972,W
9/26/2007,4:07:59,21.156,N,94.959,W
9/26/2007,4:09:59,21.14,N,94.946,W
9/26/2007,4:12:00,21.124,N,94.933,W
9/26/2007,4:14:00,21.108,N,94.921,W
9/26/2007,4:15:59,21.092,N,94.908,W
9/26/2007,4:17:10,21.083,N,94.9,W
9/26/2007,4:19:10,21.084,N,94.904,W
9/26/2007,4:21:09,21.085,N,94.907,W
9/26/2007,4:23:09,21.086,N,94.911,W
9/26/2007,4:25:10,21.088,N,94.914,W
9/26/2007,4:27:10,21.089,N,94.918,W
9/26/2007,4:29:09,21.09,N,94.921,W
9/26/2007,4:31:09,21.091,N,94.925,W
9/26/2007,4:33:10,21.092,N,94.929,W
9/26/2007,4:35:09,21.093,N,94.932,W
9/26/2007,4:37:09,21.094,N,94.936,W
9/26/2007,4:39:10,21.095,N,94.939,W
9/26/2007,4:41:10,21.097,N,94.943,W
9/26/2007,4:43:09,21.098,N,94.946,W
9/26/2007,4:45:09,21.099,N,94.95,W
9/26/2007,4:47:10,21.1,N,94.953,W
9/26/2007,4:49:10,21.101,N,94.957,W
9/26/2007,4:51:09,21.102,N,94.961,W
9/26/2007,4:53:09,21.103,N,94.964,W
9/26/2007,4:55:10,21.105,N,94.968,W
9/26/2007,4:57:10,21.106,N,94.971,W
9/26/2007,4:59:09,21.107,N,94.975,W
9/26/2007,5:01:09,21.108,N,94.978,W
9/26/2007,5:03:10,21.109,N,94.982,W
9/26/2007,5:05:09,21.11,N,94.986,W
9/26/2007,5:07:09,21.111,N,94.989,W
9/26/2007,5:09:10,21.112,N,94.993,W
9/26/2007,5:11:10,21.114,N,94.996,W
9/26/2007,5:13:09,21.115,N,95,W
9/26/2007,5:15:09,21.116,N,95.003,W
9/26/2007,5:17:10,21.117,N,95.007,W
9/26/2007,5:17:10,21.117,N,95.007,W
9/26/2007,5:19:11,21.118,N,95.007,W
9/26/2007,5:21:11,21.119,N,95.008,W
9/26/2007,5:23:10,21.12,N,95.008,W
9/26/2007,5:25:10,21.121,N,95.008,W
9/26/2007,5:27:11,21.122,N,95.009,W
9/26/2007,5:29:11,21.123,N,95.009,W
9/26/2007,5:31:10,21.124,N,95.01,W
9/26/2007,5:33:10,21.125,N,95.01,W
9/26/2007,5:35:11,21.126,N,95.01,W
9/26/2007,5:37:11,21.127,N,95.011,W
9/26/2007,5:39:10,21.129,N,95.011,W
9/26/2007,5:41:10,21.13,N,95.011,W
9/26/2007,5:43:11,21.131,N,95.012,W
9/26/2007,5:45:11,21.132,N,95.012,W
9/26/2007,5:47:10,21.133,N,95.013,W
9/26/2007,5:49:11,21.134,N,95.013,W
9/26/2007,5:51:11,21.135,N,95.013,W
9/26/2007,5:53:10,21.136,N,95.014,W
9/26/2007,5:55:10,21.137,N,95.014,W
9/26/2007,5:57:11,21.138,N,95.014,W
9/26/2007,5:59:11,21.139,N,95.015,W
9/26/2007,6:01:10,21.14,N,95.015,W
9/26/2007,6:03:10,21.141,N,95.016,W
9/26/2007,6:05:11,21.142,N,95.016,W
9/26/2007,6:07:11,21.143,N,95.016,W
9/26/2007,6:09:10,21.144,N,95.017,W
9/26/2007,6:11:10,21.145,N,95.017,W
9/26/2007,6:13:11,21.146,N,95.017,W
9/26/2007,6:15:11,21.147,N,95.018,W
9/26/2007,6:17:10,21.148,N,95.018,W
9/26/2007,6:19:11,21.149,N,95.018,W
9/26/2007,6:21:11,21.151,N,95.019,W
9/26/2007,6:22:06,21.151,N,95.019,W
9/26/2007,6:24:05,21.152,N,95.019,W
9/26/2007,6:26:05,21.153,N,95.019,W
9/26/2007,6:28:06,21.154,N,95.02,W
9/26/2007,6:30:06,21.155,N,95.02,W
9/26/2007,6:32:05,21.156,N,95.02,W
9/26/2007,6:34:05,21.157,N,95.02,W
9/26/2007,6:36:06,21.158,N,95.02,W
9/26/2007,6:38:06,21.159,N,95.02,W
9/26/2007,6:40:05,21.16,N,95.02,W
9/26/2007,6:42:05,21.161,N,95.02,W
9/26/2007,6:44:06,21.162,N,95.02,W
9/26/2007,6:46:06,21.163,N,95.02,W
9/26/2007,6:48:05,21.164,N,95.02,W
9/26/2007,6:50:05,21.164,N,95.02,W
9/26/2007,6:52:06,21.165,N,95.02,W
9/26/2007,6:54:05,21.166,N,95.02,W
9/26/2007,6:56:05,21.167,N,95.02,W
9/26/2007,6:58:06,21.168,N,95.019,W
9/26/2007,7:00:06,21.169,N,95.019,W
9/26/2007,7:02:05,21.17,N,95.019,W
9/26/2007,7:04:05,21.171,N,95.019,W
9/26/2007,7:06:06,21.172,N,95.018,W
9/26/2007,7:08:06,21.172,N,95.018,W
9/26/2007,7:10:05,21.173,N,95.018,W
9/26/2007,7:12:05,21.174,N,95.017,W
9/26/2007,7:14:06,21.175,N,95.017,W
9/26/2007,7:16:06,21.176,N,95.017,W
9/26/2007,7:18:05,21.177,N,95.016,W
9/26/2007,7:20:05,21.177,N,95.016,W
9/26/2007,7:22:06,21.178,N,95.015,W
9/26/2007,7:24:05,21.179,N,95.015,W
9/26/2007,7:26:05,21.18,N,95.014,W
9/26/2007,7:28:06,21.181,N,95.014,W
9/26/2007,7:30:06,21.181,N,95.013,W
9/26/2007,7:32:05,21.182,N,95.012,W
9/26/2007,7:34:05,21.183,N,95.012,W
9/26/2007,7:36:06,21.184,N,95.011,W
9/26/2007,7:38:06,21.184,N,95.01,W
9/26/2007,7:40:05,21.185,N,95.009,W
9/26/2007,7:42:05,21.186,N,95.008,W
9/26/2007,7:44:06,21.186,N,95.008,W
9/26/2007,7:46:06,21.187,N,95.007,W
9/26/2007,7:48:05,21.188,N,95.006,W
9/26/2007,7:50:05,21.189,N,95.005,W
9/26/2007,7:52:06,21.189,N,95.004,W
9/26/2007,7:54:05,21.19,N,95.003,W
9/26/2007,7:56:05,21.19,N,95.002,W
9/26/2007,7:58:06,21.191,N,95,W
9/26/2007,8:00:06,21.192,N,94.999,W
9/26/2007,8:02:05,21.192,N,94.998,W
9/26/2007,8:04:05,21.193,N,94.997,W
9/26/2007,8:06:05,21.193,N,94.995,W
9/26/2007,8:08:05,21.194,N,94.994,W
9/26/2007,8:10:06,21.195,N,94.993,W
9/26/2007,8:12:06,21.195,N,94.991,W
9/26/2007,8:14:06,21.196,N,94.99,W
9/26/2007,8:16:06,21.196,N,94.988,W
9/26/2007,8:18:05,21.197,N,94.987,W
9/26/2007,8:20:05,21.197,N,94.985,W
9/26/2007,8:22:05,21.198,N,94.983,W
9/26/2007,8:24:06,21.198,N,94.982,W
9/26/2007,8:26:06,21.199,N,94.98,W
9/26/2007,8:28:06,21.199,N,94.978,W
9/26/2007,8:30:06,21.199,N,94.976,W
9/26/2007,8:32:05,21.2,N,94.974,W
9/26/2007,8:34:05,21.2,N,94.972,W
9/26/2007,8:36:05,21.201,N,94.97,W
9/26/2007,8:38:05,21.201,N,94.968,W
9/26/2007,8:40:06,21.201,N,94.966,W
9/26/2007,8:42:06,21.202,N,94.964,W
9/26/2007,8:44:06,21.202,N,94.962,W
9/26/2007,8:46:06,21.202,N,94.96,W
9/26/2007,8:48:05,21.203,N,94.957,W
9/26/2007,8:50:05,21.203,N,94.955,W
9/26/2007,8:52:05,21.203,N,94.953,W
9/26/2007,8:54:06,21.203,N,94.95,W
9/26/2007,8:56:06,21.204,N,94.948,W
9/26/2007,8:58:06,21.204,N,94.945,W
9/26/2007,9:00:06,21.204,N,94.943,W
9/26/2007,9:02:05,21.204,N,94.94,W
9/26/2007,9:04:05,21.204,N,94.937,W
9/26/2007,9:06:05,21.205,N,94.934,W
9/26/2007,9:08:05,21.205,N,94.932,W
9/26/2007,9:10:06,21.205,N,94.929,W
9/26/2007,9:12:06,21.205,N,94.926,W
9/26/2007,9:14:06,21.205,N,94.923,W
9/26/2007,9:16:06,21.205,N,94.92,W
9/26/2007,9:18:05,21.205,N,94.916,W
9/26/2007,9:20:05,21.205,N,94.913,W
9/26/2007,9:22:05,21.205,N,94.91,W
9/26/2007,9:24:06,21.205,N,94.907,W
9/26/2007,9:26:06,21.205,N,94.903,W
9/26/2007,9:28:06,21.205,N,94.9,W
9/26/2007,9:30:06,21.205,N,94.896,W
9/26/2007,9:32:05,21.205,N,94.893,W
9/26/2007,9:34:05,21.205,N,94.889,W
9/26/2007,9:36:05,21.205,N,94.885,W
9/26/2007,9:38:05,21.205,N,94.882,W
9/26/2007,9:40:06,21.205,N,94.878,W
9/26/2007,9:42:06,21.205,N,94.874,W
9/26/2007,9:44:06,21.204,N,94.87,W
9/26/2007,9:46:06,21.204,N,94.866,W
9/26/2007,9:48:05,21.204,N,94.862,W
9/26/2007,9:50:05,21.204,N,94.858,W
9/26/2007,9:52:05,21.204,N,94.853,W
9/26/2007,9:54:06,21.203,N,94.849,W
9/26/2007,9:56:06,21.203,N,94.845,W
9/26/2007,9:58:06,21.203,N,94.84,W
9/26/2007,10:00:06,21.202,N,94.836,W
9/26/2007,10:02:05,21.202,N,94.831,W
9/26/2007,10:04:05,21.202,N,94.827,W
9/26/2007,10:06:05,21.201,N,94.822,W
9/26/2007,10:08:05,21.201,N,94.818,W
9/26/2007,10:10:06,21.201,N,94.813,W
9/26/2007,10:12:06,21.2,N,94.808,W
9/26/2007,10:14:06,21.2,N,94.803,W
9/26/2007,10:16:06,21.199,N,94.798,W
9/26/2007,10:18:05,21.199,N,94.793,W
9/26/2007,10:20:05,21.198,N,94.788,W
9/26/2007,10:22:05,21.198,N,94.783,W
9/26/2007,10:24:06,21.197,N,94.778,W
9/26/2007,10:26:06,21.197,N,94.773,W
9/26/2007,10:28:06,21.196,N,94.768,W
9/26/2007,10:30:06,21.196,N,94.763,W
9/26/2007,10:32:05,21.195,N,94.758,W
9/26/2007,10:34:05,21.195,N,94.752,W
9/26/2007,10:36:05,21.194,N,94.747,W
9/26/2007,10:38:05,21.194,N,94.742,W
9/26/2007,10:40:06,21.193,N,94.736,W
9/26/2007,10:42:06,21.193,N,94.731,W
9/26/2007,10:44:06,21.192,N,94.725,W
9/26/2007,10:46:06,21.191,N,94.72,W
9/26/2007,10:48:05,21.191,N,94.714,W
9/26/2007,10:50:05,21.19,N,94.709,W
9/26/2007,10:52:05,21.189,N,94.703,W
9/26/2007,10:54:06,21.189,N,94.698,W
9/26/2007,10:56:06,21.188,N,94.692,W
9/26/2007,10:58:06,21.188,N,94.686,W
9/26/2007,11:00:06,21.187,N,94.681,W
9/26/2007,11:02:05,21.186,N,94.675,W
9/26/2007,11:04:05,21.185,N,94.669,W
9/26/2007,11:06:05,21.185,N,94.664,W
9/26/2007,11:08:05,21.184,N,94.658,W
9/26/2007,11:10:06,21.183,N,94.652,W
9/26/2007,11:12:06,21.183,N,94.646,W
9/26/2007,11:14:06,21.182,N,94.641,W
9/26/2007,11:16:06,21.181,N,94.635,W
9/26/2007,11:18:05,21.181,N,94.629,W
9/26/2007,11:20:05,21.18,N,94.623,W
9/26/2007,11:22:05,21.179,N,94.617,W
9/26/2007,11:24:06,21.178,N,94.612,W
9/26/2007,11:26:06,21.178,N,94.606,W
9/26/2007,11:28:06,21.177,N,94.6,W
9/26/2007,11:30:06,21.176,N,94.594,W
9/26/2007,11:32:05,21.175,N,94.588,W
9/26/2007,11:34:05,21.175,N,94.582,W
9/26/2007,11:36:05,21.174,N,94.576,W
9/26/2007,11:38:05,21.173,N,94.571,W
9/26/2007,11:40:06,21.172,N,94.565,W
9/26/2007,11:42:06,21.172,N,94.559,W
9/26/2007,11:44:06,21.171,N,94.553,W
9/26/2007,11:46:06,21.17,N,94.547,W
9/26/2007,11:48:05,21.169,N,94.541,W
9/26/2007,11:50:05,21.169,N,94.536,W
9/26/2007,11:52:05,21.168,N,94.53,W
9/26/2007,11:54:06,21.167,N,94.524,W
9/26/2007,11:56:06,21.166,N,94.518,W
9/26/2007,11:58:06,21.166,N,94.512,W
9/26/2007,12:00:06,21.165,N,94.507,W
9/26/2007,12:02:05,21.164,N,94.501,W
9/26/2007,12:04:05,21.163,N,94.495,W
9/26/2007,12:06:05,21.163,N,94.489,W
9/26/2007,12:08:05,21.162,N,94.484,W
9/26/2007,12:10:06,21.161,N,94.478,W
9/26/2007,12:12:06,21.16,N,94.472,W
9/26/2007,12:14:06,21.16,N,94.467,W
9/26/2007,12:16:06,21.159,N,94.461,W
9/26/2007,12:18:05,21.158,N,94.455,W
9/26/2007,12:20:05,21.158,N,94.45,W
9/26/2007,12:22:05,21.157,N,94.444,W
9/26/2007,12:24:06,21.156,N,94.439,W
