Track,for,Alberto,2018,,,,
5/26/2018,0:13:06,18.775,N,85.809,W,2.97,0.92
5/26/2018,0:15:06,18.776,N,85.806,W,2.97,0.94
5/26/2018,0:17:05,18.777,N,85.802,W,2.96,0.95
5/26/2018,0:19:05,18.778,N,85.799,W,2.96,0.97
5/26/2018,0:21:06,18.779,N,85.796,W,2.96,0.99
5/26/2018,0:23:06,18.781,N,85.792,W,2.95,1
5/26/2018,0:25:05,18.782,N,85.789,W,2.95,1.02
5/26/2018,0:27:05,18.783,N,85.785,W,2.95,1.04
5/26/2018,0:29:06,18.784,N,85.782,W,2.94,1.06
5/26/2018,0:31:06,18.785,N,85.779,W,2.94,1.07
5/26/2018,0:33:05,18.786,N,85.775,W,2.94,1.09
5/26/2018,0:35:05,18.787,N,85.772,W,2.93,1.11
5/26/2018,0:37:06,18.789,N,85.769,W,2.93,1.13
5/26/2018,0:39:05,18.79,N,85.765,W,2.93,1.14
5/26/2018,0:41:05,18.791,N,85.762,W,2.92,1.16
5/26/2018,0:43:06,18.792,N,85.759,W,2.92,1.18
5/26/2018,0:45:06,18.794,N,85.755,W,2.92,1.2
5/26/2018,0:47:05,18.795,N,85.752,W,2.91,1.22
5/26/2018,0:49:05,18.796,N,85.749,W,2.91,1.24
5/26/2018,0:51:06,18.798,N,85.745,W,2.9,1.25
5/26/2018,0:53:06,18.799,N,85.742,W,2.9,1.27
5/26/2018,0:55:05,18.8,N,85.739,W,2.9,1.29
5/26/2018,0:57:05,18.802,N,85.735,W,2.89,1.31
5/26/2018,0:59:06,18.803,N,85.732,W,2.89,1.33
5/26/2018,1:01:06,18.805,N,85.729,W,2.89,1.35
5/26/2018,1:03:05,18.806,N,85.726,W,2.88,1.37
5/26/2018,1:05:05,18.808,N,85.722,W,2.88,1.39
5/26/2018,1:07:06,18.809,N,85.719,W,2.87,1.41
5/26/2018,1:09:05,18.811,N,85.716,W,2.87,1.43
5/26/2018,1:11:05,18.812,N,85.713,W,2.87,1.45
5/26/2018,1:13:06,18.814,N,85.709,W,2.86,1.47
5/26/2018,1:15:06,18.815,N,85.706,W,2.86,1.49
5/26/2018,1:17:05,18.817,N,85.703,W,2.86,1.51
5/26/2018,1:19:05,18.819,N,85.699,W,2.85,1.53
5/26/2018,1:21:06,18.82,N,85.696,W,2.85,1.55
5/26/2018,1:23:06,18.822,N,85.693,W,2.84,1.57
5/26/2018,1:25:05,18.824,N,85.69,W,2.84,1.59
5/26/2018,1:27:05,18.825,N,85.687,W,2.83,1.61
5/26/2018,1:29:06,18.827,N,85.683,W,2.83,1.63
5/26/2018,1:31:06,18.829,N,85.68,W,2.83,1.65
5/26/2018,1:33:05,18.831,N,85.677,W,2.82,1.68
5/26/2018,1:35:05,18.832,N,85.674,W,2.82,1.7
5/26/2018,1:37:06,18.834,N,85.67,W,2.81,1.72
5/26/2018,1:39:05,18.836,N,85.667,W,2.81,1.74
5/26/2018,1:41:05,18.838,N,85.664,W,2.81,1.76
5/26/2018,1:43:06,18.84,N,85.661,W,2.8,1.78
5/26/2018,1:45:06,18.842,N,85.658,W,2.8,1.81
5/26/2018,1:47:05,18.844,N,85.654,W,2.79,1.83
5/26/2018,1:49:05,18.846,N,85.651,W,2.79,1.85
5/26/2018,1:51:06,18.848,N,85.648,W,2.78,1.87
5/26/2018,1:53:06,18.85,N,85.645,W,2.78,1.89
5/26/2018,1:55:05,18.852,N,85.642,W,2.78,1.92
5/26/2018,1:57:05,18.854,N,85.639,W,2.77,1.94
5/26/2018,1:59:06,18.856,N,85.635,W,2.77,1.96
5/26/2018,2:01:06,18.858,N,85.632,W,2.76,1.99
5/26/2018,2:03:05,18.86,N,85.629,W,2.76,2.01
5/26/2018,2:05:05,18.863,N,85.626,W,2.75,2.03
5/26/2018,2:07:06,18.865,N,85.623,W,2.75,2.06
5/26/2018,2:09:05,18.867,N,85.62,W,2.74,2.08
5/26/2018,2:11:05,18.869,N,85.617,W,2.74,2.1
5/26/2018,2:13:06,18.872,N,85.613,W,2.73,2.13
5/26/2018,2:15:06,18.874,N,85.61,W,2.73,2.15
5/26/2018,2:17:05,18.876,N,85.607,W,2.73,2.17
5/26/2018,2:19:05,18.879,N,85.604,W,2.72,2.2
5/26/2018,2:21:06,18.881,N,85.601,W,2.72,2.22
5/26/2018,2:23:06,18.883,N,85.598,W,2.71,2.25
5/26/2018,2:25:05,18.886,N,85.595,W,2.71,2.27
5/26/2018,2:27:05,18.888,N,85.592,W,2.7,2.3
5/26/2018,2:29:06,18.891,N,85.589,W,2.7,2.32
5/26/2018,2:31:06,18.893,N,85.586,W,2.69,2.35
5/26/2018,2:33:05,18.896,N,85.583,W,2.69,2.37
5/26/2018,2:35:05,18.898,N,85.579,W,2.68,2.4
5/26/2018,2:37:06,18.901,N,85.576,W,2.68,2.42
5/26/2018,2:39:05,18.904,N,85.573,W,2.67,2.45
5/26/2018,2:41:05,18.906,N,85.57,W,2.67,2.47
5/26/2018,2:43:06,18.909,N,85.567,W,2.66,2.5
5/26/2018,2:45:06,18.912,N,85.564,W,2.66,2.52
5/26/2018,2:47:05,18.914,N,85.561,W,2.65,2.55
5/26/2018,2:49:05,18.917,N,85.558,W,2.65,2.58
5/26/2018,2:51:06,18.92,N,85.555,W,2.64,2.6
5/26/2018,2:53:06,18.923,N,85.552,W,2.64,2.63
5/26/2018,2:55:05,18.926,N,85.549,W,2.63,2.65
5/26/2018,2:57:05,18.929,N,85.546,W,2.63,2.68
5/26/2018,2:59:06,18.931,N,85.543,W,2.62,2.71
5/26/2018,3:01:06,18.934,N,85.54,W,2.62,2.73
5/26/2018,3:03:05,18.937,N,85.537,W,2.61,2.76
5/26/2018,3:05:05,18.94,N,85.534,W,2.61,2.79
5/26/2018,3:07:06,18.943,N,85.531,W,2.6,2.82
5/26/2018,3:09:05,18.946,N,85.528,W,2.59,2.84
5/26/2018,3:11:05,18.949,N,85.525,W,2.59,2.87
5/26/2018,3:13:06,18.953,N,85.522,W,2.58,2.9
5/26/2018,3:15:06,18.956,N,85.519,W,2.58,2.93
5/26/2018,3:17:05,18.959,N,85.517,W,2.57,2.95
5/26/2018,3:19:05,18.962,N,85.514,W,2.57,2.98
5/26/2018,3:21:06,18.965,N,85.511,W,2.56,3.01
5/26/2018,3:23:06,18.969,N,85.508,W,2.56,3.04
5/26/2018,3:25:05,18.972,N,85.505,W,2.55,3.07
5/26/2018,3:27:05,18.975,N,85.502,W,2.55,3.09
5/26/2018,3:29:06,18.979,N,85.499,W,2.54,3.12
5/26/2018,3:31:06,18.982,N,85.496,W,2.53,3.15
5/26/2018,3:33:05,18.985,N,85.493,W,2.53,3.18
5/26/2018,3:35:05,18.989,N,85.49,W,2.52,3.21
5/26/2018,3:37:06,18.992,N,85.487,W,2.52,3.24
5/26/2018,3:39:05,18.996,N,85.485,W,2.51,3.27
5/26/2018,3:41:05,18.999,N,85.482,W,2.51,3.3
5/26/2018,3:43:06,19.003,N,85.479,W,2.5,3.33
5/26/2018,3:45:06,19.007,N,85.476,W,2.49,3.36
5/26/2018,3:47:05,19.01,N,85.473,W,2.49,3.39
5/26/2018,3:49:05,19.014,N,85.47,W,2.48,3.41
5/26/2018,3:51:06,19.018,N,85.468,W,2.48,3.44
5/26/2018,3:53:06,19.021,N,85.465,W,2.47,3.47
5/26/2018,3:55:05,19.025,N,85.462,W,2.47,3.5
5/26/2018,3:57:05,19.029,N,85.459,W,2.46,3.54
5/26/2018,3:59:06,19.033,N,85.456,W,2.45,3.57
5/26/2018,4:01:06,19.037,N,85.453,W,2.45,3.6
5/26/2018,4:03:05,19.04,N,85.451,W,2.44,3.63
5/26/2018,4:05:05,19.044,N,85.448,W,2.44,3.66
5/26/2018,4:07:06,19.048,N,85.445,W,2.43,3.69
5/26/2018,4:09:05,19.052,N,85.442,W,2.42,3.72
5/26/2018,4:11:05,19.056,N,85.44,W,2.42,3.75
5/26/2018,4:13:06,19.06,N,85.437,W,2.41,3.78
5/26/2018,4:15:06,19.065,N,85.434,W,2.41,3.81
5/26/2018,4:17:05,19.069,N,85.431,W,2.4,3.84
5/26/2018,4:19:05,19.073,N,85.429,W,2.39,3.88
5/26/2018,4:21:06,19.077,N,85.426,W,2.39,3.91
5/26/2018,4:23:06,19.081,N,85.423,W,2.38,3.94
5/26/2018,4:25:05,19.086,N,85.42,W,2.37,3.97
5/26/2018,4:27:05,19.09,N,85.418,W,2.37,4
5/26/2018,4:29:06,19.094,N,85.415,W,2.36,4.04
5/26/2018,4:31:06,19.099,N,85.412,W,2.36,4.07
5/26/2018,4:33:05,19.103,N,85.41,W,2.35,4.1
5/26/2018,4:35:05,19.107,N,85.407,W,2.34,4.13
5/26/2018,4:37:06,19.112,N,85.404,W,2.34,4.17
5/26/2018,4:39:05,19.116,N,85.402,W,2.33,4.2
5/26/2018,4:41:05,19.121,N,85.399,W,2.32,4.23
5/26/2018,4:43:06,19.126,N,85.396,W,2.32,4.27
5/26/2018,4:45:06,19.13,N,85.394,W,2.31,4.3
5/26/2018,4:47:05,19.135,N,85.391,W,2.3,4.33
5/26/2018,4:49:05,19.139,N,85.388,W,2.3,4.37
5/26/2018,4:51:06,19.144,N,85.386,W,2.29,4.4
5/26/2018,4:53:06,19.149,N,85.383,W,2.28,4.43
5/26/2018,4:55:05,19.154,N,85.381,W,2.28,4.47
5/26/2018,4:57:05,19.159,N,85.378,W,2.27,4.5
5/26/2018,4:59:06,19.163,N,85.375,W,2.27,4.53
5/26/2018,5:01:06,19.168,N,85.373,W,2.26,4.56
5/26/2018,5:03:05,19.173,N,85.37,W,2.25,4.6
5/26/2018,5:05:05,19.178,N,85.368,W,2.25,4.63
5/26/2018,5:07:06,19.183,N,85.365,W,2.24,4.66
5/26/2018,5:09:05,19.188,N,85.362,W,2.23,4.69
5/26/2018,5:11:05,19.193,N,85.36,W,2.23,4.73
5/26/2018,5:13:06,19.199,N,85.357,W,2.22,4.76
5/26/2018,5:15:06,19.204,N,85.355,W,2.21,4.79
5/26/2018,5:17:05,19.209,N,85.352,W,2.21,4.82
5/26/2018,5:19:05,19.214,N,85.35,W,2.2,4.85
5/26/2018,5:21:06,19.219,N,85.347,W,2.2,4.89
5/26/2018,5:23:06,19.225,N,85.345,W,2.19,4.92
5/26/2018,5:25:05,19.23,N,85.342,W,2.18,4.95
5/26/2018,5:27:05,19.235,N,85.34,W,2.18,4.98
5/26/2018,5:29:06,19.241,N,85.337,W,2.17,5.01
5/26/2018,5:31:06,19.246,N,85.335,W,2.17,5.04
5/26/2018,5:33:05,19.252,N,85.332,W,2.16,5.07
5/26/2018,5:35:05,19.257,N,85.33,W,2.15,5.1
5/26/2018,5:37:06,19.263,N,85.327,W,2.15,5.13
5/26/2018,5:39:05,19.268,N,85.325,W,2.14,5.16
5/26/2018,5:41:05,19.274,N,85.323,W,2.14,5.19
5/26/2018,5:43:06,19.279,N,85.32,W,2.13,5.22
5/26/2018,5:45:06,19.285,N,85.318,W,2.12,5.25
5/26/2018,5:47:05,19.291,N,85.315,W,2.12,5.28
5/26/2018,5:49:05,19.296,N,85.313,W,2.11,5.31
5/26/2018,5:51:06,19.302,N,85.31,W,2.11,5.34
5/26/2018,5:53:06,19.308,N,85.308,W,2.1,5.37
5/26/2018,5:55:05,19.314,N,85.306,W,2.1,5.4
5/26/2018,5:57:05,19.32,N,85.303,W,2.09,5.43
5/26/2018,5:59:06,19.326,N,85.301,W,2.08,5.46
5/26/2018,6:01:06,19.331,N,85.298,W,2.08,5.49
5/26/2018,6:03:05,19.337,N,85.296,W,2.07,5.52
5/26/2018,6:05:05,19.343,N,85.294,W,2.07,5.55
5/26/2018,6:07:06,19.349,N,85.291,W,2.06,5.58
5/26/2018,6:09:05,19.355,N,85.289,W,2.06,5.6
5/26/2018,6:11:05,19.361,N,85.287,W,2.05,5.63
5/26/2018,6:13:06,19.368,N,85.284,W,2.04,5.66
5/26/2018,6:15:06,19.374,N,85.282,W,2.04,5.69
5/26/2018,6:17:05,19.38,N,85.28,W,2.03,5.72
5/26/2018,6:19:05,19.386,N,85.277,W,2.03,5.74
5/26/2018,6:21:06,19.392,N,85.275,W,2.02,5.77
5/26/2018,6:23:06,19.398,N,85.273,W,2.02,5.8
5/26/2018,6:25:05,19.405,N,85.27,W,2.01,5.83
5/26/2018,6:27:05,19.411,N,85.268,W,2.01,5.85
5/26/2018,6:29:06,19.417,N,85.266,W,2,5.88
5/26/2018,6:31:06,19.424,N,85.263,W,2,5.91
5/26/2018,6:33:05,19.43,N,85.261,W,1.99,5.94
5/26/2018,6:35:05,19.437,N,85.259,W,1.99,5.96
5/26/2018,6:37:06,19.443,N,85.257,W,1.98,5.99
5/26/2018,6:39:05,19.449,N,85.254,W,1.98,6.02
5/26/2018,6:41:05,19.456,N,85.252,W,1.97,6.04
5/26/2018,6:43:06,19.463,N,85.25,W,1.96,6.07
5/26/2018,6:45:06,19.469,N,85.248,W,1.96,6.1
5/26/2018,6:47:05,19.476,N,85.245,W,1.95,6.12
5/26/2018,6:49:05,19.482,N,85.243,W,1.95,6.15
5/26/2018,6:51:06,19.489,N,85.241,W,1.94,6.17
5/26/2018,6:53:06,19.496,N,85.239,W,1.94,6.2
5/26/2018,6:55:05,19.502,N,85.237,W,1.93,6.23
5/26/2018,6:57:05,19.509,N,85.234,W,1.93,6.25
5/26/2018,6:59:06,19.516,N,85.232,W,1.92,6.28
5/26/2018,7:01:06,19.523,N,85.23,W,1.92,6.3
5/26/2018,7:03:05,19.529,N,85.228,W,1.91,6.33
5/26/2018,7:05:05,19.536,N,85.226,W,1.91,6.35
5/26/2018,7:07:06,19.543,N,85.223,W,1.9,6.38
5/26/2018,7:09:05,19.55,N,85.221,W,1.9,6.4
5/26/2018,7:11:05,19.557,N,85.219,W,1.9,6.43
5/26/2018,7:13:06,19.564,N,85.217,W,1.89,6.45
5/26/2018,7:15:06,19.571,N,85.215,W,1.89,6.48
5/26/2018,7:17:05,19.578,N,85.212,W,1.88,6.5
5/26/2018,7:19:05,19.585,N,85.21,W,1.88,6.52
5/26/2018,7:21:06,19.592,N,85.208,W,1.87,6.55
5/26/2018,7:23:06,19.599,N,85.206,W,1.87,6.57
5/26/2018,7:25:05,19.606,N,85.204,W,1.86,6.6
5/26/2018,7:27:05,19.613,N,85.202,W,1.86,6.62
5/26/2018,7:29:06,19.62,N,85.2,W,1.85,6.64
5/26/2018,7:31:06,19.628,N,85.198,W,1.85,6.67
5/26/2018,7:33:05,19.635,N,85.195,W,1.84,6.69
5/26/2018,7:35:05,19.642,N,85.193,W,1.84,6.71
5/26/2018,7:37:06,19.649,N,85.191,W,1.83,6.74
5/26/2018,7:39:05,19.657,N,85.189,W,1.83,6.76
5/26/2018,7:41:05,19.664,N,85.187,W,1.83,6.78
5/26/2018,7:43:06,19.671,N,85.185,W,1.82,6.8
5/26/2018,7:45:06,19.679,N,85.183,W,1.82,6.83
5/26/2018,7:47:05,19.686,N,85.181,W,1.81,6.85
5/26/2018,7:49:05,19.693,N,85.179,W,1.81,6.87
5/26/2018,7:51:06,19.701,N,85.177,W,1.8,6.89
5/26/2018,7:53:06,19.708,N,85.175,W,1.8,6.91
5/26/2018,7:55:05,19.716,N,85.172,W,1.79,6.94
5/26/2018,7:57:05,19.723,N,85.17,W,1.79,6.96
5/26/2018,7:59:06,19.731,N,85.168,W,1.79,6.98
5/26/2018,8:01:06,19.738,N,85.166,W,1.78,7
5/26/2018,8:03:05,19.746,N,85.164,W,1.78,7.02
5/26/2018,8:05:05,19.753,N,85.162,W,1.77,7.04
5/26/2018,8:07:05,19.761,N,85.16,W,1.77,7.07
5/26/2018,8:09:06,19.769,N,85.158,W,1.77,7.09
5/26/2018,8:11:06,19.776,N,85.156,W,1.76,7.11
5/26/2018,8:13:06,19.784,N,85.154,W,1.76,7.13
5/26/2018,8:15:06,19.792,N,85.152,W,1.75,7.15
5/26/2018,8:17:05,19.799,N,85.15,W,1.75,7.17
5/26/2018,8:19:05,19.807,N,85.148,W,1.75,7.19
5/26/2018,8:21:05,19.815,N,85.146,W,1.74,7.21
5/26/2018,8:23:05,19.823,N,85.144,W,1.74,7.23
5/26/2018,8:25:06,19.831,N,85.142,W,1.73,7.25
5/26/2018,8:27:06,19.838,N,85.14,W,1.73,7.27
5/26/2018,8:29:06,19.846,N,85.138,W,1.73,7.29
5/26/2018,8:31:06,19.854,N,85.136,W,1.72,7.31
5/26/2018,8:33:05,19.862,N,85.134,W,1.72,7.33
5/26/2018,8:35:05,19.87,N,85.132,W,1.71,7.35
5/26/2018,8:37:05,19.878,N,85.13,W,1.71,7.37
5/26/2018,8:39:06,19.886,N,85.128,W,1.71,7.39
5/26/2018,8:41:06,19.894,N,85.126,W,1.7,7.41
5/26/2018,8:43:06,19.902,N,85.124,W,1.7,7.43
5/26/2018,8:45:06,19.91,N,85.122,W,1.7,7.44
5/26/2018,8:47:05,19.918,N,85.121,W,1.69,7.46
5/26/2018,8:49:05,19.926,N,85.119,W,1.69,7.48
5/26/2018,8:51:05,19.934,N,85.117,W,1.68,7.5
5/26/2018,8:53:05,19.942,N,85.115,W,1.68,7.52
5/26/2018,8:55:06,19.95,N,85.113,W,1.68,7.54
5/26/2018,8:57:06,19.958,N,85.111,W,1.67,7.55
5/26/2018,8:59:06,19.967,N,85.109,W,1.67,7.57
5/26/2018,9:01:06,19.975,N,85.107,W,1.67,7.59
5/26/2018,9:03:05,19.983,N,85.105,W,1.66,7.61
5/26/2018,9:05:05,19.991,N,85.103,W,1.66,7.62
5/26/2018,9:07:05,19.999,N,85.101,W,1.66,7.64
5/26/2018,9:09:06,20.008,N,85.099,W,1.65,7.66
5/26/2018,9:11:06,20.016,N,85.098,W,1.65,7.68
5/26/2018,9:13:06,20.024,N,85.096,W,1.65,7.69
5/26/2018,9:15:06,20.033,N,85.094,W,1.64,7.71
5/26/2018,9:17:05,20.041,N,85.092,W,1.64,7.73
5/26/2018,9:19:05,20.049,N,85.09,W,1.64,7.74
5/26/2018,9:21:05,20.058,N,85.088,W,1.63,7.76
5/26/2018,9:23:05,20.066,N,85.086,W,1.63,7.78
5/26/2018,9:25:06,20.074,N,85.084,W,1.63,7.79
5/26/2018,9:27:06,20.083,N,85.082,W,1.62,7.81
5/26/2018,9:29:06,20.091,N,85.081,W,1.62,7.83
5/26/2018,9:31:06,20.1,N,85.079,W,1.62,7.84
5/26/2018,9:33:05,20.108,N,85.077,W,1.61,7.86
5/26/2018,9:35:05,20.117,N,85.075,W,1.61,7.87
5/26/2018,9:37:05,20.125,N,85.073,W,1.61,7.89
5/26/2018,9:39:06,20.134,N,85.071,W,1.6,7.9
5/26/2018,9:41:06,20.142,N,85.07,W,1.6,7.92
5/26/2018,9:43:06,20.151,N,85.068,W,1.6,7.93
